,TNK2_MUT,DST_MUT,GRB7_AMP,ACACB_MUT,APBA1_AMP,ERBB2_AMP,ZFP14_DEL,MIR4728_AMP,PGAP3_AMP,DEFT1P_DEL,DEFT1P2_DEL,CNTLN_DEL,PPFIA1_AMP,OR2T27_DEL,STARD3_AMP,BRAF.V600E_MUT,CTNNA2_MUT,JAK2_AMP,CCND1_AMP,BMPR2_MUT,ETS1_DEL,OR51A4_DEL,OR51A2_DEL,FADD_AMP,MIR548K_AMP,MTRNR2L6_DEL,TCAP_AMP,CT45A2_DEL,EPHA8_MUT,MYEOV_AMP
3507,0.0,4.0,143.0,6.0,356.0,13804.0,735.0,379.0,267.0,2.0,18664.0,42.0,84.0,14.0,80.0,2677.0,879.0,9.0,21493.0,16964.0,45.0,7.0,16.0,90.0,163.0,2601.0,547.0,205.0,144.0,28.0
3556,107.0,75.0,13480.0,14.0,18.0,9.0,488.0,86.0,19861.0,15.0,20.0,1146.0,24.0,3583.0,17808.0,192.0,5.0,90.0,73.0,16919.0,512.0,1965.0,3567.0,893.0,32.0,18829.0,393.0,139.0,66.0,175.0
3605,5.0,67.0,280.0,16.0,34.0,3.0,241.0,1967.0,661.0,12.0,312.0,7.0,511.0,953.0,17858.0,20116.0,4.0,1154.0,478.0,1288.0,7094.0,10.0,26.0,19497.0,24.0,18877.0,19370.0,33.0,16564.0,22.0
3654,0.0,431.0,11.0,196.0,503.0,581.0,37.0,16190.0,158.0,956.0,19072.0,10581.0,25.0,422.0,20.0,53.0,16574.0,114.0,21897.0,16904.0,29.0,350.0,1266.0,19484.0,8.0,943.0,19514.0,2209.0,16558.0,17.0
3703,67.0,653.0,454.0,0.0,26.0,15.0,56.0,42.0,22.0,78.0,135.0,10131.0,8.0,513.0,64.0,186.0,115.0,4.0,21403.0,460.0,57.0,36.0,956.0,19516.0,35.0,59.0,357.0,1302.0,16685.0,13083.0
3752,78.0,496.0,13426.0,47.0,1464.0,95.0,5.0,645.0,298.0,4549.0,49.0,10158.0,16.0,243.0,17845.0,10.0,492.0,24.0,986.0,16978.0,244.0,9.0,0.0,19548.0,8.0,147.0,19378.0,266.0,2397.0,20.0
3801,28.0,16907.0,3.0,149.0,0.0,13792.0,6.0,27.0,2.0,254.0,12.0,1026.0,8.0,299.0,13.0,38.0,72.0,1028.0,447.0,2115.0,610.0,1624.0,769.0,11.0,15926.0,18903.0,19371.0,523.0,357.0,342.0
3850,1.0,82.0,347.0,27.0,100.0,58.0,547.0,4.0,97.0,465.0,22.0,2514.0,42.0,29.0,30.0,0.0,178.0,222.0,21416.0,16872.0,4779.0,6.0,59.0,19479.0,287.0,585.0,503.0,21.0,576.0,451.0
3899,2.0,743.0,13500.0,20.0,23.0,13691.0,4.0,35.0,19869.0,222.0,149.0,91.0,22.0,608.0,17.0,14.0,16539.0,658.0,594.0,591.0,167.0,0.0,471.0,19482.0,6.0,1252.0,19489.0,38.0,263.0,203.0
3948,37.0,242.0,13497.0,75.0,182.0,113.0,12494.0,218.0,2137.0,5553.0,19075.0,10091.0,24.0,90.0,132.0,1398.0,30.0,54.0,650.0,16873.0,0.0,47.0,189.0,68.0,46.0,18967.0,33.0,745.0,1383.0,1017.0
