,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,THYROID,PANCREAS,AERODIGESTIVE,BILIARY,URINARY,KIDNEY,SOFT_TISSUE,SALIVARY,PLEURA,OESOPHAGUS,PROSTATE,ENDOMETRIUM,BREAST,BONE,LIVER,OVARY,NERVOUS,LUNG
1660,0.0,6.0,1.0,2.0,5.0,4.0,3.0,7.0,10.0,12.0,11.0,21.0,9.0,15.0,20.0,8.0,16.0,17.0,14.0,13.0,18.0,19.0,22.0
1709,0.0,3.0,5.0,1.0,2.0,4.0,6.0,8.0,9.0,20.0,10.0,7.0,11.0,12.0,14.0,15.0,16.0,21.0,17.0,18.0,13.0,19.0,22.0
1758,0.0,4.0,5.0,1.0,2.0,3.0,6.0,7.0,9.0,10.0,11.0,19.0,12.0,8.0,14.0,15.0,16.0,21.0,17.0,18.0,13.0,20.0,22.0
1807,0.0,1.0,2.0,3.0,4.0,9.0,5.0,6.0,7.0,20.0,8.0,17.0,10.0,11.0,12.0,22.0,21.0,13.0,15.0,16.0,18.0,19.0,14.0
1856,0.0,6.0,1.0,7.0,3.0,2.0,4.0,10.0,8.0,5.0,9.0,18.0,11.0,12.0,20.0,22.0,21.0,13.0,16.0,17.0,15.0,19.0,14.0
1905,0.0,1.0,3.0,6.0,7.0,2.0,5.0,4.0,8.0,9.0,10.0,21.0,11.0,12.0,13.0,22.0,20.0,14.0,16.0,17.0,18.0,19.0,15.0
1954,8.0,0.0,4.0,1.0,3.0,2.0,5.0,6.0,7.0,9.0,10.0,18.0,11.0,12.0,13.0,15.0,21.0,14.0,16.0,17.0,19.0,20.0,22.0
2003,0.0,1.0,4.0,10.0,3.0,2.0,5.0,7.0,9.0,6.0,11.0,18.0,12.0,8.0,13.0,15.0,21.0,14.0,16.0,17.0,19.0,20.0,22.0
2052,0.0,1.0,4.0,8.0,3.0,2.0,5.0,11.0,6.0,7.0,9.0,18.0,10.0,12.0,13.0,15.0,21.0,14.0,16.0,17.0,19.0,20.0,22.0
2101,0.0,8.0,1.0,17.0,3.0,2.0,4.0,5.0,6.0,7.0,9.0,10.0,11.0,12.0,20.0,13.0,14.0,15.0,21.0,16.0,18.0,19.0,22.0
2150,0.0,1.0,2.0,12.0,6.0,5.0,4.0,3.0,10.0,16.0,11.0,17.0,9.0,8.0,21.0,7.0,20.0,13.0,19.0,18.0,14.0,15.0,22.0
2199,1.0,3.0,2.0,5.0,0.0,6.0,4.0,7.0,11.0,20.0,10.0,13.0,8.0,9.0,17.0,18.0,21.0,16.0,19.0,14.0,12.0,15.0,22.0
