,XXbac-BPG181B23.7,RP11-408B11.2,CORO2A,GPR158,SLC38A9,SLC6A15,SLC25A24P1,CLSTN3,RP11-734I18.1,RP3-460G2.2,PLAG1,RP11-151A6.4,HLA-U,BTBD11,LRRIQ1,PDE9A,ZNF593,RP11-152F13.7,DUSP6,TMCC3,UBR2,ABCC10,ZNF732,RP11-430L17.1,PALM2,BEND6,PRR5L,JAGN1,TYW1B,CTB-88F18.3
892,4.0,1.0,0.0,14.0,22.0,2.0,438.0,37.0,3.0,58.0,26.0,9.0,19.0,6.0,25.0,12.0,132.0,39.0,20.0,7.0,103.0,69.0,114.0,23.0,134.0,46.0,54.0,57.0,375.0,59.0
941,3.0,16.0,2.0,14.0,99.0,22.0,40.0,23.0,173.0,0.0,8.0,33.0,17.0,971.0,46.0,60.0,9.0,34.0,12.0,32.0,49.0,125.0,106.0,18.0,5.0,19.0,24.0,29.0,89.0,193.0
990,0.0,6.0,7.0,25.0,8.0,3.0,82.0,19.0,793.0,49.0,18.0,2.0,209.0,4.0,15.0,628.0,84.0,446.0,22.0,572.0,35.0,24.0,5.0,32.0,31.0,148.0,20.0,23.0,50.0,46.0
1039,0.0,17.0,30.0,5.0,41.0,171.0,4.0,6.0,76.0,12.0,55.0,18.0,40.0,35.0,47.0,81.0,2.0,20.0,19.0,228.0,34.0,24.0,9.0,57.0,118.0,49.0,29.0,162.0,85.0,60.0
1088,36.0,4.0,11.0,1.0,9.0,6.0,20.0,16.0,0.0,2.0,89.0,10.0,454.0,25.0,34.0,209.0,45.0,179.0,23.0,28.0,42.0,29.0,97.0,63.0,449.0,22.0,14.0,68.0,53.0,122.0
1137,1.0,0.0,4.0,43.0,5.0,10.0,3.0,7.0,16.0,56.0,53.0,44.0,322.0,11.0,9.0,536.0,19.0,912.0,6.0,428.0,29.0,66.0,22.0,105.0,21.0,23.0,35.0,219.0,2.0,15.0
1186,1.0,17.0,0.0,5.0,3.0,4.0,6.0,9.0,20.0,8.0,34.0,7.0,27.0,36.0,15.0,631.0,22.0,252.0,41.0,79.0,62.0,50.0,35.0,49.0,26.0,13.0,47.0,30.0,31.0,92.0
1235,20.0,0.0,1.0,5.0,29.0,6.0,18.0,4.0,11.0,3.0,52.0,12.0,93.0,2.0,25.0,282.0,21.0,791.0,43.0,55.0,76.0,111.0,7.0,10.0,132.0,87.0,51.0,57.0,32.0,65.0
1284,8.0,13.0,3.0,2.0,23.0,11.0,18.0,16.0,0.0,63.0,9.0,26.0,21.0,37.0,6.0,33.0,68.0,1113.0,36.0,191.0,76.0,34.0,140.0,79.0,25.0,30.0,5.0,10.0,1.0,42.0
1333,6.0,1.0,4.0,16.0,19.0,3.0,11.0,24.0,15.0,10.0,61.0,7.0,124.0,9.0,8.0,186.0,21.0,393.0,17.0,107.0,94.0,30.0,26.0,2.0,49.0,56.0,66.0,92.0,12.0,27.0
1382,2.0,1.0,3.0,340.0,16.0,50.0,7.0,19.0,22.0,10.0,134.0,70.0,52.0,5.0,12.0,101.0,11.0,35.0,9.0,37.0,30.0,18.0,77.0,36.0,71.0,4.0,196.0,140.0,468.0,6.0
1431,0.0,3.0,2.0,560.0,14.0,4.0,12.0,45.0,7.0,5.0,157.0,39.0,1601.0,6.0,29.0,86.0,34.0,206.0,17.0,9.0,95.0,171.0,22.0,23.0,26.0,103.0,31.0,28.0,1.0,16.0
1480,0.0,2.0,1.0,3.0,21.0,7.0,210.0,30.0,24.0,90.0,9.0,114.0,307.0,56.0,80.0,109.0,83.0,51.0,34.0,23.0,18.0,68.0,157.0,32.0,40.0,71.0,33.0,495.0,5.0,38.0
1529,0.0,1.0,11.0,81.0,9.0,546.0,3.0,7.0,2.0,41.0,22.0,25.0,124.0,66.0,32.0,35.0,368.0,12.0,52.0,6.0,39.0,67.0,58.0,49.0,420.0,88.0,26.0,318.0,427.0,179.0
1578,2.0,8.0,6.0,108.0,15.0,5.0,0.0,4.0,19.0,7.0,18.0,26.0,10.0,549.0,33.0,43.0,147.0,24.0,246.0,14.0,72.0,27.0,116.0,23.0,31.0,51.0,37.0,264.0,13.0,131.0
1627,0.0,2.0,6.0,232.0,3.0,7.0,4.0,41.0,8.0,63.0,64.0,134.0,503.0,171.0,56.0,24.0,322.0,35.0,23.0,18.0,54.0,52.0,10.0,53.0,222.0,108.0,32.0,156.0,27.0,74.0
1676,4.0,0.0,7.0,1.0,3.0,10.0,6.0,5.0,17.0,11.0,29.0,42.0,156.0,62.0,13.0,445.0,53.0,26.0,30.0,15.0,58.0,126.0,131.0,419.0,310.0,16.0,35.0,230.0,44.0,106.0
1725,1.0,0.0,15.0,5.0,52.0,60.0,4.0,35.0,8.0,480.0,14.0,327.0,511.0,105.0,13.0,865.0,119.0,7.0,89.0,66.0,71.0,40.0,47.0,76.0,22.0,63.0,10.0,299.0,53.0,55.0
