,phosphocreatine,GABA,pantothenate,urate,homocysteine,serine,C18:0 LPE,serotonin,niacinamide,beta-alanine,C16:0 LPE,C18:0 LPC,alpha-glycerophosphocholine,C56:5 TAG,creatine,creatinine,C36:4 PC-B,C22:6 CE,2-deoxyadenosine,N-carbamoyl-beta-alanine,alpha-glycerophosphate,asparagine,3-phosphoglycerate,PEP,taurodeoxycholate,uridine,oxalate,malondialdehyde,valerylcarnitine,1-methylnicotinamide
3702,0.0,1.0,29.0,25.0,8.0,57.0,31.0,14.0,62.0,4.0,39.0,21.0,63.0,13.0,27.0,44.0,10.0,12.0,9.0,34.0,11.0,18.0,43.0,5.0,23.0,24.0,6.0,56.0,41.0,17.0
3751,33.0,7.0,5.0,35.0,2.0,31.0,24.0,14.0,15.0,22.0,0.0,23.0,11.0,12.0,60.0,16.0,25.0,4.0,26.0,62.0,3.0,30.0,66.0,9.0,10.0,34.0,65.0,64.0,20.0,54.0
3800,0.0,3.0,4.0,53.0,24.0,38.0,19.0,2.0,57.0,36.0,1.0,6.0,16.0,14.0,60.0,61.0,42.0,21.0,23.0,56.0,28.0,12.0,15.0,11.0,26.0,27.0,31.0,10.0,33.0,17.0
3849,6.0,10.0,0.0,8.0,29.0,32.0,41.0,64.0,13.0,23.0,26.0,24.0,2.0,11.0,60.0,14.0,3.0,48.0,17.0,63.0,1.0,31.0,16.0,9.0,7.0,62.0,57.0,4.0,65.0,19.0
3898,6.0,1.0,4.0,28.0,9.0,0.0,16.0,19.0,14.0,13.0,15.0,35.0,65.0,2.0,58.0,59.0,11.0,44.0,8.0,55.0,25.0,20.0,23.0,3.0,49.0,27.0,5.0,31.0,32.0,48.0
3947,0.0,3.0,24.0,1.0,12.0,21.0,38.0,7.0,5.0,25.0,11.0,33.0,16.0,63.0,15.0,44.0,32.0,41.0,22.0,18.0,2.0,59.0,43.0,10.0,56.0,4.0,53.0,58.0,39.0,6.0
3996,9.0,24.0,10.0,3.0,0.0,7.0,16.0,25.0,23.0,17.0,37.0,1.0,5.0,53.0,27.0,4.0,41.0,45.0,21.0,6.0,12.0,29.0,11.0,35.0,61.0,63.0,42.0,52.0,19.0,49.0
4045,0.0,12.0,34.0,2.0,6.0,19.0,39.0,13.0,60.0,1.0,45.0,17.0,20.0,21.0,62.0,10.0,30.0,24.0,63.0,9.0,7.0,18.0,47.0,3.0,55.0,37.0,33.0,65.0,43.0,56.0
4094,0.0,2.0,32.0,6.0,46.0,5.0,44.0,8.0,61.0,43.0,33.0,16.0,19.0,17.0,3.0,62.0,39.0,25.0,64.0,18.0,24.0,12.0,21.0,9.0,23.0,34.0,31.0,59.0,41.0,30.0
4143,1.0,7.0,0.0,5.0,19.0,13.0,32.0,3.0,63.0,14.0,2.0,37.0,10.0,6.0,64.0,16.0,33.0,22.0,54.0,62.0,21.0,57.0,43.0,8.0,15.0,9.0,20.0,56.0,18.0,17.0
