,hsa-miR-483-3p,hsa-miR-125a-3p,hsa-miR-934,hsa-miR-744,hsa-miR-485-3p,hsa-miR-582-5p,hsa-miR-10b,hsa-miR-1977,hsa-miR-142-5p,hsa-miR-124,hsa-miR-764,hsa-miR-628-5p,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-1976,hsa-miR-223,hsa-miR-34a,ebv-miR-BART2-5p,hsa-miR-150,hsa-miR-555,hsa-miR-579,hsa-miR-623,hsa-miR-550,hsa-miR-591,hsa-miR-1259,hsa-miR-581,hsa-miR-887,hsa-miR-1979,hsa-miR-199b-5p,hsa-miR-921
1242,5.0,11.0,14.0,2.0,1.0,13.0,74.0,0.0,15.0,4.0,20.0,10.0,34.0,17.0,8.0,59.0,18.0,78.0,28.0,32.0,117.0,33.0,3.0,114.0,25.0,38.0,72.0,26.0,368.0,92.0
1291,2.0,52.0,9.0,1.0,0.0,41.0,25.0,5.0,6.0,18.0,8.0,14.0,36.0,20.0,21.0,50.0,3.0,51.0,68.0,13.0,44.0,34.0,37.0,78.0,19.0,28.0,22.0,7.0,371.0,100.0
1340,36.0,21.0,1.0,2.0,0.0,132.0,83.0,14.0,18.0,11.0,44.0,20.0,46.0,7.0,30.0,77.0,4.0,110.0,34.0,55.0,80.0,33.0,5.0,106.0,59.0,6.0,12.0,105.0,372.0,138.0
1389,3.0,121.0,2.0,4.0,1.0,63.0,5.0,23.0,21.0,12.0,19.0,37.0,60.0,18.0,52.0,41.0,0.0,46.0,57.0,33.0,28.0,22.0,35.0,55.0,20.0,58.0,10.0,32.0,366.0,108.0
1438,1.0,75.0,3.0,9.0,0.0,41.0,40.0,7.0,17.0,2.0,25.0,36.0,10.0,34.0,4.0,133.0,8.0,94.0,130.0,11.0,95.0,27.0,188.0,47.0,6.0,24.0,30.0,5.0,365.0,222.0
1487,1.0,2.0,0.0,18.0,8.0,3.0,55.0,6.0,11.0,17.0,34.0,13.0,14.0,9.0,16.0,39.0,61.0,23.0,51.0,22.0,99.0,32.0,25.0,31.0,41.0,33.0,44.0,36.0,29.0,42.0
1536,5.0,0.0,2.0,13.0,1.0,4.0,112.0,34.0,22.0,56.0,31.0,92.0,24.0,6.0,3.0,14.0,15.0,21.0,51.0,32.0,26.0,70.0,9.0,10.0,37.0,57.0,16.0,12.0,11.0,67.0
1585,1.0,4.0,3.0,42.0,7.0,5.0,18.0,11.0,20.0,36.0,26.0,62.0,22.0,6.0,9.0,0.0,25.0,24.0,38.0,29.0,32.0,40.0,15.0,13.0,49.0,41.0,50.0,19.0,45.0,57.0
1634,8.0,5.0,10.0,51.0,0.0,1.0,39.0,67.0,37.0,2.0,26.0,46.0,22.0,12.0,62.0,19.0,77.0,23.0,69.0,6.0,92.0,27.0,4.0,7.0,14.0,58.0,256.0,54.0,56.0,20.0
1683,0.0,3.0,4.0,5.0,13.0,1.0,43.0,28.0,116.0,19.0,20.0,34.0,7.0,2.0,18.0,29.0,10.0,39.0,17.0,8.0,139.0,53.0,9.0,15.0,48.0,47.0,37.0,23.0,11.0,24.0
1732,0.0,4.0,27.0,53.0,6.0,1.0,22.0,3.0,33.0,7.0,20.0,40.0,21.0,13.0,9.0,5.0,2.0,29.0,57.0,28.0,35.0,37.0,12.0,19.0,92.0,41.0,25.0,38.0,31.0,51.0
1781,2.0,0.0,12.0,8.0,14.0,16.0,42.0,4.0,24.0,3.0,21.0,7.0,20.0,1.0,22.0,9.0,6.0,41.0,26.0,23.0,50.0,67.0,13.0,28.0,49.0,48.0,18.0,78.0,46.0,54.0
1830,3.0,1.0,2.0,88.0,7.0,0.0,29.0,46.0,77.0,8.0,11.0,43.0,18.0,4.0,31.0,12.0,45.0,47.0,97.0,20.0,87.0,23.0,37.0,10.0,17.0,57.0,293.0,33.0,5.0,32.0
1879,4.0,0.0,1.0,26.0,6.0,3.0,52.0,7.0,24.0,8.0,13.0,40.0,21.0,20.0,30.0,11.0,5.0,37.0,31.0,41.0,78.0,35.0,16.0,38.0,15.0,12.0,32.0,62.0,23.0,43.0
1928,6.0,0.0,1.0,23.0,13.0,2.0,24.0,19.0,66.0,16.0,22.0,75.0,5.0,25.0,8.0,10.0,3.0,26.0,20.0,12.0,48.0,36.0,18.0,38.0,54.0,49.0,73.0,35.0,52.0,27.0
1977,0.0,1.0,2.0,22.0,3.0,7.0,11.0,28.0,4.0,5.0,42.0,30.0,8.0,31.0,18.0,33.0,56.0,14.0,26.0,15.0,16.0,10.0,132.0,62.0,13.0,12.0,41.0,46.0,38.0,84.0
2026,0.0,10.0,6.0,25.0,4.0,1.0,7.0,5.0,29.0,3.0,23.0,9.0,16.0,8.0,17.0,59.0,51.0,33.0,54.0,13.0,37.0,30.0,20.0,55.0,73.0,36.0,24.0,14.0,27.0,93.0
2075,0.0,3.0,14.0,13.0,4.0,1.0,36.0,2.0,5.0,28.0,7.0,48.0,8.0,22.0,64.0,30.0,56.0,19.0,23.0,55.0,10.0,26.0,47.0,32.0,6.0,27.0,25.0,20.0,85.0,35.0
2124,0.0,44.0,5.0,19.0,8.0,4.0,10.0,2.0,7.0,13.0,69.0,9.0,6.0,38.0,18.0,90.0,70.0,17.0,20.0,21.0,27.0,14.0,84.0,23.0,42.0,16.0,12.0,11.0,45.0,22.0
2173,0.0,7.0,26.0,3.0,4.0,1.0,9.0,6.0,17.0,14.0,31.0,30.0,5.0,36.0,11.0,54.0,40.0,38.0,58.0,21.0,13.0,8.0,42.0,35.0,25.0,115.0,15.0,12.0,32.0,24.0
2222,0.0,16.0,8.0,4.0,2.0,27.0,15.0,1.0,31.0,22.0,24.0,3.0,6.0,46.0,52.0,44.0,57.0,18.0,33.0,36.0,14.0,25.0,103.0,35.0,26.0,19.0,17.0,49.0,136.0,11.0
2271,0.0,5.0,18.0,35.0,1.0,3.0,9.0,16.0,2.0,24.0,33.0,21.0,10.0,37.0,119.0,78.0,43.0,7.0,36.0,25.0,20.0,15.0,39.0,28.0,117.0,6.0,31.0,46.0,85.0,17.0
2320,0.0,33.0,31.0,3.0,15.0,11.0,10.0,2.0,34.0,23.0,8.0,4.0,6.0,30.0,22.0,44.0,37.0,12.0,28.0,9.0,58.0,16.0,110.0,51.0,80.0,18.0,79.0,5.0,87.0,236.0
2369,0.0,93.0,69.0,10.0,4.0,6.0,26.0,1.0,8.0,3.0,9.0,7.0,2.0,21.0,27.0,71.0,74.0,18.0,13.0,5.0,35.0,36.0,17.0,46.0,32.0,34.0,33.0,12.0,41.0,23.0
2418,0.0,5.0,11.0,36.0,26.0,1.0,4.0,27.0,14.0,22.0,19.0,8.0,9.0,32.0,44.0,47.0,25.0,10.0,21.0,49.0,6.0,15.0,83.0,107.0,7.0,74.0,31.0,3.0,16.0,17.0
2467,7.0,4.0,45.0,0.0,10.0,3.0,6.0,33.0,8.0,1.0,11.0,44.0,9.0,24.0,48.0,40.0,128.0,15.0,20.0,13.0,37.0,27.0,5.0,38.0,30.0,22.0,298.0,338.0,91.0,85.0
2516,24.0,8.0,30.0,0.0,16.0,10.0,45.0,13.0,12.0,17.0,2.0,1.0,7.0,26.0,89.0,32.0,73.0,31.0,25.0,15.0,99.0,27.0,11.0,19.0,102.0,49.0,76.0,34.0,6.0,129.0
2565,4.0,7.0,11.0,0.0,6.0,5.0,18.0,13.0,56.0,1.0,27.0,2.0,64.0,30.0,63.0,22.0,61.0,32.0,68.0,12.0,62.0,16.0,8.0,14.0,31.0,41.0,67.0,57.0,3.0,136.0
2614,1.0,7.0,6.0,4.0,8.0,3.0,25.0,5.0,10.0,2.0,23.0,0.0,15.0,32.0,44.0,67.0,122.0,18.0,48.0,27.0,31.0,49.0,34.0,26.0,16.0,17.0,40.0,368.0,11.0,227.0
2663,2.0,14.0,8.0,0.0,3.0,7.0,56.0,9.0,52.0,1.0,12.0,10.0,13.0,65.0,72.0,25.0,38.0,20.0,21.0,28.0,5.0,26.0,11.0,24.0,15.0,32.0,62.0,60.0,22.0,16.0
2712,3.0,4.0,7.0,0.0,1.0,9.0,6.0,2.0,13.0,39.0,60.0,5.0,61.0,153.0,69.0,16.0,485.0,21.0,64.0,15.0,28.0,18.0,23.0,11.0,24.0,37.0,85.0,79.0,8.0,84.0
2761,8.0,91.0,2.0,0.0,1.0,14.0,4.0,30.0,23.0,11.0,61.0,10.0,53.0,48.0,79.0,25.0,95.0,40.0,21.0,36.0,35.0,6.0,13.0,12.0,137.0,9.0,136.0,85.0,3.0,31.0
2810,2.0,10.0,13.0,0.0,7.0,1.0,11.0,6.0,8.0,5.0,3.0,4.0,38.0,54.0,110.0,34.0,46.0,26.0,35.0,16.0,25.0,32.0,18.0,14.0,106.0,40.0,94.0,333.0,51.0,9.0
2859,3.0,7.0,20.0,0.0,6.0,9.0,2.0,4.0,48.0,5.0,26.0,1.0,30.0,18.0,49.0,32.0,108.0,24.0,38.0,10.0,15.0,21.0,91.0,8.0,61.0,27.0,83.0,352.0,12.0,131.0
2908,8.0,7.0,48.0,0.0,6.0,30.0,3.0,16.0,14.0,1.0,35.0,15.0,62.0,51.0,42.0,17.0,457.0,49.0,31.0,18.0,56.0,115.0,12.0,34.0,79.0,2.0,84.0,430.0,5.0,45.0
2957,2.0,0.0,16.0,1.0,6.0,7.0,12.0,47.0,4.0,19.0,22.0,27.0,36.0,46.0,66.0,8.0,20.0,39.0,32.0,64.0,49.0,11.0,30.0,123.0,82.0,17.0,71.0,78.0,13.0,81.0
3006,3.0,2.0,41.0,1.0,72.0,0.0,5.0,32.0,37.0,19.0,23.0,50.0,20.0,69.0,44.0,11.0,76.0,33.0,4.0,15.0,48.0,10.0,7.0,225.0,36.0,61.0,114.0,16.0,56.0,348.0
