,hsa-miR-22,hsa-miR-130a,hsa-miR-449c,hsa-miR-151-3p,hsa-miR-507,hsa-miR-210,hsa-miR-96,hsa-miR-323-5p,hsa-miR-1978,hsa-miR-605,hsa-miR-483-3p,hsa-miR-486-3p,ebv-miR-BART19-5p,hsa-miR-657,hsa-miR-455-5p,hsa-miR-611,hsa-miR-513a-5p,hsa-miR-2117,hsa-miR-206,hsa-miR-1979,hsa-miR-1293,hsa-miR-545,hsa-miR-623,hsa-miR-1246,hsa-let-7c,hsa-miR-591,hsa-miR-30a,hsv1-miR-H7,hsa-miR-663,hsa-miR-28-5p
3988,593.0,18.0,39.0,14.0,132.0,139.0,272.0,44.0,105.0,79.0,520.0,128.0,90.0,95.0,81.0,89.0,563.0,501.0,1.0,48.0,108.0,174.0,192.0,119.0,467.0,63.0,83.0,112.0,318.0,186.0
4037,19.0,574.0,27.0,1.0,93.0,94.0,378.0,46.0,41.0,126.0,600.0,103.0,44.0,81.0,599.0,42.0,35.0,503.0,481.0,29.0,48.0,61.0,252.0,179.0,76.0,45.0,113.0,116.0,67.0,96.0
4086,0.0,49.0,132.0,115.0,35.0,30.0,71.0,27.0,104.0,60.0,162.0,94.0,97.0,52.0,510.0,179.0,555.0,8.0,72.0,408.0,56.0,28.0,327.0,160.0,5.0,43.0,123.0,33.0,301.0,38.0
4135,0.0,35.0,55.0,26.0,31.0,83.0,310.0,627.0,135.0,86.0,60.0,66.0,51.0,97.0,516.0,339.0,557.0,110.0,409.0,80.0,48.0,119.0,122.0,155.0,464.0,109.0,137.0,74.0,281.0,25.0
4184,0.0,431.0,25.0,37.0,44.0,23.0,258.0,29.0,58.0,7.0,510.0,69.0,67.0,100.0,511.0,179.0,165.0,400.0,21.0,46.0,24.0,138.0,175.0,122.0,49.0,153.0,48.0,114.0,92.0,93.0
4233,0.0,52.0,115.0,10.0,136.0,60.0,130.0,99.0,63.0,96.0,16.0,98.0,70.0,88.0,57.0,129.0,519.0,35.0,172.0,108.0,204.0,552.0,94.0,81.0,8.0,166.0,87.0,78.0,341.0,61.0
4282,7.0,400.0,29.0,35.0,131.0,30.0,32.0,597.0,136.0,52.0,26.0,104.0,48.0,40.0,74.0,13.0,508.0,19.0,87.0,419.0,83.0,147.0,186.0,99.0,9.0,211.0,65.0,122.0,81.0,586.0
4331,0.0,35.0,52.0,20.0,150.0,27.0,276.0,74.0,67.0,100.0,22.0,84.0,19.0,29.0,47.0,99.0,559.0,86.0,409.0,417.0,62.0,597.0,328.0,164.0,112.0,180.0,146.0,2.0,75.0,55.0
4380,11.0,24.0,14.0,1.0,93.0,33.0,97.0,125.0,117.0,116.0,51.0,38.0,48.0,124.0,525.0,88.0,58.0,46.0,149.0,423.0,440.0,541.0,195.0,173.0,5.0,236.0,87.0,163.0,316.0,57.0
4429,592.0,18.0,22.0,29.0,67.0,59.0,116.0,52.0,156.0,91.0,124.0,38.0,53.0,89.0,516.0,309.0,82.0,499.0,12.0,412.0,144.0,350.0,8.0,137.0,463.0,86.0,130.0,148.0,352.0,578.0
4478,583.0,6.0,30.0,36.0,83.0,124.0,67.0,60.0,65.0,46.0,127.0,27.0,109.0,171.0,15.0,70.0,63.0,42.0,496.0,402.0,470.0,233.0,106.0,432.0,459.0,159.0,627.0,29.0,292.0,572.0
4527,398.0,413.0,38.0,44.0,58.0,24.0,80.0,422.0,113.0,120.0,46.0,45.0,100.0,109.0,68.0,210.0,526.0,407.0,507.0,486.0,589.0,387.0,177.0,259.0,353.0,59.0,112.0,104.0,348.0,444.0
4576,68.0,115.0,146.0,34.0,24.0,107.0,31.0,101.0,128.0,105.0,64.0,39.0,100.0,7.0,585.0,96.0,611.0,122.0,477.0,546.0,250.0,542.0,227.0,89.0,314.0,127.0,138.0,25.0,61.0,13.0
4625,587.0,23.0,52.0,61.0,33.0,497.0,15.0,623.0,130.0,72.0,92.0,108.0,105.0,64.0,509.0,193.0,552.0,593.0,67.0,408.0,469.0,11.0,327.0,106.0,460.0,118.0,88.0,83.0,30.0,575.0
4674,591.0,434.0,47.0,55.0,61.0,84.0,19.0,136.0,133.0,148.0,70.0,40.0,50.0,43.0,515.0,334.0,127.0,56.0,58.0,413.0,51.0,235.0,14.0,142.0,463.0,26.0,113.0,210.0,266.0,131.0
4723,594.0,15.0,51.0,126.0,158.0,131.0,295.0,599.0,69.0,70.0,23.0,28.0,42.0,68.0,112.0,79.0,557.0,124.0,413.0,2.0,40.0,371.0,257.0,123.0,464.0,119.0,153.0,110.0,47.0,95.0
4772,564.0,35.0,30.0,36.0,25.0,65.0,87.0,72.0,120.0,85.0,104.0,66.0,105.0,99.0,52.0,263.0,124.0,405.0,47.0,61.0,73.0,131.0,68.0,438.0,34.0,57.0,571.0,96.0,277.0,585.0
4821,86.0,38.0,21.0,33.0,58.0,89.0,144.0,625.0,30.0,93.0,36.0,27.0,60.0,24.0,29.0,252.0,556.0,399.0,42.0,411.0,469.0,217.0,333.0,432.0,460.0,40.0,83.0,197.0,337.0,577.0
4870,496.0,573.0,42.0,72.0,31.0,75.0,17.0,45.0,137.0,110.0,38.0,36.0,50.0,84.0,575.0,256.0,94.0,91.0,458.0,4.0,563.0,568.0,7.0,77.0,308.0,53.0,407.0,116.0,2.0,438.0
