,hsa-miR-218,hsa-miR-579,hsa-miR-342-3p,hsa-let-7e,hsa-miR-1283,hsa-miR-328,hsa-miR-137,hsa-miR-30a,hsa-miR-9,hsa-miR-371-3p,hsa-miR-551a,hsa-miR-363,ebv-miR-BART18-5p,hsa-miR-324-3p,hsa-miR-30c,hsa-miR-1287,hsa-miR-499-3p,hsa-miR-548m,hsa-miR-99a,hsa-miR-1266,hsa-miR-582-5p,ebv-miR-BART16,hsa-miR-521,hsa-miR-211,hsa-miR-764,hsa-miR-1281,hsa-miR-516a-5p,hsv1-miR-H8,hsa-miR-10b,hsa-miR-210
998,0.0,7.0,13.0,1.0,5.0,30.0,2.0,4.0,8.0,11.0,22.0,16.0,107.0,46.0,15.0,72.0,10.0,129.0,366.0,33.0,39.0,6.0,45.0,28.0,105.0,173.0,40.0,41.0,59.0,70.0
1047,0.0,4.0,6.0,1.0,8.0,2.0,3.0,57.0,16.0,145.0,223.0,77.0,79.0,65.0,81.0,21.0,40.0,133.0,27.0,150.0,10.0,74.0,52.0,180.0,113.0,38.0,144.0,599.0,350.0,111.0
1096,0.0,6.0,1.0,2.0,35.0,4.0,16.0,217.0,11.0,230.0,275.0,28.0,612.0,7.0,26.0,82.0,45.0,24.0,56.0,54.0,8.0,9.0,126.0,71.0,142.0,175.0,10.0,295.0,14.0,141.0
1145,0.0,2.0,1.0,4.0,66.0,44.0,3.0,16.0,115.0,176.0,58.0,324.0,62.0,22.0,205.0,111.0,175.0,10.0,11.0,18.0,5.0,143.0,63.0,93.0,46.0,109.0,119.0,19.0,265.0,247.0
1194,0.0,7.0,1.0,24.0,4.0,3.0,2.0,23.0,75.0,114.0,176.0,32.0,19.0,125.0,50.0,298.0,25.0,85.0,46.0,62.0,17.0,9.0,74.0,47.0,121.0,81.0,115.0,350.0,93.0,36.0
1243,1.0,3.0,0.0,7.0,6.0,26.0,8.0,161.0,88.0,35.0,267.0,287.0,2.0,25.0,252.0,146.0,80.0,281.0,29.0,9.0,4.0,5.0,10.0,21.0,18.0,363.0,85.0,55.0,46.0,48.0
1292,1.0,5.0,3.0,0.0,21.0,6.0,4.0,314.0,31.0,27.0,81.0,17.0,257.0,268.0,54.0,107.0,66.0,12.0,14.0,184.0,25.0,8.0,424.0,116.0,39.0,254.0,103.0,82.0,62.0,332.0
1341,0.0,3.0,1.0,2.0,4.0,15.0,20.0,91.0,19.0,75.0,175.0,51.0,40.0,205.0,69.0,219.0,30.0,213.0,6.0,216.0,171.0,245.0,336.0,85.0,93.0,8.0,46.0,160.0,109.0,81.0
1390,0.0,3.0,2.0,6.0,8.0,7.0,1.0,24.0,5.0,56.0,130.0,36.0,151.0,32.0,423.0,29.0,41.0,27.0,4.0,68.0,9.0,13.0,22.0,39.0,59.0,14.0,40.0,34.0,26.0,443.0
1439,0.0,6.0,1.0,2.0,9.0,3.0,19.0,107.0,38.0,84.0,584.0,97.0,37.0,47.0,18.0,192.0,27.0,275.0,7.0,15.0,50.0,26.0,54.0,124.0,145.0,210.0,334.0,95.0,133.0,241.0
1488,0.0,1.0,205.0,3.0,4.0,2.0,31.0,10.0,7.0,41.0,19.0,33.0,11.0,15.0,16.0,263.0,36.0,119.0,18.0,74.0,26.0,30.0,234.0,210.0,60.0,69.0,6.0,142.0,47.0,373.0
1537,0.0,1.0,12.0,7.0,2.0,21.0,87.0,19.0,110.0,17.0,71.0,52.0,15.0,4.0,205.0,482.0,133.0,77.0,84.0,119.0,24.0,81.0,28.0,103.0,153.0,190.0,43.0,6.0,107.0,169.0
1586,0.0,389.0,136.0,3.0,2.0,5.0,7.0,9.0,10.0,1.0,6.0,31.0,72.0,4.0,462.0,47.0,40.0,178.0,16.0,18.0,51.0,30.0,21.0,15.0,351.0,24.0,11.0,20.0,63.0,156.0
1635,1.0,2.0,15.0,0.0,6.0,3.0,66.0,55.0,26.0,17.0,4.0,14.0,146.0,40.0,57.0,35.0,11.0,46.0,12.0,28.0,42.0,323.0,124.0,60.0,48.0,21.0,10.0,30.0,5.0,36.0
1684,2.0,6.0,1.0,0.0,5.0,3.0,8.0,80.0,17.0,53.0,9.0,19.0,56.0,26.0,7.0,44.0,14.0,78.0,52.0,101.0,66.0,58.0,282.0,20.0,57.0,30.0,67.0,113.0,4.0,23.0
1733,1.0,50.0,32.0,0.0,3.0,12.0,37.0,7.0,20.0,21.0,55.0,155.0,48.0,2.0,367.0,221.0,70.0,60.0,108.0,47.0,25.0,531.0,333.0,6.0,265.0,46.0,8.0,86.0,17.0,268.0
1782,1.0,3.0,5.0,0.0,4.0,7.0,15.0,52.0,6.0,2.0,16.0,145.0,27.0,11.0,186.0,60.0,26.0,125.0,98.0,164.0,32.0,348.0,86.0,17.0,55.0,22.0,207.0,513.0,9.0,48.0
1831,9.0,3.0,2.0,0.0,1.0,5.0,11.0,7.0,66.0,33.0,143.0,58.0,4.0,64.0,13.0,57.0,191.0,77.0,52.0,130.0,14.0,107.0,106.0,96.0,37.0,145.0,17.0,76.0,10.0,162.0
1880,0.0,2.0,30.0,1.0,9.0,4.0,17.0,29.0,25.0,10.0,6.0,217.0,195.0,14.0,28.0,54.0,148.0,169.0,153.0,33.0,66.0,224.0,406.0,184.0,216.0,13.0,127.0,20.0,5.0,308.0
