,ZNF490_DEL,MTAP_DEL,GLI3_MUT,DEFB109P1_DEL,PRAMEF2_DEL,AXDND1_AMP,FLT3_MUT,JAK2_AMP,NRAS_MUT,DACH2_DEL,DPP6_DEL,APBA1_AMP,CERS6_DEL,ZMAT4_DEL,AFF2_DEL,C9orf53_DEL,ADARB2_DEL,GLIS3_DEL,FGF1_AMP,LOC729737_DEL,C1orf227_DEL,ETS1_DEL,PRKCE_DEL,LRRC37A_AMP,PLD1_MUT,INSRR_MUT,ZDHHC11_DEL,CDKN2B_DEL,RGL2_MUT,LCE1E_DEL
3801,192.0,2769.0,142.0,1846.0,1093.0,537.0,16644.0,15059.0,48.0,845.0,748.0,749.0,7153.0,181.0,103.0,37.0,21127.0,2602.0,2623.0,53.0,5737.0,2.0,164.0,19658.0,16492.0,16383.0,1235.0,8.0,16923.0,938.0
3850,2.0,49.0,1116.0,4903.0,1.0,18275.0,7.0,6.0,0.0,20520.0,526.0,11.0,5276.0,7339.0,42.0,20.0,661.0,3.0,5.0,8262.0,3451.0,2702.0,12441.0,19691.0,16709.0,811.0,7325.0,9.0,16908.0,146.0
3899,8.0,27.0,2094.0,228.0,11892.0,18.0,16613.0,575.0,0.0,20541.0,2627.0,1257.0,741.0,151.0,17.0,31.0,13.0,3.0,425.0,337.0,5499.0,411.0,12292.0,60.0,392.0,1555.0,1088.0,204.0,16943.0,1192.0
3948,185.0,1536.0,89.0,7036.0,119.0,18299.0,351.0,401.0,16551.0,20593.0,1.0,13343.0,325.0,17.0,575.0,2374.0,328.0,5749.0,13633.0,9156.0,883.0,63.0,2258.0,0.0,16749.0,196.0,621.0,26.0,744.0,5036.0
3997,117.0,10974.0,1982.0,874.0,471.0,18192.0,9.0,14991.0,17.0,543.0,39.0,13317.0,19.0,727.0,149.0,2303.0,209.0,6756.0,13882.0,8389.0,151.0,1022.0,518.0,1163.0,148.0,16440.0,7348.0,458.0,17002.0,883.0
4046,1618.0,881.0,45.0,152.0,267.0,17.0,148.0,1153.0,273.0,11.0,1399.0,1871.0,414.0,6.0,0.0,10304.0,286.0,523.0,185.0,748.0,5820.0,5167.0,34.0,19709.0,16486.0,43.0,110.0,54.0,983.0,31.0
4095,28.0,397.0,133.0,1705.0,738.0,18184.0,8.0,664.0,35.0,893.0,411.0,13366.0,1884.0,731.0,47.0,12.0,20991.0,1460.0,10.0,322.0,87.0,26.0,12388.0,732.0,509.0,654.0,786.0,1260.0,17001.0,135.0
4144,116.0,1311.0,0.0,54.0,11995.0,711.0,1.0,357.0,18958.0,1040.0,111.0,13142.0,46.0,12.0,1889.0,11474.0,36.0,6254.0,134.0,114.0,3237.0,5206.0,1401.0,154.0,5.0,5311.0,598.0,21177.0,1088.0,15.0
4193,0.0,1079.0,58.0,1146.0,37.0,18174.0,1175.0,15013.0,48.0,744.0,1914.0,23.0,241.0,87.0,95.0,12.0,395.0,4727.0,6.0,83.0,6011.0,2.0,49.0,1494.0,16489.0,1263.0,9749.0,220.0,925.0,1139.0
4242,6.0,126.0,1334.0,29.0,43.0,332.0,16656.0,0.0,72.0,236.0,1483.0,4.0,5.0,625.0,51.0,2793.0,21112.0,5746.0,2.0,8353.0,329.0,54.0,722.0,19683.0,66.0,16402.0,265.0,882.0,804.0,4308.0
