,DOCK1,WWTR1,LTBP2,NTN4,HRCT1,SLC4A3,AFAP1L1,SHISA4,NHS,ATAD5,PPIC,CYP26B1,PDLIM7,RGS20,ACSS1,UBTD1,SDC3,HSPG2,FASTKD1,GPR176,CTSL,BAIAP2,SLC25A19,FSTL3,STC1,C17orf62,BAG3,FAM127C,MET,RP11-244K5.8
3490,1.0,3.0,2.0,12.0,13.0,14.0,30.0,145.0,44.0,22.0,26.0,29.0,0.0,67.0,7.0,1664.0,72.0,224.0,31.0,27.0,9.0,48.0,36.0,154.0,15.0,42.0,41.0,10.0,63.0,47.0
3539,56.0,35.0,6.0,1.0,4.0,21.0,53.0,9.0,37.0,22.0,23.0,196.0,0.0,19071.0,7128.0,8.0,16340.0,20.0,17.0,5.0,45.0,71.0,10.0,57.0,40.0,11782.0,12.0,24.0,3.0,311.0
3588,3.0,4.0,27.0,2.0,10.0,51.0,30.0,9.0,9392.0,13.0,24.0,1.0,0.0,53.0,7141.0,19915.0,23.0,40.0,31.0,45.0,60.0,57.0,41.0,78.0,5.0,32.0,19755.0,107.0,8.0,95.0
3637,4.0,5.0,40.0,2.0,13.0,6.0,20.0,105.0,22.0,9662.0,7.0,0.0,28.0,1.0,14.0,19924.0,47.0,34.0,56.0,42.0,36.0,11831.0,44.0,160.0,10.0,45.0,15.0,25.0,16.0,8.0
3686,2.0,4.0,1.0,8.0,14.0,5.0,27.0,17326.0,23.0,9770.0,25.0,9.0,20648.0,35.0,7156.0,19911.0,64.0,24.0,38.0,26.0,68.0,32.0,46.0,11179.0,11.0,41.0,449.0,85.0,12.0,21.0
3735,39.0,2.0,20.0,3.0,8.0,10.0,22.0,122.0,19.0,9653.0,6.0,4.0,1.0,46.0,24.0,19909.0,53.0,15973.0,13.0,16.0,31.0,696.0,29.0,27.0,28.0,25.0,0.0,76.0,38.0,32.0
3784,1.0,5.0,6.0,0.0,3.0,25.0,61.0,13.0,27.0,30.0,9.0,4.0,14743.0,22417.0,32.0,20516.0,98.0,58.0,40.0,38.0,68.0,10819.0,44.0,8.0,202.0,39.0,2.0,50.0,15.0,11.0
3833,3.0,0.0,5.0,7.0,23.0,22.0,14.0,10.0,31.0,35.0,37.0,258.0,1.0,4.0,15.0,20.0,83.0,13.0,27.0,25.0,30.0,11746.0,48.0,9.0,268.0,11.0,17.0,18.0,32.0,38.0
3882,10.0,60.0,31.0,14.0,19.0,33.0,23.0,17294.0,4.0,9633.0,26.0,5.0,3.0,0.0,21.0,19909.0,93.0,13.0,61.0,16.0,11.0,11765.0,35.0,2.0,28.0,30.0,37.0,40.0,15.0,9.0
3931,9.0,8.0,21.0,0.0,25.0,17.0,4.0,7.0,18.0,32.0,22.0,38.0,20702.0,34.0,26.0,19.0,31.0,6.0,35.0,3687.0,39.0,42.0,69.0,5.0,2.0,65.0,61.0,8890.0,1567.0,23130.0
