,IFI27,ENPP1,RP11-902B17.1,FAM189B,DSC2,LAMA5,ALS2CL,PKNOX2,SLC2A1,JUP,CEP170P1,LINC00473,AP003068.18,RRAGD,GREB1,RP11-554I8.2,FAM219A,AC021188.4,SEMA4B,TBC1D2,CCDC23,IRF4,AC002128.5,KRT17P3,ABCA12,HLA-V,HCFC2,PLEKHG5,PCDH9,RP11-44F14.2
1677,0.0,1.0,13.0,5.0,10.0,192.0,14.0,6.0,330.0,40.0,20.0,8.0,9.0,137.0,12.0,29.0,18627.0,16.0,132.0,75.0,262.0,20730.0,9524.0,32.0,154.0,25.0,3.0,16248.0,80.0,288.0
1726,9.0,4.0,19.0,13.0,6.0,14.0,26.0,5.0,22.0,135.0,81.0,609.0,1440.0,22732.0,234.0,65.0,675.0,48.0,3935.0,172.0,160.0,82.0,52.0,124.0,457.0,588.0,7.0,16233.0,18.0,10549.0
1775,0.0,3.0,1.0,7.0,5.0,2.0,20.0,16.0,8.0,44.0,89.0,144.0,350.0,192.0,17.0,48.0,18622.0,70.0,4.0,99.0,27.0,20730.0,361.0,9985.0,13863.0,9.0,343.0,148.0,131.0,206.0
1824,0.0,3.0,16.0,1.0,6.0,10.0,25.0,40.0,119.0,69.0,13979.0,7.0,306.0,22786.0,129.0,19.0,18558.0,50.0,4738.0,44.0,83.0,322.0,11608.0,634.0,13851.0,244.0,75.0,267.0,5.0,10542.0
1873,6.0,8.0,10.0,0.0,92.0,12.0,1.0,46.0,23.0,9.0,65.0,41.0,22.0,131.0,15.0,288.0,18601.0,100.0,3745.0,70.0,155.0,11.0,8041.0,192.0,13814.0,146.0,7.0,290.0,326.0,371.0
1922,12.0,0.0,11.0,19.0,97.0,367.0,41.0,26.0,1.0,148.0,6.0,2.0,33.0,94.0,14.0,76.0,18565.0,17096.0,95.0,52.0,96.0,81.0,8018.0,470.0,239.0,554.0,38.0,16240.0,6373.0,10564.0
1971,0.0,26.0,143.0,6.0,101.0,82.0,24.0,2.0,5.0,10476.0,80.0,137.0,215.0,12.0,92.0,115.0,61.0,144.0,221.0,20189.0,207.0,164.0,11602.0,163.0,22.0,563.0,7086.0,16240.0,5945.0,946.0
2020,0.0,35.0,131.0,6.0,8.0,13.0,50.0,304.0,14.0,2.0,62.0,68.0,1162.0,12.0,9.0,89.0,18.0,154.0,32.0,136.0,276.0,121.0,127.0,2458.0,1.0,277.0,4880.0,16257.0,54.0,105.0
2069,54.0,117.0,15.0,0.0,12299.0,196.0,150.0,127.0,1.0,451.0,14001.0,8.0,1542.0,51.0,301.0,268.0,80.0,174.0,13.0,20250.0,2.0,258.0,11635.0,277.0,13874.0,975.0,631.0,16281.0,3.0,10586.0
2118,8.0,177.0,107.0,2.0,6.0,186.0,26.0,192.0,0.0,179.0,35.0,17.0,1.0,106.0,14.0,34.0,245.0,108.0,12.0,20200.0,96.0,209.0,8026.0,9988.0,39.0,20.0,256.0,16257.0,290.0,10545.0
2167,2.0,42.0,7.0,1.0,5.0,54.0,26.0,49.0,3.0,463.0,106.0,69.0,6137.0,50.0,6.0,80.0,124.0,133.0,4.0,20190.0,16258.0,168.0,2675.0,18.0,171.0,245.0,6876.0,9.0,22.0,66.0
2216,4.0,12.0,14.0,7.0,87.0,31.0,10.0,240.0,8.0,1.0,83.0,42.0,3239.0,15.0,11.0,20662.0,88.0,50.0,33.0,128.0,74.0,162.0,1533.0,3.0,995.0,150.0,5857.0,16256.0,24.0,10578.0
2265,4.0,111.0,3.0,49.0,138.0,7802.0,23.0,12.0,1.0,19.0,21.0,7.0,1273.0,60.0,82.0,6.0,112.0,213.0,27.0,122.0,16.0,70.0,11628.0,17.0,1086.0,21204.0,1429.0,16254.0,367.0,340.0
2314,2.0,6.0,8.0,3.0,131.0,11.0,54.0,23.0,7.0,156.0,56.0,0.0,15.0,9.0,1.0,20618.0,152.0,214.0,4740.0,340.0,148.0,20759.0,11638.0,72.0,12.0,299.0,359.0,16267.0,5.0,313.0
2363,12.0,0.0,6.0,2.0,13.0,14.0,7.0,3.0,4.0,10422.0,80.0,27.0,5818.0,63.0,25.0,35.0,18554.0,88.0,195.0,20251.0,16261.0,26.0,8039.0,5.0,28.0,208.0,7075.0,149.0,5949.0,229.0
