,MLIP_DEL,LOC348120_AMP,NF1P2_AMP,POTEB_AMP,NME7_DEL,HLA-DQB1_AMP,FHIT_DEL,KANSL1_AMP,BMPR2_AMP,KANSL1-AS1_AMP,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FAM35B_DEL,HLA-H_DEL,FFAR3_DEL,ADAM5_DEL,BAGE4_DEL,BAGE_DEL,C10orf11_DEL,BAGE3_DEL,BAGE2_DEL,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,LGALS9C_DEL,ANKRD36B_DEL,DST_MUT,PRSS2_DEL,LINC00202_DEL,PRSS3P2_DEL
4392,5.0,10.0,7.0,8.0,11.0,6.0,1.0,12.0,147.0,4.0,51.0,50.0,133.0,38.0,33.0,56.0,20.0,9.0,0.0,19.0,18.0,92.0,90.0,91.0,37.0,66.0,55.0,70.0,22.0,71.0
4441,37.0,1.0,3.0,4.0,26.0,72.0,0.0,17.0,13.0,25.0,22.0,23.0,27.0,53.0,337.0,149.0,162.0,339.0,56.0,160.0,161.0,24.0,20.0,21.0,29.0,8.0,28.0,108.0,46.0,107.0
4490,10.0,1.0,7.0,6.0,11.0,8.0,5.0,24.0,4.0,28.0,80.0,79.0,13.0,17.0,12.0,39.0,47.0,69.0,18.0,49.0,48.0,78.0,77.0,81.0,64.0,16.0,67.0,19.0,58.0,20.0
4539,4.0,9.0,26.0,27.0,0.0,73.0,15.0,65.0,7.0,55.0,16.0,19.0,5.0,54.0,1.0,93.0,41.0,32.0,28.0,42.0,43.0,20.0,18.0,17.0,39.0,2.0,71.0,300.0,34.0,299.0
4588,17.0,1.0,4.0,5.0,13.0,24.0,10.0,38.0,9.0,25.0,147.0,145.0,35.0,6.0,12.0,11.0,55.0,43.0,100.0,56.0,57.0,148.0,144.0,146.0,185.0,42.0,52.0,8.0,32.0,7.0
4637,2.0,5.0,4.0,3.0,97.0,7.0,33.0,25.0,21.0,27.0,55.0,53.0,72.0,12.0,264.0,62.0,16.0,26.0,0.0,17.0,18.0,52.0,51.0,54.0,81.0,177.0,14.0,169.0,78.0,170.0
4686,10.0,0.0,4.0,3.0,1.0,18.0,2.0,28.0,20.0,43.0,52.0,56.0,49.0,5.0,70.0,12.0,36.0,39.0,48.0,35.0,37.0,55.0,54.0,53.0,7479.0,22.0,41.0,284.0,40.0,283.0
4735,33.0,1.0,3.0,2.0,4.0,144.0,0.0,14.0,98.0,20.0,62.0,60.0,8.0,18.0,27.0,66.0,41.0,88.0,26.0,42.0,43.0,61.0,63.0,59.0,326.0,830.0,13.0,6.0,58.0,5.0
4784,34.0,2.0,20.0,21.0,1.0,67.0,0.0,12.0,32.0,7.0,40.0,42.0,49.0,5.0,27.0,23.0,10.0,3.0,65.0,9.0,11.0,41.0,43.0,39.0,132.0,47.0,97.0,15.0,29.0,16.0
4833,39.0,4.0,6.0,7.0,9.0,17.0,14.0,18.0,19.0,20.0,123.0,126.0,66.0,23.0,3.0,38.0,103.0,117.0,10.0,104.0,105.0,127.0,125.0,124.0,409.0,32.0,51.0,68.0,22.0,69.0
4882,3.0,1.0,7.0,6.0,2.0,21.0,29.0,101.0,18.0,117.0,32.0,31.0,67.0,0.0,37.0,23.0,51.0,79.0,5.0,50.0,49.0,35.0,33.0,34.0,1688.0,41.0,38.0,157.0,44.0,158.0
