,ZBTB20_AMP,NAALADL2_DEL,CDC73_AMP,GSTTP1_AMP,PCCB_DEL,BTNL3_DEL,KIR2DL4_AMP,NRXN1_DEL,SORD_AMP,MRGPRX1_DEL,ARHGAP22_DEL,GALNTL6_DEL,CES1P1_DEL,KIR3DL1_AMP,UBE2Q2P2_AMP,BTNL8_DEL,LPA_AMP,UBE2Q2P3_AMP,ADAM3A_AMP,XKR6_AMP,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,BCAS1_AMP,PCDHA5_DEL,PCDHA2_DEL,PCDHA1_DEL,PCDHA7_DEL,PCDHA4_DEL,PCDHA6_DEL
2921,1.0,0.0,5.0,14.0,11.0,10.0,2.0,19.0,9.0,58.0,6.0,12.0,7.0,8.0,41.0,23.0,3.0,42.0,18.0,65.0,43.0,44.0,45.0,17.0,31.0,29.0,30.0,25.0,27.0,26.0
2970,0.0,3.0,10.0,15.0,4.0,9.0,1.0,45.0,22.0,5.0,27.0,26.0,55.0,8.0,73.0,25.0,6.0,72.0,112.0,17.0,76.0,74.0,75.0,78.0,61.0,62.0,59.0,60.0,58.0,64.0
3019,3.0,15.0,14.0,8.0,4.0,28.0,2.0,22.0,0.0,92.0,1.0,1120.0,6.0,17.0,24.0,90.0,44.0,23.0,7.0,61.0,26.0,25.0,27.0,66.0,38.0,36.0,37.0,39.0,35.0,40.0
3068,3.0,7.0,12.0,20.0,5.0,18.0,1.0,15.0,224.0,31.0,17.0,50.0,6.0,2.0,79.0,73.0,0.0,78.0,62.0,27.0,80.0,81.0,82.0,166.0,35.0,38.0,39.0,44.0,40.0,42.0
3117,1.0,0.0,21.0,17.0,4.0,10.0,7.0,49.0,8.0,64.0,15.0,100.0,16.0,23.0,25.0,69.0,5.0,26.0,35.0,33.0,29.0,27.0,28.0,59.0,44.0,41.0,40.0,39.0,43.0,45.0
3166,0.0,36.0,30.0,6.0,5.0,21.0,18.0,8.0,15.0,7.0,2.0,15893.0,38.0,76.0,28.0,176.0,31.0,29.0,71.0,3.0,32.0,34.0,33.0,52.0,62.0,63.0,66.0,64.0,61.0,67.0
3215,0.0,5.0,2.0,11.0,1.0,217.0,3.0,8.0,15.0,17.0,4.0,1561.0,24.0,13.0,104.0,9870.0,6.0,105.0,49.0,10.0,107.0,109.0,108.0,39.0,30.0,35.0,34.0,33.0,32.0,31.0
3264,0.0,6.0,5.0,7.0,3.0,139.0,1.0,9.0,61.0,56.0,2.0,424.0,8.0,4.0,19.0,68.0,15.0,18.0,37.0,10.0,22.0,20.0,21.0,36.0,28.0,31.0,32.0,30.0,33.0,34.0
3313,7.0,13.0,2.0,24.0,0.0,149.0,1.0,22.0,48.0,31.0,23.0,1146.0,12.0,8.0,37.0,3000.0,5.0,36.0,52.0,10.0,39.0,38.0,40.0,194.0,14.0,20.0,15.0,17.0,19.0,18.0
3362,0.0,17.0,16.0,21.0,2.0,1.0,9.0,6.0,41.0,61.0,4.0,66.0,14.0,20.0,22.0,29.0,3.0,26.0,93.0,19.0,25.0,24.0,23.0,44.0,78.0,77.0,80.0,75.0,79.0,76.0
3411,4.0,10.0,0.0,236.0,1.0,3.0,11.0,7.0,14.0,100.0,27.0,24.0,25.0,44.0,315.0,13.0,64.0,316.0,6.0,17.0,318.0,319.0,317.0,190.0,74.0,72.0,71.0,76.0,77.0,75.0
3460,0.0,7.0,2.0,5.0,8.0,9.0,22.0,12.0,1.0,3.0,36.0,27.0,6.0,35.0,16.0,21.0,4.0,15.0,30.0,17.0,20.0,19.0,18.0,24.0,50.0,52.0,49.0,47.0,48.0,51.0
3509,0.0,6.0,1.0,3.0,5.0,16.0,4.0,102.0,11.0,26.0,142.0,298.0,30.0,10.0,15.0,24.0,2.0,14.0,27.0,25.0,17.0,19.0,18.0,8.0,40.0,44.0,45.0,39.0,42.0,41.0
3558,0.0,4.0,1.0,23.0,5.0,27.0,9.0,19.0,3.0,26.0,133.0,30.0,52.0,16.0,15.0,231.0,2.0,14.0,57.0,7.0,21.0,20.0,22.0,8.0,37.0,40.0,41.0,42.0,38.0,36.0
3607,0.0,4.0,1.0,6.0,2.0,10.0,7.0,11.0,5.0,12.0,87.0,9.0,42.0,13.0,60.0,25.0,8.0,59.0,19.0,3.0,66.0,65.0,67.0,15.0,96.0,94.0,93.0,97.0,100.0,99.0
3656,0.0,3.0,5.0,169.0,2.0,7.0,1.0,192.0,27.0,12.0,32.0,48.0,31.0,4.0,14.0,9.0,34.0,13.0,51.0,21.0,16.0,17.0,15.0,150.0,37.0,38.0,39.0,43.0,40.0,41.0
3705,0.0,4.0,1.0,6.0,9.0,3.0,7.0,36.0,2.0,8.0,71.0,19.0,5.0,18.0,30.0,11.0,37.0,31.0,15.0,14.0,34.0,33.0,35.0,13.0,63.0,66.0,64.0,65.0,67.0,68.0
