,LOC284344_DEL,CDRT7_DEL,ZNF18_DEL,MYH2_DEL,CDRT15P1_DEL,USP17L7_DEL,DEFB130_DEL,ZNF705G_AMP,PRODH_DEL,CDRT4_DEL,BMPR2_AMP,LINC00670_DEL,ZSWIM7_DEL,FAM66D_DEL,SIRPB1_AMP,DNAH9_DEL,MYH8_DEL,CDKN2B_DEL,LOC727677_AMP,ACOT11_DEL,MAP2K4_DEL,TBC1D26_DEL,USP17L2_DEL,ARHGAP44_DEL,KDM5A_MUT,LOC100133267_DEL,KLHL38_AMP,DENND5B_AMP,PSG4_DEL,DNM1L_AMP
1743,391.0,18.0,304.0,3.0,4.0,210.0,486.0,52.0,637.0,2.0,628.0,15.0,26.0,18506.0,1171.0,135.0,11055.0,532.0,45.0,205.0,1.0,47.0,4404.0,7.0,16976.0,1011.0,15156.0,17734.0,12183.0,16223.0
1792,19.0,197.0,7457.0,6.0,49.0,21.0,1.0,25.0,290.0,2.0,7.0,6341.0,122.0,1368.0,42.0,26.0,11060.0,242.0,24131.0,922.0,1118.0,14.0,4485.0,10.0,16979.0,59.0,15199.0,2449.0,426.0,375.0
1841,179.0,10.0,8398.0,74.0,84.0,3767.0,257.0,66.0,154.0,110.0,5.0,225.0,20355.0,18502.0,139.0,4506.0,11046.0,21040.0,24132.0,6160.0,46.0,158.0,3631.0,9126.0,107.0,193.0,180.0,17648.0,1134.0,16214.0
1890,2572.0,426.0,8371.0,91.0,9173.0,3378.0,130.0,366.0,98.0,218.0,23771.0,6186.0,20361.0,18564.0,37.0,4437.0,442.0,21020.0,24108.0,199.0,45.0,3794.0,240.0,9134.0,32.0,18510.0,212.0,17753.0,2142.0,16244.0
1939,64.0,9141.0,863.0,187.0,9140.0,751.0,0.0,40.0,69.0,420.0,622.0,6288.0,57.0,12.0,535.0,1026.0,11052.0,21027.0,620.0,5227.0,7.0,2970.0,9.0,9061.0,75.0,90.0,15154.0,17627.0,367.0,389.0
1988,41.0,899.0,63.0,10835.0,232.0,3729.0,31.0,172.0,2098.0,2149.0,21.0,33.0,86.0,8.0,95.0,1099.0,157.0,5.0,60.0,780.0,30.0,319.0,19.0,4767.0,500.0,51.0,194.0,1004.0,6.0,16228.0
2037,1889.0,7.0,0.0,247.0,480.0,4807.0,647.0,94.0,2.0,6234.0,5.0,8.0,69.0,1030.0,586.0,3.0,11031.0,114.0,798.0,543.0,42.0,111.0,9.0,244.0,16974.0,340.0,151.0,100.0,1897.0,16205.0
2086,79.0,147.0,236.0,8.0,142.0,3396.0,7065.0,2405.0,18.0,6246.0,125.0,74.0,282.0,93.0,287.0,788.0,1908.0,14.0,24132.0,24.0,890.0,3864.0,10.0,791.0,16994.0,18542.0,178.0,0.0,2142.0,22.0
2135,8.0,157.0,221.0,12.0,116.0,2614.0,1330.0,126.0,902.0,108.0,0.0,57.0,2006.0,5.0,1140.0,4881.0,249.0,44.0,209.0,544.0,9.0,2894.0,16.0,9123.0,16994.0,794.0,1299.0,689.0,2666.0,37.0
2184,2285.0,489.0,2.0,664.0,9139.0,207.0,8.0,648.0,100.0,6309.0,1.0,75.0,20369.0,26.0,424.0,4579.0,11001.0,1429.0,24061.0,2656.0,11559.0,3555.0,7.0,114.0,16971.0,539.0,252.0,17625.0,2321.0,89.0
2233,0.0,2.0,257.0,644.0,288.0,74.0,483.0,771.0,3.0,7061.0,217.0,7.0,20413.0,27.0,5.0,220.0,11079.0,78.0,33.0,243.0,11514.0,2965.0,4.0,700.0,159.0,50.0,69.0,1.0,46.0,332.0
2282,73.0,53.0,8379.0,263.0,480.0,23.0,105.0,1044.0,2.0,6194.0,21.0,6195.0,20423.0,4.0,70.0,4466.0,258.0,21013.0,277.0,653.0,175.0,4327.0,0.0,9118.0,1787.0,2644.0,45.0,9.0,77.0,16275.0
2331,1192.0,16.0,174.0,10942.0,4396.0,427.0,299.0,499.0,17.0,60.0,23.0,177.0,20352.0,485.0,16127.0,0.0,614.0,106.0,5.0,164.0,2253.0,520.0,55.0,530.0,104.0,117.0,222.0,17627.0,49.0,111.0
2380,49.0,58.0,1605.0,1279.0,1172.0,235.0,7132.0,171.0,3.0,153.0,1162.0,4.0,20370.0,60.0,2631.0,240.0,11052.0,2642.0,24049.0,2.0,446.0,29.0,648.0,876.0,160.0,18630.0,20.0,269.0,12292.0,202.0
2429,0.0,9169.0,270.0,11054.0,221.0,15.0,1438.0,1222.0,151.0,6945.0,2324.0,222.0,20355.0,4.0,94.0,248.0,524.0,35.0,1965.0,5074.0,280.0,2918.0,25.0,1117.0,9.0,70.0,56.0,1.0,6.0,178.0
2478,227.0,64.0,3.0,33.0,120.0,4813.0,38.0,83.0,32.0,7075.0,7.0,7070.0,20433.0,241.0,11.0,49.0,16.0,6.0,24094.0,22.0,115.0,2839.0,610.0,9155.0,265.0,430.0,15172.0,46.0,2660.0,16224.0
2527,52.0,42.0,55.0,11025.0,192.0,40.0,6966.0,15868.0,1006.0,6225.0,23484.0,6226.0,885.0,12.0,7.0,2512.0,697.0,20965.0,80.0,770.0,1450.0,4100.0,3464.0,75.0,247.0,18626.0,370.0,68.0,303.0,431.0
2576,9.0,119.0,2.0,10955.0,9162.0,4.0,6.0,2232.0,12500.0,35.0,3.0,6372.0,199.0,18566.0,342.0,14.0,10951.0,126.0,58.0,237.0,7.0,20.0,1295.0,51.0,403.0,25.0,116.0,10.0,12508.0,234.0
2625,21.0,12.0,7456.0,501.0,274.0,1948.0,14.0,15925.0,12411.0,58.0,23713.0,164.0,20347.0,2.0,18024.0,94.0,11069.0,1.0,24117.0,109.0,30.0,3939.0,4423.0,1931.0,209.0,1925.0,15281.0,166.0,143.0,5.0
2674,73.0,0.0,20.0,47.0,625.0,14.0,23.0,4.0,824.0,22.0,237.0,6243.0,35.0,18621.0,10.0,6.0,11019.0,347.0,63.0,5214.0,151.0,221.0,120.0,9046.0,16886.0,97.0,683.0,2.0,158.0,5.0
2723,5.0,0.0,24.0,264.0,9117.0,302.0,420.0,15874.0,34.0,74.0,23478.0,241.0,2219.0,827.0,607.0,5840.0,10960.0,97.0,24080.0,967.0,189.0,4226.0,752.0,9081.0,2556.0,3.0,15273.0,2007.0,12171.0,43.0
2772,2285.0,133.0,33.0,10994.0,46.0,4717.0,30.0,1930.0,79.0,8.0,23488.0,6925.0,40.0,18555.0,53.0,6424.0,10990.0,481.0,1192.0,5376.0,11404.0,2597.0,2927.0,9065.0,16876.0,24.0,39.0,245.0,1054.0,93.0
2821,97.0,3.0,7414.0,30.0,102.0,154.0,259.0,49.0,12404.0,0.0,478.0,85.0,12.0,25.0,18018.0,95.0,5.0,6.0,24050.0,1093.0,875.0,3944.0,4419.0,9095.0,455.0,118.0,20.0,9.0,58.0,1.0
2870,0.0,19.0,106.0,3601.0,187.0,2.0,65.0,99.0,83.0,13.0,21693.0,6913.0,40.0,19865.0,764.0,5168.0,93.0,20994.0,27.0,1170.0,48.0,206.0,3.0,9527.0,17.0,84.0,1211.0,157.0,57.0,77.0
2919,490.0,9128.0,883.0,99.0,135.0,119.0,33.0,15832.0,54.0,1.0,18.0,6288.0,2.0,9.0,18013.0,20.0,86.0,24.0,426.0,94.0,120.0,1077.0,3581.0,19.0,596.0,370.0,15250.0,26.0,12179.0,16326.0
2968,0.0,42.0,172.0,11054.0,4.0,2.0,707.0,18.0,12488.0,24.0,23696.0,6254.0,20358.0,6.0,93.0,5197.0,11051.0,1.0,24121.0,28.0,44.0,191.0,30.0,103.0,1553.0,12.0,274.0,17641.0,5.0,335.0
3017,0.0,9130.0,8331.0,10927.0,49.0,68.0,337.0,88.0,33.0,390.0,35.0,31.0,20339.0,18495.0,16126.0,18.0,8.0,40.0,24116.0,257.0,11481.0,571.0,1227.0,145.0,1839.0,2535.0,15137.0,38.0,21.0,114.0
3066,1.0,9743.0,5.0,635.0,7.0,50.0,7272.0,11.0,1098.0,381.0,22468.0,27.0,20086.0,19523.0,10.0,6284.0,283.0,38.0,59.0,67.0,30.0,3580.0,2605.0,2027.0,126.0,290.0,14176.0,18.0,0.0,268.0
3115,889.0,53.0,0.0,8.0,5.0,18.0,1125.0,16587.0,29.0,65.0,21788.0,238.0,209.0,331.0,2266.0,4628.0,4.0,288.0,334.0,146.0,11813.0,266.0,295.0,118.0,1240.0,111.0,511.0,17327.0,2383.0,16888.0
3164,4.0,82.0,20.0,115.0,12.0,53.0,161.0,951.0,92.0,1314.0,217.0,172.0,279.0,2594.0,1356.0,118.0,77.0,67.0,23632.0,283.0,218.0,2915.0,4395.0,145.0,415.0,7.0,336.0,226.0,121.0,43.0
3213,391.0,9134.0,32.0,48.0,4.0,65.0,30.0,10.0,70.0,259.0,138.0,222.0,20357.0,15.0,1376.0,630.0,11.0,42.0,24090.0,304.0,11441.0,125.0,17.0,2.0,109.0,530.0,122.0,5.0,35.0,106.0
3262,24.0,250.0,16.0,3997.0,81.0,2.0,7342.0,28.0,198.0,6442.0,88.0,247.0,20607.0,9.0,25.0,5013.0,41.0,17.0,709.0,132.0,11830.0,268.0,66.0,9364.0,5256.0,397.0,13222.0,385.0,53.0,461.0
3311,3351.0,10915.0,30.0,868.0,0.0,136.0,104.0,142.0,10.0,3161.0,23733.0,108.0,113.0,342.0,97.0,4775.0,10874.0,133.0,24060.0,39.0,100.0,4563.0,289.0,4988.0,27.0,2632.0,15157.0,1462.0,2606.0,1232.0
3360,50.0,139.0,3.0,11.0,64.0,1826.0,65.0,35.0,2.0,62.0,582.0,1.0,88.0,52.0,844.0,10.0,8.0,197.0,21741.0,153.0,5.0,9.0,295.0,9764.0,830.0,563.0,106.0,298.0,111.0,19344.0
3409,0.0,1282.0,79.0,10998.0,46.0,26.0,2.0,366.0,73.0,3283.0,21831.0,6.0,68.0,863.0,715.0,272.0,3.0,44.0,23470.0,556.0,10.0,224.0,70.0,6045.0,701.0,385.0,13512.0,47.0,67.0,16810.0
3458,0.0,102.0,35.0,115.0,3.0,4355.0,7126.0,499.0,38.0,6962.0,14.0,1155.0,20131.0,72.0,30.0,189.0,5.0,21034.0,6.0,2498.0,12861.0,2741.0,1422.0,404.0,83.0,917.0,1.0,29.0,182.0,174.0
3507,3.0,2.0,26.0,279.0,0.0,468.0,896.0,1040.0,128.0,6168.0,49.0,6169.0,259.0,18568.0,42.0,217.0,4.0,81.0,1.0,38.0,11475.0,4408.0,287.0,79.0,99.0,2526.0,93.0,139.0,12326.0,27.0
3556,0.0,59.0,44.0,36.0,3.0,30.0,6300.0,93.0,164.0,543.0,1.0,73.0,20362.0,160.0,108.0,229.0,169.0,2495.0,10.0,6592.0,458.0,208.0,4.0,1541.0,107.0,366.0,5.0,33.0,2232.0,18.0
3605,442.0,6.0,9.0,0.0,162.0,3601.0,201.0,235.0,19.0,134.0,56.0,192.0,11.0,1478.0,324.0,4.0,317.0,720.0,297.0,1265.0,245.0,4382.0,3430.0,119.0,736.0,18501.0,1193.0,283.0,776.0,16243.0
3654,424.0,3.0,8.0,1.0,388.0,282.0,2560.0,36.0,10.0,6072.0,103.0,6073.0,13.0,1066.0,43.0,5116.0,6.0,2182.0,209.0,6778.0,189.0,198.0,207.0,1879.0,40.0,18527.0,15157.0,82.0,410.0,2289.0
3703,0.0,22.0,21.0,74.0,890.0,108.0,37.0,317.0,797.0,56.0,30.0,41.0,29.0,1271.0,43.0,127.0,20.0,341.0,268.0,42.0,2546.0,13.0,48.0,10.0,16949.0,76.0,15125.0,764.0,556.0,107.0
3752,20.0,220.0,16.0,124.0,213.0,21.0,857.0,0.0,912.0,197.0,496.0,7.0,1823.0,73.0,320.0,198.0,5.0,581.0,94.0,6036.0,11.0,3574.0,22.0,9101.0,16963.0,485.0,15167.0,1371.0,308.0,657.0
3801,114.0,1.0,27.0,11014.0,119.0,3.0,2417.0,10.0,248.0,191.0,85.0,5.0,45.0,147.0,467.0,1958.0,47.0,21024.0,7.0,60.0,124.0,2662.0,138.0,9085.0,86.0,11.0,809.0,421.0,113.0,289.0
3850,6407.0,11.0,174.0,11038.0,667.0,9.0,48.0,43.0,44.0,86.0,4.0,0.0,222.0,2.0,42.0,79.0,87.0,375.0,24.0,6680.0,1049.0,846.0,14.0,9037.0,16964.0,18605.0,15137.0,132.0,404.0,45.0
3899,2.0,261.0,186.0,11056.0,1244.0,48.0,87.0,1912.0,57.0,6449.0,563.0,7.0,167.0,0.0,260.0,65.0,289.0,175.0,9.0,930.0,11504.0,1665.0,500.0,396.0,380.0,18623.0,44.0,17621.0,34.0,377.0
3948,339.0,796.0,8329.0,80.0,615.0,26.0,6001.0,568.0,59.0,6925.0,273.0,12.0,20370.0,16.0,43.0,6088.0,246.0,95.0,30.0,0.0,11423.0,1331.0,55.0,1405.0,227.0,18504.0,25.0,1030.0,1388.0,16214.0
3997,2603.0,9156.0,127.0,56.0,31.0,96.0,17.0,2569.0,12449.0,220.0,23488.0,0.0,20413.0,15.0,1.0,252.0,4.0,202.0,24.0,272.0,22.0,3017.0,645.0,185.0,50.0,309.0,97.0,114.0,28.0,16268.0
4046,2559.0,70.0,8315.0,899.0,9112.0,4.0,7102.0,135.0,904.0,118.0,23719.0,5.0,1275.0,28.0,0.0,4521.0,414.0,8.0,259.0,1224.0,720.0,3776.0,10.0,518.0,77.0,112.0,61.0,17617.0,12399.0,16247.0
4095,1289.0,122.0,660.0,60.0,65.0,566.0,2613.0,5.0,8.0,25.0,2684.0,0.0,20343.0,18524.0,9.0,4767.0,77.0,1900.0,102.0,899.0,37.0,1053.0,4455.0,2.0,43.0,18515.0,941.0,17642.0,1013.0,16267.0
4144,277.0,9183.0,1983.0,47.0,1276.0,4845.0,51.0,1.0,1767.0,19.0,84.0,0.0,20359.0,18615.0,6.0,7175.0,22.0,225.0,536.0,275.0,2548.0,3074.0,3.0,198.0,1193.0,223.0,15115.0,1349.0,2670.0,17.0
4193,14.0,220.0,7389.0,72.0,473.0,67.0,698.0,293.0,7.0,6261.0,1144.0,6252.0,4042.0,49.0,0.0,1.0,29.0,2604.0,612.0,56.0,5.0,2632.0,2867.0,41.0,898.0,2500.0,859.0,17605.0,510.0,633.0
4242,98.0,868.0,38.0,13.0,9111.0,298.0,583.0,56.0,204.0,8.0,23603.0,165.0,338.0,674.0,0.0,28.0,79.0,58.0,709.0,95.0,244.0,70.0,3385.0,143.0,853.0,384.0,15249.0,290.0,87.0,309.0
4291,1791.0,36.0,62.0,166.0,155.0,1419.0,445.0,15875.0,32.0,23.0,95.0,6330.0,20356.0,9.0,506.0,0.0,82.0,361.0,67.0,44.0,6.0,109.0,4419.0,18.0,462.0,1852.0,642.0,17675.0,450.0,5.0
4340,18.0,90.0,19.0,14.0,9121.0,138.0,1694.0,2.0,9.0,300.0,200.0,249.0,164.0,36.0,1.0,0.0,11035.0,232.0,286.0,4.0,356.0,106.0,771.0,5.0,100.0,18602.0,462.0,33.0,646.0,67.0
4389,30.0,9632.0,50.0,45.0,23.0,36.0,357.0,9.0,5.0,224.0,21592.0,3.0,114.0,524.0,1.0,2.0,142.0,374.0,419.0,676.0,364.0,123.0,111.0,194.0,4173.0,1410.0,13972.0,16520.0,392.0,21.0
4438,28.0,501.0,12.0,3416.0,0.0,3553.0,58.0,16083.0,4.0,3.0,33.0,6360.0,237.0,913.0,106.0,4689.0,9.0,6.0,1.0,267.0,34.0,132.0,4356.0,1019.0,790.0,18762.0,182.0,39.0,12491.0,17047.0
4487,760.0,9095.0,26.0,11.0,0.0,4480.0,114.0,1876.0,6.0,25.0,10.0,5947.0,16.0,20.0,13.0,4827.0,17.0,2203.0,2.0,2292.0,345.0,2921.0,4398.0,208.0,16950.0,18625.0,15250.0,1.0,12150.0,160.0
4536,99.0,0.0,7327.0,10921.0,9.0,350.0,4.0,152.0,2280.0,8.0,3.0,6162.0,50.0,48.0,10.0,4439.0,17.0,2.0,123.0,1168.0,62.0,124.0,281.0,11.0,16925.0,167.0,51.0,1.0,12122.0,457.0
4585,114.0,1.0,19.0,10981.0,9150.0,32.0,111.0,67.0,12412.0,90.0,31.0,9.0,18.0,40.0,84.0,10.0,13.0,338.0,5.0,6150.0,36.0,63.0,4392.0,775.0,14.0,101.0,41.0,3.0,12150.0,16184.0
4634,10.0,66.0,8307.0,500.0,38.0,29.0,0.0,265.0,144.0,6231.0,11.0,150.0,519.0,14.0,225.0,19.0,57.0,20981.0,98.0,6027.0,337.0,50.0,1676.0,9022.0,487.0,278.0,15131.0,22.0,1116.0,269.0
4683,253.0,51.0,9098.0,11291.0,1.0,671.0,6363.0,41.0,12023.0,3420.0,0.0,79.0,187.0,2497.0,90.0,3.0,335.0,66.0,36.0,32.0,1606.0,4641.0,965.0,1852.0,343.0,2517.0,15219.0,30.0,2461.0,62.0
