,EP300_MUT,ADAM5_DEL,ADAM3A_DEL,OR2T11_AMP,HERC2P2_AMP,ADCY8_DEL,ZNF438_DEL,C10orf11_DEL,SLC25A37_AMP,LPA_AMP,PSG4_DEL,OR51A4_DEL,LINC00202_AMP,SLC7A5P2_DEL,MCEE_AMP,SLC44A5_DEL,KALRN_MUT,LOC284344_DEL,FAM190A_DEL,LCE3C_DEL,SIRPB1_AMP,LOC390705_DEL,NBEAP1_AMP,NPIPL3_DEL,LOC100190986_DEL,FBXL7_DEL,RBFOX1_DEL,HLA-H_DEL,TOP2B_MUT,NME7_DEL
1107,0.0,1.0,2.0,16.0,7.0,4.0,11.0,72.0,5.0,37.0,94.0,13.0,6.0,26.0,41.0,27.0,10.0,66.0,55.0,110.0,12.0,23.0,19.0,34.0,33.0,24.0,8.0,157.0,44.0,91.0
1156,2.0,0.0,1.0,51.0,4.0,10.0,6.0,19.0,9.0,7.0,24.0,16.0,8.0,22.0,13.0,18.0,47.0,29.0,61.0,97.0,60.0,14.0,11.0,36.0,35.0,28.0,26.0,73.0,37.0,38.0
1205,0.0,1.0,2.0,28.0,3.0,5.0,4.0,41.0,14.0,52.0,99.0,23.0,9.0,22.0,25.0,7.0,10.0,100.0,62.0,13.0,3302.0,11.0,54.0,26.0,27.0,17.0,18.0,12.0,34.0,43.0
1254,1.0,0.0,2.0,6.0,4.0,18.0,7.0,46.0,8.0,26.0,96.0,17.0,21.0,69.0,27.0,5.0,29.0,101.0,31.0,438.0,86.0,53.0,13.0,71.0,72.0,19.0,54.0,3.0,40.0,57.0
1303,1.0,0.0,2.0,4.0,8.0,72.0,3.0,53.0,49.0,39.0,15.0,16.0,20.0,32.0,35.0,7.0,10.0,37.0,11.0,56.0,197.0,13.0,40.0,23.0,22.0,12.0,6.0,24.0,79.0,234.0
1352,0.0,1.0,2.0,30.0,4.0,8.0,3.0,39.0,35.0,34.0,33.0,9.0,10.0,15.0,16.0,20.0,7.0,38.0,59.0,73.0,4827.0,17.0,27.0,23.0,22.0,62.0,12.0,21.0,37.0,5.0
1401,2.0,0.0,1.0,25.0,3.0,12.0,4.0,49.0,8.0,7.0,99.0,14.0,6.0,15.0,5.0,36.0,9.0,76.0,17.0,70.0,367.0,10.0,16.0,30.0,31.0,22.0,11.0,39.0,47.0,24.0
1450,0.0,1.0,2.0,53.0,13.0,5.0,3.0,101.0,12.0,7.0,125.0,9.0,11.0,20.0,18.0,6.0,30.0,152.0,19.0,31.0,207.0,21.0,17.0,33.0,34.0,39.0,70.0,107.0,75.0,58.0
1499,0.0,1.0,2.0,6.0,3.0,11.0,17.0,12.0,7.0,16.0,8.0,22.0,40.0,26.0,4.0,110.0,10.0,13.0,19.0,52.0,924.0,23.0,43.0,45.0,46.0,64.0,95.0,5.0,25.0,49.0
1548,3.0,0.0,1.0,11.0,2.0,7.0,41.0,23.0,9.0,17.0,18.0,4.0,70.0,25.0,12.0,43.0,24.0,16.0,5.0,6.0,14.0,65.0,10.0,38.0,39.0,63.0,36.0,13.0,142.0,499.0
1597,2.0,0.0,1.0,18.0,4.0,10.0,63.0,3.0,15.0,39.0,7.0,14.0,91.0,49.0,13.0,74.0,27.0,11.0,8.0,9.0,45.0,69.0,28.0,89.0,90.0,76.0,111.0,16.0,29.0,139.0
1646,1.0,0.0,2.0,34.0,3.0,25.0,22.0,5.0,4.0,14.0,19.0,9.0,56.0,20.0,17.0,50.0,30.0,24.0,6.0,7.0,264.0,23.0,18.0,16.0,15.0,116.0,42.0,55.0,59.0,74.0
1695,0.0,1.0,2.0,60.0,3.0,15.0,8.0,4.0,32.0,11.0,18.0,5.0,49.0,30.0,6.0,38.0,88.0,25.0,12.0,16.0,42.0,10.0,57.0,44.0,43.0,176.0,45.0,27.0,39.0,127.0
1744,0.0,1.0,2.0,7.0,9.0,17.0,67.0,3.0,20.0,97.0,15.0,18.0,66.0,35.0,10.0,69.0,14.0,30.0,6.0,164.0,81.0,176.0,12.0,55.0,56.0,76.0,54.0,8.0,68.0,75.0
1793,2.0,4.0,5.0,23.0,1.0,15.0,48.0,10.0,11.0,7.0,13.0,3.0,45.0,24.0,20.0,107.0,17.0,8.0,6.0,0.0,37.0,83.0,9.0,39.0,40.0,133.0,34.0,14.0,50.0,52.0
1842,0.0,11.0,17.0,4.0,7.0,8.0,69.0,12.0,10.0,44.0,14.0,99.0,41.0,21.0,63.0,487.0,31.0,20.0,29.0,5.0,157.0,33.0,60.0,35.0,34.0,221.0,56.0,1.0,18.0,100.0
1891,0.0,1.0,2.0,17.0,3.0,25.0,14.0,11.0,36.0,19.0,9.0,4.0,42.0,30.0,10.0,336.0,12.0,16.0,13.0,27.0,327.0,8.0,28.0,38.0,39.0,122.0,34.0,5.0,40.0,298.0
