,BRAF_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,KRAS.G12_13_MUT,ERBB4_DEL,KRAS_MUT,LOC284344_DEL,NRAS_MUT,RAD50_MUT,GSTM1_DEL,OR4M2_DEL,LOC727924_DEL,TTN_MUT,PSG4_DEL,NPB_AMP,SIRT7_AMP,OR4N4_DEL,EYA1_DEL,NR2F2_DEL,ANAPC11_AMP,LCE1D_DEL,DOCK10_AMP,CDC73_DEL,LRRC37A2_AMP,PRODH_DEL,OR2A7_AMP,FRMPD2P1_AMP,NSFP1_DEL,GOLGA8A_DEL,MIR4635_AMP
3360,0.0,1.0,5559.0,238.0,2.0,41.0,1309.0,11.0,16615.0,2478.0,3657.0,1784.0,61.0,560.0,6.0,1025.0,2722.0,5005.0,157.0,64.0,695.0,72.0,7770.0,1115.0,250.0,24.0,57.0,7676.0,103.0,873.0
3409,0.0,12.0,38.0,1585.0,22.0,1269.0,6135.0,979.0,174.0,361.0,4.0,821.0,17051.0,12165.0,2.0,704.0,57.0,36.0,8046.0,277.0,60.0,22693.0,208.0,14.0,12220.0,1899.0,23858.0,580.0,5775.0,6.0
3458,0.0,1.0,2.0,11.0,5.0,2692.0,389.0,127.0,1489.0,375.0,3769.0,75.0,931.0,1803.0,485.0,34.0,6462.0,5720.0,70.0,679.0,4602.0,22582.0,191.0,14344.0,31.0,122.0,151.0,187.0,39.0,741.0
3507,0.0,1.0,5.0,1366.0,473.0,16370.0,168.0,29.0,846.0,1421.0,735.0,2711.0,3.0,34.0,13897.0,66.0,58.0,27.0,1648.0,2686.0,14.0,2262.0,172.0,14838.0,2571.0,1154.0,2744.0,11.0,7333.0,74.0
3556,0.0,3.0,8.0,10.0,14.0,16379.0,2690.0,63.0,1535.0,459.0,3496.0,1221.0,821.0,48.0,13930.0,14698.0,557.0,1471.0,1628.0,451.0,16.0,2439.0,102.0,754.0,12312.0,15432.0,23847.0,575.0,21.0,16065.0
3605,0.0,1.0,161.0,2.0,4.0,16384.0,2007.0,66.0,144.0,22.0,302.0,75.0,8.0,105.0,13907.0,319.0,726.0,6.0,78.0,14709.0,264.0,22692.0,9553.0,2605.0,7.0,15383.0,643.0,19.0,7484.0,16055.0
3654,0.0,1.0,8.0,355.0,107.0,1708.0,6.0,98.0,202.0,887.0,112.0,159.0,545.0,12276.0,14020.0,448.0,264.0,45.0,1227.0,1502.0,1580.0,22619.0,7362.0,2728.0,12469.0,343.0,2533.0,8599.0,50.0,318.0
3703,1.0,0.0,225.0,24134.0,26.0,16389.0,4.0,19.0,282.0,5.0,361.0,8602.0,18.0,13.0,13918.0,155.0,6215.0,4877.0,49.0,14788.0,4003.0,456.0,2439.0,14388.0,872.0,15477.0,510.0,8585.0,869.0,496.0
3752,0.0,1.0,2.0,13.0,4914.0,2553.0,7.0,1965.0,115.0,31.0,81.0,218.0,3.0,185.0,990.0,239.0,6245.0,4925.0,30.0,14702.0,4510.0,22693.0,524.0,14358.0,8.0,370.0,113.0,8561.0,765.0,61.0
3801,2.0,0.0,112.0,21.0,59.0,22.0,5.0,367.0,20.0,1079.0,2821.0,13.0,60.0,41.0,13911.0,503.0,391.0,4946.0,573.0,499.0,4472.0,44.0,2227.0,2496.0,116.0,15486.0,215.0,2098.0,461.0,141.0
3850,1.0,0.0,4.0,2799.0,7.0,849.0,11.0,29.0,182.0,3187.0,3451.0,109.0,13.0,58.0,13978.0,506.0,2382.0,24.0,125.0,414.0,12.0,32.0,121.0,14379.0,64.0,434.0,416.0,2645.0,83.0,136.0
3899,1.0,0.0,15.0,24134.0,19.0,204.0,424.0,120.0,1348.0,2.0,50.0,7.0,21.0,438.0,13977.0,123.0,711.0,131.0,800.0,243.0,55.0,4.0,2466.0,497.0,12440.0,15480.0,8.0,8540.0,2589.0,503.0
3948,1.0,0.0,1052.0,17.0,105.0,2.0,163.0,27.0,29.0,598.0,1341.0,426.0,86.0,12153.0,169.0,565.0,93.0,308.0,110.0,2444.0,4147.0,85.0,57.0,1861.0,2605.0,4.0,63.0,1708.0,5198.0,686.0
3997,1.0,0.0,25.0,24134.0,2.0,176.0,276.0,16.0,174.0,2782.0,2723.0,8609.0,3.0,295.0,14.0,203.0,305.0,4891.0,162.0,14706.0,44.0,382.0,45.0,560.0,748.0,79.0,153.0,8329.0,1348.0,69.0
4046,0.0,4.0,15.0,2.0,61.0,2686.0,741.0,28.0,326.0,665.0,4475.0,1251.0,17049.0,2762.0,63.0,317.0,2809.0,5.0,172.0,14779.0,66.0,534.0,537.0,219.0,242.0,1.0,136.0,8565.0,4933.0,445.0
4095,0.0,1.0,3.0,90.0,116.0,48.0,1542.0,454.0,25.0,274.0,399.0,940.0,38.0,2.0,39.0,200.0,6415.0,5.0,8443.0,410.0,36.0,1149.0,11.0,23.0,251.0,14.0,326.0,7517.0,19.0,16295.0
4144,0.0,1.0,331.0,185.0,10.0,16381.0,39.0,1312.0,3.0,9.0,787.0,32.0,153.0,17.0,35.0,14771.0,2931.0,2.0,545.0,847.0,4243.0,2425.0,28.0,23.0,2655.0,13.0,1081.0,162.0,31.0,608.0
