,Akt_pS473,CDK1,PRAS40_pT246,Heregulin,AR,c-Jun_pS73,MEK1_pS217_S221,HER3,Acetyl-a-Tubulin (Lys40),TIGAR,Src_pY416,TFRC,FRA1,PKC-pan_BetaII_pS660,Syk,JNK2,CD49b,YB-1_pS102,Lck,Rab25,Smad3,E-Cadherin,Bax,RBM15,Annexin 1,Src_pY527,4E-BP1_pS65,Tuberin_pT1462,Src,Annexin_VII
490,0.0,1.0,2.0,3.0,4.0,60.0,5.0,10.0,100.0,11.0,9.0,30.0,13.0,72.0,7.0,6.0,55.0,42.0,56.0,24.0,26.0,19.0,16.0,22.0,38.0,17.0,18.0,54.0,8.0,29.0
539,1.0,4.0,8.0,0.0,35.0,12.0,6.0,34.0,10.0,16.0,2.0,37.0,32.0,22.0,3.0,14.0,24.0,20.0,18.0,11.0,19.0,7.0,23.0,61.0,27.0,29.0,49.0,13.0,53.0,5.0
588,0.0,6.0,2.0,1.0,5.0,8.0,3.0,25.0,53.0,29.0,7.0,66.0,26.0,14.0,10.0,16.0,20.0,34.0,22.0,19.0,23.0,12.0,33.0,45.0,71.0,4.0,38.0,67.0,9.0,32.0
637,0.0,1.0,3.0,2.0,16.0,6.0,10.0,21.0,30.0,23.0,8.0,38.0,22.0,41.0,4.0,27.0,32.0,14.0,45.0,9.0,28.0,5.0,31.0,129.0,52.0,47.0,72.0,77.0,42.0,24.0
686,1.0,2.0,4.0,11.0,14.0,13.0,6.0,3.0,17.0,12.0,0.0,34.0,8.0,74.0,7.0,5.0,30.0,10.0,67.0,9.0,64.0,21.0,128.0,73.0,79.0,50.0,33.0,49.0,107.0,27.0
735,0.0,2.0,6.0,1.0,8.0,20.0,25.0,94.0,127.0,16.0,5.0,21.0,7.0,105.0,3.0,23.0,27.0,36.0,10.0,32.0,31.0,15.0,44.0,129.0,30.0,40.0,4.0,13.0,80.0,11.0
784,0.0,1.0,2.0,4.0,9.0,3.0,5.0,13.0,26.0,14.0,6.0,43.0,11.0,25.0,7.0,23.0,61.0,33.0,10.0,46.0,62.0,77.0,74.0,102.0,156.0,121.0,8.0,15.0,53.0,80.0
833,3.0,1.0,2.0,4.0,20.0,13.0,12.0,8.0,36.0,30.0,0.0,9.0,14.0,53.0,5.0,17.0,51.0,24.0,46.0,21.0,29.0,7.0,18.0,25.0,64.0,19.0,48.0,22.0,35.0,34.0
882,0.0,1.0,13.0,6.0,3.0,4.0,11.0,17.0,10.0,5.0,19.0,32.0,16.0,99.0,104.0,21.0,69.0,20.0,9.0,31.0,40.0,59.0,46.0,38.0,96.0,45.0,61.0,2.0,112.0,24.0
931,2.0,0.0,1.0,3.0,6.0,5.0,14.0,4.0,21.0,59.0,8.0,20.0,11.0,26.0,13.0,27.0,46.0,19.0,22.0,25.0,30.0,33.0,45.0,12.0,157.0,66.0,18.0,17.0,77.0,7.0
980,0.0,13.0,2.0,7.0,4.0,1.0,3.0,35.0,43.0,75.0,9.0,6.0,11.0,39.0,24.0,12.0,80.0,15.0,32.0,94.0,19.0,29.0,30.0,38.0,72.0,23.0,49.0,14.0,21.0,8.0
