,hsa-miR-142-5p,hsa-let-7e,hsa-miR-425,hsa-miR-223,hsa-miR-218,hsa-miR-147b,hsa-miR-1307,hsa-miR-106b,hsa-miR-642,hsa-miR-151-3p,hsa-miR-155,hsa-miR-24,hsa-miR-1977,hsa-miR-297,hsa-miR-578,hsa-miR-15b,hcmv-miR-US33-3p,hsa-miR-744,hsa-miR-630,hsa-miR-944,hsa-miR-101,hsa-miR-1248,hsa-miR-206,hsa-miR-320d,hsa-miR-769-5p,hsa-miR-133b,hsa-miR-379,hsv1-miR-H1,hsa-miR-599,hsa-miR-1245
3546,0.0,1.0,169.0,5.0,18.0,40.0,93.0,108.0,32.0,2.0,3.0,10.0,9.0,46.0,94.0,138.0,49.0,17.0,4.0,139.0,67.0,47.0,54.0,145.0,8.0,51.0,285.0,80.0,66.0,23.0
3595,0.0,2.0,207.0,1.0,22.0,36.0,64.0,5.0,3.0,20.0,31.0,385.0,34.0,9.0,27.0,182.0,111.0,296.0,327.0,12.0,104.0,90.0,18.0,355.0,15.0,313.0,11.0,4.0,51.0,56.0
3644,1.0,0.0,3.0,11.0,6.0,18.0,4.0,7.0,23.0,315.0,327.0,50.0,14.0,16.0,38.0,40.0,95.0,101.0,17.0,486.0,331.0,63.0,21.0,283.0,2.0,69.0,308.0,60.0,108.0,26.0
3693,0.0,1.0,15.0,20.0,4.0,2.0,6.0,3.0,134.0,11.0,42.0,99.0,173.0,9.0,27.0,37.0,34.0,32.0,13.0,376.0,12.0,152.0,14.0,490.0,35.0,70.0,45.0,10.0,19.0,110.0
3742,1.0,0.0,4.0,125.0,3.0,133.0,10.0,11.0,75.0,30.0,102.0,174.0,6.0,2.0,142.0,5.0,26.0,22.0,157.0,298.0,132.0,107.0,8.0,46.0,16.0,77.0,189.0,86.0,7.0,9.0
3791,0.0,1.0,5.0,32.0,54.0,12.0,24.0,64.0,8.0,239.0,81.0,31.0,2.0,4.0,27.0,59.0,41.0,168.0,14.0,82.0,275.0,124.0,61.0,213.0,3.0,29.0,257.0,262.0,53.0,11.0
3840,0.0,1.0,105.0,3.0,18.0,4.0,15.0,13.0,132.0,65.0,95.0,80.0,2.0,141.0,88.0,127.0,21.0,53.0,32.0,34.0,370.0,126.0,11.0,348.0,44.0,14.0,27.0,57.0,50.0,24.0
3889,1.0,0.0,18.0,389.0,16.0,10.0,60.0,6.0,39.0,489.0,85.0,333.0,26.0,5.0,509.0,36.0,12.0,31.0,124.0,44.0,13.0,89.0,2.0,19.0,11.0,40.0,572.0,147.0,3.0,25.0
3938,2.0,0.0,1.0,274.0,28.0,39.0,16.0,149.0,13.0,240.0,310.0,12.0,89.0,297.0,6.0,182.0,8.0,86.0,408.0,275.0,63.0,21.0,51.0,4.0,23.0,254.0,41.0,127.0,356.0,35.0
3987,1.0,0.0,28.0,57.0,2.0,5.0,10.0,36.0,19.0,26.0,31.0,9.0,3.0,306.0,12.0,107.0,8.0,249.0,47.0,388.0,369.0,106.0,69.0,122.0,93.0,476.0,235.0,145.0,6.0,21.0
