,PTCH1_AMP,LOC100506776_DEL,FAM21A_DEL,PCCB_DEL,MRGPRX1_DEL,HLA-DRB6_AMP,LPA_AMP,EP300_MUT,ZNF705G_AMP,ADAM5_DEL,RBFOX1_DEL,GSTTP1_AMP,ADAM3A_DEL,FMN2_AMP,HLA-DRB5_AMP,CDCA7L_DEL,SIRPB1_AMP,HLA-DRB1_AMP,BTNL3_DEL,LOC728875_DEL,KIAA1217_DEL,SORD_AMP,TPTE_DEL,PBX1_MUT,EPHA3_MUT,HLA-H_DEL,MST1P9_AMP,HCG4B_DEL,MLL_MUT,FBXL7_DEL
1107,22.0,3.0,7.0,6.0,0.0,130.0,8.0,13.0,12.0,9.0,1.0,32.0,10.0,2.0,7494.0,28.0,19.0,76.0,23.0,67.0,4.0,255.0,136.0,15.0,24.0,91.0,36.0,368.0,170.0,20.0
1156,32.0,1.0,3.0,2.0,0.0,23.0,5.0,21.0,15.0,20.0,4.0,6.0,24.0,36.0,35.0,37.0,18.0,73.0,7.0,8.0,91.0,27.0,39.0,12.0,28.0,10.0,29.0,854.0,110.0,16.0
1205,5.0,1.0,2.0,3.0,0.0,24.0,11.0,36.0,79.0,13.0,10.0,8.0,14.0,47.0,72.0,12.0,7.0,87.0,34.0,6.0,39.0,21.0,4.0,15.0,26.0,19.0,615.0,35.0,100.0,9.0
1254,5.0,2.0,16.0,4.0,3.0,13.0,0.0,61.0,24.0,9.0,1.0,8.0,11.0,31.0,39.0,14.0,15.0,27.0,18.0,6.0,21.0,10.0,12.0,7.0,25.0,17.0,23.0,36.0,207.0,35.0
1303,2.0,10.0,4.0,9.0,0.0,19.0,1.0,17.0,26.0,11.0,3.0,14.0,12.0,38.0,157.0,15.0,18.0,53.0,33.0,8.0,59.0,5.0,20.0,6.0,50.0,16.0,42.0,111.0,34.0,21.0
1352,7.0,4.0,1.0,6.0,0.0,21.0,2.0,65.0,10.0,95.0,5.0,15.0,99.0,17.0,64.0,20.0,14.0,45.0,23.0,3.0,12.0,18.0,13.0,27.0,275.0,11.0,128.0,62.0,48.0,120.0
1401,9.0,11.0,8.0,57.0,10.0,14.0,0.0,3.0,4.0,5.0,2.0,29.0,6.0,49.0,82.0,55.0,118.0,21.0,1.0,37.0,36.0,129.0,12.0,13.0,26.0,703.0,74.0,1236.0,31.0,17.0
1450,6.0,10.0,1.0,4.0,3.0,5.0,2.0,19.0,21.0,8.0,0.0,18.0,9.0,48.0,16.0,22.0,12.0,11.0,17.0,14.0,45.0,15.0,23.0,13.0,47.0,114.0,33.0,167.0,51.0,295.0
1499,1.0,0.0,8.0,5.0,3.0,4.0,245.0,10.0,50.0,113.0,11.0,2.0,152.0,159.0,9.0,63.0,785.0,20.0,278.0,21.0,138.0,35.0,7.0,41.0,25.0,16.0,784.0,17.0,409.0,98.0
1548,11.0,3.0,0.0,7.0,8.0,5.0,60.0,25.0,20.0,2.0,16.0,30.0,1.0,101.0,13.0,24.0,71.0,6.0,1085.0,36.0,4.0,132.0,35.0,19.0,17.0,53.0,41.0,29.0,152.0,28.0
1597,1.0,3.0,0.0,4.0,19.0,2.0,254.0,15.0,53.0,35.0,29.0,5.0,44.0,462.0,6.0,7.0,56.0,8.0,288.0,11.0,10.0,58.0,28.0,17.0,14.0,38.0,9.0,36.0,448.0,52.0
1646,4.0,5.0,0.0,6.0,3.0,1.0,122.0,26.0,38.0,25.0,17.0,2.0,29.0,144.0,7.0,10.0,311.0,13.0,30.0,59.0,9.0,179.0,11.0,444.0,50.0,102.0,19.0,1039.0,1965.0,85.0
1695,2.0,6.0,0.0,14.0,34.0,1.0,4070.0,13.0,25.0,16.0,20.0,11.0,21.0,43.0,4.0,10.0,131.0,9.0,60.0,59.0,83.0,5.0,654.0,24.0,42.0,3.0,76.0,18.0,168.0,8.0
1744,1.0,14.0,0.0,5.0,24.0,3.0,8682.0,23.0,1516.0,11.0,114.0,4.0,12.0,7.0,9.0,98.0,21.0,15.0,82.0,10.0,2.0,25.0,6.0,20.0,26.0,111.0,52.0,51.0,3166.0,8.0
1793,3.0,1.0,2.0,5.0,18.0,0.0,142.0,11.0,60.0,27.0,41.0,4.0,37.0,218.0,7.0,13.0,56.0,6.0,279.0,9.0,29.0,19.0,8.0,34.0,12.0,23.0,533.0,20.0,716.0,45.0
1842,0.0,2.0,3.0,5.0,9.0,4.0,725.0,12.0,29.0,8.0,13.0,1.0,10.0,51.0,15.0,7.0,2401.0,19.0,47.0,6.0,11.0,14.0,30.0,18.0,16.0,56.0,45.0,27.0,629.0,34.0
1891,5.0,1.0,0.0,6.0,7.0,4.0,2970.0,19.0,240.0,38.0,47.0,3.0,43.0,11.0,2.0,15.0,402.0,14.0,369.0,63.0,10.0,34.0,12.0,27.0,40.0,103.0,25.0,28.0,1883.0,9.0
1940,2.0,10.0,0.0,3.0,19.0,1.0,17.0,6.0,24.0,9.0,127.0,12.0,11.0,21.0,8.0,14.0,5279.0,7.0,34.0,13.0,5.0,146.0,4.0,27.0,25.0,84.0,29.0,32.0,23.0,113.0
1989,6.0,10.0,5.0,23.0,0.0,18.0,11.0,3.0,7.0,8.0,24.0,44.0,14.0,20.0,19.0,22.0,26.0,13.0,323.0,2853.0,9.0,110.0,279.0,53.0,43.0,116.0,64.0,35.0,34.0,1.0
2038,38.0,8.0,42.0,60.0,1.0,11.0,2.0,7.0,3.0,5.0,29.0,84.0,6.0,21.0,14.0,13.0,0.0,9.0,339.0,4326.0,16.0,51.0,353.0,45.0,61.0,147.0,22.0,316.0,56.0,152.0
2087,15.0,1.0,5.0,28.0,12.0,9.0,65.0,0.0,3.0,14.0,37.0,134.0,16.0,69.0,23.0,13.0,4.0,10.0,41.0,427.0,21.0,19.0,500.0,36.0,30.0,40.0,25.0,54.0,111.0,18.0
2136,29.0,4.0,12.0,33.0,7.0,45.0,2.0,6.0,20.0,0.0,26.0,233.0,1.0,307.0,211.0,11.0,8.0,42.0,429.0,284.0,3.0,44.0,268.0,36.0,23.0,109.0,16.0,149.0,58.0,30.0
2185,67.0,1.0,20.0,44.0,9.0,15.0,78.0,3.0,0.0,23.0,14.0,344.0,35.0,80.0,6.0,39.0,45.0,18.0,2.0,2901.0,29.0,5.0,16790.0,105.0,30.0,17.0,16.0,625.0,101.0,7.0
2234,7.0,54.0,6.0,18.0,5.0,19.0,9.0,43.0,10.0,1.0,53.0,235.0,2.0,20.0,49.0,84.0,46.0,32.0,33.0,752.0,13.0,30.0,874.0,87.0,70.0,181.0,22.0,1376.0,29.0,11.0
2283,31.0,9.0,0.0,32.0,19.0,7.0,36.0,18.0,16.0,12.0,25.0,233.0,17.0,192.0,1.0,20.0,54.0,3.0,454.0,1415.0,2.0,28.0,649.0,52.0,35.0,4589.0,23.0,739.0,24.0,4.0
2332,23.0,17.0,7.0,54.0,12.0,9.0,11.0,13.0,1.0,2.0,25.0,49.0,3.0,203.0,33.0,21.0,31.0,8.0,52.0,185.0,6.0,19.0,111.0,45.0,46.0,83.0,27.0,101.0,153.0,26.0
2381,35.0,15.0,4.0,57.0,14.0,9.0,7.0,11.0,16.0,0.0,23.0,87.0,1.0,264.0,17.0,43.0,2.0,5.0,225.0,1752.0,3.0,8.0,67.0,80.0,24.0,390.0,82.0,409.0,267.0,30.0
2430,20.0,2.0,5.0,23.0,3.0,51.0,9.0,34.0,4.0,28.0,57.0,38.0,29.0,42.0,110.0,18.0,198.0,81.0,123.0,246.0,0.0,333.0,93.0,94.0,32.0,8.0,205.0,3428.0,125.0,39.0
2479,0.0,1.0,2.0,47.0,25.0,11.0,14.0,17.0,9.0,7.0,6.0,27.0,8.0,4.0,22.0,38.0,166.0,50.0,18.0,54.0,5.0,35.0,3.0,23.0,24.0,907.0,20.0,26.0,207.0,12.0
2528,3.0,38.0,9.0,15.0,13.0,5.0,4.0,43.0,22.0,18.0,14.0,24.0,17.0,7.0,6.0,16.0,29.0,12.0,32.0,23.0,11.0,36.0,30.0,41.0,177.0,27.0,132.0,82.0,19.0,283.0
2577,4.0,2.0,9.0,6.0,3.0,1.0,8.0,15.0,22.0,20.0,21.0,10.0,24.0,19.0,0.0,13.0,29.0,5.0,12.0,18.0,7.0,71.0,26.0,14.0,30.0,44.0,130.0,16.0,59.0,115.0
2626,1.0,0.0,3.0,2.0,8.0,7.0,36.0,9.0,6.0,23.0,17.0,18.0,22.0,25.0,4.0,13.0,32.0,30.0,20.0,11.0,39.0,5.0,57.0,31.0,21.0,24.0,48.0,14.0,16.0,80.0
2675,4.0,0.0,5.0,3.0,6.0,2.0,15.0,11.0,22.0,12.0,14.0,7.0,13.0,1.0,9.0,17.0,20.0,26.0,16.0,19.0,24.0,30.0,8.0,28.0,35.0,115.0,74.0,21.0,40.0,50.0
2724,1.0,4.0,0.0,2.0,7.0,3.0,10.0,15.0,16.0,26.0,20.0,11.0,27.0,5.0,6.0,22.0,13.0,8.0,21.0,32.0,81.0,212.0,14.0,19.0,24.0,123.0,139.0,17.0,31.0,37.0
2773,0.0,1.0,4.0,5.0,3.0,13.0,69.0,9.0,51.0,28.0,12.0,8.0,27.0,2.0,10.0,11.0,18.0,32.0,104.0,24.0,105.0,192.0,14.0,15.0,31.0,87.0,114.0,6.0,21.0,116.0
2822,3.0,1.0,4.0,14.0,0.0,87.0,5.0,6.0,7.0,33.0,26.0,24.0,34.0,29.0,31.0,21.0,56.0,158.0,13.0,20.0,18.0,181.0,15.0,19.0,62.0,77.0,38.0,11.0,2.0,231.0
2871,0.0,2.0,8.0,21.0,5.0,18.0,10.0,9.0,6.0,12.0,3.0,1.0,13.0,120.0,15.0,16.0,37.0,99.0,7.0,73.0,4.0,56.0,24.0,40.0,17.0,252.0,208.0,11.0,132.0,33.0
2920,4.0,0.0,16.0,6.0,1.0,24.0,8.0,10.0,23.0,2.0,14.0,31.0,3.0,7.0,41.0,5.0,52.0,20.0,270.0,55.0,13.0,989.0,60.0,12.0,26.0,25.0,28.0,11.0,29.0,95.0
2969,0.0,3.0,4.0,52.0,36.0,2.0,53.0,10.0,5.0,6.0,1.0,22.0,8.0,33.0,31.0,27.0,21.0,34.0,17.0,20.0,62.0,7.0,46.0,23.0,9.0,16.0,12.0,81.0,64.0,19.0
3018,0.0,1.0,6.0,13.0,99.0,10.0,64.0,9.0,5.0,45.0,4.0,14.0,69.0,31.0,23.0,19.0,18.0,28.0,2.0,15.0,1885.0,22.0,98.0,11.0,25.0,8.0,12.0,33.0,1014.0,91.0
3067,25.0,2.0,20.0,110.0,41.0,10.0,198.0,3.0,1.0,17.0,0.0,78.0,19.0,6.0,61.0,32.0,26.0,18.0,5.0,1669.0,22.0,46.0,11042.0,48.0,11.0,27.0,4.0,1855.0,124.0,8.0
3116,2.0,0.0,7.0,20.0,55.0,10.0,57.0,12.0,1.0,6.0,3.0,18.0,8.0,24.0,19.0,26.0,5.0,23.0,13.0,29.0,363.0,22.0,48.0,15.0,17.0,21.0,11.0,84.0,56.0,212.0
3165,9.0,7.0,4.0,18.0,32.0,1.0,62.0,12.0,8.0,13.0,6.0,37.0,17.0,3.0,2.0,67.0,10.0,5.0,27.0,20.0,40.0,30.0,31.0,34.0,21.0,22.0,11.0,29.0,129.0,96.0
3214,1.0,0.0,3.0,25.0,268.0,23.0,65.0,6.0,11.0,9.0,12.0,18.0,14.0,16.0,62.0,19.0,4.0,101.0,10.0,59.0,286.0,5.0,58.0,7.0,8.0,26.0,2.0,48.0,83.0,21.0
3263,5.0,1.0,4.0,27.0,113.0,30.0,7.0,2.0,0.0,21.0,3.0,53.0,26.0,117.0,358.0,33.0,13.0,76.0,10.0,38.0,64.0,29.0,34.0,14.0,25.0,15.0,12.0,37.0,52.0,97.0
3312,0.0,2.0,6.0,24.0,40.0,1.0,230.0,10.0,8.0,92.0,13.0,5.0,122.0,12.0,3.0,36.0,212.0,4.0,34.0,21.0,25.0,118.0,56.0,11.0,9.0,15.0,31.0,32.0,81.0,7.0
3361,0.0,3.0,1.0,21.0,48.0,2.0,13.0,6.0,4.0,16.0,8.0,14.0,17.0,5.0,39.0,31.0,7.0,24.0,29.0,25.0,50.0,15.0,28.0,30.0,78.0,38.0,9.0,23.0,35.0,129.0
3410,7.0,4.0,18.0,47.0,110.0,12.0,224.0,14.0,0.0,1.0,6.0,15.0,3.0,137.0,5.0,138.0,31.0,19.0,55.0,17.0,9160.0,43.0,36.0,29.0,44.0,20.0,13.0,22.0,28.0,24.0
3459,0.0,76.0,39.0,2.0,7.0,4.0,1.0,18.0,14.0,269.0,17.0,5.0,307.0,21.0,12.0,19.0,15.0,25.0,16.0,11.0,61.0,78.0,13.0,33.0,117.0,3.0,147.0,26.0,9.0,146.0
3508,24.0,32.0,1.0,5.0,0.0,41.0,3.0,9.0,2.0,28.0,13.0,50.0,37.0,19.0,117.0,4.0,11.0,43.0,39.0,48.0,8.0,157.0,68.0,96.0,216.0,12.0,62.0,27.0,45.0,143.0
