,EP300_MUT,ARHGAP44_DEL,DIDO1_AMP,LOC643837_DEL,DLG2_AMP,EIF4G1_MUT,TSHZ2_AMP,MCEE_AMP,KRAS.G12_13_MUT,GRM5_DEL,THSD7B_AMP,CDH13_DEL,ADAM5_DEL,C15orf2_MUT,PTPRN2_AMP,HAR1B_AMP,PAX5_DEL,GSTTP1_DEL,SLC25A24_DEL,ZBTB20_AMP,CSMD3_MUT,MIPEPP3_DEL,OR4N3P_DEL,LOC727924_DEL,CNTLN_DEL,MGAM_DEL,GSTM1_DEL,SCAPER_DEL,SIRPB1_AMP,HLA-H_DEL
2434,6.0,34.0,29.0,12.0,31.0,5.0,10.0,152.0,24134.0,27.0,19179.0,36.0,88.0,48.0,22.0,23072.0,68.0,5080.0,53.0,102.0,100.0,72.0,58.0,66.0,182.0,49.0,156.0,76.0,159.0,123.0
2483,10.0,61.0,18079.0,26.0,50.0,5.0,16936.0,20.0,82.0,33.0,24.0,20197.0,81.0,15924.0,31.0,23067.0,9926.0,5098.0,36.0,151.0,158.0,45.0,108.0,163.0,106.0,150.0,124.0,120.0,93.0,49.0
2532,26.0,12.0,18079.0,7.0,50.0,16210.0,16938.0,19574.0,112.0,84.0,19194.0,20201.0,66.0,22.0,21623.0,27.0,9911.0,5090.0,105.0,108.0,97.0,85.0,80.0,57.0,125.0,126.0,177.0,74.0,83.0,842.0
2581,21.0,26.0,18085.0,10618.0,80.0,13.0,51.0,76.0,30.0,37.0,73.0,20202.0,98.0,43.0,84.0,23070.0,9914.0,25.0,215.0,149.0,132.0,92.0,135.0,93.0,148.0,99.0,108.0,179.0,62.0,104.0
2630,23.0,27.0,18087.0,10613.0,34.0,7.0,16944.0,97.0,63.0,229.0,19196.0,20198.0,111.0,15927.0,89.0,23066.0,134.0,85.0,101.0,81.0,48.0,57.0,2767.0,117.0,19.0,79.0,109.0,88.0,154.0,864.0
2679,23.0,29.0,18083.0,10631.0,37.0,16211.0,55.0,64.0,124.0,61.0,19197.0,34.0,77.0,30.0,21626.0,23066.0,133.0,49.0,160.0,131.0,81.0,111.0,2765.0,86.0,93.0,46.0,205.0,128.0,113.0,171.0
2728,21.0,16.0,18088.0,5.0,20.0,6.0,1.0,53.0,67.0,25.0,29.0,20205.0,85.0,15927.0,12.0,23100.0,9917.0,98.0,102.0,66.0,78.0,68.0,2773.0,170.0,9429.0,57.0,177.0,123.0,159.0,112.0
2777,23.0,14.0,18092.0,21.0,31.0,12.0,16926.0,44.0,65.0,37.0,83.0,173.0,113.0,15930.0,42.0,23100.0,9917.0,87.0,719.0,63.0,50.0,11279.0,35.0,128.0,52.0,145.0,129.0,147.0,111.0,808.0
2826,21.0,14.0,18082.0,11.0,78.0,16212.0,43.0,19555.0,112.0,69.0,19199.0,126.0,99.0,15927.0,41.0,0.0,9912.0,4.0,133.0,98.0,48.0,109.0,86.0,110.0,121.0,72.0,91.0,60.0,74.0,122.0
2875,36.0,37.0,18080.0,25.0,42.0,16211.0,5.0,126.0,131.0,48.0,19180.0,89.0,79.0,44.0,24.0,23070.0,9914.0,46.0,114.0,76.0,85.0,80.0,83.0,147.0,34.0,100.0,99.0,82.0,132.0,75.0
2924,26.0,74.0,18084.0,10613.0,35.0,12.0,24.0,122.0,90.0,1.0,49.0,117.0,87.0,15927.0,22255.0,6.0,52.0,34.0,96.0,85.0,174.0,11274.0,77.0,128.0,9423.0,146.0,132.0,92.0,153.0,98.0
2973,26.0,31.0,127.0,60.0,34.0,13.0,14.0,100.0,32.0,287.0,94.0,91.0,80.0,47.0,21633.0,7.0,64.0,63.0,51.0,56.0,16105.0,109.0,20.0,118.0,55.0,126.0,97.0,149.0,84.0,849.0
3022,18.0,8152.0,7.0,10619.0,32.0,5.0,34.0,141.0,14.0,67.0,19180.0,133.0,79.0,15931.0,36.0,23073.0,77.0,5080.0,38.0,81.0,84.0,140.0,2769.0,54.0,69.0,102.0,155.0,117.0,159.0,106.0
3071,34.0,17.0,10.0,10621.0,65.0,16215.0,84.0,140.0,112.0,276.0,21.0,69.0,100.0,31.0,3.0,23288.0,37.0,130.0,58.0,76.0,70.0,120.0,127.0,96.0,132.0,173.0,114.0,157.0,98.0,872.0
3120,14.0,19.0,13.0,10619.0,57.0,16214.0,16946.0,63.0,41.0,264.0,24.0,47.0,5075.0,97.0,88.0,91.0,111.0,135.0,67.0,101.0,40.0,45.0,2772.0,95.0,73.0,8874.0,270.0,108.0,74.0,182.0
3169,8.0,71.0,24.0,10620.0,13235.0,22.0,7.0,51.0,18.0,29.0,27.0,97.0,90.0,42.0,21632.0,44.0,54.0,5076.0,46.0,165.0,41.0,19.0,69.0,75.0,9429.0,140.0,159.0,134.0,62.0,107.0
3218,24.0,5.0,18084.0,19.0,44.0,20.0,146.0,79.0,17.0,48.0,60.0,89.0,81.0,29.0,21629.0,15.0,9914.0,14.0,85.0,113.0,62.0,119.0,2764.0,96.0,111.0,66.0,97.0,138.0,77.0,165.0
3267,22.0,8152.0,6.0,10620.0,53.0,15.0,96.0,65.0,78.0,247.0,66.0,32.0,68.0,15927.0,21630.0,23071.0,9916.0,94.0,70.0,101.0,123.0,29.0,2766.0,61.0,50.0,108.0,131.0,147.0,150.0,67.0
3316,21.0,5.0,4.0,42.0,13239.0,16214.0,72.0,61.0,40.0,287.0,37.0,20209.0,86.0,53.0,6.0,56.0,112.0,5087.0,90.0,54.0,130.0,23.0,143.0,117.0,38.0,8835.0,81.0,140.0,77.0,841.0
3365,26.0,63.0,7.0,1.0,13233.0,16214.0,98.0,62.0,68.0,49.0,53.0,42.0,89.0,116.0,21631.0,23070.0,24.0,100.0,60.0,59.0,105.0,90.0,28.0,132.0,52.0,8853.0,95.0,136.0,118.0,783.0
