,LPA_AMP,OR2T11_AMP,CDC73_AMP,LOC100506776_DEL,HLA-H_DEL,ZNF705G_AMP,MUC20_AMP,SIRPB1_AMP,HERC2P2_AMP,MSTO2P_AMP,DAP3_AMP,OR2T10_AMP,HCG4B_DEL,HLA-DQB1_DEL,GALNTL6_DEL,MLIP_DEL,PCCB_DEL,LCE3C_DEL,SMARCA2_DEL,TAG_DEL,KIAA1217_DEL,CES1P1_DEL,NBEAP1_AMP,CES1_AMP,MIR570_AMP,ARL17A_DEL,USP17L1P_AMP,FAM106CP_AMP,CCDC144A_AMP,MRC1_AMP
1107,0.0,2.0,1.0,9.0,11.0,13.0,4.0,28.0,21.0,7.0,6.0,18.0,5.0,12.0,89.0,19.0,23.0,10.0,59.0,26.0,17.0,24.0,14.0,69.0,15.0,44.0,174.0,30.0,29.0,78.0
1156,0.0,1.0,2.0,12.0,61.0,6.0,13.0,4.0,18.0,14.0,15.0,9.0,31.0,19.0,129.0,191.0,32.0,7.0,20.0,16.0,680.0,3.0,10.0,42.0,39.0,22.0,77.0,46.0,47.0,43.0
1205,0.0,6.0,7.0,14.0,13.0,4.0,19.0,27.0,1.0,12.0,11.0,35.0,9.0,15.0,5.0,39.0,26.0,25.0,22.0,10.0,37.0,2.0,18.0,29.0,56.0,66.0,28.0,21.0,20.0,8.0
1254,4.0,12.0,6.0,14.0,25.0,1.0,16.0,0.0,2.0,11.0,10.0,23.0,13.0,31.0,18.0,3.0,20.0,83.0,38.0,22.0,41.0,7.0,30.0,90.0,21.0,182.0,9.0,37.0,36.0,5.0
1303,0.0,4.0,3.0,5.0,6.0,12.0,2.0,7.0,1.0,8.0,9.0,15.0,10.0,27.0,19.0,144.0,25.0,26.0,36.0,13.0,82.0,20.0,17.0,112.0,11.0,103.0,50.0,21.0,22.0,14.0
1352,0.0,3.0,11.0,7.0,6.0,5.0,4.0,15.0,20.0,1.0,2.0,16.0,8.0,13.0,29.0,238.0,21.0,233.0,131.0,36.0,17.0,55.0,28.0,48.0,9.0,59.0,53.0,19.0,18.0,33.0
1401,0.0,4.0,1.0,21.0,5.0,3.0,2.0,9.0,11.0,8.0,7.0,16.0,13.0,24.0,46.0,10.0,19.0,29.0,88.0,498.0,308.0,30.0,15.0,42.0,6.0,26.0,43.0,69.0,70.0,22.0
1450,0.0,18.0,2.0,6.0,10.0,16.0,3.0,7.0,1.0,5.0,4.0,67.0,14.0,33.0,9.0,11.0,27.0,32.0,48.0,8.0,53.0,26.0,29.0,52.0,12.0,56.0,78.0,25.0,24.0,17.0
1499,0.0,20.0,3.0,1.0,8.0,16.0,2.0,6.0,7.0,5.0,4.0,59.0,45.0,15.0,21.0,53.0,28.0,12.0,18.0,14.0,119.0,58.0,47.0,38.0,13.0,29.0,68.0,71.0,70.0,19.0
1548,2.0,3.0,5.0,7.0,8.0,12.0,4.0,0.0,1.0,13.0,14.0,17.0,18.0,21.0,24.0,22.0,9.0,30.0,28.0,37.0,32.0,394.0,35.0,26.0,27.0,16.0,103.0,46.0,47.0,384.0
1597,23.0,3.0,0.0,5.0,2.0,39.0,30.0,4.0,21.0,7.0,6.0,26.0,25.0,8.0,13.0,41.0,15.0,1.0,34.0,24.0,35.0,28.0,81.0,17.0,240.0,22.0,95.0,962.0,963.0,131.0
1646,1.0,2.0,5.0,10.0,9.0,7.0,14.0,0.0,12.0,3.0,4.0,6.0,32.0,16.0,13.0,11.0,74.0,17.0,24.0,8.0,23.0,59.0,39.0,28.0,21.0,15.0,47.0,27.0,26.0,253.0
1695,0.0,1.0,8.0,14.0,16.0,19.0,3.0,2.0,4.0,13.0,12.0,6.0,208.0,22.0,30.0,15.0,18.0,5.0,37.0,75.0,131.0,90.0,36.0,29.0,11.0,264.0,35.0,41.0,40.0,21.0
1744,0.0,11.0,3.0,10.0,2.0,16.0,17.0,4.0,1.0,6.0,7.0,39.0,52.0,12.0,19.0,51.0,25.0,29.0,24.0,5.0,100.0,114.0,30.0,20.0,46.0,40.0,70.0,27.0,26.0,21.0
1793,0.0,8.0,7.0,1.0,5.0,23.0,10.0,2.0,28.0,3.0,4.0,34.0,36.0,19.0,25.0,24.0,11.0,15.0,26.0,6.0,18.0,208.0,62.0,27.0,50.0,39.0,132.0,42.0,43.0,16.0
1842,0.0,1.0,2.0,4.0,6.0,23.0,8.0,3.0,5.0,12.0,13.0,11.0,29.0,10.0,27.0,38.0,22.0,7.0,28.0,15.0,55.0,224.0,32.0,31.0,34.0,18.0,79.0,48.0,49.0,36.0
1891,7.0,9.0,0.0,4.0,3.0,11.0,5.0,12.0,6.0,2.0,1.0,39.0,21.0,29.0,80.0,179.0,16.0,8.0,15.0,20.0,212.0,51.0,31.0,13.0,25.0,53.0,173.0,196.0,197.0,223.0
1940,10.0,0.0,6.0,8.0,20.0,28.0,1.0,13.0,14.0,5.0,4.0,11.0,46.0,30.0,250.0,133.0,25.0,24.0,130.0,16.0,17.0,38.0,23.0,32.0,19.0,2.0,83.0,192.0,191.0,15.0
