,NDN,AC026407.1,S100A4,HGF,MB21D1,ANGPTL2,AC016710.1,POLR2J3,GSTT1,HSD17B11,ALKBH3,RP11-834C11.4,CAMK1D,MAGEA1,DNAJA4,CLDN11,LUM,PLAUR,KLHL3,RP3-467L1.4,AC068134.10,AC093627.9,TTC31,TGFB1,SPTBN2,TSPYL5,SLFN13,CTD-3224K15.3,RP11-673E1.3,ZNF334
3243,2.0,97.0,23.0,3.0,32.0,30.0,10.0,13.0,4.0,62.0,7.0,66.0,20.0,124.0,79.0,217.0,58.0,43.0,45.0,31.0,75.0,41.0,261.0,12.0,19.0,1324.0,42.0,29.0,93.0,16.0
3292,0.0,6.0,28.0,4.0,16.0,12.0,65.0,7.0,26.0,48.0,2.0,8.0,3.0,40.0,67.0,11.0,1.0,42.0,188.0,75.0,31.0,25.0,279.0,5.0,148.0,47.0,21.0,56.0,145.0,118.0
3341,0.0,44.0,10.0,1.0,137.0,26.0,6.0,5.0,12.0,69.0,8.0,18.0,16.0,30.0,58.0,3.0,63.0,27.0,210.0,21.0,49.0,13.0,191.0,32.0,53.0,236.0,2.0,42.0,67.0,307.0
3390,0.0,33.0,2.0,1.0,232.0,21.0,63.0,8.0,6.0,80.0,66.0,18.0,12.0,35.0,164.0,130.0,17.0,64.0,123.0,31.0,149.0,32.0,231.0,5.0,137.0,112.0,3.0,142.0,116.0,88.0
3439,2.0,0.0,52.0,16.0,1.0,67.0,23.0,39.0,1013.0,40.0,6.0,12.0,86.0,4.0,26.0,34.0,14.0,38.0,19.0,9.0,50.0,45.0,59.0,54.0,57.0,624.0,24.0,79.0,46.0,5.0
3488,0.0,11.0,1.0,35.0,3.0,8.0,9.0,12.0,49.0,52.0,5.0,27.0,36.0,10.0,96.0,99.0,14.0,28.0,30.0,6.0,7.0,13.0,169.0,94.0,58.0,67.0,19.0,33.0,70.0,4.0
3537,0.0,5.0,220.0,10.0,4.0,3.0,8.0,13.0,93.0,11.0,40.0,37.0,156.0,18.0,48.0,328.0,36.0,43.0,78.0,9.0,25.0,6.0,33.0,58.0,79.0,488.0,138.0,183.0,30.0,2.0
3586,1.0,4.0,27.0,7.0,0.0,3.0,6.0,5.0,192.0,79.0,11.0,18.0,190.0,9.0,21.0,63.0,16.0,31.0,1032.0,48.0,13.0,20.0,153.0,142.0,2.0,75.0,136.0,152.0,39.0,82.0
3635,0.0,2.0,17.0,31.0,1.0,3.0,16.0,24.0,9.0,21.0,8.0,27.0,66.0,12.0,250.0,81.0,11.0,15.0,118.0,6.0,19.0,4.0,114.0,111.0,5.0,429.0,99.0,72.0,50.0,22.0
3684,0.0,7.0,18.0,34.0,3.0,2.0,13.0,6.0,11.0,22.0,10.0,57.0,291.0,5.0,172.0,371.0,88.0,36.0,26.0,12.0,4.0,14.0,48.0,65.0,169.0,282.0,17.0,76.0,66.0,1.0
3733,0.0,35.0,26.0,37.0,5.0,10.0,13.0,46.0,66.0,9.0,6.0,122.0,38.0,2.0,248.0,12.0,99.0,18.0,11.0,4.0,78.0,16.0,56.0,85.0,14.0,53.0,117.0,253.0,39.0,8.0
3782,0.0,5.0,47.0,8.0,2.0,1.0,34.0,6.0,80.0,38.0,15.0,173.0,20.0,3.0,135.0,51.0,16.0,187.0,25.0,4.0,10.0,40.0,111.0,131.0,42.0,413.0,113.0,402.0,161.0,9.0
3831,0.0,1.0,5.0,24.0,68.0,3.0,4.0,16.0,139.0,49.0,8.0,232.0,59.0,2.0,269.0,7.0,34.0,39.0,66.0,20.0,21.0,50.0,73.0,25.0,9.0,142.0,23.0,62.0,18.0,63.0
3880,0.0,1.0,3.0,8.0,5.0,6.0,13.0,7.0,1818.0,20.0,97.0,62.0,21.0,9.0,42.0,441.0,457.0,54.0,94.0,29.0,17.0,12.0,81.0,69.0,1552.0,51.0,104.0,813.0,48.0,25.0
3929,0.0,2.0,15.0,7.0,51.0,13.0,3.0,25.0,4.0,27.0,5.0,84.0,132.0,18.0,255.0,508.0,302.0,23.0,31.0,105.0,204.0,64.0,55.0,19.0,24.0,10.0,554.0,11.0,92.0,58.0
3978,2.0,33.0,24.0,0.0,12.0,55.0,14.0,9.0,53.0,35.0,11.0,57.0,58.0,8.0,28.0,115.0,27.0,20.0,6.0,49.0,443.0,73.0,43.0,213.0,15.0,18.0,96.0,226.0,69.0,122.0
4027,0.0,3.0,44.0,1.0,26.0,2.0,59.0,45.0,11.0,13.0,12.0,42.0,75.0,53.0,22.0,48.0,117.0,19.0,43.0,65.0,288.0,110.0,8.0,98.0,10.0,36.0,173.0,31.0,49.0,6.0
4076,7.0,0.0,53.0,1.0,49.0,59.0,6.0,85.0,2.0,61.0,27.0,48.0,79.0,157.0,31.0,52.0,128.0,14.0,75.0,272.0,37.0,60.0,16.0,13.0,76.0,35.0,197.0,17.0,65.0,68.0
4125,4.0,13.0,76.0,5.0,19.0,0.0,1.0,111.0,90.0,36.0,23.0,113.0,142.0,29.0,40.0,60.0,122.0,57.0,18.0,33.0,594.0,195.0,28.0,54.0,3.0,12.0,336.0,509.0,51.0,75.0
4174,21.0,0.0,34.0,1.0,13.0,24.0,18.0,9.0,31.0,32.0,11.0,41.0,82.0,16.0,43.0,15.0,86.0,23.0,44.0,88.0,146.0,38.0,20.0,70.0,28.0,4.0,300.0,40.0,10.0,172.0
4223,1.0,4.0,29.0,3.0,109.0,15.0,0.0,228.0,173.0,17.0,5.0,18.0,85.0,41.0,55.0,31.0,180.0,51.0,23.0,21.0,147.0,84.0,42.0,50.0,22.0,12.0,134.0,58.0,53.0,74.0
4272,1.0,0.0,13.0,4.0,3.0,11.0,5.0,171.0,18.0,9.0,38.0,216.0,31.0,24.0,2.0,69.0,178.0,49.0,96.0,75.0,1306.0,7.0,35.0,194.0,41.0,10.0,695.0,44.0,26.0,54.0
4321,0.0,1.0,130.0,3.0,6.0,2.0,62.0,14.0,24.0,48.0,10.0,27.0,44.0,420.0,31.0,170.0,80.0,72.0,89.0,60.0,142.0,45.0,26.0,162.0,15.0,7.0,75.0,114.0,281.0,32.0
4370,2.0,0.0,4.0,1.0,14.0,3.0,12.0,29.0,6.0,34.0,26.0,175.0,55.0,90.0,1417.0,76.0,236.0,40.0,83.0,66.0,108.0,23.0,10.0,27.0,75.0,39.0,152.0,101.0,120.0,70.0
4419,1.0,0.0,32.0,14.0,6.0,2.0,130.0,47.0,22.0,40.0,173.0,4.0,123.0,10.0,16.0,88.0,5.0,75.0,15.0,29.0,7.0,61.0,12.0,50.0,102.0,1817.0,485.0,81.0,225.0,68.0
4468,0.0,1.0,4.0,37.0,7.0,16.0,83.0,13.0,9.0,134.0,388.0,20.0,43.0,45.0,12.0,41.0,138.0,34.0,8.0,113.0,33.0,386.0,24.0,63.0,769.0,140.0,46.0,133.0,42.0,29.0
4517,1.0,0.0,2.0,5.0,7.0,78.0,3.0,22.0,31.0,24.0,124.0,26.0,146.0,39.0,10.0,74.0,104.0,84.0,6.0,69.0,8.0,142.0,18.0,23.0,305.0,47.0,9.0,34.0,21.0,53.0
4566,3.0,0.0,10.0,14.0,6.0,19.0,7.0,41.0,21.0,35.0,112.0,1.0,127.0,115.0,49.0,111.0,9.0,36.0,18.0,43.0,2.0,536.0,23.0,30.0,551.0,417.0,215.0,31.0,60.0,260.0
4615,0.0,1.0,2.0,26.0,27.0,24.0,33.0,18.0,4.0,36.0,48.0,17.0,271.0,79.0,70.0,13.0,509.0,75.0,9.0,315.0,6.0,697.0,20.0,12.0,138.0,59.0,21.0,151.0,46.0,128.0
4664,2.0,0.0,5.0,118.0,20.0,14.0,8.0,71.0,50.0,7.0,661.0,12.0,107.0,44.0,1.0,25.0,75.0,217.0,60.0,194.0,9.0,235.0,10.0,48.0,372.0,39.0,286.0,84.0,46.0,41.0
4713,0.0,8.0,3.0,5.0,1.0,12.0,29.0,16.0,9.0,41.0,56.0,15.0,312.0,13.0,2.0,6.0,129.0,77.0,26.0,94.0,7.0,263.0,67.0,34.0,516.0,189.0,207.0,23.0,49.0,102.0
4762,1.0,0.0,3.0,36.0,5.0,24.0,34.0,32.0,16.0,39.0,161.0,8.0,158.0,13.0,97.0,10.0,18.0,26.0,29.0,60.0,2.0,1073.0,27.0,9.0,380.0,50.0,85.0,102.0,87.0,38.0
4811,7.0,18.0,4.0,10.0,2.0,49.0,8.0,75.0,28.0,14.0,173.0,5.0,21.0,17.0,0.0,41.0,65.0,79.0,6.0,161.0,132.0,220.0,29.0,24.0,225.0,13.0,15.0,48.0,45.0,339.0
4860,3.0,1.0,11.0,13.0,0.0,202.0,7.0,36.0,10.0,32.0,203.0,22.0,78.0,15.0,14.0,2.0,43.0,16.0,141.0,119.0,8.0,41.0,19.0,47.0,2506.0,75.0,50.0,88.0,52.0,425.0
