,PDLIM4,NDN,CTD-2231H16.1,BHLHE41,FBXL7,RP11-834C11.4,MEIS3P1,NUP210,CASC9,TWIST2,GGT6,PRKCQ-AS1,GLB1L2,UNC5B,ACOT1,RP11-12D24.6,RP11-745O10.2,BMPR1B,PCDHB17,DACH1,CP,UCHL1,VSIG2,AUTS2,SLIT3,LXN,ACOT2,GDPD5,RPL30P14,SMIM19
646,1.0,0.0,246.0,2.0,4.0,12.0,211.0,14.0,94.0,13.0,32.0,39.0,25.0,15.0,42.0,378.0,3.0,364.0,107.0,819.0,173.0,10.0,5.0,84.0,23.0,24.0,93.0,662.0,252.0,98.0
695,0.0,50.0,116.0,3.0,12.0,1.0,38.0,14.0,5.0,7.0,43.0,193.0,35.0,97.0,10.0,533.0,2.0,31.0,435.0,1151.0,866.0,145.0,13.0,9.0,42.0,89.0,8.0,343.0,19.0,68.0
744,0.0,1.0,10.0,13.0,3.0,25.0,59.0,6.0,32.0,8.0,24.0,7.0,20.0,5.0,16.0,223.0,2.0,11.0,151.0,322.0,15.0,17.0,38.0,35.0,9.0,91.0,29.0,218.0,43.0,57.0
793,0.0,37.0,29.0,9.0,4.0,14.0,57.0,3.0,19.0,55.0,109.0,24.0,7.0,1.0,18.0,87.0,5.0,20.0,709.0,386.0,15.0,66.0,11.0,58.0,2.0,8.0,45.0,343.0,33.0,131.0
842,0.0,8.0,116.0,7.0,17.0,3.0,106.0,13.0,14.0,53.0,377.0,22.0,207.0,79.0,185.0,786.0,2.0,6.0,77.0,123.0,42.0,70.0,33.0,127.0,5.0,118.0,59.0,956.0,912.0,48.0
891,4.0,35.0,96.0,1.0,49.0,37.0,5.0,63.0,88.0,3.0,26.0,31.0,85.0,103.0,12.0,248.0,0.0,2.0,15.0,104.0,28.0,34.0,57.0,199.0,58.0,42.0,50.0,19.0,25.0,111.0
940,0.0,8.0,43.0,6.0,14.0,21.0,11.0,9.0,3.0,17.0,23.0,35.0,73.0,29.0,20.0,918.0,26.0,19.0,51.0,365.0,65.0,60.0,46.0,98.0,18.0,1.0,149.0,166.0,39.0,316.0
989,3.0,12.0,0.0,1.0,4.0,73.0,2.0,50.0,83.0,43.0,54.0,26.0,10.0,13.0,28.0,8.0,18.0,181.0,97.0,16.0,127.0,59.0,199.0,49.0,52.0,117.0,51.0,66.0,35.0,44.0
1038,4.0,0.0,2.0,9.0,6.0,8.0,12.0,10.0,5.0,37.0,3.0,22.0,1.0,14.0,7.0,18.0,54.0,85.0,361.0,53.0,24.0,234.0,374.0,43.0,467.0,137.0,15.0,41.0,21.0,57.0
1087,3.0,1.0,6.0,7.0,40.0,34.0,9.0,24.0,0.0,11.0,2.0,42.0,5.0,16.0,82.0,8.0,27.0,76.0,53.0,41.0,209.0,63.0,29.0,13.0,593.0,1155.0,28.0,161.0,949.0,25.0
1136,1.0,0.0,7.0,3.0,18.0,20.0,19.0,55.0,22.0,38.0,36.0,9.0,2.0,32.0,6.0,26.0,11.0,98.0,86.0,52.0,40.0,452.0,34.0,63.0,287.0,66.0,16.0,33.0,181.0,118.0
1185,1.0,0.0,6.0,7.0,78.0,22.0,10.0,50.0,3.0,12.0,2.0,54.0,4.0,9.0,15.0,14.0,8.0,48.0,191.0,113.0,17.0,11.0,23.0,25.0,719.0,308.0,13.0,26.0,247.0,60.0
1234,7.0,8.0,45.0,13.0,60.0,18.0,4.0,67.0,0.0,5.0,1.0,69.0,3.0,6.0,9.0,1272.0,2.0,136.0,2244.0,344.0,33.0,53.0,30.0,150.0,128.0,48.0,46.0,93.0,109.0,70.0
1283,6.0,0.0,1.0,3.0,9.0,31.0,5.0,38.0,7.0,4.0,2.0,45.0,29.0,17.0,14.0,22.0,8.0,931.0,124.0,90.0,18.0,26.0,41.0,74.0,311.0,50.0,13.0,120.0,113.0,47.0
