,HNRNPA1,ANP32B,DUT,ARHGAP11B,DNAJB2,MMS22L,DAZAP1,MMP24,ANP32A,HNRNPK,GNB3,MCM7,ITGB5,ODF2,BCL2L1,GPRC5B,ATP5D,RP11-177C12.1,C1orf122,NOB1,CTDSPL2,SUCO,TTF2,TFAP4,FAM98B,SSRP1,GART,EIF3L,LRRC8C,SMIM8
3486,0.0,2.0,13.0,44.0,52.0,6.0,606.0,50.0,28.0,5.0,159.0,45.0,14463.0,66.0,6670.0,2846.0,4.0,13622.0,675.0,35.0,174.0,1210.0,15429.0,187.0,37.0,3767.0,6713.0,9049.0,14936.0,1.0
3535,4.0,1.0,0.0,1580.0,2.0,64.0,11804.0,68.0,3.0,60.0,721.0,10.0,14468.0,81.0,6692.0,2946.0,5.0,13742.0,146.0,9945.0,3287.0,17086.0,15431.0,265.0,1397.0,4451.0,40.0,9058.0,244.0,24.0
3584,60.0,2.0,7.0,3073.0,14.0,44.0,10732.0,78.0,4.0,0.0,5822.0,18763.0,14451.0,116.0,77.0,101.0,6.0,13730.0,199.0,45.0,54.0,70.0,15448.0,338.0,3138.0,3873.0,39.0,8055.0,206.0,16.0
3633,58.0,4.0,1.0,24.0,0.0,64.0,11809.0,43.0,45.0,8.0,2.0,52.0,25.0,20317.0,396.0,2799.0,14.0,13748.0,202.0,57.0,72.0,16.0,15439.0,2237.0,2848.0,3773.0,11.0,9063.0,96.0,23322.0
3682,950.0,3.0,7.0,3033.0,33.0,45.0,21.0,55.0,60.0,2.0,446.0,39.0,80.0,20318.0,32.0,2931.0,12.0,13718.0,15992.0,9969.0,61.0,64.0,51.0,2530.0,3390.0,3793.0,54.0,700.0,487.0,46.0
3731,170.0,1.0,0.0,67.0,2.0,39.0,4.0,69.0,66.0,16.0,156.0,18714.0,38.0,19366.0,43.0,2796.0,13.0,13739.0,15979.0,9953.0,853.0,27.0,49.0,2238.0,123.0,232.0,81.0,9055.0,14931.0,44.0
3780,121.0,2.0,1.0,26.0,6.0,91.0,7.0,9.0,89.0,83.0,77.0,47.0,42.0,20301.0,34.0,2804.0,21.0,13745.0,166.0,10210.0,2928.0,17087.0,15565.0,2242.0,2912.0,3752.0,512.0,9081.0,14893.0,33.0
3829,0.0,28.0,20.0,3228.0,34.0,23338.0,11796.0,43.0,132.0,1032.0,22.0,69.0,26.0,20317.0,3.0,2838.0,24.0,58.0,187.0,9950.0,3281.0,1065.0,60.0,588.0,52.0,6.0,6718.0,9097.0,96.0,23330.0
3878,1.0,0.0,3.0,2.0,61.0,619.0,12.0,203.0,68.0,118.0,65.0,28.0,40.0,96.0,6676.0,16.0,144.0,83.0,106.0,9937.0,128.0,310.0,31.0,2264.0,38.0,3696.0,6696.0,9080.0,24.0,23320.0
3927,1.0,65.0,35.0,2914.0,67.0,85.0,55.0,31.0,66.0,171.0,0.0,18596.0,14220.0,84.0,6682.0,2824.0,417.0,43.0,15991.0,9964.0,42.0,117.0,48.0,37.0,2864.0,8.0,51.0,2.0,4.0,124.0
3976,0.0,68.0,34.0,3432.0,63.0,72.0,28.0,46.0,2333.0,82.0,1.0,18727.0,14335.0,19843.0,1074.0,18.0,11798.0,137.0,15985.0,158.0,2.0,90.0,58.0,22.0,3515.0,6.0,19.0,17.0,15.0,39.0
4025,0.0,1.0,35.0,3212.0,3.0,23337.0,56.0,68.0,8.0,116.0,9.0,22.0,109.0,48.0,6697.0,11.0,177.0,13517.0,15992.0,6.0,58.0,17084.0,15434.0,50.0,2934.0,13.0,34.0,51.0,14947.0,24.0
4074,1.0,2.0,4.0,37.0,13189.0,745.0,16.0,74.0,72.0,109.0,15.0,29.0,14220.0,19844.0,47.0,13.0,11317.0,35.0,92.0,225.0,1704.0,81.0,15545.0,5.0,50.0,12.0,26.0,0.0,14888.0,38.0
4123,0.0,31.0,3425.0,45.0,13178.0,15.0,59.0,90.0,79.0,539.0,1.0,22.0,123.0,50.0,41.0,2825.0,339.0,13739.0,1112.0,127.0,177.0,18.0,20.0,10.0,86.0,25.0,76.0,9.0,14903.0,58.0
4172,2.0,23.0,114.0,46.0,13195.0,23220.0,101.0,49.0,60.0,5.0,15.0,39.0,123.0,17.0,44.0,2883.0,91.0,434.0,696.0,64.0,588.0,100.0,15432.0,6.0,2977.0,28.0,0.0,1.0,14893.0,71.0
4221,0.0,17.0,7.0,2.0,163.0,23349.0,96.0,90.0,2786.0,170.0,1.0,32.0,14459.0,21.0,15.0,1521.0,132.0,13759.0,16024.0,9954.0,1082.0,20.0,5.0,33.0,44.0,3781.0,8.0,29.0,14878.0,23.0
