,hsa-miR-216a,hsa-miR-518b,hsa-miR-615-3p,hsa-miR-934,hsa-miR-9,hsa-miR-375,hsa-miR-323-3p,hsa-miR-671-3p,hsa-miR-1246,hsa-miR-671-5p,hsa-miR-139-5p,hsa-miR-24,hsa-miR-320d,hsa-miR-889,hsa-miR-1256,hsa-miR-1539,hsa-miR-205,hsa-miR-548c-5p,hsa-miR-329,hsa-miR-554,hsa-miR-1180,hsa-miR-1278,hsa-miR-1183,hsa-miR-634,hsa-miR-345,hsa-let-7e,hsa-miR-662,hsa-miR-339-5p,hsa-miR-2110,hsa-miR-384
2170,30.0,2.0,24.0,1.0,65.0,62.0,11.0,494.0,15.0,60.0,39.0,37.0,117.0,157.0,0.0,51.0,215.0,10.0,4.0,260.0,113.0,21.0,264.0,31.0,27.0,14.0,5.0,470.0,261.0,75.0
2219,26.0,13.0,5.0,103.0,12.0,3.0,31.0,496.0,32.0,249.0,89.0,11.0,4.0,404.0,2.0,17.0,369.0,18.0,27.0,121.0,282.0,275.0,194.0,42.0,74.0,25.0,94.0,322.0,445.0,10.0
2268,3.0,0.0,28.0,76.0,188.0,1.0,75.0,367.0,18.0,479.0,65.0,19.0,211.0,70.0,31.0,313.0,30.0,261.0,7.0,85.0,154.0,83.0,108.0,11.0,135.0,51.0,27.0,111.0,365.0,69.0
2317,141.0,4.0,25.0,13.0,7.0,18.0,0.0,199.0,1.0,582.0,23.0,65.0,149.0,90.0,3.0,5.0,50.0,69.0,63.0,397.0,10.0,71.0,419.0,12.0,253.0,15.0,2.0,87.0,76.0,60.0
2366,11.0,45.0,15.0,116.0,24.0,83.0,13.0,142.0,3.0,195.0,208.0,2.0,5.0,352.0,55.0,20.0,16.0,6.0,77.0,207.0,82.0,38.0,462.0,1.0,133.0,27.0,0.0,9.0,43.0,42.0
2415,77.0,27.0,24.0,23.0,196.0,19.0,1.0,158.0,4.0,9.0,382.0,211.0,201.0,103.0,7.0,221.0,87.0,17.0,107.0,63.0,144.0,18.0,442.0,111.0,259.0,6.0,0.0,10.0,151.0,403.0
2464,3.0,0.0,205.0,8.0,21.0,100.0,208.0,207.0,71.0,46.0,80.0,29.0,36.0,104.0,317.0,6.0,581.0,10.0,33.0,16.0,39.0,12.0,5.0,254.0,431.0,23.0,197.0,70.0,65.0,25.0
2513,0.0,10.0,5.0,24.0,4.0,332.0,80.0,146.0,48.0,453.0,46.0,33.0,253.0,478.0,215.0,3.0,147.0,6.0,19.0,236.0,13.0,320.0,1.0,174.0,194.0,83.0,243.0,221.0,307.0,530.0
2562,12.0,39.0,62.0,126.0,5.0,94.0,486.0,130.0,9.0,40.0,69.0,28.0,358.0,136.0,399.0,37.0,122.0,7.0,8.0,63.0,87.0,166.0,34.0,377.0,491.0,42.0,97.0,68.0,277.0,244.0
2611,7.0,11.0,15.0,6.0,20.0,305.0,36.0,87.0,376.0,31.0,25.0,14.0,46.0,132.0,90.0,88.0,409.0,122.0,26.0,163.0,40.0,312.0,48.0,212.0,81.0,138.0,436.0,168.0,246.0,322.0
