,beta-alanine,C56:5 TAG,GABA,C34:4 PC,alpha-glycerophosphate,C22:6 LPE,C36:4 PC-B,2-deoxycytidine,pantothenate,niacinamide,leucine,butyrylcarnitine/isobutyrylcarnitine,1-methylnicotinamide,putrescine,valerylcarnitine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,adenosine,C18:0 LPC,C56:3 TAG,C16:0 LPE,cotinine,inosine,C34:2 DAG,isocitrate,malondialdehyde,cystathionine,uridine,alpha-hydroxybutyrate,PEP
1197,1.0,3.0,0.0,4.0,6.0,11.0,22.0,13.0,60.0,31.0,8.0,2.0,19.0,56.0,5.0,44.0,26.0,50.0,15.0,37.0,46.0,17.0,53.0,12.0,61.0,32.0,63.0,18.0,21.0,27.0
1246,0.0,3.0,1.0,2.0,6.0,10.0,13.0,4.0,7.0,15.0,17.0,21.0,14.0,5.0,9.0,27.0,31.0,39.0,30.0,22.0,16.0,61.0,26.0,11.0,47.0,24.0,29.0,59.0,46.0,38.0
1295,4.0,1.0,2.0,0.0,8.0,10.0,5.0,6.0,11.0,21.0,9.0,3.0,7.0,14.0,31.0,38.0,12.0,65.0,44.0,54.0,26.0,39.0,36.0,18.0,61.0,32.0,29.0,27.0,41.0,30.0
1344,3.0,2.0,1.0,0.0,6.0,9.0,14.0,11.0,35.0,7.0,17.0,5.0,20.0,4.0,16.0,33.0,28.0,26.0,52.0,13.0,12.0,23.0,62.0,18.0,49.0,8.0,10.0,36.0,21.0,31.0
1393,3.0,1.0,2.0,0.0,6.0,8.0,9.0,10.0,4.0,53.0,26.0,5.0,39.0,14.0,7.0,25.0,30.0,24.0,16.0,42.0,36.0,56.0,44.0,13.0,19.0,29.0,60.0,27.0,11.0,61.0
1442,1.0,0.0,2.0,3.0,20.0,4.0,5.0,7.0,23.0,12.0,17.0,11.0,61.0,38.0,60.0,58.0,16.0,22.0,29.0,6.0,21.0,27.0,32.0,56.0,9.0,35.0,8.0,43.0,15.0,25.0
1491,2.0,0.0,4.0,5.0,1.0,44.0,22.0,3.0,8.0,23.0,40.0,21.0,31.0,13.0,33.0,7.0,9.0,16.0,38.0,17.0,27.0,15.0,18.0,20.0,14.0,48.0,57.0,11.0,12.0,53.0
1540,1.0,0.0,10.0,6.0,4.0,5.0,8.0,18.0,3.0,60.0,22.0,11.0,46.0,34.0,66.0,62.0,2.0,9.0,20.0,53.0,32.0,13.0,41.0,50.0,19.0,26.0,15.0,38.0,49.0,40.0
1589,1.0,0.0,13.0,10.0,15.0,5.0,4.0,14.0,22.0,9.0,51.0,11.0,28.0,48.0,60.0,6.0,2.0,16.0,26.0,33.0,36.0,3.0,7.0,23.0,42.0,17.0,21.0,8.0,43.0,35.0
1638,0.0,1.0,2.0,5.0,7.0,3.0,4.0,8.0,9.0,38.0,31.0,37.0,20.0,39.0,22.0,25.0,6.0,10.0,30.0,12.0,11.0,26.0,28.0,24.0,34.0,29.0,17.0,35.0,33.0,36.0
