,ACOT1_DEL,HEATR4_DEL,HLA-DRB6_AMP,LINC00226_AMP,TAG_DEL,PRSS2_DEL,PRSS3P2_DEL,OR51A2_DEL,GSTT1_AMP,ADAM5_DEL,LOC391322_AMP,ADAM3A_DEL,HCG4B_DEL,GSTTP2_AMP,BTNL8_DEL,HERC2P2_AMP,SIRPB1_AMP,BMPR2_AMP,FRMPD2P1_AMP,UPK3B_AMP,DEFA3_AMP,SCAPER_DEL,MIR548AI_DEL,REREP3_DEL,KIAA2022_MUT,LOC727924_DEL,TNK2_MUT,CES1_AMP,OR2T27_DEL,SNX29_DEL
2529,0.0,1.0,3.0,5.0,17.0,29.0,30.0,18.0,86.0,324.0,85.0,302.0,48.0,101.0,9.0,4.0,87.0,38.0,7.0,105.0,21.0,25.0,180.0,10.0,19.0,11.0,20.0,12.0,126.0,14.0
2578,0.0,1.0,2.0,5.0,61.0,3.0,4.0,70.0,21.0,20.0,22.0,16.0,6.0,33.0,86.0,12.0,11.0,57.0,7.0,96.0,42.0,34.0,53.0,15.0,18.0,39.0,9.0,41.0,148.0,37.0
2627,0.0,1.0,7.0,4.0,68.0,12.0,11.0,69.0,327.0,26.0,326.0,36.0,10.0,417.0,98.0,24.0,6.0,71.0,94.0,364.0,70.0,2125.0,25.0,33.0,57.0,164.0,8.0,21.0,145.0,96.0
2676,0.0,1.0,4.0,6.0,20.0,3.0,2.0,15.0,132.0,105.0,131.0,103.0,7.0,169.0,53.0,36.0,14.0,160.0,12.0,86.0,29.0,107.0,8.0,24.0,30.0,13.0,11.0,5.0,204.0,19.0
2725,0.0,1.0,2.0,18.0,17.0,25.0,26.0,6.0,10.0,188.0,11.0,161.0,49.0,16.0,58.0,23.0,64.0,68.0,3.0,316.0,52.0,275.0,132.0,12.0,69.0,4.0,13.0,5.0,47.0,9.0
2774,0.0,1.0,13.0,6.0,64.0,10.0,9.0,3.0,63.0,109.0,62.0,107.0,4.0,85.0,117.0,5.0,70.0,113.0,2.0,59.0,57.0,492.0,8.0,27.0,28.0,12.0,11.0,22.0,76.0,17.0
2823,0.0,1.0,6.0,4.0,20.0,11.0,12.0,56.0,39.0,240.0,38.0,221.0,5.0,47.0,31.0,15.0,40.0,50.0,9.0,34.0,17.0,63.0,7.0,3.0,48.0,2.0,21.0,19.0,113.0,32.0
2872,0.0,1.0,2.0,8.0,78.0,73.0,72.0,1879.0,70.0,8074.0,71.0,6816.0,9.0,35.0,24.0,3.0,49.0,81.0,7.0,201.0,64.0,107.0,4.0,12.0,44.0,17.0,16.0,183.0,67.0,61.0
2921,0.0,1.0,3.0,5.0,57.0,25.0,26.0,28.0,12.0,38.0,13.0,27.0,6.0,35.0,67.0,2.0,63.0,21.0,7.0,59.0,321.0,23.0,16.0,9.0,40.0,22.0,4.0,17.0,914.0,39.0
2970,0.0,1.0,11.0,5.0,7.0,22.0,21.0,6.0,35.0,25.0,34.0,27.0,177.0,39.0,78.0,4.0,19.0,36.0,135.0,8.0,24.0,26.0,292.0,29.0,295.0,33.0,61.0,86.0,9.0,98.0
3019,0.0,1.0,3.0,4.0,16.0,7.0,8.0,2.0,31.0,36.0,32.0,39.0,129.0,37.0,57.0,19.0,18.0,90.0,15.0,12.0,13.0,5.0,47.0,38.0,144.0,165.0,63.0,17.0,14.0,128.0
3068,7.0,8.0,13.0,6.0,3.0,59.0,58.0,2.0,4.0,30.0,5.0,34.0,153.0,11.0,161.0,10.0,14.0,39.0,203.0,16.0,43.0,9.0,1168.0,18.0,543.0,53.0,60.0,162.0,36.0,275.0
3117,0.0,1.0,2.0,3.0,23.0,6.0,7.0,12.0,83.0,107.0,84.0,125.0,123.0,98.0,409.0,9.0,4.0,11.0,158.0,25.0,26.0,48.0,394.0,24.0,169.0,745.0,28.0,38.0,5.0,295.0
3166,6.0,10.0,3.0,2.0,7.0,15.0,16.0,31.0,24.0,114.0,25.0,136.0,225.0,9.0,62.0,0.0,4.0,28.0,52.0,13.0,19.0,39.0,441.0,33.0,209.0,88.0,71.0,95.0,8.0,187.0
3215,0.0,1.0,2.0,6.0,3.0,73.0,74.0,11.0,35.0,57.0,36.0,61.0,49.0,58.0,25.0,26.0,19.0,29.0,92.0,4.0,23.0,18.0,87.0,9.0,186.0,168.0,10.0,63.0,41.0,308.0
3264,1.0,0.0,36.0,8.0,43.0,41.0,42.0,9.0,79.0,13.0,80.0,10.0,123.0,97.0,1718.0,28.0,5.0,75.0,23.0,3.0,14.0,85.0,285.0,47.0,236.0,1776.0,20.0,30.0,15.0,514.0
3313,2.0,3.0,45.0,27.0,5.0,0.0,1.0,10.0,38.0,25.0,39.0,22.0,121.0,42.0,37.0,86.0,12.0,19.0,176.0,43.0,63.0,14.0,146.0,17.0,567.0,97.0,106.0,20.0,46.0,220.0
3362,0.0,1.0,16.0,4.0,23.0,12.0,11.0,7.0,39.0,244.0,40.0,238.0,57.0,56.0,798.0,10.0,67.0,177.0,119.0,18.0,19.0,43.0,298.0,33.0,111.0,25.0,49.0,197.0,5.0,112.0
3411,4.0,6.0,11.0,0.0,1.0,59.0,60.0,16.0,40.0,24.0,39.0,25.0,461.0,51.0,205.0,21.0,2.0,12.0,5.0,10.0,198.0,22.0,160.0,19.0,843.0,80.0,9.0,26.0,137.0,130.0
3460,8.0,9.0,49.0,21.0,0.0,66.0,65.0,12.0,2.0,23.0,1.0,24.0,6.0,7.0,81.0,168.0,5.0,159.0,732.0,4.0,28.0,97.0,17.0,16.0,15.0,13.0,22.0,219.0,10.0,40.0
3509,8.0,9.0,11.0,7.0,0.0,26.0,27.0,24.0,3.0,2.0,4.0,1.0,17.0,6.0,5.0,40.0,14.0,22.0,96.0,12.0,15.0,16.0,54.0,35.0,19.0,29.0,30.0,52.0,37.0,91.0
3558,8.0,9.0,2.0,1.0,0.0,2167.0,2166.0,57.0,17.0,12.0,16.0,11.0,30.0,22.0,3.0,410.0,35.0,19.0,29.0,34.0,15.0,93.0,26.0,24.0,20.0,10.0,27.0,72.0,18.0,36.0
3607,9.0,10.0,6.0,5.0,7.0,51.0,52.0,12.0,0.0,16.0,1.0,14.0,3.0,2.0,4.0,17.0,20.0,44.0,89.0,24.0,18.0,315.0,8.0,21.0,23.0,71.0,45.0,75.0,35.0,53.0
3656,2.0,3.0,5.0,16.0,26.0,96.0,97.0,11.0,13.0,103.0,12.0,114.0,1.0,18.0,6.0,4.0,8.0,22.0,20.0,19.0,28.0,688.0,7.0,24.0,9.0,64.0,32.0,176.0,54.0,50.0
