,hsa-miR-142-5p,hsa-miR-1307,hsa-miR-148a,hsa-miR-1976,hsa-miR-548b-5p,hsa-miR-1908,hsa-miR-550,hsa-miR-491-3p,hsa-miR-628-5p,hsa-miR-320c,hsa-miR-92a,hsa-miR-150,hsa-miR-668,hsa-miR-375,hsa-miR-186,hsa-miR-1256,hsa-miR-584,hsa-miR-143,ebv-miR-BART13,hsa-miR-384,hsa-miR-423-3p,hsa-miR-1285,hsa-miR-1197,hsa-miR-330-3p,hsa-miR-744,ebv-miR-BART20-5p,hsa-miR-1271,hcmv-miR-US5-1,hsa-miR-505,hsa-miR-1977
1193,0.0,26.0,13.0,4.0,7.0,3.0,106.0,2.0,17.0,12.0,28.0,25.0,9.0,56.0,78.0,340.0,60.0,21.0,27.0,11.0,16.0,15.0,1.0,53.0,87.0,6.0,8.0,45.0,34.0,43.0
1242,0.0,34.0,2.0,13.0,3.0,20.0,121.0,4.0,27.0,482.0,11.0,29.0,103.0,7.0,33.0,17.0,25.0,12.0,15.0,82.0,10.0,24.0,1.0,45.0,32.0,14.0,40.0,74.0,78.0,125.0
1291,0.0,36.0,2.0,1.0,3.0,42.0,49.0,7.0,6.0,12.0,20.0,55.0,48.0,26.0,9.0,10.0,86.0,11.0,22.0,32.0,4.0,23.0,21.0,41.0,33.0,13.0,27.0,78.0,17.0,19.0
1340,0.0,9.0,23.0,5.0,1.0,12.0,21.0,13.0,39.0,20.0,26.0,15.0,14.0,35.0,29.0,18.0,8.0,77.0,48.0,72.0,6.0,7.0,4.0,25.0,16.0,90.0,24.0,109.0,33.0,64.0
1389,0.0,1.0,15.0,14.0,8.0,6.0,9.0,2.0,19.0,34.0,65.0,12.0,7.0,57.0,10.0,4.0,21.0,31.0,32.0,84.0,28.0,36.0,24.0,29.0,5.0,66.0,18.0,89.0,30.0,56.0
1438,0.0,11.0,14.0,13.0,2.0,1.0,6.0,9.0,7.0,25.0,21.0,18.0,23.0,66.0,17.0,52.0,27.0,4.0,22.0,42.0,26.0,12.0,5.0,50.0,47.0,8.0,3.0,32.0,29.0,16.0
1487,0.0,3.0,17.0,4.0,1.0,6.0,28.0,24.0,7.0,20.0,32.0,22.0,10.0,57.0,14.0,12.0,15.0,53.0,26.0,18.0,29.0,8.0,16.0,65.0,84.0,36.0,39.0,25.0,66.0,2.0
1536,0.0,17.0,1.0,34.0,4.0,10.0,8.0,20.0,12.0,22.0,39.0,18.0,25.0,30.0,9.0,83.0,16.0,29.0,40.0,11.0,42.0,5.0,7.0,38.0,124.0,57.0,28.0,64.0,19.0,13.0
1585,0.0,19.0,1.0,15.0,32.0,53.0,3.0,2.0,12.0,4.0,6.0,14.0,39.0,50.0,24.0,10.0,8.0,16.0,46.0,9.0,112.0,60.0,5.0,72.0,293.0,35.0,40.0,34.0,43.0,41.0
1634,0.0,5.0,41.0,10.0,7.0,13.0,18.0,27.0,2.0,8.0,1.0,24.0,75.0,14.0,9.0,22.0,32.0,19.0,208.0,4.0,35.0,33.0,36.0,59.0,306.0,3.0,45.0,6.0,87.0,16.0
