,TSPYL5,LEPREL2,EMR1,LDOC1,AGAP4,PXDN,ZNF229,DUSP23,PTPN13,WNT5B,WNK4,RPS6KA6,ZYG11A,ZNF347,S100A4,ZNF518B,SH3BP1,ENPP2,C1orf233,ZNF502,TTC31,VWDE,CTF1,AC005624.2,ZNF90,OSR1,HBQ1,ZNF239,MFAP2,RP11-561C5.4
2753,1.0,9.0,0.0,27.0,4.0,8.0,31.0,5.0,17.0,2.0,12.0,18.0,650.0,52.0,297.0,35.0,38.0,121.0,116.0,289.0,133.0,83.0,48.0,69.0,76.0,58.0,37.0,39.0,21.0,42.0
2802,1.0,0.0,8.0,12.0,3.0,22.0,9.0,11.0,19.0,21.0,122.0,2.0,104.0,98.0,61.0,36.0,42.0,76.0,45.0,248.0,16.0,168.0,274.0,32.0,43.0,37.0,6.0,148.0,131.0,55.0
2851,0.0,2.0,1.0,67.0,20.0,56.0,7.0,4.0,3.0,40.0,15.0,12.0,87.0,37.0,22.0,43.0,27.0,70.0,48.0,46.0,10.0,89.0,118.0,90.0,145.0,123.0,54.0,25.0,66.0,41.0
2900,2.0,1.0,4.0,5.0,9.0,27.0,18.0,7.0,0.0,93.0,417.0,13.0,28.0,38.0,35.0,143.0,25.0,253.0,22.0,55.0,62.0,23.0,1857.0,83.0,32.0,111.0,11.0,89.0,105.0,59.0
2949,0.0,10.0,2.0,35.0,1.0,21.0,8.0,13.0,6.0,36.0,180.0,25.0,4.0,14.0,23.0,34.0,79.0,3.0,22.0,12.0,81.0,94.0,415.0,117.0,112.0,16.0,48.0,132.0,15.0,241.0
2998,0.0,11.0,3.0,10.0,16.0,5.0,4.0,15.0,6.0,55.0,254.0,8.0,2.0,101.0,76.0,18.0,113.0,30.0,232.0,28.0,24.0,104.0,74.0,9.0,50.0,37.0,119.0,833.0,1.0,356.0
3047,0.0,5.0,3.0,19.0,4.0,85.0,2.0,11.0,17.0,143.0,262.0,10.0,1.0,200.0,8.0,47.0,44.0,18.0,43.0,6.0,29.0,282.0,473.0,32.0,156.0,65.0,105.0,436.0,102.0,456.0
3096,0.0,9.0,2.0,105.0,4.0,7.0,3.0,6.0,14.0,34.0,142.0,5.0,1.0,47.0,20.0,180.0,53.0,27.0,16.0,8.0,36.0,45.0,346.0,91.0,204.0,44.0,28.0,111.0,12.0,214.0
3145,0.0,9.0,11.0,8.0,5.0,7.0,1.0,2.0,86.0,151.0,281.0,21.0,14.0,33.0,18.0,80.0,43.0,3.0,39.0,41.0,35.0,114.0,62.0,67.0,109.0,61.0,105.0,959.0,4.0,98.0
3194,0.0,2.0,1.0,37.0,6.0,3.0,7.0,46.0,18.0,16.0,47.0,17.0,4.0,232.0,39.0,53.0,101.0,10.0,90.0,11.0,51.0,107.0,1978.0,62.0,85.0,63.0,121.0,246.0,5.0,106.0
3243,1.0,3.0,2.0,35.0,0.0,56.0,10.0,15.0,115.0,78.0,167.0,60.0,20.0,153.0,11.0,40.0,75.0,17.0,27.0,30.0,31.0,288.0,854.0,49.0,131.0,22.0,366.0,430.0,8.0,42.0
3292,0.0,2.0,8.0,104.0,3.0,18.0,4.0,22.0,31.0,70.0,184.0,7.0,9.0,23.0,17.0,154.0,106.0,24.0,59.0,13.0,103.0,198.0,58.0,61.0,51.0,81.0,39.0,246.0,1.0,156.0
3341,0.0,4.0,1.0,30.0,2.0,27.0,5.0,6.0,113.0,16.0,132.0,7.0,3.0,69.0,29.0,194.0,101.0,10.0,22.0,23.0,172.0,180.0,440.0,41.0,71.0,13.0,75.0,125.0,9.0,78.0
3390,0.0,7.0,1.0,26.0,2.0,42.0,4.0,29.0,15.0,69.0,116.0,6.0,3.0,59.0,20.0,82.0,74.0,9.0,167.0,31.0,56.0,115.0,252.0,22.0,34.0,17.0,113.0,378.0,10.0,117.0
3439,0.0,1.0,2.0,4.0,5.0,3.0,29.0,20.0,8.0,71.0,74.0,11.0,12.0,33.0,27.0,366.0,17.0,244.0,15.0,137.0,77.0,49.0,45.0,329.0,34.0,72.0,61.0,21.0,559.0,38.0
