,C34:4 PC,inositol,uridine,GABA,serotonin,uracil,malondialdehyde,alpha-glycerophosphate,2-deoxycytidine,3-phosphoglycerate,creatine,butyrylcarnitine/isobutyrylcarnitine,2-deoxyadenosine,beta-alanine,urate,cotinine,creatinine,asparagine,cystathionine,phosphocreatine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,glutamine,isocitrate,C56:5 TAG,C16:0 LPE,pyroglutamic acid,C22:6 CE,sarcosine,hypoxanthine
511,3.0,2.0,6.0,43.0,11.0,27.0,8.0,4.0,12.0,30.0,1.0,9.0,0.0,20.0,5.0,28.0,7.0,41.0,29.0,25.0,64.0,21.0,18.0,51.0,15.0,37.0,22.0,32.0,66.0,45.0
560,0.0,4.0,1.0,43.0,5.0,8.0,18.0,22.0,2.0,29.0,13.0,14.0,6.0,64.0,11.0,19.0,32.0,23.0,33.0,59.0,41.0,25.0,10.0,28.0,15.0,62.0,56.0,12.0,27.0,31.0
609,0.0,1.0,2.0,7.0,25.0,6.0,32.0,12.0,14.0,21.0,9.0,18.0,3.0,27.0,8.0,57.0,44.0,5.0,4.0,61.0,22.0,50.0,17.0,16.0,58.0,31.0,26.0,38.0,19.0,46.0
658,1.0,7.0,0.0,21.0,37.0,11.0,41.0,13.0,3.0,15.0,22.0,8.0,2.0,5.0,9.0,40.0,33.0,27.0,19.0,32.0,4.0,28.0,54.0,14.0,50.0,31.0,10.0,62.0,25.0,6.0
707,1.0,2.0,0.0,23.0,10.0,3.0,63.0,9.0,4.0,39.0,29.0,43.0,5.0,21.0,14.0,17.0,50.0,11.0,42.0,58.0,28.0,26.0,41.0,57.0,53.0,64.0,19.0,38.0,8.0,13.0
756,0.0,1.0,2.0,62.0,14.0,4.0,31.0,50.0,7.0,25.0,5.0,3.0,12.0,37.0,38.0,20.0,9.0,8.0,54.0,17.0,21.0,16.0,55.0,28.0,15.0,10.0,6.0,61.0,32.0,11.0
805,0.0,2.0,1.0,29.0,3.0,4.0,34.0,28.0,20.0,42.0,6.0,33.0,12.0,5.0,24.0,26.0,14.0,13.0,38.0,36.0,9.0,11.0,8.0,15.0,37.0,50.0,56.0,25.0,19.0,39.0
854,0.0,2.0,1.0,16.0,29.0,3.0,12.0,57.0,59.0,41.0,8.0,6.0,39.0,24.0,5.0,20.0,26.0,14.0,9.0,37.0,31.0,54.0,32.0,23.0,7.0,28.0,13.0,34.0,52.0,10.0
903,0.0,1.0,16.0,5.0,7.0,50.0,44.0,46.0,11.0,33.0,21.0,3.0,2.0,22.0,19.0,45.0,25.0,4.0,12.0,38.0,18.0,29.0,9.0,8.0,40.0,28.0,31.0,59.0,60.0,37.0
952,3.0,0.0,5.0,15.0,20.0,4.0,57.0,12.0,24.0,38.0,2.0,16.0,9.0,7.0,36.0,63.0,22.0,1.0,34.0,25.0,23.0,66.0,27.0,41.0,8.0,33.0,40.0,13.0,56.0,48.0
1001,1.0,5.0,2.0,36.0,3.0,28.0,0.0,24.0,10.0,40.0,13.0,20.0,19.0,4.0,27.0,6.0,56.0,7.0,17.0,29.0,11.0,15.0,50.0,23.0,30.0,65.0,16.0,18.0,9.0,45.0
1050,4.0,1.0,2.0,34.0,0.0,32.0,5.0,12.0,8.0,39.0,38.0,42.0,10.0,3.0,14.0,18.0,36.0,15.0,19.0,56.0,16.0,7.0,44.0,11.0,13.0,23.0,37.0,63.0,29.0,59.0
1099,9.0,3.0,1.0,35.0,10.0,23.0,6.0,36.0,4.0,44.0,15.0,34.0,27.0,2.0,21.0,22.0,24.0,0.0,52.0,5.0,16.0,19.0,7.0,26.0,8.0,18.0,53.0,25.0,57.0,39.0
1148,0.0,1.0,4.0,36.0,9.0,2.0,3.0,23.0,18.0,45.0,7.0,33.0,30.0,17.0,14.0,13.0,15.0,31.0,19.0,27.0,8.0,20.0,22.0,12.0,24.0,46.0,34.0,57.0,52.0,6.0
1197,0.0,2.0,4.0,9.0,1.0,30.0,3.0,13.0,12.0,51.0,48.0,41.0,24.0,37.0,5.0,6.0,19.0,20.0,22.0,34.0,36.0,10.0,28.0,25.0,7.0,42.0,52.0,46.0,29.0,8.0
1246,0.0,9.0,3.0,6.0,2.0,8.0,1.0,27.0,7.0,11.0,12.0,19.0,32.0,4.0,46.0,18.0,33.0,30.0,17.0,61.0,20.0,21.0,35.0,5.0,26.0,10.0,45.0,40.0,43.0,16.0
1295,1.0,2.0,4.0,41.0,5.0,16.0,0.0,9.0,11.0,34.0,6.0,18.0,19.0,43.0,57.0,12.0,20.0,7.0,15.0,22.0,44.0,3.0,54.0,24.0,17.0,42.0,51.0,64.0,38.0,29.0
1344,2.0,11.0,57.0,13.0,0.0,23.0,1.0,6.0,12.0,10.0,14.0,9.0,44.0,4.0,19.0,18.0,24.0,5.0,21.0,8.0,54.0,29.0,28.0,3.0,20.0,30.0,49.0,22.0,38.0,27.0
1393,0.0,2.0,24.0,13.0,10.0,8.0,1.0,39.0,19.0,4.0,6.0,42.0,35.0,9.0,44.0,15.0,55.0,23.0,46.0,7.0,37.0,3.0,22.0,14.0,5.0,18.0,31.0,49.0,47.0,16.0
1442,0.0,1.0,4.0,30.0,2.0,15.0,9.0,19.0,3.0,13.0,16.0,7.0,17.0,11.0,18.0,14.0,8.0,28.0,39.0,25.0,24.0,5.0,23.0,62.0,49.0,57.0,36.0,37.0,64.0,32.0
1491,0.0,21.0,1.0,2.0,9.0,3.0,15.0,11.0,6.0,16.0,8.0,10.0,32.0,45.0,26.0,17.0,23.0,42.0,30.0,7.0,19.0,46.0,50.0,41.0,4.0,58.0,5.0,28.0,31.0,49.0
1540,0.0,1.0,4.0,3.0,14.0,11.0,45.0,8.0,5.0,6.0,61.0,18.0,46.0,9.0,26.0,29.0,12.0,58.0,15.0,31.0,20.0,16.0,64.0,63.0,25.0,19.0,2.0,23.0,24.0,17.0
1589,2.0,10.0,9.0,7.0,12.0,3.0,11.0,24.0,20.0,8.0,37.0,27.0,16.0,4.0,48.0,51.0,17.0,35.0,52.0,0.0,15.0,14.0,43.0,21.0,1.0,5.0,28.0,60.0,18.0,40.0
1638,0.0,3.0,7.0,4.0,9.0,6.0,11.0,27.0,15.0,18.0,61.0,36.0,17.0,14.0,43.0,29.0,23.0,24.0,1.0,8.0,25.0,55.0,45.0,41.0,37.0,19.0,2.0,48.0,62.0,21.0
1687,0.0,1.0,41.0,2.0,11.0,6.0,22.0,9.0,4.0,14.0,62.0,49.0,5.0,17.0,12.0,29.0,20.0,30.0,28.0,40.0,3.0,39.0,24.0,64.0,42.0,15.0,23.0,25.0,56.0,8.0
1736,0.0,1.0,66.0,6.0,7.0,13.0,3.0,21.0,2.0,37.0,29.0,32.0,31.0,4.0,41.0,26.0,22.0,35.0,18.0,5.0,17.0,56.0,14.0,33.0,25.0,38.0,10.0,24.0,11.0,46.0
1785,0.0,2.0,13.0,19.0,14.0,9.0,35.0,27.0,3.0,24.0,26.0,37.0,30.0,1.0,20.0,25.0,5.0,16.0,11.0,31.0,17.0,10.0,42.0,33.0,45.0,39.0,4.0,15.0,48.0,57.0
1834,0.0,13.0,6.0,5.0,2.0,10.0,30.0,26.0,3.0,9.0,25.0,4.0,11.0,12.0,18.0,23.0,34.0,48.0,52.0,14.0,7.0,35.0,57.0,16.0,21.0,40.0,1.0,55.0,46.0,17.0
1883,1.0,0.0,6.0,13.0,9.0,14.0,5.0,42.0,3.0,7.0,4.0,49.0,2.0,10.0,34.0,53.0,30.0,50.0,22.0,11.0,33.0,38.0,32.0,61.0,59.0,19.0,12.0,20.0,58.0,23.0
1932,0.0,1.0,25.0,8.0,12.0,11.0,2.0,4.0,10.0,57.0,45.0,35.0,17.0,3.0,31.0,7.0,38.0,61.0,32.0,28.0,5.0,52.0,16.0,30.0,29.0,13.0,33.0,22.0,24.0,26.0
1981,12.0,7.0,23.0,39.0,2.0,1.0,4.0,16.0,41.0,30.0,6.0,9.0,14.0,20.0,27.0,8.0,17.0,45.0,24.0,38.0,28.0,46.0,5.0,19.0,3.0,15.0,42.0,29.0,22.0,26.0
2030,1.0,0.0,34.0,10.0,42.0,3.0,2.0,16.0,14.0,25.0,29.0,24.0,19.0,6.0,41.0,8.0,53.0,17.0,22.0,11.0,50.0,27.0,4.0,15.0,20.0,13.0,37.0,31.0,49.0,7.0
2079,0.0,11.0,2.0,44.0,5.0,19.0,3.0,15.0,17.0,4.0,8.0,12.0,6.0,7.0,13.0,20.0,52.0,22.0,28.0,10.0,33.0,26.0,1.0,24.0,30.0,9.0,31.0,42.0,58.0,45.0
2128,1.0,20.0,7.0,13.0,0.0,10.0,6.0,45.0,19.0,22.0,5.0,3.0,2.0,41.0,9.0,4.0,26.0,21.0,8.0,29.0,27.0,17.0,14.0,44.0,40.0,28.0,65.0,25.0,46.0,23.0
2177,1.0,0.0,6.0,10.0,19.0,5.0,8.0,15.0,38.0,13.0,64.0,3.0,17.0,7.0,39.0,9.0,16.0,54.0,18.0,14.0,46.0,20.0,2.0,57.0,49.0,32.0,48.0,29.0,11.0,24.0
2226,3.0,16.0,2.0,0.0,13.0,6.0,1.0,35.0,19.0,32.0,20.0,18.0,12.0,15.0,31.0,25.0,4.0,43.0,27.0,10.0,5.0,63.0,24.0,42.0,7.0,49.0,44.0,28.0,23.0,34.0
2275,0.0,9.0,6.0,1.0,3.0,7.0,32.0,27.0,45.0,14.0,11.0,4.0,19.0,26.0,24.0,20.0,13.0,31.0,8.0,5.0,52.0,18.0,2.0,53.0,15.0,12.0,66.0,16.0,64.0,51.0
2324,0.0,1.0,2.0,44.0,5.0,18.0,4.0,26.0,28.0,62.0,16.0,11.0,7.0,41.0,25.0,13.0,12.0,35.0,21.0,6.0,56.0,57.0,3.0,8.0,20.0,15.0,14.0,45.0,22.0,58.0
2373,2.0,0.0,30.0,6.0,3.0,5.0,1.0,12.0,19.0,58.0,26.0,17.0,8.0,22.0,40.0,56.0,35.0,9.0,27.0,31.0,42.0,18.0,44.0,29.0,15.0,21.0,61.0,52.0,14.0,7.0
2422,0.0,4.0,12.0,20.0,3.0,34.0,8.0,33.0,5.0,6.0,16.0,13.0,18.0,46.0,25.0,7.0,31.0,36.0,17.0,9.0,53.0,1.0,2.0,30.0,48.0,52.0,60.0,32.0,56.0,19.0
