,NERVOUS,HAEMATOPOIETIC,LUNG,STOMACH,OVARY,PANCREAS,BREAST,URINARY,LIVER,LARGE_INTESTINE,SKIN,OESOPHAGUS,ENDOMETRIUM,PROSTATE,BONE,SOFT_TISSUE,KIDNEY,THYROID,PLEURA,AERODIGESTIVE,GANGLIA,BILIARY,SALIVARY
3723,2.0,3.0,0.0,16.0,15.0,4.0,5.0,1.0,6.0,7.0,8.0,10.0,14.0,19.0,12.0,18.0,11.0,17.0,13.0,9.0,21.0,22.0,20.0
3772,4.0,1.0,0.0,14.0,5.0,7.0,9.0,3.0,2.0,6.0,8.0,10.0,11.0,12.0,15.0,13.0,19.0,17.0,16.0,18.0,20.0,22.0,21.0
3821,1.0,13.0,5.0,14.0,2.0,7.0,3.0,0.0,4.0,9.0,8.0,6.0,10.0,12.0,11.0,16.0,18.0,17.0,15.0,19.0,20.0,22.0,21.0
3870,14.0,4.0,0.0,15.0,7.0,13.0,3.0,1.0,10.0,2.0,9.0,5.0,12.0,6.0,11.0,17.0,16.0,8.0,21.0,18.0,19.0,22.0,20.0
3919,2.0,4.0,0.0,12.0,3.0,5.0,11.0,1.0,7.0,6.0,9.0,13.0,16.0,8.0,10.0,14.0,17.0,21.0,15.0,18.0,19.0,22.0,20.0
3968,6.0,1.0,0.0,4.0,14.0,2.0,3.0,5.0,8.0,10.0,7.0,9.0,11.0,12.0,15.0,13.0,18.0,16.0,21.0,17.0,19.0,20.0,22.0
4017,1.0,2.0,5.0,0.0,7.0,3.0,4.0,6.0,8.0,13.0,18.0,11.0,15.0,16.0,14.0,17.0,9.0,10.0,22.0,20.0,12.0,19.0,21.0
4066,9.0,1.0,7.0,14.0,8.0,0.0,4.0,10.0,5.0,3.0,6.0,19.0,13.0,2.0,12.0,16.0,11.0,15.0,22.0,17.0,18.0,20.0,21.0
4115,1.0,2.0,5.0,6.0,15.0,3.0,4.0,0.0,7.0,9.0,13.0,8.0,10.0,12.0,11.0,16.0,14.0,17.0,21.0,18.0,19.0,20.0,22.0
4164,7.0,0.0,1.0,5.0,2.0,4.0,9.0,6.0,3.0,11.0,8.0,10.0,12.0,15.0,16.0,17.0,19.0,18.0,22.0,14.0,13.0,20.0,21.0
4213,13.0,0.0,7.0,1.0,2.0,14.0,5.0,8.0,6.0,15.0,9.0,4.0,12.0,3.0,11.0,16.0,10.0,19.0,22.0,17.0,18.0,20.0,21.0
4262,1.0,2.0,0.0,3.0,5.0,10.0,8.0,4.0,13.0,7.0,18.0,6.0,11.0,12.0,16.0,14.0,15.0,22.0,20.0,17.0,9.0,19.0,21.0
4311,3.0,0.0,22.0,6.0,20.0,1.0,5.0,2.0,4.0,15.0,19.0,16.0,7.0,17.0,8.0,12.0,11.0,10.0,21.0,14.0,13.0,9.0,18.0
4360,0.0,1.0,15.0,5.0,8.0,3.0,4.0,7.0,6.0,13.0,2.0,12.0,10.0,11.0,16.0,17.0,9.0,18.0,21.0,14.0,20.0,22.0,19.0
4409,4.0,9.0,0.0,7.0,5.0,3.0,2.0,11.0,6.0,1.0,8.0,15.0,14.0,17.0,13.0,12.0,18.0,10.0,21.0,19.0,16.0,20.0,22.0
4458,0.0,5.0,13.0,2.0,4.0,11.0,1.0,3.0,7.0,6.0,15.0,9.0,12.0,8.0,18.0,14.0,16.0,20.0,17.0,19.0,10.0,21.0,22.0
4507,10.0,2.0,9.0,0.0,1.0,7.0,3.0,11.0,8.0,6.0,4.0,18.0,15.0,5.0,13.0,19.0,16.0,12.0,14.0,22.0,17.0,20.0,21.0
4556,0.0,2.0,1.0,5.0,7.0,3.0,4.0,6.0,9.0,10.0,8.0,20.0,14.0,11.0,12.0,15.0,18.0,16.0,13.0,17.0,19.0,21.0,22.0
4605,2.0,0.0,1.0,5.0,3.0,4.0,9.0,6.0,8.0,7.0,17.0,13.0,12.0,15.0,16.0,11.0,18.0,10.0,19.0,14.0,22.0,20.0,21.0
4654,8.0,4.0,1.0,10.0,3.0,2.0,11.0,9.0,0.0,5.0,6.0,18.0,15.0,7.0,13.0,21.0,12.0,19.0,14.0,16.0,17.0,20.0,22.0
4703,13.0,8.0,2.0,1.0,6.0,15.0,0.0,7.0,4.0,3.0,5.0,12.0,14.0,17.0,19.0,11.0,9.0,10.0,18.0,20.0,16.0,21.0,22.0
4752,9.0,3.0,8.0,10.0,2.0,0.0,1.0,12.0,6.0,5.0,7.0,19.0,11.0,4.0,15.0,13.0,14.0,20.0,16.0,17.0,18.0,21.0,22.0
4801,1.0,0.0,10.0,14.0,2.0,8.0,3.0,13.0,4.0,6.0,7.0,19.0,9.0,5.0,21.0,11.0,16.0,12.0,15.0,17.0,18.0,20.0,22.0
4850,2.0,0.0,3.0,14.0,5.0,1.0,6.0,13.0,9.0,4.0,7.0,20.0,8.0,10.0,15.0,11.0,17.0,12.0,16.0,18.0,19.0,21.0,22.0
4899,3.0,15.0,2.0,0.0,4.0,1.0,7.0,16.0,8.0,5.0,6.0,9.0,11.0,12.0,19.0,13.0,17.0,14.0,20.0,10.0,18.0,22.0,21.0
