,BRAF_MUT,BRAF.V600E_MUT,KRAS_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,TTN_MUT,KIAA1217_DEL,FAM21A_DEL,HLA-H_DEL,NRAS_MUT,MIR548AI_DEL,RHD_DEL,CDC73_AMP,ZNF423_MUT,FAM35B_DEL,TNK2_MUT,FAM66A_DEL,NBPF16_DEL,UNC13C_MUT,LOC728875_DEL,LINC00221_DEL,SORD_AMP,MITF_AMP,HLA-DRB1_AMP,PUS7_DEL,LINC00226_AMP,MACROD2_AMP,CFHR3_AMP,ATG10_DEL,LGALS9C_DEL
1499,0.0,3.0,2.0,4.0,26.0,7.0,5.0,1.0,13.0,33.0,36.0,56.0,30.0,8.0,1302.0,44.0,6900.0,40.0,38.0,16.0,42.0,11.0,75.0,6.0,307.0,64.0,22.0,46.0,108.0,66.0
1548,0.0,1.0,3.0,7.0,6.0,8.0,10.0,2.0,5.0,38.0,32.0,16.0,14.0,12.0,395.0,44.0,1296.0,73.0,15.0,39.0,62.0,4.0,17.0,85.0,155.0,58.0,37.0,13.0,36.0,123.0
1597,0.0,4.0,2.0,3.0,8.0,14.0,39.0,1.0,5.0,51.0,94.0,97.0,32.0,108.0,196.0,21.0,40.0,75.0,6.0,41.0,880.0,48.0,136.0,9.0,1639.0,113.0,63.0,29.0,167.0,7.0
1646,0.0,1.0,7.0,10.0,4.0,13.0,5.0,2.0,3.0,27.0,14.0,45.0,12.0,71.0,858.0,41.0,929.0,828.0,8.0,118.0,103.0,6.0,25.0,32.0,326.0,15.0,28.0,11.0,17.0,26.0
1695,0.0,1.0,5.0,7.0,6.0,4.0,9.0,3.0,2.0,32.0,10.0,430.0,17.0,95.0,540.0,27.0,187.0,62.0,20.0,365.0,276.0,12.0,38.0,45.0,228.0,8.0,30.0,307.0,42.0,11.0
1744,0.0,1.0,6.0,9.0,3.0,2.0,8.0,4.0,7.0,26.0,17.0,19.0,13.0,43.0,356.0,24.0,392.0,63.0,10.0,45.0,46.0,5.0,15.0,21.0,314.0,14.0,33.0,91.0,16.0,50.0
1793,0.0,1.0,3.0,6.0,4.0,9.0,11.0,2.0,5.0,12.0,28.0,97.0,16.0,36.0,263.0,31.0,765.0,33.0,7.0,100.0,120.0,8.0,23.0,45.0,354.0,46.0,50.0,18.0,40.0,13.0
1842,0.0,1.0,2.0,5.0,6.0,3.0,12.0,4.0,7.0,29.0,192.0,19.0,13.0,31.0,180.0,25.0,260.0,342.0,9.0,108.0,267.0,11.0,24.0,14.0,297.0,45.0,68.0,10.0,189.0,8.0
1891,0.0,2.0,15.0,14.0,4.0,24.0,10.0,1.0,8.0,45.0,17.0,11.0,5.0,16.0,159.0,52.0,658.0,59.0,9.0,442.0,62.0,3.0,37.0,11126.0,389.0,31.0,26.0,76.0,18.0,196.0
1940,0.0,1.0,2.0,3.0,4.0,7.0,9.0,5.0,10.0,20.0,35.0,17.0,8.0,62.0,202.0,69.0,186.0,19.0,18.0,46.0,420.0,6.0,22.0,28.0,60.0,27.0,61.0,11.0,158.0,21.0
1989,0.0,5.0,2.0,4.0,10.0,21.0,1.0,3.0,40.0,6.0,17.0,3354.0,58.0,301.0,35.0,11.0,19.0,25.0,20.0,48.0,49.0,83.0,146.0,9.0,67.0,412.0,1039.0,4344.0,8.0,38.0
2038,0.0,1.0,6.0,5.0,7.0,21.0,13.0,2.0,4.0,275.0,77.0,51.0,3.0,266.0,396.0,28.0,191.0,12.0,8.0,169.0,2344.0,16.0,38.0,17.0,466.0,14.0,55.0,46.0,24.0,126.0
2087,0.0,2.0,1.0,4.0,5.0,3.0,16.0,26.0,11.0,12.0,6.0,38.0,10.0,123.0,89.0,32.0,8.0,271.0,59.0,29.0,71.0,39.0,184.0,7.0,28.0,34.0,55.0,33.0,68.0,25.0
2136,0.0,1.0,2.0,3.0,5.0,6.0,8.0,13.0,29.0,30.0,35.0,42.0,4.0,871.0,32.0,50.0,9.0,10.0,25.0,20.0,215.0,34.0,268.0,11.0,79.0,14.0,97.0,26.0,23.0,81.0
2185,0.0,3.0,1.0,2.0,6.0,4.0,34.0,8.0,59.0,13.0,12.0,81.0,5.0,603.0,31.0,36.0,22.0,20.0,48.0,85.0,91.0,50.0,296.0,40.0,399.0,9.0,150.0,10.0,28.0,122.0
2234,0.0,1.0,2.0,3.0,7.0,5.0,8.0,9.0,49.0,14.0,30.0,17.0,4.0,825.0,10.0,27.0,12.0,22.0,57.0,6.0,73.0,18.0,221.0,11.0,105.0,185.0,50.0,21.0,25.0,20.0
2283,0.0,5.0,1.0,2.0,10.0,7.0,14.0,4.0,24.0,9.0,52.0,237.0,3.0,408.0,19.0,11.0,13.0,25.0,15.0,8.0,56.0,769.0,263.0,6.0,48.0,16.0,89.0,29.0,59.0,39.0
2332,0.0,1.0,2.0,3.0,6.0,13.0,5.0,4.0,20.0,11.0,18.0,63.0,8.0,663.0,22.0,21.0,38.0,37.0,17.0,47.0,185.0,200.0,121.0,16.0,50.0,24.0,57.0,82.0,23.0,9.0
2381,0.0,3.0,1.0,2.0,5.0,16.0,17.0,7.0,68.0,10.0,12.0,125.0,4.0,1005.0,18.0,22.0,6.0,32.0,29.0,9.0,293.0,23.0,184.0,34.0,30.0,19.0,43.0,466.0,39.0,110.0
2430,0.0,3.0,1.0,2.0,15.0,17.0,4.0,5.0,48.0,21.0,188.0,178.0,8.0,748.0,78.0,18.0,7.0,12.0,25.0,9.0,115.0,80.0,1788.0,6.0,52.0,43.0,37.0,58.0,26.0,268.0
2479,0.0,1.0,4.0,6.0,7.0,2.0,76.0,8.0,11.0,13.0,9.0,10.0,12.0,21.0,36.0,33.0,27.0,85.0,20.0,31.0,50.0,456.0,24.0,25.0,40.0,429.0,15.0,5.0,78.0,16.0
