,MEK1_pS217_S221,PTEN,Porin,SCD1,p90RSK_pT359_S363,Notch1,AMPK_pT172,Bax,PREX1,HER3,GATA3,Cyclin_D1,CD31,PDCD4,Smac,eEF2K,GAPDH,c-Myc,SF2,14-3-3_beta,4E-BP1_pS65,MSH6,Bcl-2,XBP1,MAPK_pT202_Y204,VAV1,RSK1-2-3,EGFR,p38_pT180_Y182,p27_pT157
3384,2.0,3.0,1.0,0.0,9.0,24.0,10.0,5.0,4.0,12.0,7.0,120.0,11.0,21.0,23.0,20.0,25.0,82.0,15.0,17.0,102.0,40.0,16.0,46.0,19.0,50.0,52.0,115.0,31.0,33.0
3433,0.0,2.0,3.0,1.0,8.0,7.0,24.0,12.0,9.0,5.0,28.0,25.0,19.0,4.0,13.0,122.0,10.0,15.0,22.0,31.0,18.0,16.0,32.0,72.0,48.0,53.0,23.0,121.0,76.0,30.0
3482,0.0,2.0,3.0,1.0,6.0,5.0,17.0,92.0,8.0,14.0,4.0,11.0,16.0,7.0,23.0,34.0,12.0,13.0,20.0,24.0,18.0,31.0,10.0,52.0,51.0,35.0,77.0,15.0,76.0,28.0
3531,0.0,3.0,14.0,1.0,2.0,9.0,5.0,25.0,22.0,10.0,16.0,12.0,17.0,4.0,62.0,20.0,107.0,8.0,6.0,27.0,13.0,21.0,90.0,45.0,43.0,11.0,19.0,15.0,73.0,18.0
3580,0.0,3.0,2.0,1.0,12.0,5.0,25.0,88.0,24.0,4.0,117.0,13.0,19.0,70.0,59.0,125.0,116.0,79.0,7.0,47.0,14.0,21.0,87.0,49.0,8.0,51.0,9.0,16.0,74.0,29.0
3629,1.0,2.0,15.0,0.0,11.0,6.0,12.0,27.0,18.0,9.0,103.0,3.0,84.0,5.0,19.0,113.0,104.0,13.0,29.0,48.0,26.0,32.0,10.0,22.0,23.0,17.0,4.0,16.0,40.0,35.0
3678,0.0,5.0,3.0,2.0,38.0,7.0,20.0,30.0,8.0,4.0,14.0,9.0,6.0,1.0,23.0,112.0,26.0,10.0,66.0,49.0,21.0,11.0,19.0,52.0,47.0,29.0,12.0,25.0,37.0,24.0
3727,0.0,1.0,2.0,11.0,4.0,9.0,10.0,95.0,14.0,8.0,3.0,7.0,23.0,5.0,51.0,19.0,110.0,15.0,24.0,27.0,13.0,25.0,21.0,18.0,30.0,12.0,20.0,6.0,39.0,32.0
3776,0.0,2.0,4.0,3.0,5.0,18.0,16.0,90.0,6.0,1.0,8.0,14.0,13.0,7.0,23.0,110.0,123.0,24.0,11.0,47.0,103.0,26.0,29.0,25.0,21.0,9.0,19.0,20.0,32.0,15.0
3825,4.0,1.0,8.0,11.0,0.0,2.0,97.0,91.0,20.0,5.0,3.0,28.0,17.0,9.0,15.0,117.0,23.0,25.0,14.0,29.0,13.0,38.0,27.0,46.0,43.0,12.0,7.0,10.0,74.0,40.0
3874,0.0,6.0,12.0,1.0,24.0,8.0,97.0,13.0,9.0,3.0,14.0,26.0,25.0,4.0,54.0,28.0,19.0,15.0,2.0,20.0,5.0,37.0,7.0,27.0,21.0,40.0,11.0,10.0,74.0,63.0
3923,7.0,0.0,2.0,1.0,10.0,4.0,13.0,103.0,60.0,5.0,19.0,23.0,22.0,21.0,6.0,126.0,3.0,28.0,68.0,79.0,27.0,44.0,9.0,15.0,53.0,31.0,65.0,125.0,56.0,34.0
3972,3.0,0.0,2.0,1.0,5.0,10.0,21.0,29.0,19.0,12.0,6.0,8.0,4.0,22.0,25.0,23.0,7.0,89.0,63.0,17.0,11.0,31.0,16.0,50.0,30.0,9.0,26.0,101.0,60.0,32.0
4021,3.0,0.0,1.0,10.0,7.0,2.0,100.0,15.0,12.0,5.0,19.0,6.0,13.0,28.0,29.0,121.0,9.0,88.0,33.0,4.0,18.0,44.0,21.0,11.0,22.0,55.0,69.0,120.0,43.0,46.0
4070,8.0,0.0,2.0,1.0,6.0,10.0,13.0,102.0,7.0,9.0,26.0,5.0,16.0,15.0,19.0,126.0,3.0,17.0,60.0,21.0,11.0,12.0,23.0,47.0,25.0,18.0,58.0,124.0,31.0,33.0
4119,4.0,0.0,5.0,1.0,3.0,13.0,9.0,17.0,8.0,11.0,7.0,6.0,10.0,63.0,18.0,24.0,2.0,23.0,65.0,48.0,15.0,39.0,30.0,51.0,42.0,19.0,67.0,124.0,32.0,46.0
4168,17.0,0.0,3.0,2.0,5.0,4.0,11.0,24.0,14.0,7.0,10.0,15.0,6.0,13.0,22.0,111.0,1.0,27.0,52.0,76.0,8.0,35.0,90.0,47.0,41.0,18.0,25.0,21.0,51.0,38.0
4217,1.0,2.0,4.0,0.0,8.0,12.0,19.0,20.0,22.0,3.0,17.0,6.0,5.0,9.0,10.0,24.0,7.0,28.0,56.0,18.0,104.0,40.0,21.0,45.0,48.0,41.0,29.0,115.0,65.0,36.0
4266,3.0,1.0,2.0,0.0,8.0,6.0,10.0,90.0,14.0,4.0,9.0,7.0,25.0,16.0,11.0,13.0,5.0,83.0,32.0,17.0,12.0,40.0,15.0,47.0,45.0,36.0,66.0,123.0,74.0,53.0
4315,3.0,0.0,2.0,1.0,4.0,5.0,13.0,91.0,14.0,9.0,10.0,8.0,93.0,72.0,20.0,19.0,18.0,27.0,32.0,15.0,21.0,44.0,7.0,12.0,34.0,6.0,26.0,112.0,76.0,77.0
4364,10.0,1.0,6.0,0.0,2.0,9.0,15.0,20.0,17.0,5.0,8.0,14.0,3.0,18.0,23.0,16.0,13.0,100.0,24.0,46.0,7.0,41.0,12.0,49.0,25.0,19.0,65.0,27.0,31.0,28.0
4413,2.0,1.0,10.0,3.0,16.0,0.0,7.0,4.0,5.0,21.0,8.0,116.0,17.0,67.0,28.0,115.0,6.0,82.0,14.0,13.0,25.0,34.0,24.0,44.0,19.0,26.0,27.0,15.0,50.0,29.0
4462,1.0,0.0,6.0,8.0,16.0,4.0,10.0,3.0,2.0,11.0,7.0,32.0,96.0,12.0,54.0,15.0,117.0,23.0,5.0,14.0,113.0,31.0,27.0,43.0,28.0,33.0,30.0,9.0,37.0,40.0
4511,3.0,4.0,1.0,0.0,13.0,7.0,6.0,2.0,5.0,21.0,8.0,121.0,108.0,17.0,12.0,14.0,27.0,81.0,11.0,46.0,105.0,38.0,90.0,24.0,15.0,10.0,19.0,23.0,32.0,34.0
4560,0.0,2.0,3.0,4.0,9.0,5.0,15.0,1.0,6.0,8.0,11.0,123.0,10.0,7.0,18.0,12.0,28.0,84.0,55.0,16.0,105.0,41.0,22.0,43.0,25.0,14.0,59.0,13.0,33.0,35.0
4609,1.0,2.0,0.0,5.0,15.0,4.0,3.0,11.0,6.0,12.0,10.0,122.0,20.0,22.0,60.0,14.0,118.0,19.0,25.0,35.0,105.0,40.0,24.0,26.0,8.0,51.0,64.0,21.0,16.0,30.0
4658,7.0,0.0,1.0,2.0,6.0,3.0,24.0,4.0,5.0,8.0,107.0,30.0,16.0,19.0,15.0,11.0,106.0,23.0,12.0,27.0,73.0,18.0,13.0,59.0,84.0,28.0,9.0,93.0,45.0,47.0
4707,3.0,0.0,6.0,4.0,12.0,9.0,10.0,1.0,2.0,29.0,5.0,34.0,32.0,28.0,11.0,19.0,117.0,8.0,18.0,33.0,104.0,13.0,24.0,14.0,48.0,15.0,23.0,7.0,56.0,54.0
4756,2.0,0.0,4.0,5.0,18.0,7.0,20.0,1.0,13.0,21.0,3.0,110.0,84.0,15.0,12.0,6.0,114.0,89.0,22.0,17.0,106.0,41.0,9.0,11.0,14.0,43.0,58.0,8.0,31.0,34.0
4805,4.0,1.0,6.0,0.0,13.0,5.0,12.0,2.0,3.0,24.0,25.0,106.0,26.0,7.0,17.0,8.0,109.0,14.0,10.0,15.0,104.0,35.0,23.0,49.0,33.0,16.0,77.0,9.0,32.0,46.0
4854,2.0,4.0,5.0,0.0,9.0,3.0,6.0,1.0,7.0,19.0,35.0,33.0,21.0,26.0,18.0,8.0,112.0,93.0,11.0,13.0,34.0,38.0,12.0,17.0,15.0,23.0,64.0,10.0,41.0,46.0
