,VAV1,Akt_pS473,VHL,YAP_pS127,Stathmin,alpha-Catenin,beta-Catenin,Claudin-7,HER3,Heregulin,p62 Lck ligand,SF2,PI3K-p110-alpha,Chk1,Raptor,PEA15,Chk1_pS345,p90RSK_pT573,Bcl-2,Bax,Caspase-7_cleavedD198,MIG-6,Src_pY416,MAPK_pT202_Y204,Tuberin_pT1462,N-Cadherin,p21,EGFR,Lck,Transglutaminase
3630,0.0,2.0,3.0,4.0,1.0,6.0,5.0,7.0,45.0,8.0,40.0,19.0,17.0,50.0,18.0,89.0,35.0,44.0,9.0,12.0,11.0,24.0,133.0,32.0,20.0,102.0,31.0,71.0,15.0,22.0
3679,0.0,4.0,8.0,2.0,5.0,1.0,10.0,9.0,43.0,3.0,61.0,6.0,37.0,7.0,25.0,45.0,12.0,103.0,15.0,29.0,23.0,21.0,97.0,63.0,55.0,125.0,84.0,32.0,19.0,100.0
3728,1.0,0.0,17.0,6.0,3.0,2.0,8.0,4.0,9.0,23.0,22.0,46.0,107.0,68.0,15.0,50.0,26.0,11.0,65.0,14.0,37.0,82.0,92.0,35.0,13.0,85.0,34.0,7.0,56.0,59.0
3777,0.0,1.0,5.0,8.0,2.0,3.0,29.0,15.0,102.0,4.0,19.0,13.0,47.0,21.0,28.0,12.0,14.0,18.0,10.0,32.0,31.0,35.0,52.0,27.0,43.0,55.0,22.0,59.0,41.0,88.0
3826,0.0,1.0,3.0,15.0,10.0,2.0,5.0,4.0,27.0,47.0,25.0,21.0,8.0,31.0,7.0,46.0,19.0,13.0,12.0,23.0,6.0,63.0,142.0,22.0,40.0,82.0,29.0,56.0,9.0,65.0
3875,0.0,1.0,2.0,6.0,3.0,4.0,13.0,5.0,10.0,9.0,12.0,19.0,14.0,125.0,8.0,113.0,24.0,39.0,15.0,37.0,7.0,25.0,34.0,23.0,105.0,43.0,95.0,20.0,45.0,89.0
3924,0.0,1.0,3.0,2.0,5.0,4.0,11.0,26.0,13.0,61.0,30.0,10.0,7.0,12.0,51.0,16.0,40.0,74.0,33.0,15.0,36.0,27.0,58.0,122.0,88.0,14.0,17.0,131.0,29.0,39.0
3973,0.0,1.0,4.0,2.0,3.0,6.0,5.0,7.0,9.0,109.0,16.0,13.0,23.0,26.0,31.0,19.0,11.0,41.0,17.0,32.0,74.0,102.0,18.0,40.0,52.0,86.0,27.0,84.0,88.0,29.0
4022,0.0,1.0,6.0,2.0,45.0,4.0,5.0,80.0,7.0,48.0,54.0,77.0,58.0,71.0,50.0,19.0,28.0,32.0,16.0,18.0,31.0,124.0,8.0,65.0,38.0,27.0,62.0,73.0,17.0,161.0
4071,0.0,1.0,3.0,2.0,4.0,13.0,5.0,27.0,7.0,24.0,10.0,16.0,21.0,35.0,22.0,8.0,6.0,34.0,17.0,12.0,15.0,147.0,40.0,71.0,123.0,38.0,78.0,26.0,46.0,51.0
4120,0.0,1.0,3.0,2.0,6.0,7.0,21.0,26.0,5.0,11.0,20.0,71.0,108.0,15.0,17.0,4.0,8.0,30.0,60.0,10.0,24.0,75.0,16.0,61.0,128.0,148.0,37.0,58.0,12.0,124.0
4169,0.0,1.0,5.0,2.0,23.0,14.0,3.0,43.0,11.0,41.0,16.0,4.0,122.0,142.0,54.0,34.0,33.0,7.0,39.0,18.0,10.0,65.0,79.0,78.0,137.0,45.0,55.0,27.0,40.0,64.0
4218,0.0,1.0,4.0,2.0,11.0,5.0,6.0,62.0,3.0,29.0,7.0,8.0,44.0,74.0,10.0,14.0,22.0,12.0,23.0,35.0,17.0,109.0,13.0,16.0,34.0,19.0,28.0,18.0,31.0,24.0
4267,0.0,1.0,2.0,3.0,7.0,4.0,5.0,30.0,6.0,91.0,13.0,20.0,48.0,14.0,8.0,21.0,28.0,45.0,77.0,59.0,9.0,17.0,36.0,55.0,25.0,18.0,26.0,50.0,129.0,43.0
4316,0.0,1.0,2.0,4.0,8.0,15.0,5.0,47.0,3.0,86.0,25.0,9.0,21.0,50.0,13.0,6.0,27.0,14.0,69.0,95.0,23.0,43.0,37.0,42.0,96.0,39.0,7.0,11.0,34.0,57.0
4365,0.0,1.0,3.0,4.0,5.0,2.0,6.0,52.0,10.0,13.0,17.0,12.0,21.0,47.0,9.0,8.0,97.0,35.0,7.0,18.0,11.0,19.0,58.0,67.0,22.0,86.0,16.0,20.0,57.0,45.0
4414,0.0,1.0,2.0,3.0,4.0,15.0,14.0,26.0,11.0,5.0,7.0,73.0,9.0,63.0,10.0,38.0,56.0,114.0,64.0,23.0,33.0,16.0,6.0,41.0,28.0,12.0,30.0,25.0,86.0,13.0
4463,1.0,3.0,14.0,0.0,2.0,7.0,6.0,11.0,12.0,13.0,9.0,4.0,10.0,16.0,23.0,64.0,15.0,5.0,33.0,96.0,21.0,69.0,18.0,45.0,73.0,119.0,25.0,100.0,82.0,47.0
4512,1.0,0.0,3.0,2.0,13.0,4.0,6.0,19.0,14.0,12.0,10.0,11.0,44.0,25.0,74.0,112.0,29.0,18.0,67.0,8.0,7.0,41.0,9.0,146.0,16.0,153.0,30.0,88.0,5.0,100.0
4561,0.0,1.0,2.0,3.0,5.0,7.0,15.0,13.0,19.0,9.0,58.0,24.0,6.0,122.0,42.0,38.0,87.0,16.0,12.0,10.0,4.0,11.0,8.0,112.0,83.0,54.0,80.0,49.0,34.0,79.0
4610,2.0,0.0,1.0,5.0,6.0,4.0,3.0,15.0,17.0,14.0,105.0,33.0,10.0,7.0,24.0,37.0,8.0,45.0,39.0,87.0,27.0,21.0,13.0,116.0,74.0,19.0,11.0,20.0,118.0,134.0
4659,0.0,2.0,3.0,1.0,6.0,5.0,10.0,107.0,12.0,21.0,13.0,11.0,19.0,38.0,26.0,118.0,23.0,17.0,40.0,18.0,34.0,62.0,4.0,86.0,35.0,33.0,7.0,59.0,22.0,60.0
4708,0.0,1.0,2.0,5.0,8.0,6.0,7.0,26.0,42.0,36.0,50.0,13.0,9.0,131.0,14.0,96.0,20.0,69.0,35.0,17.0,4.0,25.0,3.0,85.0,55.0,29.0,49.0,140.0,18.0,139.0
4757,1.0,0.0,2.0,5.0,6.0,7.0,55.0,10.0,17.0,4.0,68.0,23.0,3.0,22.0,114.0,97.0,103.0,144.0,31.0,8.0,28.0,40.0,11.0,66.0,34.0,14.0,38.0,19.0,51.0,127.0
4806,1.0,0.0,2.0,5.0,11.0,10.0,9.0,21.0,4.0,12.0,62.0,23.0,7.0,22.0,40.0,105.0,3.0,30.0,20.0,14.0,19.0,36.0,15.0,75.0,32.0,41.0,33.0,37.0,8.0,47.0
4855,1.0,0.0,4.0,3.0,2.0,6.0,7.0,17.0,5.0,14.0,20.0,9.0,11.0,28.0,51.0,44.0,25.0,21.0,47.0,59.0,12.0,23.0,8.0,117.0,33.0,88.0,62.0,18.0,30.0,34.0
