,hsa-miR-574-5p,hsa-miR-548m,hsa-miR-558,hsa-miR-21,hsa-miR-1308,hsa-miR-22,hsa-let-7e,hsa-miR-2117,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-142-5p,hsa-miR-190b,hsa-miR-10a,hsa-miR-545,ebv-miR-BART2-5p,hsa-miR-488,hsa-miR-1246,hsa-miR-34a,hsa-miR-153,hsa-miR-422a,hsa-miR-711,kshv-miR-K12-6-3p,hsa-miR-1269,hcmv-miR-US5-1,hsa-miR-30a,hsa-miR-140-3p,hsa-miR-302e,hsa-miR-30e,hsa-miR-600,hsa-miR-28-5p
3449,20.0,6.0,25.0,4.0,23.0,19.0,3.0,15.0,320.0,100.0,56.0,71.0,37.0,74.0,199.0,67.0,32.0,41.0,63.0,76.0,64.0,245.0,73.0,60.0,54.0,78.0,24.0,52.0,77.0,573.0
3498,2.0,7.0,35.0,3.0,21.0,32.0,15.0,62.0,318.0,85.0,61.0,39.0,46.0,66.0,40.0,543.0,49.0,54.0,350.0,17.0,24.0,240.0,53.0,75.0,18.0,71.0,42.0,44.0,106.0,571.0
3547,13.0,7.0,205.0,361.0,17.0,26.0,48.0,63.0,3.0,52.0,70.0,462.0,33.0,58.0,56.0,508.0,44.0,619.0,485.0,8.0,34.0,257.0,49.0,5.0,38.0,59.0,71.0,51.0,46.0,397.0
3596,92.0,5.0,193.0,4.0,368.0,37.0,437.0,14.0,3.0,6.0,50.0,72.0,54.0,77.0,274.0,39.0,46.0,606.0,64.0,519.0,62.0,209.0,26.0,25.0,82.0,53.0,11.0,51.0,90.0,79.0
3645,70.0,2.0,29.0,4.0,8.0,7.0,21.0,19.0,318.0,17.0,36.0,37.0,48.0,127.0,196.0,62.0,45.0,49.0,0.0,69.0,43.0,240.0,40.0,64.0,9.0,56.0,5.0,67.0,41.0,73.0
3694,38.0,1.0,11.0,4.0,52.0,37.0,15.0,79.0,0.0,114.0,41.0,26.0,59.0,137.0,66.0,542.0,27.0,73.0,69.0,487.0,34.0,56.0,54.0,19.0,33.0,63.0,2.0,75.0,117.0,569.0
3743,6.0,7.0,41.0,40.0,35.0,55.0,50.0,5.0,15.0,23.0,9.0,8.0,2.0,137.0,51.0,70.0,74.0,64.0,48.0,489.0,66.0,52.0,75.0,234.0,32.0,31.0,10.0,29.0,128.0,570.0
3792,69.0,6.0,177.0,2.0,21.0,13.0,14.0,9.0,40.0,53.0,57.0,18.0,435.0,131.0,39.0,543.0,423.0,70.0,349.0,486.0,46.0,47.0,36.0,80.0,621.0,71.0,3.0,68.0,43.0,570.0
3841,8.0,6.0,23.0,38.0,25.0,52.0,4.0,7.0,15.0,78.0,26.0,62.0,13.0,123.0,65.0,542.0,37.0,54.0,64.0,494.0,43.0,241.0,66.0,58.0,41.0,73.0,619.0,17.0,87.0,571.0
3890,7.0,9.0,20.0,2.0,11.0,35.0,6.0,592.0,221.0,132.0,368.0,67.0,66.0,47.0,80.0,522.0,18.0,606.0,69.0,518.0,73.0,64.0,62.0,85.0,65.0,375.0,1.0,79.0,61.0,569.0
3939,149.0,5.0,7.0,8.0,14.0,75.0,2.0,37.0,0.0,24.0,4.0,408.0,33.0,52.0,77.0,40.0,27.0,66.0,358.0,44.0,17.0,61.0,480.0,73.0,55.0,70.0,56.0,11.0,107.0,72.0
3988,0.0,9.0,208.0,20.0,1.0,35.0,66.0,18.0,88.0,13.0,33.0,7.0,197.0,57.0,67.0,497.0,55.0,61.0,93.0,6.0,82.0,253.0,95.0,8.0,87.0,39.0,83.0,569.0,105.0,94.0
4037,7.0,12.0,35.0,0.0,4.0,72.0,21.0,57.0,52.0,37.0,1.0,25.0,246.0,63.0,23.0,75.0,54.0,11.0,10.0,38.0,20.0,41.0,91.0,61.0,43.0,69.0,15.0,591.0,92.0,86.0
4086,23.0,11.0,194.0,19.0,7.0,16.0,52.0,83.0,271.0,25.0,4.0,6.0,15.0,56.0,35.0,39.0,81.0,606.0,62.0,33.0,30.0,67.0,69.0,75.0,22.0,84.0,79.0,47.0,99.0,574.0
4135,109.0,5.0,16.0,485.0,13.0,27.0,1.0,41.0,28.0,29.0,4.0,47.0,56.0,45.0,268.0,69.0,422.0,24.0,60.0,50.0,23.0,43.0,42.0,49.0,26.0,67.0,20.0,15.0,141.0,569.0
4184,26.0,9.0,186.0,0.0,8.0,561.0,3.0,588.0,57.0,16.0,19.0,46.0,437.0,62.0,52.0,30.0,425.0,23.0,21.0,25.0,33.0,239.0,67.0,27.0,7.0,49.0,32.0,14.0,107.0,573.0
4233,3.0,17.0,190.0,74.0,18.0,590.0,4.0,34.0,317.0,39.0,374.0,52.0,11.0,54.0,73.0,44.0,85.0,41.0,86.0,57.0,61.0,45.0,82.0,31.0,55.0,65.0,20.0,81.0,110.0,71.0
4282,60.0,21.0,15.0,28.0,40.0,37.0,0.0,371.0,41.0,26.0,446.0,61.0,332.0,52.0,57.0,69.0,188.0,43.0,66.0,25.0,80.0,62.0,88.0,68.0,11.0,79.0,9.0,18.0,120.0,86.0
4331,151.0,8.0,197.0,594.0,3.0,591.0,2.0,35.0,74.0,53.0,11.0,32.0,18.0,58.0,76.0,54.0,55.0,19.0,4.0,38.0,16.0,68.0,67.0,84.0,612.0,50.0,34.0,39.0,73.0,568.0
4380,0.0,23.0,19.0,42.0,2.0,7.0,88.0,78.0,317.0,166.0,11.0,409.0,437.0,6.0,43.0,543.0,63.0,35.0,376.0,64.0,16.0,17.0,477.0,256.0,70.0,66.0,68.0,81.0,102.0,80.0
4429,7.0,31.0,14.0,582.0,13.0,50.0,3.0,58.0,32.0,51.0,70.0,63.0,55.0,53.0,36.0,17.0,429.0,26.0,353.0,488.0,46.0,239.0,72.0,254.0,620.0,71.0,47.0,19.0,29.0,572.0
4478,1.0,22.0,18.0,592.0,24.0,47.0,10.0,84.0,6.0,31.0,346.0,57.0,446.0,33.0,37.0,48.0,426.0,75.0,46.0,490.0,325.0,71.0,482.0,79.0,625.0,68.0,41.0,20.0,82.0,83.0
4527,0.0,20.0,9.0,399.0,21.0,53.0,6.0,43.0,36.0,39.0,458.0,57.0,23.0,31.0,61.0,42.0,428.0,73.0,377.0,516.0,77.0,251.0,434.0,90.0,78.0,460.0,30.0,91.0,118.0,590.0
4576,182.0,24.0,10.0,50.0,4.0,35.0,18.0,27.0,19.0,25.0,2.0,13.0,28.0,32.0,46.0,45.0,428.0,37.0,54.0,52.0,321.0,33.0,466.0,66.0,77.0,343.0,59.0,60.0,62.0,629.0
4625,0.0,57.0,190.0,15.0,9.0,31.0,5.0,28.0,43.0,55.0,82.0,49.0,13.0,41.0,56.0,72.0,426.0,50.0,359.0,489.0,80.0,242.0,54.0,77.0,625.0,350.0,48.0,81.0,66.0,29.0
4674,4.0,17.0,18.0,41.0,376.0,29.0,435.0,48.0,44.0,43.0,347.0,66.0,70.0,74.0,35.0,62.0,20.0,61.0,47.0,40.0,325.0,38.0,68.0,59.0,624.0,345.0,622.0,39.0,46.0,49.0
4723,4.0,24.0,34.0,582.0,11.0,48.0,6.0,44.0,19.0,49.0,80.0,63.0,31.0,60.0,30.0,71.0,424.0,59.0,355.0,74.0,78.0,66.0,479.0,82.0,621.0,75.0,619.0,67.0,81.0,572.0
4772,101.0,10.0,11.0,55.0,14.0,31.0,2.0,41.0,17.0,36.0,15.0,407.0,6.0,28.0,38.0,70.0,425.0,58.0,353.0,39.0,77.0,66.0,79.0,69.0,622.0,75.0,620.0,24.0,40.0,569.0
4821,1.0,38.0,33.0,488.0,8.0,10.0,27.0,18.0,47.0,28.0,61.0,51.0,449.0,67.0,54.0,58.0,430.0,65.0,45.0,29.0,284.0,243.0,79.0,72.0,41.0,351.0,616.0,620.0,76.0,73.0
4870,1.0,23.0,190.0,34.0,10.0,38.0,45.0,27.0,8.0,52.0,78.0,408.0,442.0,21.0,202.0,74.0,428.0,28.0,356.0,81.0,30.0,245.0,482.0,262.0,619.0,361.0,617.0,629.0,77.0,575.0
