,hsa-miR-548m,hsa-miR-545,hsa-miR-34a,hsa-miR-22,hsa-miR-590-5p,hsa-miR-574-5p,hsa-miR-1308,hsa-miR-488,hsa-let-7e,hsa-miR-586,hsa-miR-584,hsa-miR-583,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-578,hsa-miR-579,hsa-miR-587,hsa-miR-580,hsa-miR-588,hsa-miR-590-3p,hsa-miR-581,hsa-miR-589,hsa-miR-576-5p,hsa-miR-577,hsa-miR-591,hsa-miR-576-3p,hsa-miR-592,hsa-miR-628-5p,hsa-miR-626,hsa-miR-627
2323,5.0,15.0,0.0,563.0,54.0,18.0,1.0,39.0,40.0,63.0,60.0,59.0,57.0,58.0,166.0,106.0,64.0,73.0,65.0,67.0,56.0,66.0,107.0,108.0,53.0,144.0,44.0,78.0,81.0,79.0
2372,2.0,5.0,12.0,563.0,55.0,4.0,357.0,552.0,425.0,56.0,52.0,62.0,58.0,61.0,50.0,45.0,60.0,63.0,59.0,53.0,54.0,57.0,48.0,46.0,51.0,91.0,49.0,67.0,69.0,68.0
2421,9.0,3.0,10.0,567.0,22.0,6.0,26.0,2.0,422.0,50.0,52.0,53.0,56.0,55.0,51.0,40.0,48.0,43.0,57.0,42.0,47.0,45.0,39.0,58.0,75.0,41.0,21.0,63.0,34.0,64.0
2470,2.0,18.0,505.0,10.0,57.0,23.0,357.0,3.0,7.0,47.0,48.0,58.0,50.0,49.0,32.0,53.0,46.0,52.0,45.0,43.0,51.0,44.0,55.0,54.0,41.0,56.0,39.0,70.0,68.0,69.0
2519,2.0,32.0,510.0,1.0,40.0,55.0,25.0,37.0,422.0,44.0,43.0,45.0,47.0,46.0,51.0,50.0,58.0,49.0,41.0,39.0,48.0,42.0,53.0,52.0,59.0,54.0,77.0,73.0,71.0,72.0
2568,0.0,135.0,508.0,36.0,17.0,1.0,357.0,3.0,34.0,44.0,43.0,51.0,53.0,65.0,25.0,24.0,50.0,56.0,47.0,48.0,66.0,45.0,61.0,60.0,93.0,62.0,92.0,58.0,55.0,57.0
2617,3.0,125.0,509.0,31.0,25.0,21.0,19.0,0.0,37.0,64.0,65.0,66.0,68.0,67.0,105.0,103.0,62.0,70.0,60.0,56.0,69.0,59.0,107.0,155.0,44.0,106.0,45.0,79.0,81.0,80.0
2666,0.0,10.0,22.0,2.0,18.0,28.0,355.0,552.0,425.0,52.0,55.0,59.0,51.0,62.0,54.0,56.0,63.0,57.0,50.0,47.0,60.0,49.0,46.0,48.0,42.0,45.0,41.0,93.0,90.0,92.0
2715,0.0,125.0,6.0,39.0,45.0,1.0,356.0,34.0,37.0,65.0,15.0,54.0,57.0,56.0,61.0,60.0,51.0,59.0,64.0,46.0,58.0,47.0,63.0,62.0,49.0,83.0,43.0,48.0,95.0,44.0
2764,7.0,4.0,508.0,565.0,5.0,3.0,354.0,38.0,0.0,42.0,10.0,60.0,47.0,45.0,53.0,36.0,58.0,56.0,55.0,51.0,57.0,54.0,50.0,52.0,48.0,59.0,44.0,65.0,31.0,66.0
2813,6.0,19.0,510.0,15.0,22.0,28.0,356.0,38.0,424.0,55.0,53.0,44.0,42.0,50.0,49.0,52.0,58.0,54.0,56.0,51.0,57.0,60.0,47.0,48.0,45.0,46.0,59.0,72.0,77.0,71.0
2862,16.0,21.0,507.0,0.0,14.0,32.0,356.0,3.0,424.0,37.0,41.0,45.0,50.0,47.0,55.0,56.0,43.0,40.0,57.0,54.0,48.0,52.0,49.0,51.0,53.0,46.0,44.0,63.0,65.0,64.0
2911,4.0,16.0,43.0,1.0,2.0,152.0,357.0,44.0,426.0,59.0,45.0,58.0,51.0,57.0,85.0,47.0,46.0,49.0,56.0,53.0,50.0,60.0,154.0,95.0,52.0,97.0,55.0,68.0,70.0,69.0
2960,0.0,17.0,23.0,1.0,16.0,32.0,353.0,533.0,422.0,42.0,44.0,48.0,50.0,49.0,29.0,55.0,92.0,53.0,91.0,89.0,65.0,90.0,59.0,58.0,84.0,62.0,10.0,60.0,56.0,57.0
3009,5.0,157.0,507.0,562.0,95.0,34.0,356.0,552.0,424.0,52.0,66.0,55.0,59.0,57.0,64.0,65.0,47.0,53.0,43.0,96.0,62.0,56.0,48.0,49.0,94.0,81.0,92.0,60.0,54.0,58.0
3058,0.0,9.0,3.0,564.0,68.0,28.0,27.0,552.0,423.0,47.0,51.0,45.0,65.0,41.0,56.0,55.0,49.0,54.0,53.0,81.0,52.0,66.0,58.0,57.0,93.0,61.0,90.0,59.0,42.0,46.0
3107,18.0,5.0,6.0,2.0,19.0,63.0,357.0,552.0,423.0,45.0,49.0,43.0,41.0,42.0,57.0,56.0,94.0,54.0,68.0,92.0,65.0,93.0,60.0,58.0,88.0,62.0,87.0,61.0,55.0,59.0
3156,1.0,135.0,9.0,8.0,12.0,22.0,355.0,552.0,425.0,46.0,48.0,24.0,50.0,49.0,54.0,53.0,58.0,52.0,45.0,42.0,51.0,57.0,56.0,55.0,40.0,44.0,43.0,70.0,75.0,69.0
3205,0.0,20.0,4.0,566.0,55.0,29.0,354.0,30.0,422.0,54.0,44.0,12.0,53.0,51.0,49.0,50.0,43.0,40.0,39.0,52.0,47.0,42.0,46.0,48.0,84.0,45.0,57.0,69.0,67.0,68.0
3254,0.0,3.0,5.0,42.0,61.0,48.0,356.0,552.0,424.0,58.0,51.0,11.0,55.0,54.0,53.0,57.0,43.0,49.0,44.0,78.0,56.0,59.0,50.0,52.0,81.0,46.0,82.0,76.0,74.0,75.0
3303,0.0,136.0,24.0,41.0,60.0,98.0,357.0,34.0,425.0,25.0,57.0,59.0,63.0,62.0,64.0,67.0,56.0,66.0,55.0,53.0,65.0,54.0,46.0,61.0,71.0,83.0,17.0,52.0,50.0,51.0
3352,1.0,9.0,34.0,7.0,41.0,51.0,354.0,0.0,423.0,53.0,40.0,39.0,43.0,42.0,47.0,46.0,37.0,45.0,35.0,38.0,44.0,36.0,49.0,48.0,54.0,50.0,74.0,68.0,66.0,67.0
3401,0.0,156.0,6.0,568.0,36.0,33.0,26.0,532.0,422.0,51.0,56.0,47.0,53.0,55.0,42.0,52.0,58.0,41.0,46.0,40.0,49.0,45.0,50.0,57.0,76.0,54.0,60.0,144.0,73.0,74.0
3450,1.0,14.0,16.0,564.0,53.0,2.0,355.0,536.0,424.0,59.0,60.0,62.0,66.0,65.0,88.0,69.0,30.0,68.0,56.0,54.0,67.0,70.0,155.0,105.0,52.0,106.0,51.0,76.0,78.0,77.0
