,HLA-L,TMEM255B,FANCD2,YIPF4,CTA-363E19.2,IGF1R,FNBP1P1,LOXL2,IL6,TNFRSF1B,CCL3,GPR35,OSMR,IKBIP,TFAP2A,ACVR2A,UBL7-AS1,GEN1,ATXN7L3B,ACTL10,ATAD5,TTC31,TWSG1,NAT14,UST,HIF1A-AS1,MAPK13,LCOR,LDHAL6A,PVRIG
3343,0.0,43.0,1.0,16686.0,22465.0,36.0,170.0,297.0,12.0,15986.0,224.0,371.0,83.0,171.0,119.0,180.0,49.0,48.0,181.0,288.0,10012.0,332.0,2.0,403.0,304.0,177.0,21158.0,408.0,342.0,51.0
3392,0.0,2.0,1.0,6.0,240.0,8.0,17245.0,19235.0,304.0,46.0,206.0,455.0,21547.0,220.0,183.0,163.0,81.0,16919.0,205.0,247.0,9992.0,50.0,63.0,318.0,17.0,232.0,791.0,74.0,542.0,137.0
3441,144.0,42.0,499.0,46.0,21.0,7.0,50.0,33.0,0.0,10.0,384.0,1.0,166.0,105.0,45.0,13482.0,3894.0,16905.0,7244.0,187.0,49.0,17258.0,211.0,195.0,205.0,99.0,361.0,13.0,239.0,873.0
3490,124.0,1.0,53.0,0.0,279.0,158.0,56.0,39.0,2642.0,2.0,10376.0,7.0,481.0,6630.0,67.0,61.0,4225.0,16915.0,425.0,23.0,9974.0,73.0,12514.0,8176.0,34.0,31.0,21055.0,219.0,404.0,14.0
3539,0.0,22.0,24.0,11.0,53.0,108.0,94.0,261.0,23.0,167.0,336.0,52.0,102.0,1.0,100.0,13460.0,194.0,16793.0,503.0,308.0,30.0,163.0,1427.0,885.0,7.0,128.0,26.0,740.0,5494.0,22422.0
3588,0.0,4.0,24.0,1.0,66.0,166.0,14.0,257.0,27.0,137.0,372.0,3.0,509.0,5116.0,76.0,2473.0,4799.0,1286.0,5840.0,19.0,271.0,87.0,774.0,789.0,474.0,6.0,1391.0,127.0,552.0,22449.0
3637,410.0,477.0,138.0,1.0,20.0,47.0,623.0,0.0,22238.0,21.0,465.0,5.0,21563.0,7.0,170.0,298.0,3818.0,167.0,113.0,18.0,19.0,189.0,12496.0,8128.0,238.0,79.0,295.0,197.0,71.0,600.0
3686,10.0,8.0,17.0,42.0,22511.0,110.0,11.0,393.0,726.0,67.0,308.0,3.0,282.0,96.0,0.0,66.0,1150.0,344.0,357.0,2.0,2503.0,52.0,12376.0,8193.0,7.0,6350.0,190.0,34.0,2230.0,22427.0
3735,1.0,6376.0,21.0,81.0,22409.0,402.0,40.0,149.0,484.0,69.0,201.0,4.0,413.0,175.0,78.0,13501.0,1852.0,66.0,6659.0,133.0,195.0,148.0,12541.0,188.0,2.0,3706.0,136.0,68.0,5392.0,757.0
3784,0.0,7.0,41.0,3.0,44.0,20.0,17.0,30.0,65.0,91.0,9927.0,2.0,126.0,367.0,90.0,197.0,3956.0,254.0,6553.0,1.0,9948.0,392.0,202.0,8200.0,23375.0,170.0,21157.0,159.0,5477.0,22658.0
3833,0.0,6356.0,44.0,37.0,101.0,161.0,4.0,151.0,7.0,8.0,473.0,13669.0,98.0,527.0,48.0,201.0,4533.0,27.0,657.0,7412.0,144.0,205.0,12397.0,172.0,14.0,186.0,21159.0,248.0,374.0,95.0
3882,0.0,6.0,38.0,1.0,5.0,303.0,37.0,212.0,22284.0,7.0,222.0,10.0,211.0,170.0,12.0,13469.0,1703.0,16908.0,386.0,13.0,9974.0,51.0,12498.0,8157.0,200.0,4.0,561.0,1827.0,428.0,767.0
3931,191.0,10.0,200.0,13.0,19.0,0.0,7.0,389.0,364.0,184.0,297.0,15.0,14.0,2.0,135.0,342.0,113.0,137.0,85.0,4.0,233.0,17282.0,12388.0,258.0,308.0,1317.0,394.0,19474.0,5362.0,84.0
3980,130.0,31.0,17.0,37.0,69.0,4423.0,17127.0,14.0,157.0,27.0,113.0,3.0,45.0,0.0,1805.0,13452.0,3651.0,11.0,6993.0,142.0,46.0,930.0,97.0,7.0,5.0,238.0,51.0,335.0,299.0,22443.0
4029,0.0,248.0,30.0,282.0,19.0,4729.0,64.0,110.0,225.0,20.0,112.0,9.0,117.0,2.0,1.0,38.0,91.0,16847.0,149.0,170.0,213.0,85.0,221.0,8219.0,104.0,46.0,199.0,19482.0,353.0,22636.0
4078,132.0,1.0,0.0,436.0,160.0,11.0,17249.0,17.0,22240.0,65.0,101.0,13657.0,248.0,12.0,20843.0,69.0,159.0,48.0,230.0,207.0,9970.0,35.0,9.0,34.0,459.0,526.0,21184.0,19409.0,5475.0,22452.0
4127,13.0,81.0,22.0,36.0,79.0,4.0,17269.0,110.0,97.0,9.0,122.0,28.0,173.0,2.0,20844.0,12.0,4382.0,16913.0,334.0,202.0,286.0,206.0,77.0,98.0,234.0,368.0,30.0,148.0,649.0,22428.0
4176,0.0,6403.0,84.0,192.0,72.0,101.0,73.0,282.0,594.0,7.0,140.0,2.0,122.0,194.0,17.0,219.0,3903.0,271.0,187.0,148.0,1495.0,149.0,386.0,364.0,92.0,476.0,21172.0,87.0,5446.0,184.0
4225,2.0,12.0,86.0,393.0,3.0,451.0,17252.0,122.0,22290.0,6.0,4.0,8.0,137.0,9.0,20719.0,292.0,154.0,11.0,135.0,98.0,1422.0,130.0,338.0,42.0,96.0,77.0,164.0,288.0,123.0,22667.0
4274,0.0,198.0,98.0,16859.0,112.0,100.0,33.0,93.0,22290.0,10.0,81.0,3.0,68.0,48.0,20709.0,89.0,135.0,74.0,2799.0,7298.0,43.0,82.0,12492.0,6.0,458.0,6145.0,127.0,19470.0,131.0,53.0
4323,82.0,170.0,5.0,259.0,98.0,3261.0,31.0,10.0,22269.0,15979.0,141.0,3.0,36.0,0.0,1398.0,25.0,4391.0,19.0,6651.0,162.0,51.0,17256.0,7.0,122.0,8.0,208.0,155.0,19416.0,137.0,169.0
4372,2.0,15.0,12775.0,9.0,47.0,0.0,17250.0,20.0,22213.0,13.0,112.0,156.0,150.0,32.0,18.0,13489.0,169.0,16797.0,37.0,325.0,115.0,25.0,334.0,17.0,27.0,1151.0,222.0,349.0,2167.0,847.0
4421,137.0,21.0,15.0,16865.0,22.0,17.0,5.0,71.0,35.0,114.0,12454.0,1.0,459.0,7.0,20694.0,13471.0,4380.0,41.0,6587.0,9167.0,59.0,1513.0,813.0,9078.0,254.0,3198.0,29.0,19428.0,5956.0,34.0
4470,3.0,284.0,32.0,156.0,85.0,0.0,129.0,36.0,144.0,115.0,429.0,1.0,21564.0,67.0,21.0,314.0,174.0,4.0,20.0,1220.0,52.0,17267.0,535.0,160.0,23388.0,6437.0,21173.0,304.0,3949.0,69.0
4519,63.0,15.0,18.0,66.0,28.0,50.0,997.0,225.0,203.0,54.0,71.0,8.0,5.0,192.0,164.0,32.0,108.0,0.0,39.0,7172.0,35.0,185.0,12465.0,70.0,202.0,6549.0,167.0,67.0,3967.0,14.0
4568,39.0,6.0,11.0,40.0,1.0,0.0,17129.0,58.0,88.0,4.0,372.0,8.0,15.0,94.0,107.0,2723.0,50.0,13.0,6563.0,7165.0,7.0,264.0,72.0,8197.0,184.0,3120.0,781.0,432.0,5415.0,170.0
4617,1.0,68.0,5.0,1647.0,38.0,4.0,6.0,7.0,21.0,198.0,236.0,10.0,166.0,71.0,20696.0,13452.0,19.0,20.0,81.0,1521.0,53.0,15.0,88.0,8194.0,23258.0,318.0,21050.0,282.0,5432.0,230.0
4666,23.0,66.0,19.0,1303.0,112.0,183.0,1104.0,219.0,18.0,237.0,82.0,1.0,127.0,153.0,253.0,456.0,0.0,84.0,337.0,7174.0,26.0,17267.0,137.0,121.0,30.0,3617.0,101.0,19485.0,5385.0,136.0
4715,0.0,29.0,10.0,28.0,32.0,372.0,830.0,12.0,113.0,334.0,156.0,3.0,90.0,64.0,20828.0,301.0,3868.0,2.0,71.0,7173.0,5.0,1075.0,397.0,8182.0,23343.0,3309.0,132.0,446.0,5444.0,107.0
4764,0.0,337.0,3.0,16244.0,58.0,46.0,16383.0,126.0,11.0,207.0,21.0,1.0,278.0,7514.0,14691.0,164.0,115.0,10.0,2735.0,679.0,416.0,573.0,11188.0,95.0,22099.0,7035.0,118.0,9.0,19820.0,21252.0
4813,5.0,31.0,111.0,224.0,36.0,7.0,23.0,43.0,2.0,16.0,177.0,3.0,110.0,7072.0,1877.0,213.0,121.0,16791.0,243.0,7149.0,18.0,17257.0,136.0,8184.0,23374.0,358.0,348.0,335.0,5429.0,6.0
4862,0.0,18.0,13.0,830.0,33.0,4514.0,7.0,263.0,588.0,12.0,41.0,3.0,237.0,7090.0,24.0,1203.0,4019.0,28.0,6581.0,7187.0,9980.0,17268.0,107.0,111.0,158.0,37.0,186.0,73.0,5464.0,68.0
