,HER2_pY1248,C-Raf_pS338,Rb_pS807_S811,c-Myc,Rb,CD49b,PEA15,Cyclin_D1,RAD51,RSK1-2-3,Shc_pY317,Rictor_pT1135,Annexin 1,p27_pT157,p38_pT180_Y182,TAZ,EGFR_pY1068,NF2,JNK2,SHP-2_pY542,TSC1,Src_pY416,Src,Akt,PKC-pan_BetaII_pS660,PAI-1,p38_MAPK,p90RSK_pT359_S363,Tuberin_pT1462,Notch1
545,30.0,8.0,14.0,13.0,84.0,16.0,19.0,3.0,0.0,85.0,27.0,12.0,39.0,48.0,1.0,70.0,158.0,2.0,36.0,90.0,66.0,33.0,73.0,123.0,23.0,52.0,54.0,10.0,32.0,44.0
594,17.0,24.0,19.0,15.0,2.0,107.0,42.0,6.0,22.0,16.0,77.0,81.0,37.0,54.0,5.0,69.0,25.0,3.0,33.0,0.0,28.0,73.0,29.0,31.0,7.0,18.0,55.0,1.0,65.0,48.0
643,34.0,12.0,11.0,10.0,0.0,128.0,47.0,21.0,14.0,7.0,25.0,82.0,40.0,56.0,28.0,3.0,39.0,50.0,38.0,26.0,69.0,74.0,44.0,36.0,20.0,55.0,43.0,9.0,32.0,54.0
692,2.0,0.0,11.0,7.0,31.0,104.0,17.0,12.0,3.0,9.0,40.0,72.0,37.0,54.0,23.0,33.0,155.0,28.0,144.0,39.0,49.0,35.0,71.0,4.0,13.0,18.0,25.0,19.0,42.0,27.0
741,41.0,15.0,10.0,11.0,12.0,107.0,59.0,153.0,17.0,7.0,26.0,8.0,4.0,55.0,3.0,68.0,160.0,33.0,28.0,25.0,5.0,1.0,39.0,0.0,22.0,45.0,54.0,56.0,64.0,52.0
790,38.0,15.0,16.0,104.0,4.0,129.0,57.0,23.0,17.0,13.0,87.0,14.0,37.0,30.0,6.0,5.0,20.0,0.0,42.0,26.0,67.0,75.0,76.0,33.0,25.0,50.0,31.0,2.0,65.0,47.0
839,2.0,1.0,9.0,6.0,29.0,8.0,17.0,3.0,81.0,75.0,5.0,76.0,39.0,57.0,23.0,31.0,14.0,63.0,25.0,28.0,91.0,40.0,42.0,30.0,12.0,19.0,56.0,46.0,37.0,26.0
888,0.0,7.0,5.0,13.0,83.0,107.0,46.0,23.0,3.0,14.0,78.0,25.0,6.0,52.0,39.0,70.0,157.0,41.0,29.0,27.0,66.0,74.0,75.0,30.0,1.0,54.0,2.0,56.0,64.0,57.0
937,4.0,7.0,1.0,12.0,73.0,14.0,60.0,11.0,9.0,67.0,75.0,13.0,30.0,49.0,0.0,36.0,28.0,8.0,140.0,2.0,47.0,72.0,71.0,32.0,10.0,19.0,21.0,43.0,50.0,53.0
986,23.0,13.0,1.0,11.0,74.0,15.0,2.0,153.0,16.0,27.0,31.0,68.0,3.0,24.0,46.0,4.0,20.0,57.0,6.0,69.0,62.0,33.0,8.0,32.0,17.0,40.0,48.0,44.0,0.0,56.0
