,FLNB_MUT,GUCY2C_MUT,MYH9_MUT,RNF103-CHMP3_DEL,HLA-DRB6_DEL,SGCZ_DEL,LOC392196_DEL,FLT4_MUT,MIR4636_AMP,MIR4278_AMP,SDHA_AMP,ETS1_DEL,AHRR_AMP,CCT5_AMP,SLC25A24_DEL,CWF19L2_AMP,RMND5A_DEL,GPR112_MUT,CEP72_AMP,MIR4458_AMP,DEFB130_DEL,PHF3_MUT,USP17L7_DEL,PTCH1_AMP,ERCC6_MUT,DBF4_MUT,ZNF705D_DEL,LOC255167_AMP,PI4KA_MUT,MED10_AMP
2625,5.0,8.0,27.0,17.0,16.0,194.0,525.0,1309.0,72.0,197.0,3.0,1125.0,21629.0,13584.0,42.0,4.0,519.0,16584.0,65.0,16222.0,13.0,16663.0,4263.0,137.0,2669.0,91.0,8602.0,273.0,448.0,23132.0
2674,7.0,10.0,1.0,16.0,184.0,42.0,31.0,171.0,2200.0,14.0,21873.0,101.0,25.0,13639.0,268.0,5.0,6.0,22.0,9.0,11.0,0.0,16668.0,451.0,1338.0,16725.0,105.0,38.0,114.0,16506.0,23348.0
2723,4.0,218.0,31.0,531.0,133.0,3.0,3889.0,105.0,16367.0,65.0,180.0,2789.0,0.0,297.0,3202.0,12.0,18.0,791.0,22558.0,66.0,386.0,16674.0,140.0,1245.0,199.0,1949.0,58.0,56.0,1071.0,1893.0
2772,22.0,21.0,46.0,7.0,9.0,0.0,548.0,5.0,137.0,91.0,551.0,2438.0,4.0,13603.0,3235.0,638.0,1.0,16602.0,22573.0,2419.0,36.0,171.0,824.0,240.0,19.0,111.0,1203.0,87.0,32.0,23379.0
2821,16.0,5.0,42.0,28.0,770.0,289.0,10.0,1694.0,428.0,15695.0,668.0,2724.0,17.0,69.0,2845.0,7.0,12097.0,25.0,22584.0,2648.0,1.0,350.0,56.0,101.0,16692.0,16638.0,78.0,22.0,604.0,1796.0
2870,13.0,0.0,12.0,319.0,98.0,15.0,29.0,1315.0,59.0,953.0,97.0,2.0,3.0,67.0,5.0,1307.0,46.0,276.0,159.0,16206.0,1.0,16638.0,92.0,32.0,6.0,17.0,1001.0,14193.0,16503.0,16.0
2919,3.0,87.0,21.0,16.0,1495.0,1037.0,7.0,200.0,16373.0,26.0,5.0,5119.0,1309.0,13562.0,133.0,70.0,308.0,16571.0,52.0,25.0,39.0,16649.0,311.0,556.0,198.0,1533.0,37.0,13971.0,371.0,27.0
2968,207.0,17.0,79.0,13.0,70.0,123.0,127.0,1012.0,16348.0,0.0,12.0,4975.0,1.0,53.0,339.0,55.0,45.0,16625.0,459.0,16221.0,21.0,16688.0,4742.0,21550.0,34.0,20.0,38.0,35.0,326.0,76.0
3017,68.0,53.0,4.0,193.0,46.0,292.0,2581.0,31.0,10.0,7.0,0.0,123.0,6.0,13611.0,19.0,30.0,202.0,16605.0,8.0,116.0,2439.0,5.0,2817.0,22495.0,248.0,134.0,69.0,3.0,16529.0,23158.0
3066,1779.0,1921.0,481.0,20863.0,102.0,179.0,441.0,84.0,16246.0,38.0,4.0,200.0,2.0,13661.0,5.0,17442.0,44.0,119.0,22553.0,16295.0,284.0,24.0,3795.0,22467.0,1248.0,1005.0,1209.0,62.0,47.0,23368.0
3115,155.0,362.0,1202.0,229.0,3.0,2398.0,3400.0,144.0,106.0,5.0,1.0,197.0,15.0,33.0,0.0,120.0,332.0,16589.0,22569.0,74.0,7131.0,406.0,3399.0,1216.0,323.0,108.0,8559.0,2.0,90.0,680.0
3164,27.0,735.0,28.0,1400.0,237.0,9.0,212.0,16701.0,16341.0,15702.0,138.0,2.0,10.0,13579.0,0.0,101.0,1162.0,144.0,95.0,291.0,7128.0,1188.0,139.0,2053.0,222.0,1750.0,8537.0,13941.0,16528.0,23077.0
3213,281.0,2595.0,7.0,42.0,83.0,2.0,64.0,529.0,16291.0,5.0,89.0,5067.0,3.0,196.0,1.0,2460.0,20.0,605.0,181.0,16272.0,7214.0,35.0,3420.0,826.0,2590.0,167.0,386.0,807.0,27.0,176.0
3262,64.0,311.0,0.0,22.0,3166.0,1563.0,61.0,1232.0,16345.0,15.0,16.0,39.0,10.0,99.0,3.0,104.0,11809.0,931.0,2.0,16214.0,5794.0,73.0,303.0,118.0,25.0,1844.0,8523.0,145.0,196.0,206.0
3311,340.0,17.0,18.0,268.0,128.0,30.0,3335.0,25.0,70.0,97.0,21999.0,4943.0,4.0,33.0,1178.0,297.0,12080.0,1137.0,12.0,16196.0,7113.0,41.0,65.0,90.0,1037.0,16627.0,8515.0,35.0,51.0,23125.0
3360,50.0,16417.0,25.0,37.0,312.0,1.0,4412.0,2093.0,22.0,516.0,41.0,79.0,7.0,17.0,0.0,17346.0,12072.0,151.0,368.0,16188.0,5997.0,159.0,666.0,2451.0,16680.0,16619.0,8513.0,14194.0,39.0,81.0
3409,16650.0,16.0,261.0,1.0,178.0,4.0,4679.0,637.0,197.0,15693.0,21.0,113.0,14.0,5.0,8.0,1952.0,12079.0,29.0,7.0,16279.0,537.0,16641.0,36.0,22497.0,24.0,28.0,45.0,429.0,63.0,23364.0
3458,101.0,501.0,1.0,111.0,1134.0,22.0,3712.0,16665.0,15.0,2505.0,8.0,0.0,145.0,28.0,97.0,485.0,8551.0,16626.0,16.0,45.0,1173.0,1140.0,3711.0,22535.0,66.0,526.0,9749.0,1022.0,16489.0,23367.0
3507,10.0,942.0,187.0,41.0,3044.0,109.0,51.0,16.0,825.0,672.0,21944.0,0.0,21582.0,65.0,2259.0,14.0,2649.0,1.0,401.0,16225.0,250.0,695.0,57.0,916.0,15.0,9.0,18.0,14190.0,16516.0,23148.0
3556,16645.0,2570.0,28.0,123.0,856.0,2632.0,16.0,1578.0,6.0,184.0,1053.0,0.0,126.0,64.0,188.0,19.0,52.0,3.0,22701.0,16334.0,219.0,1254.0,849.0,21505.0,301.0,300.0,51.0,1085.0,16456.0,23093.0
3605,326.0,10.0,76.0,14.0,2392.0,262.0,6.0,632.0,117.0,15670.0,365.0,87.0,319.0,158.0,45.0,32.0,4.0,420.0,95.0,16278.0,1387.0,338.0,737.0,9.0,551.0,15.0,2.0,33.0,131.0,38.0
3654,1878.0,118.0,149.0,0.0,3093.0,720.0,2212.0,74.0,247.0,180.0,26.0,83.0,21649.0,792.0,1061.0,30.0,10.0,63.0,22579.0,81.0,5065.0,1406.0,4807.0,335.0,16704.0,2.0,438.0,1117.0,16489.0,2172.0
3703,0.0,1802.0,119.0,20842.0,165.0,23.0,3399.0,3.0,4.0,2663.0,1.0,71.0,47.0,86.0,5.0,173.0,36.0,162.0,22589.0,62.0,2726.0,9.0,542.0,2363.0,16718.0,380.0,2203.0,130.0,12.0,23143.0
3752,8.0,403.0,83.0,1.0,59.0,694.0,756.0,0.0,4.0,13.0,11.0,180.0,154.0,75.0,2964.0,138.0,47.0,20.0,245.0,16225.0,2420.0,361.0,3371.0,79.0,158.0,1628.0,8535.0,141.0,1051.0,23124.0
3801,0.0,86.0,1453.0,1.0,17.0,5231.0,657.0,38.0,18.0,4.0,21995.0,32.0,199.0,148.0,3163.0,33.0,59.0,3.0,254.0,8.0,502.0,112.0,2698.0,2416.0,155.0,16639.0,8578.0,517.0,765.0,640.0
3850,75.0,166.0,0.0,368.0,30.0,1291.0,243.0,85.0,31.0,5.0,90.0,1161.0,24.0,119.0,2734.0,380.0,2390.0,35.0,96.0,610.0,25.0,6.0,1801.0,88.0,158.0,139.0,4.0,9.0,48.0,502.0
