,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,KRAS_MUT,GOLGA8A_DEL,OR2A7_AMP,LOC728377_AMP,SIRPB1_AMP,FAM21A_DEL,HLA-DQB1_DEL,UNC13C_MUT,CFHR3_AMP,SORD_AMP,NRAS_MUT,ARHGEF5_AMP,FAM35B_DEL,KIAA1217_DEL,MIR1233-2_DEL,MIR1233-1_DEL,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FFAR3_DEL,USP17L4_AMP,ATG10_DEL,RPS17L_AMP,DOCK10_AMP,GOLGA6L9_AMP,RPS17_AMP
2823,1.0,2.0,5.0,22.0,4.0,18.0,3.0,28.0,27.0,0.0,7.0,20.0,55.0,155.0,11.0,16.0,15.0,19.0,31.0,13.0,14.0,41.0,40.0,17.0,152.0,9.0,42.0,50.0,43.0,44.0
2872,0.0,1.0,4.0,14.0,5.0,8.0,3.0,19.0,18.0,2.0,28.0,9.0,16.0,7.0,6.0,50.0,13.0,44.0,80.0,11.0,10.0,266.0,267.0,23.0,17.0,34.0,274.0,29.0,276.0,275.0
2921,0.0,1.0,39.0,8.0,14.0,3.0,5.0,45.0,46.0,2.0,7.0,88.0,21.0,101.0,4.0,27.0,9.0,16.0,13.0,18.0,19.0,34.0,35.0,20.0,76.0,23.0,36.0,99.0,37.0,38.0
2970,0.0,1.0,13.0,2.0,8.0,3.0,14.0,31.0,30.0,11.0,6.0,12.0,9.0,5.0,236.0,4.0,20.0,42.0,24.0,84.0,85.0,32.0,33.0,17.0,166.0,112.0,36.0,89.0,35.0,34.0
3019,0.0,1.0,2.0,4.0,7.0,3.0,10.0,12.0,13.0,5.0,14.0,22.0,107.0,15.0,8.0,126.0,23.0,430.0,9.0,70.0,69.0,16.0,17.0,352.0,29.0,53.0,19.0,6.0,20.0,18.0
3068,0.0,1.0,19.0,8.0,5.0,3.0,6.0,9.0,10.0,21.0,49.0,4.0,37.0,17.0,7.0,25.0,24.0,20.0,2.0,32.0,31.0,12.0,11.0,18.0,61.0,44.0,14.0,30.0,13.0,15.0
3117,0.0,1.0,7.0,8.0,5.0,6.0,4.0,2.0,3.0,9.0,71.0,33.0,26.0,25.0,31.0,10.0,12.0,11.0,24.0,37.0,36.0,15.0,14.0,42.0,32.0,46.0,19.0,16.0,17.0,18.0
3166,0.0,1.0,3.0,6.0,28.0,4.0,7.0,25.0,26.0,93.0,20.0,124.0,29.0,120.0,2.0,32.0,72.0,27.0,18.0,67.0,68.0,8.0,9.0,41.0,34.0,42.0,11.0,58.0,13.0,12.0
3215,0.0,1.0,53.0,7.0,8.0,5.0,3.0,65.0,64.0,2.0,66.0,17.0,40.0,4.0,21.0,18.0,19.0,16.0,6.0,23.0,22.0,10.0,9.0,33.0,34.0,82.0,13.0,35.0,11.0,12.0
3264,0.0,1.0,2.0,7.0,8.0,9.0,6.0,22.0,23.0,5.0,75.0,12.0,14.0,51.0,4.0,15.0,29.0,11.0,10.0,57.0,58.0,34.0,33.0,3.0,49.0,77.0,37.0,46.0,36.0,35.0
3313,0.0,1.0,17.0,4.0,5.0,7.0,3.0,15.0,14.0,6.0,8.0,13.0,16.0,27.0,12.0,9.0,11.0,49.0,2.0,35.0,36.0,21.0,23.0,29.0,73.0,67.0,19.0,224.0,22.0,20.0
3362,0.0,1.0,20.0,12.0,10.0,14.0,2.0,5.0,4.0,36.0,11.0,40.0,43.0,9.0,21.0,26.0,62.0,3.0,13.0,16.0,17.0,53.0,54.0,51.0,74.0,130.0,60.0,6.0,58.0,59.0
3411,0.0,1.0,2.0,10.0,5.0,8.0,3.0,207.0,208.0,123.0,39.0,66.0,38.0,59.0,161.0,49.0,53.0,32.0,27.0,16.0,17.0,98.0,99.0,40.0,89.0,354.0,105.0,4.0,104.0,103.0
3460,0.0,1.0,7.0,4.0,3.0,5.0,24.0,32.0,31.0,16.0,91.0,65.0,18.0,26.0,25.0,17.0,30.0,21.0,138.0,246.0,247.0,8.0,9.0,102.0,37.0,22.0,15.0,337.0,13.0,14.0
3509,0.0,1.0,8.0,10.0,12.0,7.0,11.0,96.0,97.0,2.0,88.0,16.0,14.0,63.0,222.0,9.0,77.0,43.0,124.0,93.0,92.0,20.0,23.0,1470.0,105.0,42.0,21.0,67.0,22.0,24.0
3558,0.0,1.0,3.0,9.0,6.0,7.0,4.0,272.0,271.0,2.0,318.0,12.0,61.0,11.0,44.0,5.0,29.0,23.0,2816.0,19.0,20.0,257.0,258.0,24.0,41.0,82.0,382.0,13.0,384.0,383.0
3607,0.0,1.0,2.0,6.0,5.0,9.0,8.0,119.0,120.0,3.0,36.0,11.0,41.0,4.0,10.0,65.0,61.0,21.0,102.0,37.0,38.0,13.0,14.0,10146.0,46.0,35.0,18.0,50.0,16.0,17.0
3656,0.0,1.0,20.0,37.0,3.0,29.0,4.0,47.0,48.0,2.0,442.0,13.0,31.0,87.0,21.0,6.0,46.0,10.0,102.0,22.0,23.0,18.0,19.0,56.0,11.0,27.0,25.0,54.0,26.0,24.0
