,BRAF_MUT,BRAF.V600E_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.MC_MUT,OR2T11_AMP,NRAS_MUT,KANK1_AMP,OR2T10_AMP,PAXIP1_MUT,MAST2_MUT,ZDHHC11_AMP,SLC6A19_AMP,MIR548AI_DEL,HLA-H_DEL,LOC100506688_AMP,LOC284344_DEL,OR51A4_DEL,TTN_MUT,ALPK2_MUT,PRKCE_DEL,ATP13A5_MUT,TNK2_MUT,ANKS1B_DEL,ZNF826P_DEL,FAM74A2_DEL,UPF3A_AMP,TOMM20_AMP,GSTM1_DEL,PSG4_DEL
3262,0.0,1.0,28.0,397.0,56.0,15.0,3.0,2797.0,26.0,48.0,294.0,22952.0,13576.0,20956.0,8.0,597.0,6388.0,231.0,16757.0,230.0,593.0,21800.0,2063.0,12514.0,4.0,11912.0,153.0,11.0,2.0,1603.0
3311,3.0,7.0,0.0,1.0,1317.0,14.0,16547.0,158.0,11.0,87.0,4.0,22776.0,1164.0,20682.0,1463.0,187.0,2.0,1517.0,17046.0,1236.0,233.0,198.0,16607.0,330.0,6.0,8406.0,791.0,24.0,3071.0,28.0
3360,0.0,2.0,6.0,3.0,473.0,1.0,36.0,1393.0,9.0,172.0,5.0,69.0,13633.0,105.0,2788.0,78.0,21.0,4366.0,769.0,355.0,2622.0,1181.0,9096.0,14.0,12020.0,285.0,178.0,19918.0,7.0,12556.0
3409,0.0,1.0,3.0,14.0,9.0,2.0,475.0,500.0,27.0,16726.0,11.0,215.0,368.0,15.0,3516.0,15806.0,2787.0,175.0,450.0,171.0,12398.0,4.0,12.0,2308.0,217.0,301.0,30.0,84.0,494.0,2163.0
3458,0.0,1.0,2.0,5.0,14.0,3.0,10.0,619.0,32.0,2058.0,1183.0,37.0,11.0,610.0,114.0,15772.0,43.0,2328.0,1226.0,94.0,12312.0,12.0,76.0,12134.0,90.0,165.0,981.0,19684.0,6596.0,760.0
3507,0.0,3.0,1.0,2.0,559.0,114.0,1837.0,189.0,9.0,11.0,323.0,22.0,68.0,40.0,5.0,171.0,3347.0,1460.0,119.0,15.0,12267.0,16454.0,16637.0,12799.0,8227.0,340.0,470.0,137.0,312.0,51.0
3556,0.0,9.0,5.0,1.0,22.0,411.0,91.0,4.0,8.0,14.0,540.0,2.0,30.0,66.0,3.0,146.0,2333.0,917.0,283.0,1960.0,10682.0,372.0,74.0,35.0,117.0,12114.0,2074.0,1709.0,55.0,11206.0
3605,1.0,3.0,2.0,0.0,18.0,14.0,23540.0,88.0,8.0,260.0,827.0,22972.0,28.0,2497.0,10.0,7.0,794.0,41.0,72.0,64.0,12728.0,287.0,154.0,17.0,119.0,7798.0,144.0,19905.0,100.0,1143.0
3654,0.0,2.0,7.0,1.0,3.0,2089.0,6.0,42.0,17251.0,8100.0,385.0,8.0,53.0,2673.0,77.0,74.0,315.0,547.0,2715.0,29.0,10620.0,235.0,390.0,43.0,10.0,11980.0,27.0,58.0,350.0,2487.0
3703,0.0,9.0,2.0,143.0,1.0,44.0,8.0,5.0,2829.0,527.0,1096.0,148.0,31.0,2529.0,49.0,18.0,6391.0,26.0,2383.0,33.0,480.0,52.0,798.0,430.0,8155.0,301.0,230.0,101.0,3258.0,12171.0
3752,0.0,3.0,18.0,5.0,1.0,1346.0,569.0,1393.0,223.0,75.0,7.0,10.0,402.0,2290.0,4.0,167.0,17.0,6.0,1806.0,1015.0,2376.0,116.0,29.0,12185.0,409.0,428.0,123.0,226.0,2201.0,12189.0
3801,0.0,1.0,2.0,3.0,5.0,646.0,314.0,13.0,25.0,16707.0,1266.0,55.0,15134.0,84.0,1714.0,15785.0,3494.0,1233.0,17035.0,964.0,12294.0,8.0,521.0,47.0,111.0,1344.0,11.0,19572.0,2759.0,2712.0
3850,0.0,1.0,2.0,3.0,4.0,1340.0,447.0,27.0,18282.0,120.0,131.0,23010.0,2606.0,7.0,1114.0,16.0,227.0,40.0,353.0,339.0,13.0,817.0,16599.0,1395.0,458.0,70.0,31.0,19551.0,162.0,2509.0
3899,0.0,3.0,2.0,1.0,10.0,916.0,11.0,33.0,18274.0,326.0,24.0,41.0,15137.0,20670.0,27.0,15749.0,110.0,552.0,2748.0,16614.0,17.0,18.0,277.0,1009.0,19.0,493.0,23691.0,254.0,31.0,12171.0
3948,2.0,0.0,18.0,1.0,36.0,6.0,12883.0,39.0,17.0,101.0,70.0,299.0,3.0,539.0,3434.0,21907.0,306.0,4999.0,56.0,286.0,83.0,2489.0,139.0,11141.0,155.0,1277.0,744.0,23273.0,655.0,183.0
3997,1.0,0.0,4.0,115.0,38.0,2868.0,27.0,13675.0,663.0,16737.0,23.0,22814.0,513.0,5.0,2893.0,270.0,21.0,821.0,12.0,16641.0,43.0,1151.0,33.0,12209.0,8169.0,2814.0,217.0,664.0,6.0,12214.0
4046,1.0,2.0,0.0,3.0,4.0,484.0,58.0,406.0,1046.0,505.0,16683.0,1810.0,15181.0,113.0,74.0,53.0,391.0,2806.0,1254.0,16596.0,2070.0,52.0,16615.0,9988.0,9805.0,51.0,2607.0,19573.0,119.0,11980.0
4095,0.0,5.0,3.0,4.0,1.0,22.0,781.0,422.0,1974.0,1122.0,503.0,22769.0,2091.0,530.0,2284.0,26.0,365.0,2123.0,197.0,65.0,12327.0,46.0,16603.0,60.0,748.0,791.0,348.0,632.0,2473.0,1493.0
4144,1.0,0.0,44.0,2.0,3.0,7.0,1627.0,1562.0,5.0,6.0,1647.0,22773.0,16.0,118.0,2751.0,26.0,2772.0,37.0,93.0,16632.0,142.0,16454.0,588.0,12165.0,297.0,589.0,2160.0,19558.0,2690.0,481.0
4193,0.0,2.0,1.0,6.0,4.0,76.0,953.0,217.0,18.0,239.0,16658.0,16.0,15152.0,204.0,124.0,188.0,367.0,3766.0,58.0,21.0,115.0,20.0,30.0,1678.0,1186.0,5.0,1505.0,19560.0,1294.0,112.0
4242,0.0,1.0,2.0,3.0,4.0,24.0,1641.0,2773.0,2791.0,16716.0,227.0,11.0,165.0,18.0,2793.0,98.0,12.0,3981.0,21.0,16624.0,48.0,336.0,16611.0,1047.0,779.0,2036.0,224.0,19553.0,28.0,222.0
4291,0.0,19.0,53.0,2.0,3.0,79.0,5.0,1044.0,24.0,178.0,16693.0,51.0,15171.0,135.0,2086.0,15775.0,13.0,2834.0,547.0,793.0,18.0,1039.0,2032.0,12199.0,8154.0,64.0,20.0,234.0,1319.0,2794.0
4340,0.0,2.0,7.0,1.0,3.0,850.0,4.0,512.0,10.0,16706.0,16673.0,8.0,110.0,2723.0,25.0,2556.0,6.0,3529.0,5.0,16612.0,589.0,962.0,233.0,1026.0,277.0,2317.0,23768.0,689.0,140.0,70.0
4389,0.0,511.0,3.0,1.0,6.0,2.0,5.0,13734.0,4.0,469.0,7.0,169.0,2726.0,1076.0,2982.0,15801.0,947.0,3339.0,10.0,16643.0,681.0,491.0,558.0,599.0,1569.0,94.0,241.0,19565.0,621.0,2797.0
4438,2.0,1.0,0.0,3.0,606.0,4.0,17.0,172.0,18170.0,8.0,1465.0,22792.0,15173.0,315.0,108.0,142.0,71.0,178.0,168.0,16621.0,672.0,16441.0,16605.0,739.0,238.0,11943.0,23742.0,154.0,35.0,12149.0
4487,0.0,10.0,3.0,1.0,9085.0,2.0,26.0,33.0,294.0,4.0,16679.0,22795.0,15177.0,20654.0,717.0,15793.0,1009.0,16.0,100.0,34.0,97.0,16417.0,1496.0,567.0,69.0,1903.0,23741.0,82.0,28.0,1332.0
4536,0.0,4.0,2.0,12.0,6045.0,29.0,78.0,1.0,495.0,6.0,16642.0,3.0,13.0,534.0,455.0,202.0,1284.0,9.0,16.0,2370.0,12136.0,907.0,2264.0,944.0,10180.0,2386.0,23776.0,428.0,187.0,51.0
4585,0.0,1.0,3.0,2.0,4.0,24.0,338.0,33.0,18188.0,1115.0,6.0,18.0,1423.0,862.0,16.0,59.0,2659.0,67.0,136.0,16633.0,11589.0,16457.0,16621.0,1368.0,239.0,760.0,23642.0,234.0,56.0,327.0
4634,0.0,1.0,6.0,5.0,270.0,4.0,3.0,20.0,901.0,90.0,78.0,22783.0,15180.0,8.0,2023.0,31.0,1437.0,12.0,1055.0,960.0,2006.0,16440.0,16605.0,116.0,8146.0,10.0,1763.0,19578.0,2162.0,42.0
4683,1.0,2.0,0.0,3.0,7.0,280.0,13.0,1347.0,2414.0,106.0,1743.0,821.0,15149.0,20617.0,28.0,65.0,516.0,14.0,1938.0,16614.0,2526.0,16451.0,16601.0,74.0,578.0,528.0,1285.0,19574.0,316.0,12154.0
