,GOLGA6L10_AMP,HLA-H_DEL,DMRTA1_DEL,LOC390660_AMP,EYA1_DEL,GLI3_DEL,ETS1_DEL,GALC_DEL,B4GALNT3_DEL,PTEN_DEL,FAM21A_DEL,GUCY2C_MUT,CDKN2B_DEL,MIR3649_DEL,NF1_MUT,CDK8_DEL,DICER1_MUT,LOC100292680_DEL,SH3GL2_DEL,SLC6A13_DEL,PKN1_MUT,LOC574538_DEL,ADAM3A_DEL,ADAM5_DEL,CDKN2B-AS1_DEL,BRAF_MUT,IFT88_DEL,RBFOX1_DEL,FLJ45445_DEL,AFF4_MUT
1012,67.0,21.0,31.0,24.0,2.0,1269.0,283.0,322.0,75.0,17.0,93.0,2860.0,101.0,211.0,4.0,37.0,1.0,210.0,23.0,13.0,19.0,160.0,32.0,18.0,82.0,11.0,184.0,3703.0,6.0,66.0
1061,115.0,71.0,25.0,582.0,15.0,28.0,74.0,66.0,158.0,0.0,5.0,23.0,100.0,51.0,82.0,674.0,3.0,19.0,18.0,130.0,151.0,200.0,39.0,93.0,1063.0,160.0,607.0,103.0,11398.0,13.0
1110,141.0,21.0,11880.0,86.0,4.0,18.0,3683.0,24.0,575.0,23.0,617.0,34.0,43.0,82.0,238.0,20846.0,1.0,835.0,6.0,63.0,38.0,50.0,2.0,0.0,164.0,108.0,116.0,100.0,693.0,56.0
1159,351.0,6884.0,19.0,3616.0,2.0,5.0,2660.0,136.0,35.0,131.0,246.0,0.0,46.0,100.0,1.0,7.0,24.0,98.0,353.0,10.0,211.0,97.0,77.0,504.0,130.0,17099.0,48.0,899.0,357.0,12.0
1208,17.0,48.0,9.0,81.0,27.0,23.0,5927.0,224.0,52.0,45.0,4386.0,49.0,20.0,57.0,11.0,120.0,2.0,297.0,69.0,54.0,1.0,226.0,166.0,98.0,202.0,29.0,343.0,958.0,30.0,4.0
1257,2.0,90.0,5.0,36.0,14.0,7.0,69.0,39.0,222.0,1.0,37.0,16612.0,4.0,279.0,116.0,3.0,0.0,18687.0,1108.0,72.0,274.0,224.0,26.0,6.0,11.0,500.0,8087.0,2348.0,12.0,987.0
1306,1188.0,1103.0,4.0,397.0,159.0,204.0,1413.0,66.0,9.0,5.0,574.0,47.0,7.0,199.0,1.0,174.0,13.0,10.0,14.0,200.0,57.0,18.0,0.0,2.0,60.0,1306.0,31.0,1205.0,17.0,16795.0
1355,92.0,3014.0,25.0,3513.0,20.0,1.0,7106.0,1326.0,104.0,137.0,100.0,16596.0,10.0,86.0,6.0,7.0,5.0,106.0,51.0,125.0,41.0,34.0,3.0,4.0,649.0,0.0,287.0,77.0,796.0,198.0
1404,17.0,1.0,84.0,35.0,647.0,445.0,1341.0,150.0,92.0,31.0,96.0,39.0,305.0,38.0,16.0,20789.0,11.0,521.0,32.0,522.0,664.0,179.0,0.0,8.0,332.0,1438.0,286.0,10902.0,15.0,222.0
1453,93.0,5.0,416.0,767.0,23.0,2.0,7835.0,141.0,170.0,64.0,25.0,85.0,345.0,205.0,178.0,2541.0,3.0,48.0,372.0,204.0,16.0,95.0,70.0,1.0,37.0,267.0,29.0,1649.0,20.0,8.0
1502,7.0,22.0,0.0,19.0,13.0,162.0,5.0,46.0,8.0,34.0,71.0,3.0,9.0,27.0,1.0,133.0,74.0,11.0,32.0,8592.0,446.0,36.0,1461.0,97.0,262.0,60.0,157.0,398.0,47.0,973.0
1551,13.0,2.0,5.0,121.0,110.0,54.0,1.0,57.0,147.0,2732.0,6.0,0.0,14.0,61.0,73.0,668.0,25.0,933.0,12352.0,23.0,897.0,40.0,1009.0,26.0,56.0,1339.0,714.0,3.0,154.0,410.0
1600,70.0,7.0,3016.0,73.0,2.0,1.0,18.0,229.0,42.0,135.0,22.0,9.0,504.0,33.0,131.0,180.0,16786.0,208.0,551.0,36.0,2007.0,44.0,342.0,32.0,88.0,0.0,7981.0,451.0,4343.0,102.0
1649,21755.0,18.0,12.0,1474.0,33.0,55.0,971.0,13.0,5909.0,12922.0,15.0,38.0,1397.0,1143.0,6.0,20794.0,110.0,131.0,69.0,296.0,16610.0,150.0,305.0,865.0,20.0,92.0,7953.0,1914.0,617.0,630.0
1698,51.0,1.0,2.0,24.0,11.0,17.0,4.0,8.0,42.0,519.0,71.0,5.0,14.0,29.0,16683.0,207.0,768.0,345.0,357.0,26.0,16661.0,23.0,181.0,3465.0,196.0,126.0,9306.0,366.0,104.0,16826.0
1747,900.0,3088.0,10.0,132.0,12.0,15.0,6003.0,1160.0,124.0,337.0,13.0,7.0,0.0,11.0,1.0,946.0,510.0,270.0,59.0,271.0,2647.0,269.0,90.0,252.0,2.0,92.0,98.0,2749.0,483.0,144.0
1796,16.0,18.0,84.0,14.0,8.0,2.0,21.0,23.0,13.0,656.0,245.0,82.0,5.0,70.0,780.0,2511.0,485.0,38.0,8941.0,127.0,16686.0,87.0,3756.0,914.0,17.0,503.0,371.0,602.0,7.0,51.0
1845,13.0,121.0,45.0,22.0,33.0,746.0,40.0,12.0,269.0,1.0,2.0,3060.0,608.0,358.0,0.0,90.0,1637.0,28.0,2353.0,43.0,16664.0,87.0,58.0,187.0,93.0,2310.0,896.0,271.0,34.0,23.0
1894,25.0,7.0,1.0,189.0,339.0,79.0,13.0,192.0,5.0,207.0,126.0,272.0,103.0,19.0,8.0,1553.0,745.0,28.0,11.0,40.0,9598.0,261.0,321.0,324.0,760.0,92.0,1039.0,14.0,51.0,483.0
1943,203.0,84.0,87.0,17.0,4.0,45.0,6.0,1322.0,65.0,11429.0,13.0,79.0,137.0,646.0,994.0,677.0,11330.0,22920.0,967.0,12859.0,1529.0,11481.0,20845.0,2200.0,40.0,0.0,502.0,42.0,19.0,228.0
