,SYT17,LYL1,ELF3,ABLIM2,GNB4,LA16c-380H5.5,HTRA2,GGPS1,RPUSD2,HERC5,RSPH1,RP5-914P20.5,TMEM182,AGR2,CXADR,KIAA1211L,AC074212.6,TRPV2,C1orf174,MFAP2,PITPNM3,FA2H,RP11-1109F11.3,HSPA1A,AP000974.1,RP11-196G18.22,RP11-645C24.2,ANO9,SYT13,RPL6
4323,18.0,7.0,4.0,13.0,1.0,73.0,16.0,255.0,5.0,71.0,41.0,7510.0,107.0,37.0,219.0,79.0,7829.0,85.0,48.0,15869.0,84.0,215.0,8.0,21083.0,78.0,15795.0,90.0,211.0,205.0,0.0
4372,6.0,12.0,0.0,13.0,8.0,34.0,66.0,9.0,4.0,265.0,2.0,28.0,58.0,16.0,295.0,37.0,50.0,104.0,1.0,394.0,9841.0,111.0,128.0,10.0,67.0,512.0,40.0,25.0,70.0,119.0
4421,4.0,1.0,355.0,51.0,14596.0,19.0,52.0,41.0,448.0,16.0,17.0,7546.0,37.0,256.0,7619.0,486.0,62.0,9899.0,553.0,2.0,760.0,749.0,20.0,133.0,44.0,71.0,21.0,19761.0,23.0,180.0
4470,0.0,45.0,13.0,27.0,154.0,71.0,2.0,1.0,6.0,164.0,43.0,459.0,34.0,81.0,73.0,161.0,163.0,20.0,16151.0,15887.0,60.0,206.0,10.0,122.0,4662.0,15778.0,42.0,19745.0,158.0,31.0
4519,0.0,2.0,141.0,28.0,664.0,1.0,21.0,7.0,37.0,3.0,108.0,77.0,152.0,145.0,7399.0,282.0,48.0,56.0,16156.0,17.0,10812.0,10927.0,135.0,247.0,4652.0,183.0,46.0,19741.0,110.0,112.0
4568,0.0,144.0,6.0,25.0,157.0,4.0,5.0,1.0,40.0,23.0,82.0,7590.0,122.0,126.0,70.0,119.0,71.0,9930.0,16186.0,318.0,33.0,130.0,12.0,173.0,6570.0,472.0,31.0,47.0,9.0,225.0
4617,8.0,171.0,76.0,38.0,14571.0,15.0,3.0,1.0,218.0,4.0,12.0,7557.0,26.0,0.0,518.0,569.0,50.0,17.0,113.0,18.0,36.0,335.0,7.0,179.0,5561.0,231.0,28.0,392.0,11.0,297.0
4666,0.0,39.0,17323.0,97.0,14578.0,48.0,75.0,2.0,13.0,8.0,12.0,406.0,57.0,22342.0,98.0,17023.0,40.0,15.0,16160.0,15894.0,203.0,10961.0,257.0,61.0,4654.0,166.0,17.0,19730.0,185.0,204.0
4715,2.0,12.0,26.0,6.0,14656.0,4.0,17.0,3.0,138.0,8.0,28.0,7592.0,305.0,14.0,219.0,191.0,7.0,33.0,492.0,0.0,10905.0,30.0,22.0,201.0,2107.0,15847.0,11.0,718.0,126.0,289.0
4764,4.0,202.0,99.0,65.0,14578.0,80.0,28.0,0.0,243.0,127.0,235.0,74.0,47.0,58.0,1013.0,339.0,49.0,113.0,330.0,40.0,67.0,10938.0,8.0,249.0,6844.0,141.0,54.0,351.0,277.0,4962.0
4813,3.0,195.0,0.0,16.0,325.0,20.0,1.0,2.0,7.0,158.0,116.0,178.0,64.0,11.0,266.0,371.0,174.0,99.0,16194.0,2033.0,18.0,10995.0,6950.0,21013.0,117.0,4.0,55.0,265.0,5.0,83.0
4862,3.0,91.0,0.0,25.0,14568.0,11.0,1.0,8.0,61.0,2.0,17.0,150.0,63.0,30.0,7356.0,104.0,34.0,4.0,13.0,16.0,18.0,83.0,464.0,12.0,493.0,224.0,3496.0,122.0,2223.0,204.0
