,KRAS.G12_13_MUT,ETS1_DEL,TRIM49_DEL,BIRC2_AMP,SCN3B_DEL,TMEM123_AMP,CCBE1_DEL,DCUN1D5_AMP,OR2T35_AMP,ADAMTSL1_DEL,BIRC3_AMP,NRG1_DEL,DYNC2H1_AMP,CHN2_DEL,KCNJ5_DEL,LOC283174_DEL,SNORA37_DEL,GDF5_AMP,CNTN5_DEL,NETO1_DEL,RAX_DEL,NOMO3_AMP,MCEE_AMP,YAP1_AMP,JAK2_DEL,FAM154A_DEL,LGALS9C_DEL,GUSBP2_DEL,CDC73_AMP,EYA1_DEL
2184,4.0,5203.0,111.0,65.0,12430.0,392.0,548.0,28.0,321.0,8848.0,13257.0,12.0,584.0,19999.0,4384.0,6568.0,8288.0,22993.0,10296.0,7668.0,2995.0,7.0,23088.0,1393.0,2763.0,2589.0,607.0,859.0,690.0,114.0
2233,0.0,5108.0,160.0,92.0,26.0,18359.0,2.0,23128.0,1602.0,53.0,178.0,685.0,23064.0,27.0,110.0,6496.0,189.0,225.0,6.0,7751.0,3136.0,52.0,7.0,158.0,2462.0,5627.0,629.0,478.0,2684.0,967.0
2282,7.0,5059.0,329.0,14.0,224.0,192.0,68.0,23165.0,33.0,103.0,474.0,600.0,23009.0,1501.0,132.0,3146.0,77.0,72.0,2763.0,10099.0,208.0,1553.0,44.0,141.0,463.0,4897.0,32.0,2248.0,9.0,91.0
2331,3.0,5661.0,19.0,181.0,12.0,14320.0,0.0,52.0,1996.0,78.0,17549.0,2722.0,21965.0,21.0,2984.0,542.0,216.0,25.0,2.0,146.0,1665.0,14499.0,101.0,683.0,10.0,171.0,18.0,226.0,22.0,5671.0
2380,0.0,5695.0,58.0,12.0,55.0,13635.0,5.0,396.0,1539.0,9425.0,206.0,823.0,22021.0,20945.0,2992.0,514.0,2771.0,352.0,1.0,8612.0,3705.0,1006.0,967.0,23701.0,405.0,90.0,3.0,536.0,2122.0,1636.0
2429,0.0,70.0,287.0,15209.0,12328.0,21.0,533.0,23114.0,526.0,60.0,15206.0,27.0,22784.0,20060.0,19.0,15.0,107.0,23403.0,10290.0,41.0,2998.0,1778.0,23168.0,18040.0,4293.0,28.0,1382.0,4260.0,2631.0,154.0
2478,0.0,256.0,12240.0,13329.0,12359.0,18356.0,5443.0,1412.0,7.0,23.0,13326.0,552.0,313.0,19939.0,4514.0,6427.0,8246.0,127.0,120.0,7744.0,2869.0,139.0,574.0,234.0,3.0,162.0,8642.0,776.0,307.0,1302.0
2527,3.0,412.0,10799.0,14189.0,10886.0,16096.0,435.0,653.0,83.0,9059.0,14186.0,6.0,439.0,21148.0,4398.0,447.0,9.0,997.0,836.0,1267.0,818.0,605.0,108.0,17.0,2645.0,290.0,1969.0,4761.0,359.0,2328.0
2576,24134.0,7196.0,667.0,97.0,11814.0,19.0,2112.0,29.0,20.0,69.0,165.0,4476.0,4.0,2.0,3823.0,341.0,65.0,229.0,120.0,9214.0,135.0,14494.0,273.0,17981.0,1462.0,127.0,433.0,47.0,1824.0,984.0
2625,176.0,1.0,2159.0,17782.0,10600.0,446.0,1868.0,369.0,35.0,169.0,262.0,186.0,321.0,21404.0,2759.0,9.0,12512.0,23477.0,756.0,1073.0,3565.0,1392.0,436.0,13359.0,126.0,965.0,711.0,3208.0,1301.0,5140.0
2674,2052.0,395.0,88.0,15157.0,277.0,18441.0,5.0,258.0,15403.0,199.0,174.0,21.0,647.0,1536.0,4349.0,6131.0,246.0,2485.0,10320.0,7666.0,3265.0,14.0,605.0,565.0,2634.0,307.0,11837.0,270.0,1771.0,1873.0
2723,127.0,47.0,349.0,15150.0,15.0,18330.0,4.0,1366.0,408.0,380.0,38.0,164.0,22765.0,143.0,5.0,6010.0,482.0,400.0,10321.0,1.0,24.0,368.0,2372.0,1957.0,32.0,6572.0,171.0,89.0,23008.0,1285.0
2772,4.0,0.0,111.0,15197.0,286.0,17.0,104.0,210.0,15447.0,8799.0,135.0,1697.0,308.0,60.0,2958.0,84.0,136.0,223.0,338.0,436.0,6450.0,14465.0,23249.0,9.0,3158.0,3731.0,363.0,249.0,23053.0,751.0
2821,9.0,174.0,133.0,15187.0,1021.0,194.0,7.0,42.0,131.0,6731.0,15184.0,81.0,23026.0,2.0,720.0,207.0,9918.0,1919.0,1033.0,8116.0,3760.0,91.0,650.0,18107.0,3969.0,5332.0,2654.0,306.0,1366.0,2632.0
2870,108.0,1175.0,8.0,0.0,1350.0,18321.0,225.0,23145.0,189.0,784.0,13326.0,21.0,481.0,346.0,2980.0,7198.0,8213.0,23257.0,2.0,366.0,25.0,276.0,23238.0,142.0,376.0,813.0,2234.0,3077.0,2189.0,5477.0
2919,224.0,64.0,870.0,77.0,280.0,16326.0,3.0,22782.0,27.0,3758.0,13349.0,3212.0,310.0,974.0,5130.0,486.0,7941.0,22952.0,38.0,344.0,295.0,12.0,22871.0,106.0,86.0,288.0,8145.0,31.0,2019.0,314.0
2968,544.0,164.0,721.0,220.0,107.0,59.0,841.0,19.0,0.0,9032.0,13353.0,3470.0,24092.0,28.0,4276.0,6792.0,148.0,22928.0,140.0,7926.0,132.0,24.0,1681.0,2470.0,2598.0,423.0,2710.0,1586.0,709.0,4.0
3017,159.0,1827.0,16.0,13343.0,23.0,18362.0,2058.0,23138.0,19.0,8825.0,13331.0,759.0,723.0,25.0,4565.0,7080.0,8224.0,1023.0,855.0,197.0,17.0,84.0,663.0,17988.0,1635.0,424.0,2709.0,91.0,387.0,1290.0
3066,84.0,28.0,12327.0,13355.0,12419.0,695.0,12.0,227.0,121.0,266.0,13352.0,3285.0,561.0,19936.0,52.0,1043.0,8245.0,23341.0,1041.0,7721.0,3.0,2.0,510.0,48.0,4059.0,278.0,2723.0,4511.0,43.0,1.0
3115,1.0,5107.0,19.0,1152.0,16.0,960.0,5727.0,387.0,2222.0,297.0,13320.0,4192.0,23067.0,1736.0,3784.0,237.0,914.0,23339.0,213.0,2775.0,3.0,14447.0,2739.0,202.0,652.0,738.0,11909.0,1128.0,343.0,205.0
3164,41.0,4679.0,962.0,15194.0,248.0,202.0,2720.0,2.0,289.0,2268.0,15200.0,588.0,6.0,19924.0,4396.0,331.0,834.0,23284.0,10364.0,414.0,0.0,2171.0,154.0,17962.0,413.0,50.0,2296.0,596.0,23030.0,63.0
3213,532.0,6.0,36.0,191.0,1432.0,661.0,5920.0,201.0,202.0,281.0,457.0,34.0,23043.0,14.0,3656.0,131.0,104.0,509.0,648.0,1236.0,2.0,1464.0,23105.0,506.0,12.0,87.0,46.0,173.0,22990.0,1585.0
3262,69.0,145.0,210.0,77.0,2562.0,53.0,6029.0,415.0,26.0,10.0,13569.0,1959.0,67.0,108.0,693.0,29.0,535.0,9.0,2664.0,203.0,94.0,71.0,66.0,401.0,51.0,2117.0,56.0,1198.0,23054.0,997.0
3311,547.0,428.0,12282.0,81.0,1021.0,1.0,5773.0,360.0,10.0,217.0,14236.0,3239.0,11.0,20056.0,59.0,6447.0,8242.0,36.0,10346.0,1498.0,8.0,27.0,23208.0,5.0,19.0,22.0,1074.0,356.0,23061.0,264.0
3360,1.0,596.0,0.0,40.0,42.0,2.0,5689.0,36.0,221.0,2618.0,13.0,46.0,7.0,139.0,484.0,6513.0,282.0,23318.0,10364.0,762.0,163.0,14478.0,27.0,285.0,2715.0,787.0,11899.0,4.0,121.0,52.0
3409,24134.0,5705.0,12786.0,3.0,0.0,516.0,255.0,23146.0,78.0,7679.0,13310.0,258.0,22994.0,705.0,4590.0,374.0,8666.0,23260.0,10109.0,52.0,3267.0,673.0,2.0,1103.0,4540.0,773.0,157.0,269.0,465.0,211.0
3458,1.0,32.0,31.0,15168.0,5.0,21.0,2.0,23113.0,14943.0,6771.0,509.0,1303.0,81.0,824.0,469.0,3652.0,109.0,23337.0,28.0,78.0,221.0,16.0,327.0,18092.0,22.0,10.0,849.0,1422.0,2342.0,45.0
3507,0.0,2.0,43.0,795.0,3.0,335.0,8.0,221.0,30.0,60.0,15149.0,3151.0,95.0,258.0,104.0,6182.0,2306.0,23386.0,764.0,22.0,789.0,1422.0,2628.0,17970.0,208.0,153.0,253.0,322.0,2646.0,288.0
3556,0.0,21.0,8426.0,15167.0,7.0,515.0,12.0,23107.0,2380.0,6686.0,15164.0,332.0,22807.0,244.0,263.0,201.0,10112.0,519.0,9.0,51.0,4816.0,2533.0,160.0,17973.0,1621.0,24.0,2274.0,857.0,1416.0,381.0
3605,708.0,0.0,499.0,13969.0,73.0,17276.0,256.0,1407.0,235.0,699.0,13966.0,130.0,23749.0,62.0,12.0,6676.0,12170.0,37.0,1.0,44.0,3425.0,92.0,935.0,16815.0,2907.0,5.0,652.0,1017.0,2733.0,779.0
3654,16.0,40.0,76.0,15148.0,1.0,12.0,117.0,1153.0,474.0,66.0,15122.0,3217.0,22786.0,305.0,171.0,182.0,31.0,101.0,71.0,80.0,1797.0,241.0,2668.0,1845.0,1884.0,103.0,274.0,3631.0,291.0,543.0
3703,1232.0,6931.0,36.0,158.0,0.0,399.0,4.0,628.0,15413.0,13.0,15161.0,37.0,22772.0,1178.0,6.0,10.0,70.0,543.0,157.0,79.0,2638.0,300.0,269.0,17965.0,32.0,9.0,104.0,3972.0,2366.0,6960.0
3752,349.0,5.0,2044.0,15181.0,27.0,197.0,11.0,23111.0,15388.0,57.0,211.0,61.0,22772.0,45.0,389.0,23.0,16.0,317.0,10353.0,7691.0,3398.0,337.0,50.0,209.0,52.0,1614.0,725.0,171.0,2273.0,5512.0
3801,516.0,18.0,23.0,15191.0,85.0,153.0,140.0,23102.0,567.0,390.0,849.0,4212.0,22778.0,26.0,3175.0,7.0,33.0,23394.0,1097.0,9395.0,4339.0,84.0,1924.0,6.0,2874.0,110.0,2434.0,221.0,1136.0,1712.0
3850,369.0,1.0,0.0,14423.0,205.0,51.0,81.0,22964.0,2437.0,242.0,14419.0,2.0,23600.0,282.0,4400.0,12.0,40.0,176.0,47.0,165.0,2990.0,152.0,116.0,1771.0,2889.0,6143.0,1579.0,224.0,23579.0,140.0
3899,24134.0,1.0,7.0,15178.0,30.0,136.0,5786.0,23094.0,2593.0,667.0,44.0,1294.0,77.0,200.0,24.0,8.0,86.0,23293.0,358.0,1886.0,3021.0,93.0,27.0,552.0,13.0,4.0,359.0,537.0,22998.0,148.0
3948,116.0,11.0,394.0,50.0,43.0,407.0,5788.0,9.0,320.0,8765.0,13898.0,48.0,126.0,1821.0,112.0,6447.0,168.0,117.0,5.0,7686.0,2959.0,260.0,332.0,17991.0,661.0,742.0,11889.0,211.0,1593.0,2.0
3997,4.0,0.0,184.0,14233.0,10657.0,145.0,5951.0,24085.0,366.0,443.0,14230.0,3225.0,194.0,241.0,2976.0,7008.0,15.0,220.0,29.0,2103.0,3161.0,1059.0,343.0,710.0,71.0,6308.0,2684.0,2996.0,555.0,144.0
4046,23.0,63.0,387.0,2139.0,12377.0,614.0,22.0,13.0,87.0,934.0,12.0,2868.0,6.0,10.0,4284.0,6453.0,227.0,139.0,1395.0,156.0,110.0,71.0,23216.0,32.0,3846.0,469.0,68.0,182.0,29.0,35.0
4095,1036.0,33.0,1766.0,14144.0,1030.0,58.0,5994.0,3.0,6.0,9224.0,14141.0,3140.0,23674.0,519.0,127.0,6808.0,12516.0,503.0,9.0,8477.0,3165.0,55.0,19.0,5.0,3095.0,6356.0,12009.0,3059.0,1104.0,797.0
4144,1.0,434.0,32.0,996.0,496.0,18352.0,98.0,13.0,15428.0,8811.0,13341.0,877.0,23063.0,406.0,274.0,6479.0,8211.0,23324.0,15.0,7746.0,3099.0,504.0,23230.0,586.0,275.0,5633.0,564.0,375.0,65.0,874.0
4193,589.0,1280.0,12271.0,139.0,12349.0,8.0,2744.0,2.0,640.0,8814.0,21.0,2840.0,1390.0,248.0,4112.0,6469.0,273.0,23268.0,3.0,7737.0,3417.0,14488.0,23249.0,56.0,3646.0,68.0,135.0,734.0,178.0,64.0
4242,406.0,1.0,2001.0,15190.0,2.0,203.0,703.0,162.0,15413.0,8763.0,15206.0,362.0,23.0,301.0,4348.0,6498.0,75.0,23275.0,0.0,65.0,2160.0,420.0,45.0,256.0,1681.0,5762.0,1299.0,794.0,2115.0,1400.0
4291,57.0,0.0,30.0,13337.0,6.0,13.0,177.0,62.0,15427.0,3139.0,13926.0,49.0,131.0,225.0,323.0,3741.0,9830.0,964.0,2.0,9961.0,1686.0,14490.0,3.0,14.0,19.0,296.0,603.0,629.0,349.0,7305.0
4340,36.0,7111.0,1.0,13315.0,0.0,269.0,62.0,2.0,15402.0,3571.0,384.0,463.0,918.0,339.0,532.0,3529.0,7982.0,953.0,13.0,9343.0,2841.0,22.0,574.0,17987.0,1890.0,5218.0,92.0,342.0,23009.0,3.0
4389,27.0,82.0,70.0,13346.0,8.0,616.0,6037.0,262.0,75.0,143.0,1152.0,3290.0,278.0,1424.0,364.0,630.0,8222.0,23325.0,2083.0,7756.0,472.0,60.0,55.0,17983.0,1016.0,2727.0,18.0,103.0,828.0,2541.0
4438,41.0,7.0,97.0,195.0,144.0,363.0,6309.0,226.0,800.0,247.0,189.0,96.0,23010.0,1331.0,4037.0,599.0,10225.0,23277.0,1096.0,472.0,4774.0,14447.0,18.0,199.0,38.0,1826.0,755.0,4114.0,2760.0,12.0
4487,36.0,159.0,325.0,15204.0,30.0,18437.0,5819.0,23103.0,1398.0,12.0,410.0,912.0,349.0,78.0,3695.0,155.0,703.0,2453.0,639.0,200.0,352.0,75.0,115.0,17971.0,8.0,4710.0,2621.0,412.0,676.0,79.0
4536,339.0,187.0,8.0,147.0,11039.0,2095.0,1381.0,23908.0,2551.0,1486.0,213.0,48.0,23496.0,21093.0,118.0,154.0,949.0,24066.0,1775.0,38.0,435.0,1341.0,29.0,263.0,338.0,95.0,2409.0,9.0,13.0,91.0
4585,66.0,259.0,38.0,213.0,502.0,15.0,4707.0,23097.0,14445.0,10.0,381.0,82.0,22776.0,457.0,217.0,6428.0,1141.0,23390.0,380.0,41.0,3005.0,463.0,62.0,233.0,46.0,327.0,2347.0,6.0,43.0,2209.0
