,GOLGA6L10_AMP,LOC390660_AMP,HLA-H_DEL,PTEN_DEL,ETS1_DEL,NF1_MUT,DMRTA1_DEL,EYA1_DEL,GUCY2C_MUT,BRAF.V600E_MUT,IQSEC3_DEL,FAM21A_DEL,PCCB_DEL,B4GALNT3_DEL,BRAF_MUT,GALC_DEL,ADAM5_DEL,EYS_DEL,CDKN2B_DEL,DICER1_MUT,LOC100506776_AMP,ST8SIA1_DEL,GRM5_DEL,CDKN2B-AS1_DEL,GPR112_MUT,TRIM49_DEL,ELAVL2_DEL,LOC284344_DEL,BBS9_DEL,SORD_AMP
3115,13.0,27.0,4322.0,22.0,5.0,21.0,42.0,220.0,16454.0,45.0,8.0,3839.0,139.0,709.0,316.0,6172.0,1535.0,20.0,91.0,16655.0,889.0,8759.0,17.0,323.0,2733.0,11718.0,99.0,1677.0,536.0,32.0
3164,45.0,13.0,1.0,33.0,27.0,617.0,11453.0,901.0,16420.0,37.0,5.0,19.0,83.0,6299.0,714.0,883.0,179.0,794.0,15.0,16642.0,291.0,139.0,2951.0,2290.0,21.0,12264.0,454.0,1627.0,38.0,105.0
3213,5.0,1.0,8.0,281.0,345.0,2.0,7916.0,144.0,379.0,4.0,246.0,0.0,44.0,628.0,6.0,76.0,654.0,1125.0,80.0,16662.0,15794.0,828.0,250.0,933.0,1974.0,68.0,79.0,2920.0,3989.0,785.0
3262,2.0,5.0,15.0,2799.0,16.0,16468.0,8.0,116.0,2720.0,0.0,47.0,269.0,391.0,7156.0,4.0,22.0,583.0,3017.0,142.0,16646.0,44.0,11826.0,907.0,2128.0,3.0,6.0,6066.0,2393.0,14.0,10.0
3311,2.0,66.0,4.0,250.0,23.0,311.0,737.0,1807.0,57.0,1.0,3275.0,91.0,19.0,862.0,291.0,7.0,32.0,10.0,99.0,144.0,74.0,78.0,2689.0,18730.0,308.0,0.0,192.0,235.0,6229.0,45.0
3360,21796.0,685.0,25.0,14.0,577.0,1603.0,7898.0,5.0,2544.0,35.0,107.0,8.0,63.0,579.0,101.0,7012.0,7.0,2706.0,774.0,16676.0,15818.0,10017.0,422.0,1.0,55.0,12.0,6554.0,87.0,1125.0,918.0
3409,484.0,35.0,0.0,21.0,76.0,16532.0,10.0,8.0,3.0,2.0,4057.0,27.0,12.0,255.0,136.0,33.0,209.0,1265.0,474.0,16660.0,16213.0,78.0,291.0,215.0,16585.0,295.0,92.0,6125.0,2145.0,472.0
3458,21770.0,136.0,5.0,1824.0,5411.0,43.0,25.0,0.0,31.0,2.0,125.0,35.0,11326.0,7280.0,34.0,24.0,1001.0,3658.0,547.0,679.0,196.0,93.0,1363.0,19213.0,4.0,432.0,223.0,7083.0,6756.0,1.0
3507,38.0,15657.0,5.0,82.0,5110.0,764.0,3.0,207.0,335.0,58.0,1723.0,2103.0,21.0,206.0,1529.0,69.0,0.0,47.0,1486.0,4.0,131.0,292.0,3026.0,123.0,6.0,88.0,349.0,2492.0,14.0,23476.0
3556,182.0,89.0,956.0,12789.0,314.0,654.0,13.0,1472.0,830.0,0.0,3080.0,244.0,29.0,6527.0,20.0,1764.0,40.0,2839.0,21258.0,7.0,4.0,2799.0,3073.0,19683.0,1259.0,37.0,950.0,67.0,2350.0,61.0
3605,18.0,6.0,1.0,131.0,0.0,17.0,2846.0,1440.0,362.0,14.0,92.0,138.0,1974.0,302.0,17002.0,117.0,573.0,4264.0,264.0,621.0,359.0,560.0,3213.0,371.0,2732.0,7.0,47.0,2848.0,655.0,23.0
3654,23663.0,428.0,200.0,12741.0,491.0,213.0,6.0,211.0,248.0,1.0,655.0,882.0,23.0,6483.0,10.0,0.0,51.0,49.0,653.0,88.0,15855.0,12.0,31.0,18743.0,338.0,12323.0,5056.0,1508.0,365.0,456.0
3703,268.0,399.0,6.0,61.0,297.0,2458.0,8.0,1509.0,48.0,21135.0,4090.0,29.0,9.0,7024.0,96.0,5409.0,380.0,144.0,129.0,169.0,33.0,11927.0,31.0,75.0,21.0,281.0,1091.0,6285.0,742.0,23701.0
3752,69.0,10.0,1.0,4.0,4989.0,19.0,2384.0,5212.0,131.0,0.0,696.0,81.0,9.0,7120.0,250.0,28.0,208.0,86.0,1407.0,360.0,15772.0,11822.0,77.0,432.0,22.0,1842.0,984.0,1255.0,98.0,5.0
3801,5.0,13.0,147.0,358.0,867.0,751.0,45.0,117.0,153.0,1.0,3767.0,324.0,33.0,6525.0,4.0,36.0,2817.0,2039.0,851.0,16680.0,120.0,83.0,0.0,197.0,1042.0,1419.0,161.0,6295.0,174.0,234.0
3850,42.0,2.0,79.0,31.0,7.0,352.0,293.0,21.0,2155.0,195.0,935.0,706.0,4.0,6532.0,92.0,78.0,1258.0,141.0,101.0,457.0,108.0,11889.0,275.0,381.0,53.0,729.0,2452.0,644.0,6033.0,117.0
3899,1206.0,1049.0,8.0,16.0,210.0,43.0,652.0,5181.0,85.0,2.0,3255.0,38.0,0.0,37.0,47.0,6.0,12.0,42.0,432.0,19.0,1.0,11884.0,59.0,19703.0,41.0,227.0,4676.0,103.0,6053.0,23699.0
