,ETV4,TMC6,TOR4A,RP11-973F15.1,RP11-93B14.5,MBP,SPRY2,ALX4,GPR137,ENAH,CTD-2231H16.1,C16orf87,RP11-236F9.2,EML1,CTSE,RNF125,KRBA1,DBN1,SOGA1,SLCO4A1,ARHGAP33,C15orf59,DUSP6,DNAJB2,ETV5,SHISA9,KLF3,LEMD2,NPAS2,OSBPL11
4074,9781.0,6.0,24.0,7.0,10.0,11818.0,1776.0,4672.0,9.0,17372.0,0.0,4.0,80.0,1383.0,17559.0,11985.0,17.0,91.0,30.0,6900.0,31.0,3185.0,57.0,131.0,14587.0,2709.0,12.0,22772.0,135.0,14201.0
4123,2.0,5.0,11.0,21.0,7.0,11808.0,1886.0,39.0,10.0,17440.0,0.0,4.0,122.0,1350.0,77.0,12000.0,3.0,123.0,73.0,6906.0,19.0,3199.0,5205.0,205.0,14572.0,423.0,28.0,22742.0,12993.0,14463.0
4172,9775.0,1.0,12.0,8.0,5.0,1005.0,1338.0,43.0,3827.0,11.0,0.0,6.0,2.0,117.0,219.0,12000.0,19052.0,21170.0,37.0,9.0,3.0,62.0,15.0,264.0,14567.0,116.0,71.0,22993.0,72.0,14457.0
4221,1198.0,0.0,18.0,7.0,1.0,11780.0,1820.0,4226.0,85.0,30.0,6.0,2.0,4.0,3070.0,77.0,11991.0,19059.0,21097.0,6418.0,97.0,5.0,2789.0,19.0,111.0,339.0,39.0,92.0,22951.0,12958.0,14428.0
4270,872.0,0.0,5.0,18132.0,92.0,11819.0,1773.0,407.0,3.0,17432.0,67.0,31.0,86.0,1419.0,1.0,33.0,217.0,21092.0,20.0,6909.0,11134.0,3196.0,21.0,113.0,14600.0,128.0,56.0,22737.0,12993.0,517.0
4319,28.0,12.0,9.0,5.0,0.0,11814.0,1673.0,4453.0,14.0,17401.0,21612.0,7.0,2.0,1652.0,108.0,24.0,19047.0,10.0,6443.0,6930.0,87.0,39.0,15.0,13202.0,14572.0,2882.0,18.0,207.0,142.0,14458.0
4368,1.0,21.0,8.0,2.0,5.0,11828.0,5513.0,3905.0,69.0,20.0,4.0,23.0,19995.0,1334.0,18.0,26.0,312.0,280.0,6412.0,6928.0,12.0,3632.0,13.0,13228.0,14568.0,2553.0,6.0,182.0,12990.0,151.0
4417,26.0,314.0,3.0,4.0,0.0,11798.0,36.0,4190.0,17.0,169.0,33.0,227.0,1.0,60.0,22.0,11967.0,6.0,32.0,64.0,16.0,38.0,3143.0,11.0,48.0,14573.0,2622.0,7.0,25.0,8.0,56.0
4466,16.0,62.0,1.0,70.0,2.0,408.0,5.0,36.0,4673.0,230.0,15.0,2686.0,0.0,47.0,14.0,11966.0,19.0,4.0,150.0,11.0,11073.0,136.0,6086.0,13164.0,14575.0,2843.0,30.0,28.0,12967.0,14312.0
4515,0.0,73.0,1.0,177.0,23.0,11660.0,28.0,77.0,3526.0,38.0,10.0,1912.0,5.0,54.0,20.0,33.0,60.0,4.0,6356.0,15.0,2.0,97.0,40.0,57.0,191.0,1689.0,39.0,27.0,12884.0,14185.0
4564,0.0,6.0,1.0,2.0,11.0,11797.0,31.0,10.0,41.0,17365.0,15.0,2585.0,34.0,102.0,42.0,67.0,69.0,29.0,330.0,3.0,11106.0,3164.0,5084.0,16.0,14545.0,2642.0,58.0,12.0,543.0,74.0
4613,2.0,47.0,3.0,0.0,6864.0,11745.0,34.0,4647.0,3523.0,9.0,1.0,250.0,18.0,107.0,32.0,48.0,4.0,25.0,62.0,6854.0,16.0,3172.0,5179.0,37.0,148.0,2634.0,53.0,10.0,247.0,51.0
4662,10.0,57.0,38.0,8.0,15.0,11728.0,4.0,4652.0,3532.0,24.0,609.0,11.0,30.0,106.0,40.0,11963.0,74.0,34.0,103.0,1.0,0.0,3208.0,5182.0,13190.0,149.0,2628.0,55.0,5.0,196.0,6.0
4711,2.0,50.0,18.0,7.0,6852.0,11674.0,35.0,841.0,206.0,22.0,1.0,93.0,30.0,6.0,57.0,685.0,92.0,31.0,99.0,13.0,11084.0,3492.0,5254.0,949.0,90.0,2775.0,32.0,40.0,12.0,3.0
4760,0.0,74.0,19.0,6.0,58.0,11799.0,10.0,81.0,3555.0,25.0,1.0,10111.0,40.0,115.0,22.0,11961.0,18828.0,35.0,72.0,18.0,11106.0,3248.0,188.0,13184.0,14538.0,2530.0,12.0,3.0,156.0,9.0
4809,2.0,59.0,13.0,46.0,4.0,11691.0,14.0,32.0,149.0,8.0,0.0,92.0,21.0,154.0,41.0,116.0,19066.0,33.0,113.0,31.0,27.0,3167.0,5216.0,6.0,14567.0,2644.0,18.0,1.0,166.0,3.0
4858,3.0,5.0,2.0,7.0,140.0,26.0,56.0,19.0,33.0,21.0,0.0,4.0,17.0,121.0,128.0,116.0,18.0,32.0,87.0,65.0,11077.0,2654.0,5196.0,13193.0,235.0,1684.0,20.0,14.0,198.0,49.0
