,C34:4 PC,uracil,inositol,2-deoxycytidine,uridine,GABA,beta-alanine,N-carbamoyl-beta-alanine,serotonin,malondialdehyde,creatine,phosphocreatine,alpha-glycerophosphate,butyrylcarnitine/isobutyrylcarnitine,urate,glutamine,palmitoylcarnitine,C22:6 CE,1-methylnicotinamide,creatinine,isocitrate,hypoxanthine,C16:0 LPE,acetylcholine,3-phosphoglycerate,C56:5 TAG,hexoses (HILIC neg),2-deoxyadenosine,cystathionine,DHAP/glyceraldehyde 3P
1642,0.0,3.0,2.0,4.0,1.0,7.0,10.0,6.0,5.0,11.0,43.0,26.0,25.0,63.0,34.0,29.0,18.0,21.0,15.0,12.0,33.0,39.0,20.0,16.0,23.0,13.0,54.0,35.0,9.0,66.0
1691,0.0,1.0,4.0,2.0,17.0,5.0,10.0,3.0,6.0,9.0,19.0,14.0,24.0,62.0,12.0,15.0,8.0,18.0,39.0,13.0,35.0,31.0,7.0,20.0,27.0,46.0,36.0,42.0,38.0,40.0
1740,3.0,5.0,8.0,1.0,35.0,13.0,7.0,6.0,34.0,0.0,19.0,20.0,15.0,22.0,9.0,17.0,2.0,30.0,32.0,4.0,50.0,45.0,60.0,61.0,14.0,36.0,10.0,42.0,43.0,57.0
1789,0.0,2.0,9.0,1.0,11.0,6.0,3.0,15.0,25.0,5.0,12.0,30.0,16.0,52.0,4.0,22.0,23.0,38.0,19.0,28.0,33.0,41.0,10.0,40.0,20.0,7.0,14.0,17.0,49.0,18.0
1838,0.0,6.0,20.0,1.0,3.0,35.0,17.0,2.0,22.0,7.0,19.0,4.0,23.0,26.0,13.0,10.0,5.0,27.0,12.0,38.0,48.0,45.0,15.0,11.0,8.0,14.0,25.0,50.0,46.0,52.0
1887,1.0,4.0,2.0,5.0,3.0,8.0,10.0,11.0,22.0,26.0,14.0,7.0,6.0,46.0,13.0,20.0,36.0,23.0,17.0,25.0,41.0,31.0,48.0,35.0,34.0,12.0,0.0,29.0,64.0,60.0
1936,2.0,16.0,0.0,13.0,21.0,12.0,11.0,3.0,53.0,6.0,25.0,1.0,4.0,14.0,37.0,35.0,7.0,22.0,8.0,27.0,32.0,26.0,24.0,10.0,18.0,9.0,30.0,28.0,45.0,15.0
1985,4.0,11.0,5.0,8.0,21.0,6.0,16.0,2.0,1.0,18.0,3.0,7.0,56.0,17.0,13.0,12.0,64.0,14.0,37.0,9.0,19.0,25.0,45.0,60.0,32.0,22.0,10.0,43.0,29.0,20.0
2034,6.0,13.0,0.0,9.0,19.0,30.0,22.0,3.0,12.0,1.0,21.0,7.0,18.0,5.0,33.0,4.0,29.0,2.0,43.0,17.0,8.0,10.0,24.0,63.0,41.0,26.0,38.0,48.0,28.0,56.0
2083,0.0,1.0,17.0,4.0,3.0,13.0,6.0,25.0,23.0,5.0,10.0,7.0,15.0,51.0,9.0,12.0,8.0,21.0,22.0,20.0,14.0,18.0,27.0,19.0,11.0,2.0,42.0,50.0,37.0,31.0
2132,28.0,19.0,14.0,1.0,5.0,4.0,9.0,7.0,0.0,22.0,6.0,25.0,10.0,2.0,17.0,3.0,47.0,15.0,8.0,54.0,20.0,36.0,21.0,34.0,24.0,27.0,18.0,45.0,30.0,11.0
