,XBP1,4E-BP1,AMPK_pT172,BRCA2,RSK1-2-3,Bax,HER2_pY1248,Transglutaminase,STAT5-alpha,IRS1,VEGFR2,Rictor_pT1135,Acetyl-a-Tubulin (Lys40),Chk1_pS345,Bcl-xL,PRDX1,Akt_pS473,MAPK_pT202_Y204,Bcl-2,CD49b,Claudin-7,Chk2,SHP-2_pY542,Collagen_VI,HER3,beta-Catenin_pT41_S45,Porin,YAP_pS127,Tuberin_pT1462,B-Raf
2259,17.0,20.0,70.0,21.0,25.0,12.0,61.0,86.0,5.0,76.0,126.0,52.0,37.0,29.0,13.0,69.0,39.0,15.0,47.0,142.0,77.0,48.0,23.0,72.0,138.0,35.0,66.0,2.0,68.0,55.0
2308,25.0,35.0,34.0,163.0,20.0,48.0,78.0,9.0,46.0,45.0,18.0,38.0,80.0,37.0,2.0,21.0,54.0,11.0,110.0,1.0,60.0,49.0,39.0,134.0,74.0,113.0,62.0,68.0,42.0,5.0
2357,7.0,21.0,62.0,137.0,20.0,8.0,82.0,71.0,53.0,34.0,27.0,44.0,24.0,37.0,19.0,51.0,56.0,4.0,42.0,156.0,26.0,155.0,39.0,83.0,15.0,75.0,30.0,64.0,107.0,117.0
2406,8.0,13.0,34.0,30.0,61.0,136.0,37.0,26.0,44.0,18.0,1.0,54.0,39.0,21.0,2.0,16.0,50.0,70.0,32.0,38.0,22.0,10.0,47.0,3.0,0.0,74.0,80.0,96.0,57.0,128.0
2455,10.0,5.0,64.0,19.0,15.0,119.0,23.0,37.0,29.0,9.0,8.0,48.0,44.0,52.0,7.0,30.0,67.0,3.0,21.0,56.0,24.0,6.0,104.0,1.0,69.0,26.0,162.0,50.0,60.0,17.0
2504,18.0,9.0,32.0,143.0,33.0,2.0,79.0,117.0,6.0,15.0,119.0,19.0,72.0,12.0,35.0,58.0,91.0,52.0,38.0,37.0,20.0,90.0,31.0,65.0,16.0,139.0,86.0,85.0,13.0,64.0
2553,16.0,9.0,92.0,75.0,41.0,49.0,26.0,39.0,77.0,22.0,25.0,23.0,88.0,130.0,31.0,87.0,40.0,32.0,34.0,121.0,14.0,4.0,73.0,146.0,13.0,86.0,154.0,67.0,17.0,63.0
2602,33.0,41.0,35.0,162.0,30.0,8.0,36.0,54.0,59.0,60.0,16.0,21.0,63.0,29.0,70.0,75.0,43.0,61.0,76.0,133.0,25.0,140.0,69.0,74.0,6.0,48.0,58.0,23.0,108.0,3.0
2651,17.0,8.0,28.0,24.0,25.0,142.0,2.0,98.0,29.0,32.0,51.0,64.0,54.0,80.0,21.0,77.0,79.0,0.0,31.0,144.0,16.0,134.0,66.0,71.0,4.0,91.0,46.0,124.0,68.0,128.0
2700,30.0,10.0,36.0,3.0,40.0,62.0,32.0,76.0,16.0,22.0,1.0,52.0,66.0,61.0,112.0,96.0,21.0,4.0,53.0,7.0,5.0,93.0,46.0,71.0,58.0,55.0,26.0,104.0,87.0,59.0
2749,54.0,24.0,47.0,48.0,32.0,7.0,71.0,31.0,89.0,36.0,39.0,40.0,51.0,41.0,49.0,85.0,99.0,4.0,81.0,55.0,13.0,12.0,42.0,56.0,8.0,138.0,104.0,115.0,118.0,63.0
2798,9.0,22.0,96.0,71.0,7.0,118.0,65.0,15.0,48.0,40.0,21.0,50.0,12.0,41.0,69.0,76.0,108.0,102.0,43.0,31.0,27.0,17.0,77.0,33.0,38.0,83.0,49.0,119.0,74.0,47.0
2847,10.0,9.0,76.0,20.0,64.0,105.0,77.0,36.0,126.0,21.0,121.0,68.0,89.0,147.0,117.0,99.0,129.0,63.0,62.0,151.0,35.0,0.0,106.0,29.0,51.0,46.0,25.0,55.0,43.0,50.0
2896,13.0,11.0,23.0,2.0,31.0,52.0,8.0,32.0,110.0,24.0,112.0,56.0,59.0,34.0,135.0,86.0,44.0,155.0,107.0,53.0,7.0,0.0,93.0,26.0,5.0,66.0,58.0,120.0,96.0,37.0
2945,32.0,22.0,9.0,6.0,14.0,17.0,54.0,19.0,3.0,98.0,8.0,34.0,4.0,20.0,68.0,61.0,49.0,118.0,44.0,97.0,153.0,155.0,30.0,64.0,133.0,95.0,23.0,38.0,41.0,31.0
2994,15.0,33.0,29.0,23.0,42.0,69.0,22.0,51.0,123.0,31.0,6.0,16.0,109.0,118.0,1.0,57.0,30.0,90.0,5.0,2.0,100.0,47.0,68.0,20.0,98.0,17.0,40.0,18.0,83.0,63.0
3043,11.0,13.0,45.0,21.0,6.0,40.0,49.0,24.0,14.0,74.0,5.0,17.0,28.0,0.0,78.0,56.0,10.0,96.0,33.0,1.0,149.0,150.0,89.0,47.0,65.0,72.0,48.0,54.0,38.0,71.0
3092,14.0,17.0,52.0,45.0,23.0,111.0,21.0,28.0,126.0,71.0,22.0,64.0,144.0,53.0,3.0,96.0,48.0,36.0,50.0,9.0,88.0,40.0,79.0,81.0,102.0,47.0,8.0,46.0,117.0,5.0
3141,5.0,47.0,31.0,27.0,37.0,34.0,75.0,18.0,43.0,53.0,99.0,44.0,84.0,22.0,110.0,83.0,26.0,0.0,12.0,46.0,100.0,106.0,69.0,10.0,54.0,21.0,50.0,62.0,130.0,24.0
3190,8.0,15.0,18.0,4.0,9.0,79.0,14.0,89.0,90.0,64.0,24.0,25.0,77.0,38.0,12.0,54.0,16.0,135.0,20.0,1.0,95.0,144.0,53.0,7.0,133.0,19.0,33.0,76.0,23.0,43.0
3239,10.0,31.0,5.0,118.0,20.0,55.0,41.0,75.0,122.0,93.0,131.0,51.0,79.0,35.0,119.0,69.0,60.0,1.0,27.0,7.0,15.0,105.0,76.0,57.0,94.0,24.0,83.0,53.0,129.0,11.0
3288,27.0,12.0,19.0,8.0,10.0,30.0,95.0,28.0,126.0,44.0,40.0,18.0,113.0,26.0,155.0,48.0,65.0,68.0,102.0,1.0,66.0,63.0,55.0,7.0,73.0,15.0,41.0,71.0,22.0,14.0
3337,13.0,20.0,17.0,106.0,4.0,24.0,120.0,14.0,122.0,75.0,10.0,19.0,57.0,73.0,1.0,35.0,55.0,124.0,111.0,40.0,21.0,27.0,36.0,32.0,127.0,9.0,2.0,49.0,131.0,30.0
3386,5.0,19.0,6.0,33.0,7.0,39.0,28.0,46.0,68.0,25.0,72.0,12.0,66.0,2.0,135.0,51.0,59.0,37.0,38.0,29.0,78.0,14.0,75.0,36.0,82.0,8.0,47.0,57.0,112.0,24.0
3435,28.0,50.0,24.0,48.0,14.0,139.0,25.0,38.0,16.0,21.0,23.0,26.0,104.0,34.0,7.0,33.0,52.0,49.0,69.0,111.0,22.0,133.0,67.0,31.0,17.0,137.0,61.0,90.0,85.0,60.0
3484,27.0,68.0,53.0,163.0,47.0,4.0,14.0,34.0,3.0,63.0,1.0,55.0,26.0,52.0,5.0,6.0,24.0,138.0,112.0,92.0,21.0,80.0,28.0,116.0,60.0,61.0,70.0,121.0,119.0,154.0
3533,28.0,24.0,20.0,150.0,23.0,21.0,5.0,63.0,41.0,10.0,124.0,26.0,17.0,12.0,29.0,76.0,50.0,141.0,38.0,145.0,88.0,68.0,46.0,34.0,137.0,57.0,37.0,127.0,59.0,35.0
3582,37.0,51.0,45.0,4.0,19.0,60.0,144.0,8.0,42.0,41.0,2.0,20.0,23.0,29.0,38.0,44.0,40.0,137.0,113.0,0.0,87.0,47.0,71.0,7.0,1.0,116.0,83.0,106.0,15.0,63.0
3631,40.0,37.0,13.0,61.0,39.0,5.0,32.0,25.0,0.0,45.0,6.0,16.0,66.0,33.0,121.0,133.0,48.0,70.0,65.0,158.0,59.0,51.0,98.0,157.0,101.0,46.0,14.0,130.0,84.0,90.0
3680,16.0,37.0,28.0,14.0,45.0,42.0,7.0,78.0,23.0,96.0,112.0,48.0,61.0,79.0,81.0,49.0,100.0,30.0,12.0,58.0,92.0,36.0,66.0,85.0,134.0,2.0,15.0,114.0,18.0,128.0
3729,21.0,55.0,48.0,35.0,50.0,40.0,8.0,28.0,7.0,53.0,119.0,17.0,47.0,43.0,110.0,52.0,34.0,5.0,14.0,112.0,87.0,75.0,56.0,151.0,46.0,11.0,41.0,105.0,44.0,29.0
3778,8.0,21.0,63.0,77.0,10.0,135.0,14.0,38.0,2.0,76.0,96.0,47.0,51.0,64.0,3.0,20.0,37.0,55.0,73.0,0.0,42.0,78.0,89.0,82.0,88.0,164.0,49.0,35.0,28.0,56.0
3827,44.0,39.0,24.0,20.0,29.0,28.0,98.0,55.0,16.0,66.0,100.0,50.0,37.0,43.0,121.0,35.0,133.0,3.0,76.0,25.0,22.0,27.0,64.0,159.0,53.0,152.0,12.0,138.0,67.0,124.0
