,LARGE_INTESTINE,GANGLIA,HAEMATOPOIETIC,BONE,OESOPHAGUS,THYROID,PANCREAS,SKIN,KIDNEY,SOFT_TISSUE,PLEURA,LUNG,STOMACH,LIVER,URINARY,PROSTATE,SALIVARY,BILIARY,ENDOMETRIUM,AERODIGESTIVE,BREAST,OVARY,NERVOUS
3719,0.0,1.0,4.0,2.0,6.0,3.0,5.0,13.0,9.0,8.0,10.0,12.0,7.0,11.0,14.0,16.0,17.0,18.0,21.0,15.0,20.0,22.0,19.0
3768,0.0,1.0,4.0,6.0,2.0,3.0,5.0,7.0,8.0,10.0,9.0,12.0,14.0,11.0,13.0,16.0,17.0,18.0,19.0,15.0,20.0,22.0,21.0
3817,0.0,1.0,3.0,5.0,4.0,2.0,6.0,8.0,7.0,9.0,10.0,13.0,11.0,12.0,18.0,15.0,16.0,17.0,19.0,14.0,20.0,21.0,22.0
3866,0.0,1.0,2.0,3.0,6.0,5.0,4.0,8.0,9.0,7.0,10.0,14.0,12.0,13.0,11.0,16.0,17.0,18.0,19.0,15.0,21.0,22.0,20.0
3915,0.0,1.0,2.0,5.0,6.0,3.0,4.0,8.0,9.0,7.0,10.0,15.0,12.0,13.0,11.0,16.0,17.0,18.0,19.0,14.0,21.0,20.0,22.0
3964,0.0,1.0,3.0,2.0,4.0,6.0,5.0,13.0,7.0,12.0,8.0,11.0,15.0,16.0,14.0,17.0,10.0,9.0,19.0,20.0,18.0,21.0,22.0
4013,0.0,1.0,2.0,3.0,6.0,5.0,4.0,14.0,10.0,12.0,11.0,15.0,7.0,13.0,18.0,17.0,9.0,8.0,20.0,16.0,19.0,22.0,21.0
4062,0.0,1.0,3.0,2.0,6.0,4.0,7.0,17.0,9.0,8.0,5.0,12.0,14.0,13.0,16.0,15.0,11.0,10.0,18.0,19.0,20.0,22.0,21.0
4111,0.0,1.0,3.0,2.0,4.0,5.0,6.0,14.0,8.0,7.0,9.0,12.0,18.0,13.0,17.0,16.0,11.0,10.0,15.0,20.0,19.0,22.0,21.0
4160,0.0,1.0,2.0,3.0,4.0,6.0,5.0,13.0,9.0,8.0,16.0,12.0,14.0,7.0,15.0,17.0,11.0,10.0,18.0,20.0,19.0,22.0,21.0
