,hsa-miR-631,hsa-miR-205,hsa-miR-296-5p,hsa-miR-944,hsa-miR-517b,hsa-miR-1307,hsa-miR-24,hsa-miR-31,hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,hsa-miR-323-5p,hsa-miR-451,hsa-miR-1910,hsa-miR-30a,hcmv-miR-UL70-5p,hsa-miR-1913,hsa-miR-513b,hsa-miR-320d,hsa-miR-136,hsa-miR-216a,hsa-miR-302a,hsa-miR-604,hsa-miR-153,hsa-miR-616,hsa-miR-891a,hsa-miR-2054,hsa-miR-1179,hsa-miR-122,hsa-miR-766,ebv-miR-BART12,hsa-miR-1282
4228,1.0,0.0,12.0,24.0,39.0,2.0,3.0,4.0,97.0,23.0,11.0,49.0,31.0,48.0,61.0,230.0,35.0,25.0,139.0,29.0,481.0,206.0,17.0,40.0,204.0,247.0,225.0,611.0,32.0,60.0
4277,1.0,0.0,14.0,5.0,10.0,4.0,2.0,8.0,25.0,155.0,19.0,3.0,191.0,99.0,15.0,578.0,120.0,64.0,89.0,9.0,50.0,31.0,56.0,18.0,106.0,304.0,364.0,13.0,495.0,110.0
4326,0.0,1.0,2.0,70.0,191.0,5.0,40.0,17.0,10.0,116.0,4.0,3.0,140.0,101.0,89.0,13.0,62.0,513.0,53.0,313.0,259.0,85.0,11.0,206.0,158.0,245.0,119.0,30.0,67.0,396.0
4375,32.0,0.0,15.0,9.0,3.0,353.0,4.0,6.0,130.0,81.0,14.0,8.0,34.0,126.0,29.0,43.0,65.0,387.0,448.0,433.0,22.0,5.0,491.0,17.0,56.0,579.0,124.0,234.0,13.0,10.0
4424,1.0,40.0,12.0,44.0,0.0,17.0,350.0,21.0,2.0,13.0,53.0,3.0,209.0,9.0,388.0,259.0,186.0,39.0,112.0,103.0,173.0,8.0,110.0,18.0,6.0,109.0,230.0,97.0,54.0,131.0
4473,0.0,3.0,211.0,18.0,6.0,1.0,29.0,35.0,21.0,8.0,22.0,2.0,226.0,41.0,4.0,124.0,70.0,5.0,19.0,17.0,155.0,180.0,42.0,89.0,11.0,291.0,26.0,9.0,12.0,138.0
4522,17.0,6.0,5.0,7.0,3.0,26.0,203.0,2.0,12.0,9.0,4.0,339.0,67.0,384.0,223.0,23.0,22.0,19.0,70.0,619.0,41.0,216.0,175.0,30.0,11.0,545.0,53.0,34.0,392.0,324.0
4571,0.0,4.0,6.0,53.0,15.0,24.0,117.0,257.0,18.0,268.0,7.0,116.0,34.0,78.0,362.0,1.0,374.0,17.0,19.0,337.0,541.0,622.0,256.0,12.0,112.0,120.0,518.0,5.0,402.0,202.0
4620,0.0,70.0,6.0,92.0,2.0,1.0,27.0,8.0,25.0,71.0,40.0,236.0,172.0,105.0,146.0,39.0,499.0,144.0,14.0,3.0,17.0,33.0,94.0,54.0,59.0,189.0,595.0,35.0,78.0,69.0
4669,6.0,19.0,29.0,2.0,22.0,0.0,59.0,199.0,9.0,3.0,56.0,92.0,123.0,16.0,190.0,102.0,81.0,33.0,134.0,23.0,31.0,270.0,41.0,64.0,265.0,10.0,510.0,347.0,259.0,96.0
4718,0.0,6.0,176.0,220.0,7.0,5.0,159.0,72.0,23.0,122.0,45.0,9.0,15.0,191.0,40.0,8.0,140.0,26.0,3.0,41.0,18.0,139.0,108.0,25.0,263.0,4.0,503.0,20.0,530.0,562.0
4767,0.0,6.0,4.0,91.0,40.0,12.0,62.0,49.0,1.0,36.0,15.0,10.0,29.0,42.0,142.0,45.0,18.0,20.0,21.0,47.0,210.0,14.0,364.0,87.0,388.0,11.0,602.0,30.0,423.0,84.0
4816,5.0,8.0,2.0,25.0,33.0,12.0,32.0,108.0,3.0,1.0,16.0,38.0,54.0,65.0,141.0,31.0,53.0,80.0,69.0,11.0,153.0,24.0,323.0,398.0,22.0,9.0,570.0,96.0,87.0,52.0
4865,0.0,2.0,1.0,14.0,128.0,11.0,30.0,97.0,18.0,44.0,95.0,21.0,160.0,57.0,413.0,36.0,243.0,6.0,35.0,31.0,20.0,320.0,276.0,416.0,49.0,17.0,378.0,23.0,33.0,335.0
