,hsa-miR-582-5p,hsa-miR-579,hsa-miR-205,hsa-miR-499-3p,hsa-miR-638,hsa-miR-744,hsa-miR-548a-3p,hsa-miR-140-5p,ebv-miR-BART16,hsa-miR-1979,hsa-miR-583,hsa-miR-1197,hsv1-miR-H8,hsa-miR-1257,hsa-miR-612,hsv1-miR-H7,hsa-miR-924,hsa-miR-620,hsa-miR-1977,hsa-miR-31,hsa-miR-34a,hsa-miR-1276,kshv-miR-K12-4-3p,hsa-miR-657,hsa-miR-551b,hsa-miR-770-5p,hsa-miR-651,kshv-miR-K12-8,hsa-miR-604,kshv-miR-K12-6-5p
4084,0.0,3.0,25.0,21.0,2.0,4.0,11.0,51.0,26.0,6.0,7.0,10.0,8.0,19.0,84.0,1.0,29.0,74.0,35.0,32.0,95.0,41.0,39.0,53.0,40.0,16.0,18.0,30.0,24.0,49.0
4133,0.0,1.0,13.0,30.0,3.0,2.0,35.0,64.0,39.0,18.0,4.0,5.0,8.0,29.0,85.0,21.0,36.0,12.0,7.0,27.0,452.0,65.0,23.0,28.0,91.0,26.0,11.0,9.0,105.0,55.0
4182,0.0,1.0,12.0,25.0,4.0,3.0,24.0,336.0,18.0,9.0,19.0,7.0,5.0,2.0,99.0,6.0,8.0,11.0,17.0,21.0,460.0,65.0,30.0,43.0,134.0,10.0,16.0,14.0,102.0,39.0
4231,1.0,0.0,20.0,9.0,2.0,13.0,3.0,10.0,69.0,17.0,12.0,61.0,18.0,24.0,72.0,4.0,16.0,37.0,21.0,11.0,485.0,76.0,8.0,38.0,34.0,35.0,32.0,6.0,65.0,15.0
4280,0.0,2.0,21.0,17.0,1.0,5.0,3.0,15.0,27.0,14.0,50.0,58.0,4.0,8.0,60.0,6.0,7.0,28.0,24.0,10.0,32.0,35.0,13.0,72.0,108.0,11.0,16.0,37.0,271.0,47.0
4329,0.0,4.0,9.0,6.0,3.0,5.0,12.0,51.0,36.0,8.0,32.0,17.0,10.0,27.0,304.0,1.0,14.0,16.0,15.0,92.0,31.0,469.0,72.0,18.0,102.0,24.0,11.0,30.0,60.0,21.0
4378,1.0,0.0,60.0,57.0,35.0,10.0,2.0,332.0,16.0,14.0,23.0,30.0,5.0,6.0,48.0,4.0,13.0,19.0,3.0,29.0,443.0,82.0,46.0,227.0,59.0,55.0,11.0,24.0,42.0,18.0
4427,7.0,0.0,4.0,2.0,9.0,5.0,3.0,58.0,24.0,27.0,15.0,1.0,18.0,49.0,6.0,20.0,28.0,19.0,64.0,47.0,25.0,36.0,10.0,46.0,30.0,45.0,11.0,12.0,82.0,44.0
4476,0.0,1.0,5.0,3.0,7.0,2.0,4.0,81.0,20.0,40.0,9.0,6.0,16.0,18.0,15.0,53.0,30.0,14.0,44.0,56.0,449.0,8.0,48.0,23.0,29.0,46.0,32.0,42.0,22.0,59.0
4525,2.0,0.0,6.0,5.0,15.0,23.0,3.0,340.0,11.0,24.0,12.0,4.0,9.0,8.0,28.0,19.0,53.0,1.0,7.0,488.0,85.0,14.0,58.0,45.0,21.0,71.0,309.0,90.0,32.0,46.0
4574,1.0,0.0,20.0,2.0,11.0,3.0,5.0,60.0,29.0,18.0,4.0,7.0,27.0,25.0,16.0,26.0,13.0,22.0,35.0,80.0,36.0,21.0,46.0,68.0,9.0,79.0,56.0,23.0,62.0,17.0
4623,1.0,0.0,6.0,3.0,24.0,7.0,5.0,48.0,12.0,26.0,9.0,2.0,23.0,50.0,40.0,51.0,25.0,15.0,10.0,112.0,19.0,4.0,36.0,33.0,13.0,14.0,28.0,30.0,283.0,31.0
4672,1.0,0.0,37.0,9.0,5.0,15.0,38.0,52.0,17.0,71.0,8.0,2.0,11.0,76.0,36.0,29.0,48.0,4.0,6.0,35.0,489.0,16.0,7.0,14.0,32.0,53.0,13.0,45.0,20.0,58.0
4721,0.0,1.0,4.0,3.0,8.0,2.0,24.0,74.0,19.0,57.0,5.0,7.0,11.0,17.0,16.0,42.0,20.0,12.0,36.0,56.0,437.0,9.0,21.0,48.0,186.0,213.0,15.0,29.0,284.0,165.0
4770,2.0,0.0,1.0,10.0,14.0,5.0,31.0,48.0,15.0,41.0,8.0,3.0,6.0,63.0,21.0,16.0,30.0,18.0,19.0,461.0,29.0,7.0,35.0,28.0,52.0,9.0,25.0,204.0,42.0,47.0
4819,6.0,1.0,4.0,3.0,8.0,2.0,14.0,98.0,41.0,9.0,7.0,0.0,5.0,32.0,12.0,89.0,15.0,16.0,26.0,13.0,62.0,10.0,27.0,21.0,31.0,18.0,19.0,25.0,48.0,29.0
4868,2.0,0.0,7.0,3.0,37.0,4.0,1.0,44.0,26.0,125.0,35.0,6.0,11.0,51.0,5.0,93.0,50.0,9.0,57.0,14.0,49.0,10.0,12.0,29.0,8.0,27.0,97.0,115.0,22.0,28.0
