,cytidine,pyroglutamic acid,2-deoxyadenosine,1-methylnicotinamide,pantothenate,acetylcholine,creatinine,hippurate,alpha-glycerophosphate,cis/trans-hydroxyproline,3-phosphoglycerate,beta-alanine,uracil,taurodeoxycholate,isocitrate,guanosine,urate,alpha-glycerophosphocholine,valerylcarnitine,C16:0 LPE,serotonin,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,N-carbamoyl-beta-alanine,uridine,sarcosine,2-deoxycytidine,C36:1 DAG,C22:6 CE,GABA
2329,10.0,11.0,15.0,40.0,9.0,45.0,2.0,63.0,17.0,5.0,24.0,23.0,38.0,59.0,3.0,49.0,54.0,30.0,22.0,34.0,50.0,25.0,39.0,32.0,0.0,33.0,47.0,44.0,1.0,14.0
2378,14.0,27.0,26.0,9.0,23.0,11.0,6.0,7.0,0.0,44.0,28.0,41.0,37.0,3.0,48.0,32.0,43.0,38.0,18.0,42.0,29.0,50.0,55.0,35.0,12.0,21.0,19.0,15.0,25.0,16.0
2427,9.0,5.0,21.0,10.0,15.0,4.0,49.0,17.0,6.0,47.0,40.0,7.0,35.0,3.0,34.0,44.0,43.0,14.0,48.0,41.0,31.0,46.0,11.0,28.0,2.0,12.0,54.0,45.0,24.0,39.0
2476,8.0,32.0,12.0,11.0,55.0,5.0,6.0,0.0,17.0,15.0,2.0,46.0,9.0,21.0,14.0,29.0,39.0,44.0,45.0,49.0,16.0,7.0,38.0,4.0,30.0,20.0,53.0,18.0,22.0,35.0
2525,12.0,2.0,44.0,22.0,17.0,9.0,0.0,8.0,20.0,10.0,7.0,51.0,29.0,4.0,32.0,46.0,21.0,14.0,50.0,30.0,59.0,33.0,5.0,37.0,15.0,31.0,63.0,42.0,19.0,11.0
2574,35.0,11.0,34.0,27.0,8.0,25.0,7.0,5.0,37.0,12.0,3.0,10.0,50.0,41.0,29.0,57.0,63.0,33.0,58.0,28.0,18.0,4.0,1.0,60.0,31.0,30.0,38.0,40.0,54.0,14.0
2623,5.0,19.0,9.0,10.0,15.0,7.0,65.0,3.0,18.0,46.0,2.0,50.0,32.0,54.0,17.0,4.0,1.0,20.0,6.0,30.0,39.0,16.0,14.0,29.0,34.0,49.0,27.0,40.0,13.0,28.0
2672,29.0,3.0,12.0,15.0,4.0,35.0,8.0,23.0,22.0,17.0,19.0,38.0,40.0,21.0,11.0,56.0,59.0,24.0,42.0,18.0,33.0,20.0,34.0,7.0,32.0,14.0,28.0,36.0,58.0,43.0
2721,18.0,1.0,20.0,11.0,15.0,17.0,14.0,2.0,12.0,46.0,23.0,40.0,30.0,50.0,0.0,28.0,3.0,43.0,44.0,13.0,29.0,47.0,7.0,25.0,39.0,24.0,38.0,22.0,32.0,48.0
2770,6.0,53.0,59.0,7.0,2.0,31.0,10.0,1.0,28.0,9.0,4.0,14.0,45.0,13.0,34.0,18.0,32.0,47.0,22.0,24.0,17.0,21.0,11.0,19.0,16.0,30.0,48.0,57.0,0.0,12.0
2819,17.0,10.0,34.0,9.0,11.0,7.0,33.0,0.0,5.0,18.0,21.0,4.0,30.0,39.0,3.0,27.0,8.0,20.0,35.0,23.0,45.0,22.0,48.0,31.0,29.0,55.0,41.0,26.0,46.0,13.0
2868,15.0,12.0,48.0,42.0,35.0,18.0,6.0,8.0,49.0,17.0,7.0,3.0,24.0,51.0,1.0,30.0,11.0,47.0,19.0,22.0,14.0,37.0,4.0,43.0,36.0,5.0,32.0,25.0,65.0,20.0
2917,13.0,59.0,34.0,22.0,10.0,14.0,40.0,4.0,44.0,5.0,8.0,51.0,56.0,11.0,50.0,18.0,61.0,12.0,24.0,6.0,39.0,19.0,23.0,26.0,21.0,33.0,42.0,29.0,35.0,1.0
2966,9.0,62.0,45.0,7.0,49.0,17.0,54.0,5.0,16.0,10.0,28.0,43.0,55.0,40.0,60.0,66.0,3.0,12.0,52.0,27.0,23.0,29.0,0.0,53.0,19.0,26.0,18.0,47.0,11.0,13.0
3015,4.0,23.0,15.0,12.0,29.0,55.0,13.0,45.0,44.0,43.0,38.0,1.0,18.0,14.0,59.0,2.0,61.0,11.0,21.0,35.0,16.0,6.0,31.0,63.0,37.0,34.0,26.0,7.0,49.0,51.0
3064,13.0,7.0,6.0,19.0,1.0,16.0,25.0,33.0,10.0,45.0,55.0,41.0,28.0,46.0,49.0,0.0,58.0,17.0,50.0,24.0,23.0,38.0,35.0,5.0,53.0,32.0,27.0,22.0,4.0,20.0
3113,16.0,26.0,0.0,14.0,21.0,61.0,19.0,48.0,17.0,36.0,29.0,10.0,42.0,11.0,4.0,27.0,6.0,28.0,45.0,35.0,41.0,20.0,3.0,63.0,25.0,9.0,56.0,51.0,40.0,32.0
3162,6.0,16.0,1.0,13.0,12.0,27.0,11.0,56.0,38.0,8.0,5.0,51.0,40.0,25.0,29.0,22.0,20.0,50.0,45.0,47.0,4.0,48.0,18.0,55.0,21.0,7.0,39.0,17.0,35.0,44.0
3211,3.0,7.0,4.0,6.0,22.0,42.0,2.0,63.0,20.0,16.0,12.0,59.0,14.0,9.0,33.0,66.0,1.0,31.0,54.0,25.0,30.0,50.0,5.0,51.0,21.0,58.0,49.0,10.0,60.0,47.0
3260,6.0,23.0,14.0,22.0,12.0,43.0,19.0,37.0,3.0,35.0,0.0,57.0,9.0,2.0,65.0,40.0,46.0,39.0,28.0,50.0,7.0,59.0,4.0,26.0,32.0,38.0,10.0,41.0,11.0,29.0
3309,13.0,62.0,2.0,18.0,16.0,5.0,11.0,47.0,25.0,31.0,0.0,6.0,7.0,56.0,21.0,58.0,1.0,36.0,30.0,26.0,20.0,55.0,54.0,41.0,51.0,8.0,10.0,45.0,14.0,46.0
3358,5.0,31.0,20.0,13.0,19.0,59.0,42.0,4.0,17.0,52.0,7.0,1.0,30.0,27.0,8.0,2.0,66.0,22.0,41.0,12.0,49.0,47.0,14.0,40.0,45.0,62.0,28.0,35.0,32.0,44.0
3407,26.0,3.0,5.0,2.0,17.0,39.0,49.0,0.0,1.0,7.0,27.0,11.0,25.0,32.0,37.0,4.0,33.0,45.0,38.0,56.0,12.0,10.0,43.0,8.0,55.0,34.0,19.0,14.0,50.0,36.0
3456,5.0,2.0,14.0,15.0,20.0,8.0,13.0,35.0,18.0,43.0,55.0,28.0,23.0,10.0,1.0,27.0,57.0,30.0,29.0,31.0,45.0,4.0,62.0,21.0,7.0,9.0,40.0,39.0,42.0,17.0
3505,5.0,38.0,1.0,15.0,22.0,39.0,28.0,50.0,27.0,19.0,4.0,23.0,6.0,13.0,14.0,36.0,44.0,62.0,25.0,43.0,56.0,34.0,33.0,42.0,0.0,57.0,2.0,16.0,8.0,29.0
3554,14.0,17.0,24.0,13.0,21.0,55.0,44.0,8.0,38.0,19.0,46.0,16.0,3.0,11.0,12.0,37.0,50.0,15.0,18.0,34.0,57.0,61.0,28.0,2.0,40.0,52.0,25.0,48.0,33.0,47.0
3603,3.0,45.0,13.0,8.0,7.0,32.0,44.0,22.0,52.0,66.0,28.0,25.0,16.0,51.0,5.0,0.0,21.0,33.0,12.0,56.0,29.0,23.0,20.0,9.0,26.0,35.0,18.0,42.0,31.0,1.0
3652,4.0,21.0,8.0,14.0,13.0,16.0,43.0,5.0,12.0,51.0,61.0,1.0,26.0,3.0,57.0,10.0,27.0,24.0,25.0,29.0,47.0,60.0,55.0,28.0,2.0,30.0,63.0,44.0,22.0,40.0
3701,3.0,21.0,8.0,40.0,14.0,12.0,4.0,25.0,42.0,27.0,57.0,44.0,7.0,16.0,23.0,46.0,1.0,9.0,18.0,38.0,50.0,52.0,28.0,0.0,24.0,59.0,45.0,33.0,39.0,11.0
3750,4.0,17.0,1.0,6.0,11.0,35.0,62.0,55.0,16.0,13.0,51.0,61.0,21.0,20.0,60.0,45.0,7.0,5.0,28.0,31.0,47.0,33.0,43.0,8.0,30.0,44.0,22.0,41.0,26.0,38.0
3799,2.0,17.0,3.0,11.0,21.0,7.0,40.0,30.0,4.0,15.0,50.0,52.0,10.0,0.0,24.0,6.0,27.0,54.0,9.0,53.0,42.0,28.0,65.0,1.0,18.0,57.0,44.0,43.0,29.0,32.0
3848,6.0,47.0,4.0,7.0,14.0,8.0,58.0,33.0,35.0,17.0,30.0,57.0,12.0,0.0,1.0,51.0,41.0,21.0,16.0,45.0,25.0,61.0,29.0,19.0,53.0,11.0,31.0,42.0,13.0,55.0
3897,7.0,4.0,0.0,33.0,12.0,13.0,29.0,23.0,20.0,66.0,27.0,10.0,1.0,6.0,50.0,43.0,38.0,9.0,17.0,37.0,36.0,42.0,15.0,49.0,2.0,14.0,41.0,54.0,48.0,32.0
3946,6.0,30.0,5.0,27.0,20.0,10.0,0.0,28.0,47.0,50.0,11.0,38.0,31.0,57.0,12.0,14.0,2.0,13.0,39.0,29.0,42.0,26.0,48.0,54.0,4.0,41.0,56.0,23.0,46.0,9.0
3995,9.0,5.0,4.0,20.0,29.0,1.0,13.0,22.0,60.0,31.0,16.0,44.0,25.0,43.0,3.0,10.0,23.0,36.0,21.0,14.0,32.0,41.0,18.0,38.0,46.0,33.0,48.0,51.0,59.0,47.0
4044,7.0,14.0,5.0,17.0,33.0,6.0,0.0,30.0,11.0,48.0,22.0,57.0,3.0,2.0,13.0,25.0,31.0,44.0,28.0,34.0,8.0,10.0,24.0,12.0,16.0,9.0,51.0,37.0,32.0,58.0
4093,7.0,19.0,0.0,10.0,34.0,8.0,1.0,65.0,28.0,15.0,54.0,64.0,21.0,4.0,11.0,48.0,3.0,9.0,5.0,29.0,38.0,30.0,52.0,26.0,43.0,13.0,51.0,27.0,32.0,45.0
4142,8.0,24.0,21.0,9.0,16.0,20.0,1.0,6.0,44.0,15.0,22.0,12.0,19.0,25.0,38.0,53.0,43.0,27.0,56.0,29.0,4.0,10.0,37.0,51.0,63.0,2.0,54.0,28.0,23.0,17.0
4191,19.0,13.0,2.0,9.0,17.0,21.0,4.0,49.0,31.0,18.0,27.0,62.0,38.0,1.0,40.0,10.0,6.0,45.0,55.0,32.0,35.0,30.0,57.0,48.0,0.0,46.0,7.0,44.0,37.0,12.0
4240,13.0,39.0,12.0,15.0,23.0,3.0,1.0,28.0,42.0,14.0,40.0,7.0,6.0,0.0,5.0,26.0,11.0,17.0,30.0,20.0,49.0,29.0,36.0,46.0,9.0,21.0,37.0,19.0,52.0,24.0
4289,7.0,1.0,47.0,34.0,4.0,9.0,33.0,19.0,46.0,14.0,20.0,24.0,10.0,29.0,3.0,0.0,40.0,45.0,48.0,23.0,38.0,55.0,37.0,17.0,62.0,5.0,57.0,15.0,53.0,8.0
4338,4.0,11.0,3.0,23.0,36.0,14.0,1.0,19.0,49.0,37.0,24.0,31.0,27.0,0.0,15.0,13.0,65.0,7.0,28.0,17.0,16.0,57.0,45.0,35.0,6.0,26.0,32.0,30.0,21.0,20.0
4387,8.0,3.0,28.0,15.0,39.0,21.0,14.0,20.0,12.0,66.0,5.0,45.0,26.0,1.0,23.0,7.0,30.0,17.0,57.0,13.0,24.0,44.0,9.0,62.0,38.0,34.0,55.0,6.0,31.0,51.0
4436,6.0,10.0,4.0,8.0,17.0,31.0,27.0,32.0,21.0,57.0,14.0,40.0,52.0,1.0,48.0,24.0,7.0,11.0,41.0,16.0,18.0,15.0,12.0,45.0,37.0,22.0,13.0,25.0,42.0,26.0
4485,7.0,5.0,23.0,3.0,24.0,59.0,48.0,16.0,38.0,33.0,14.0,42.0,41.0,21.0,12.0,45.0,13.0,28.0,53.0,29.0,25.0,31.0,20.0,51.0,35.0,22.0,15.0,43.0,32.0,19.0
4534,10.0,36.0,0.0,21.0,13.0,22.0,11.0,1.0,53.0,8.0,24.0,16.0,20.0,2.0,27.0,14.0,54.0,4.0,46.0,30.0,29.0,6.0,39.0,38.0,3.0,40.0,49.0,26.0,52.0,18.0
4583,28.0,27.0,24.0,14.0,30.0,40.0,42.0,46.0,8.0,21.0,17.0,12.0,50.0,29.0,18.0,41.0,6.0,59.0,22.0,26.0,32.0,45.0,5.0,9.0,57.0,49.0,10.0,47.0,20.0,55.0
4632,6.0,4.0,1.0,16.0,10.0,30.0,64.0,2.0,3.0,22.0,62.0,7.0,38.0,51.0,14.0,9.0,24.0,42.0,17.0,39.0,12.0,8.0,52.0,33.0,15.0,50.0,25.0,55.0,37.0,43.0
4681,10.0,24.0,29.0,17.0,1.0,4.0,64.0,2.0,6.0,14.0,5.0,20.0,18.0,0.0,62.0,7.0,57.0,42.0,40.0,26.0,35.0,15.0,28.0,53.0,36.0,12.0,33.0,51.0,38.0,50.0
4730,21.0,16.0,41.0,8.0,12.0,15.0,62.0,14.0,22.0,7.0,51.0,36.0,10.0,58.0,13.0,27.0,31.0,56.0,42.0,30.0,17.0,25.0,33.0,37.0,54.0,35.0,29.0,52.0,26.0,4.0
4779,9.0,18.0,0.0,10.0,7.0,29.0,32.0,2.0,5.0,12.0,27.0,28.0,35.0,4.0,40.0,64.0,25.0,15.0,43.0,36.0,38.0,3.0,31.0,26.0,48.0,23.0,19.0,33.0,57.0,59.0
4828,12.0,4.0,24.0,5.0,31.0,11.0,62.0,0.0,14.0,27.0,13.0,18.0,49.0,42.0,64.0,38.0,40.0,9.0,59.0,35.0,8.0,36.0,10.0,3.0,1.0,20.0,25.0,15.0,19.0,41.0
4877,5.0,36.0,27.0,13.0,7.0,12.0,26.0,9.0,14.0,24.0,35.0,6.0,40.0,46.0,4.0,22.0,64.0,23.0,17.0,30.0,19.0,25.0,42.0,15.0,3.0,45.0,37.0,43.0,21.0,8.0
