,DNAH8_MUT,GSTTP1_AMP,DPP6_DEL,LOC440970_DEL,PRB1_AMP,LOC653786_DEL,LILRA6_DEL,GOLGA8DP_DEL,LRRC37A2_AMP,CADM2_DEL,USP32P1_AMP,NCOA7_DEL,LPA_AMP,LOC348120_AMP,ARSB_DEL,NSFP1_AMP,MAST4_MUT,AATK_AMP,CT45A3_DEL,OR2T11_AMP,LILRB3_DEL,BCAS1_AMP,PDE4D_AMP,FAM106CP_AMP,CCDC144A_AMP,CROCC_DEL,NCOA3_MUT,TAS2R43_AMP,P2RX7_MUT,OR51A2_DEL
2627,37.0,1.0,71.0,53.0,19.0,22.0,154.0,16.0,117.0,41.0,5.0,6.0,43.0,0.0,12.0,111.0,25.0,10.0,60.0,31.0,155.0,45.0,80.0,29.0,28.0,2.0,138.0,4.0,11.0,27.0
2676,4.0,8.0,6.0,10.0,2.0,63.0,51.0,9.0,72.0,38.0,7.0,62.0,3.0,40.0,21.0,83.0,44.0,43.0,15.0,0.0,126.0,89.0,77.0,19.0,20.0,226.0,37.0,33.0,11.0,193.0
2725,2.0,20.0,1.0,4.0,26.0,55.0,10.0,3.0,33.0,7.0,16.0,0.0,8.0,32.0,21.0,40.0,45.0,31.0,73.0,9.0,30.0,48.0,53.0,24.0,25.0,44.0,13.0,38.0,22.0,147.0
2774,3.0,17.0,19.0,0.0,8.0,13.0,6.0,4.0,26.0,2.0,18.0,14.0,1.0,77.0,58.0,35.0,42.0,228.0,89.0,21.0,23.0,142.0,33.0,28.0,27.0,5.0,25.0,43.0,46.0,135.0
2823,4.0,21.0,9.0,7.0,13.0,2.0,29.0,3.0,6.0,1.0,16.0,45.0,0.0,54.0,31.0,10.0,82.0,134.0,36.0,35.0,49.0,114.0,61.0,26.0,27.0,62.0,849.0,37.0,34.0,44.0
2872,21.0,3.0,50.0,28.0,11.0,29.0,47.0,24.0,0.0,177.0,223.0,7.0,8.0,159.0,142.0,2.0,58.0,15.0,61.0,10.0,99.0,75.0,48.0,325.0,324.0,271.0,12.0,13.0,30.0,60.0
2921,1.0,21.0,2.0,109.0,19.0,285.0,3.0,13.0,8.0,4.0,116.0,40.0,0.0,18.0,149.0,10.0,45.0,25.0,76.0,55.0,20.0,37.0,343.0,72.0,73.0,47.0,51.0,145.0,143.0,29.0
2970,4.0,3.0,6.0,0.0,15.0,5.0,1.0,16.0,69.0,226.0,100.0,34.0,1108.0,103.0,25.0,94.0,37.0,165.0,218.0,336.0,7.0,38.0,67.0,171.0,172.0,17.0,2.0,29.0,65.0,117.0
3019,3.0,0.0,9.0,15.0,13.0,47.0,4.0,87.0,7.0,76.0,40.0,53.0,95.0,66.0,22.0,8.0,33.0,86.0,110.0,16.0,10.0,57.0,135.0,63.0,64.0,98.0,37.0,267.0,113.0,43.0
3068,2.0,0.0,7.0,10.0,19.0,223.0,13.0,20.0,61.0,16.0,200.0,28.0,127.0,37.0,47.0,93.0,42.0,36.0,79.0,425.0,45.0,38.0,241.0,358.0,359.0,275.0,11.0,149.0,167.0,18.0
