,XBP1,4E-BP1,AMPK_pT172,Rictor_pT1135,IRS1,VAV1,Akt_pS473,alpha-Catenin,RSK1-2-3,YAP_pS127,STAT5-alpha,A-Raf_pS299,Transglutaminase,Claudin-7,Syk,PAI-1,VEGFR2,Bcl-2,PRDX1,Bax,C-Raf(BD610151),Porin,CD49b,C-Raf_pS338,FRA1,Acetyl-a-Tubulin (Lys40),Collagen_VI,Stathmin,4E-BP1_pT37_T46,E-Cadherin
2307,0.0,3.0,4.0,10.0,2.0,1.0,12.0,27.0,24.0,14.0,20.0,13.0,9.0,6.0,17.0,19.0,21.0,62.0,7.0,42.0,33.0,72.0,22.0,76.0,50.0,91.0,16.0,15.0,28.0,8.0
2356,0.0,7.0,9.0,3.0,1.0,16.0,2.0,27.0,49.0,5.0,6.0,10.0,14.0,30.0,28.0,21.0,12.0,19.0,8.0,87.0,58.0,66.0,18.0,22.0,13.0,74.0,47.0,24.0,105.0,83.0
2405,0.0,1.0,11.0,22.0,4.0,3.0,2.0,31.0,19.0,8.0,27.0,14.0,21.0,25.0,18.0,7.0,15.0,16.0,5.0,70.0,41.0,100.0,10.0,72.0,67.0,9.0,24.0,6.0,68.0,34.0
2454,2.0,7.0,10.0,0.0,5.0,14.0,48.0,15.0,62.0,4.0,43.0,12.0,38.0,70.0,8.0,13.0,3.0,44.0,27.0,28.0,45.0,72.0,19.0,60.0,6.0,67.0,79.0,22.0,9.0,23.0
2503,1.0,0.0,6.0,4.0,3.0,5.0,28.0,11.0,15.0,7.0,10.0,18.0,89.0,2.0,9.0,25.0,21.0,20.0,39.0,59.0,17.0,63.0,60.0,51.0,19.0,23.0,68.0,41.0,30.0,38.0
2552,0.0,3.0,2.0,14.0,4.0,10.0,21.0,5.0,29.0,15.0,79.0,39.0,129.0,1.0,7.0,40.0,6.0,42.0,8.0,33.0,25.0,98.0,18.0,26.0,45.0,23.0,150.0,65.0,13.0,53.0
2601,3.0,1.0,4.0,0.0,33.0,10.0,58.0,53.0,2.0,7.0,44.0,25.0,28.0,20.0,23.0,16.0,8.0,37.0,88.0,31.0,17.0,55.0,141.0,12.0,106.0,9.0,65.0,41.0,15.0,18.0
2650,4.0,0.0,9.0,5.0,27.0,19.0,29.0,18.0,11.0,25.0,14.0,3.0,15.0,2.0,21.0,36.0,1.0,20.0,26.0,38.0,34.0,37.0,75.0,33.0,44.0,59.0,35.0,8.0,12.0,24.0
2699,1.0,0.0,19.0,2.0,10.0,18.0,26.0,7.0,17.0,13.0,121.0,15.0,72.0,46.0,42.0,32.0,5.0,53.0,66.0,45.0,21.0,38.0,11.0,29.0,102.0,23.0,41.0,141.0,3.0,100.0
2748,2.0,1.0,27.0,5.0,4.0,18.0,74.0,0.0,28.0,23.0,53.0,58.0,3.0,9.0,8.0,13.0,34.0,24.0,75.0,19.0,6.0,100.0,132.0,35.0,86.0,12.0,98.0,15.0,14.0,22.0
