,hsa-miR-142-5p,hsa-let-7e,hsa-miR-24,hsa-miR-574-5p,hsa-miR-130a,hsa-miR-21,hsa-miR-663,hsa-miR-135b,hsa-miR-10a,hsa-miR-222,hsa-miR-22,hsa-miR-147b,hsa-miR-31,hsa-miR-216a,hsa-miR-223,hsa-miR-579,hsa-miR-92a,hsa-miR-219-2-3p,hsa-miR-149,hsa-miR-193a-5p,hsa-miR-378,hsa-miR-150,hsa-miR-766,hsa-miR-210,hsa-miR-1302,hsa-miR-29c,hsa-miR-151-3p,hsa-miR-187,hsa-miR-422a,hcmv-miR-US5-1
2762,1.0,0.0,2.0,8.0,10.0,11.0,3.0,7.0,4.0,22.0,464.0,12.0,6.0,9.0,13.0,5.0,55.0,25.0,359.0,46.0,68.0,54.0,14.0,253.0,37.0,35.0,24.0,47.0,32.0,91.0
2811,0.0,1.0,2.0,4.0,5.0,3.0,7.0,9.0,16.0,27.0,6.0,13.0,20.0,10.0,8.0,17.0,47.0,35.0,42.0,21.0,113.0,60.0,50.0,38.0,349.0,41.0,24.0,31.0,33.0,176.0
2860,0.0,1.0,2.0,3.0,8.0,6.0,9.0,76.0,4.0,107.0,14.0,7.0,227.0,11.0,5.0,20.0,13.0,27.0,26.0,33.0,32.0,30.0,102.0,101.0,18.0,62.0,34.0,24.0,97.0,165.0
2909,0.0,1.0,2.0,5.0,9.0,20.0,11.0,4.0,23.0,3.0,141.0,18.0,6.0,56.0,24.0,15.0,10.0,8.0,43.0,111.0,7.0,50.0,85.0,12.0,423.0,33.0,45.0,135.0,390.0,21.0
2958,0.0,1.0,2.0,15.0,9.0,6.0,5.0,17.0,23.0,3.0,29.0,66.0,11.0,8.0,4.0,31.0,16.0,37.0,573.0,40.0,271.0,12.0,10.0,292.0,35.0,258.0,124.0,19.0,171.0,28.0
3007,0.0,3.0,1.0,8.0,14.0,12.0,5.0,6.0,4.0,2.0,26.0,70.0,19.0,10.0,126.0,27.0,7.0,49.0,16.0,30.0,355.0,39.0,17.0,74.0,300.0,165.0,89.0,50.0,191.0,75.0
3056,0.0,1.0,2.0,3.0,5.0,22.0,17.0,48.0,4.0,16.0,9.0,6.0,23.0,7.0,70.0,38.0,8.0,276.0,11.0,19.0,27.0,377.0,20.0,119.0,220.0,150.0,299.0,42.0,64.0,34.0
3105,0.0,1.0,2.0,8.0,10.0,5.0,9.0,13.0,3.0,6.0,112.0,4.0,19.0,11.0,15.0,49.0,16.0,35.0,43.0,7.0,22.0,147.0,12.0,128.0,95.0,37.0,25.0,32.0,354.0,46.0
3154,1.0,0.0,4.0,2.0,24.0,13.0,6.0,29.0,12.0,17.0,7.0,14.0,10.0,3.0,23.0,172.0,28.0,26.0,36.0,5.0,9.0,15.0,11.0,101.0,41.0,40.0,54.0,8.0,97.0,30.0
3203,1.0,0.0,2.0,4.0,3.0,12.0,36.0,29.0,5.0,8.0,68.0,9.0,14.0,13.0,6.0,172.0,15.0,113.0,21.0,7.0,23.0,11.0,230.0,18.0,83.0,66.0,10.0,20.0,369.0,45.0
