,MIR133A2_AMP,SLC17A9_AMP,DIDO1_AMP,EP300_MUT,C20orf151_AMP,NTSR1_AMP,TSSC1_DEL,MIR941-3_AMP,LOC100127888_AMP,POLD3_AMP,FAM65C_AMP,LOC63930_AMP,PMEPA1_AMP,C20orf195_AMP,COL9A3_AMP,GID8_AMP,TMEM123_AMP,FAM92A1P2_DEL,KRAS.G12_13_MUT,PSPC1_DEL,LOC100506384_AMP,FAM74A1_AMP,RNF169_AMP,HAR1B_AMP,HAR1A_AMP,CHRDL2_AMP,CEBPB_AMP,LINC00421_DEL,DLG2_AMP,SLCO4A1_AMP
1596,23.0,484.0,35.0,1.0,16075.0,15520.0,19.0,638.0,70.0,16676.0,16056.0,22629.0,129.0,311.0,16209.0,14748.0,0.0,7.0,2.0,10749.0,15235.0,477.0,328.0,23692.0,123.0,248.0,17.0,56.0,15.0,735.0
1645,15429.0,21994.0,0.0,1386.0,355.0,14820.0,2.0,594.0,53.0,3.0,16.0,276.0,27.0,67.0,18220.0,22087.0,1.0,3817.0,445.0,1452.0,61.0,329.0,14186.0,13.0,159.0,222.0,107.0,18590.0,1385.0,297.0
1694,1953.0,76.0,36.0,89.0,1173.0,14866.0,102.0,16831.0,98.0,14.0,21.0,367.0,51.0,59.0,1164.0,22034.0,392.0,2496.0,47.0,10454.0,15786.0,12.0,14206.0,215.0,22947.0,38.0,18051.0,18597.0,17455.0,207.0
1743,14467.0,154.0,2.0,0.0,11.0,14754.0,8.0,74.0,16805.0,1620.0,202.0,201.0,13.0,38.0,208.0,22010.0,224.0,6.0,1035.0,10505.0,412.0,15365.0,13927.0,4.0,22939.0,143.0,207.0,442.0,558.0,56.0
1792,28.0,22009.0,9.0,0.0,15.0,14890.0,1.0,62.0,16907.0,18101.0,17379.0,22003.0,32.0,146.0,2262.0,634.0,44.0,637.0,293.0,2444.0,15783.0,1421.0,397.0,140.0,347.0,471.0,18000.0,18639.0,8.0,390.0
1841,134.0,682.0,0.0,4.0,15.0,14822.0,1582.0,16865.0,16864.0,776.0,106.0,21945.0,26.0,32.0,18239.0,111.0,18301.0,4092.0,65.0,247.0,69.0,178.0,14159.0,117.0,122.0,869.0,1.0,147.0,862.0,105.0
1890,276.0,21830.0,133.0,10.0,15.0,343.0,860.0,16849.0,16848.0,18057.0,110.0,21712.0,126.0,66.0,17285.0,22153.0,169.0,3242.0,1306.0,10610.0,58.0,549.0,13930.0,22962.0,277.0,333.0,26.0,249.0,174.0,221.0
1939,41.0,21945.0,132.0,59.0,62.0,14793.0,69.0,89.0,433.0,18078.0,427.0,21947.0,22510.0,22914.0,456.0,11.0,323.0,0.0,429.0,20.0,14.0,15408.0,325.0,5.0,214.0,14043.0,2.0,18627.0,633.0,303.0
1988,3.0,39.0,16792.0,132.0,17.0,187.0,775.0,88.0,4972.0,215.0,1.0,98.0,15070.0,352.0,17250.0,760.0,16682.0,4.0,494.0,10674.0,21979.0,63.0,49.0,78.0,149.0,18469.0,129.0,19993.0,18.0,17455.0
2037,1.0,233.0,85.0,235.0,9.0,130.0,48.0,38.0,16878.0,306.0,66.0,15.0,22518.0,22939.0,0.0,69.0,18354.0,3969.0,6.0,367.0,15791.0,8.0,990.0,108.0,97.0,25.0,115.0,18648.0,31.0,12913.0
