,LUNG,BREAST,HAEMATOPOIETIC,NERVOUS,SKIN,OVARY,PANCREAS,URINARY,STOMACH,ENDOMETRIUM,LARGE_INTESTINE,BONE,LIVER,OESOPHAGUS,GANGLIA,SOFT_TISSUE,AERODIGESTIVE,PROSTATE,THYROID,KIDNEY,SALIVARY,PLEURA,BILIARY
2792,10.0,7.0,3.0,0.0,5.0,2.0,4.0,17.0,1.0,8.0,11.0,9.0,14.0,13.0,18.0,6.0,12.0,21.0,15.0,16.0,20.0,19.0,22.0
2841,15.0,21.0,2.0,0.0,3.0,1.0,7.0,8.0,13.0,4.0,12.0,5.0,6.0,14.0,16.0,10.0,9.0,17.0,20.0,11.0,19.0,18.0,22.0
2890,7.0,5.0,9.0,2.0,15.0,8.0,0.0,12.0,13.0,3.0,10.0,11.0,4.0,6.0,16.0,19.0,1.0,17.0,20.0,14.0,18.0,21.0,22.0
2939,11.0,7.0,0.0,1.0,16.0,5.0,13.0,4.0,3.0,8.0,17.0,10.0,15.0,6.0,14.0,12.0,2.0,18.0,19.0,20.0,21.0,9.0,22.0
2988,0.0,2.0,7.0,14.0,5.0,8.0,1.0,9.0,10.0,15.0,4.0,3.0,13.0,12.0,6.0,18.0,16.0,20.0,11.0,17.0,21.0,19.0,22.0
3037,0.0,4.0,12.0,8.0,6.0,7.0,11.0,9.0,10.0,1.0,13.0,14.0,2.0,15.0,5.0,3.0,16.0,17.0,18.0,19.0,21.0,20.0,22.0
3086,2.0,1.0,16.0,0.0,6.0,7.0,9.0,13.0,8.0,15.0,12.0,3.0,4.0,5.0,11.0,18.0,14.0,17.0,10.0,19.0,21.0,20.0,22.0
3135,0.0,6.0,5.0,3.0,13.0,4.0,2.0,16.0,1.0,7.0,18.0,10.0,17.0,9.0,8.0,11.0,12.0,19.0,14.0,15.0,21.0,20.0,22.0
3184,0.0,10.0,3.0,2.0,5.0,12.0,9.0,1.0,11.0,20.0,6.0,8.0,7.0,13.0,4.0,14.0,15.0,16.0,18.0,19.0,21.0,17.0,22.0
3233,11.0,6.0,5.0,3.0,14.0,4.0,10.0,2.0,1.0,7.0,18.0,9.0,17.0,12.0,8.0,0.0,13.0,19.0,15.0,16.0,21.0,20.0,22.0
3282,18.0,0.0,1.0,3.0,11.0,4.0,7.0,2.0,14.0,6.0,16.0,10.0,15.0,5.0,9.0,8.0,12.0,17.0,13.0,19.0,21.0,20.0,22.0
3331,2.0,0.0,1.0,6.0,5.0,8.0,9.0,7.0,13.0,20.0,15.0,14.0,3.0,11.0,4.0,12.0,16.0,17.0,19.0,10.0,21.0,18.0,22.0
3380,1.0,2.0,13.0,8.0,17.0,0.0,6.0,15.0,9.0,3.0,14.0,4.0,5.0,10.0,12.0,11.0,7.0,18.0,16.0,19.0,21.0,20.0,22.0
3429,11.0,2.0,0.0,14.0,1.0,5.0,7.0,3.0,15.0,4.0,9.0,6.0,19.0,16.0,10.0,8.0,17.0,18.0,12.0,13.0,21.0,20.0,22.0
3478,0.0,5.0,4.0,16.0,7.0,15.0,3.0,18.0,1.0,6.0,12.0,11.0,10.0,13.0,9.0,8.0,2.0,21.0,17.0,14.0,20.0,19.0,22.0
3527,1.0,10.0,6.0,4.0,8.0,5.0,12.0,3.0,2.0,13.0,0.0,11.0,16.0,14.0,15.0,9.0,7.0,21.0,17.0,18.0,20.0,19.0,22.0
3576,2.0,7.0,1.0,0.0,8.0,9.0,16.0,12.0,13.0,19.0,3.0,4.0,5.0,20.0,6.0,10.0,14.0,21.0,15.0,11.0,17.0,18.0,22.0
3625,0.0,18.0,13.0,9.0,6.0,8.0,2.0,10.0,15.0,14.0,16.0,3.0,4.0,7.0,5.0,12.0,1.0,21.0,19.0,11.0,20.0,17.0,22.0
3674,2.0,7.0,14.0,5.0,1.0,0.0,6.0,4.0,15.0,8.0,3.0,9.0,10.0,11.0,19.0,12.0,18.0,21.0,17.0,13.0,20.0,16.0,22.0
3723,3.0,1.0,0.0,15.0,13.0,5.0,10.0,16.0,4.0,6.0,8.0,7.0,2.0,11.0,17.0,12.0,9.0,21.0,14.0,19.0,20.0,18.0,22.0
3772,1.0,2.0,0.0,8.0,11.0,7.0,13.0,9.0,10.0,3.0,15.0,4.0,12.0,6.0,5.0,18.0,14.0,21.0,17.0,16.0,20.0,19.0,22.0
3821,3.0,2.0,0.0,1.0,4.0,15.0,8.0,16.0,17.0,9.0,6.0,10.0,18.0,11.0,5.0,12.0,7.0,21.0,13.0,14.0,20.0,19.0,22.0
3870,11.0,0.0,4.0,3.0,5.0,16.0,13.0,2.0,1.0,10.0,6.0,9.0,8.0,7.0,17.0,14.0,12.0,20.0,15.0,18.0,21.0,19.0,22.0
3919,0.0,3.0,8.0,6.0,11.0,1.0,2.0,15.0,7.0,4.0,17.0,18.0,14.0,5.0,13.0,12.0,16.0,21.0,10.0,9.0,20.0,19.0,22.0
3968,1.0,2.0,0.0,14.0,7.0,13.0,9.0,15.0,16.0,3.0,4.0,5.0,6.0,12.0,11.0,10.0,8.0,18.0,17.0,20.0,19.0,21.0,22.0
4017,3.0,9.0,2.0,0.0,5.0,1.0,7.0,4.0,20.0,8.0,13.0,6.0,14.0,10.0,11.0,18.0,15.0,16.0,12.0,19.0,17.0,21.0,22.0
4066,2.0,1.0,5.0,4.0,8.0,11.0,10.0,0.0,3.0,14.0,12.0,16.0,13.0,6.0,7.0,18.0,9.0,15.0,19.0,20.0,17.0,21.0,22.0
4115,1.0,2.0,0.0,4.0,12.0,5.0,7.0,3.0,15.0,10.0,6.0,11.0,9.0,14.0,8.0,16.0,17.0,18.0,13.0,19.0,21.0,20.0,22.0
4164,3.0,20.0,1.0,7.0,5.0,2.0,8.0,0.0,6.0,16.0,15.0,4.0,14.0,9.0,13.0,12.0,11.0,17.0,10.0,21.0,19.0,18.0,22.0
4213,0.0,10.0,1.0,3.0,6.0,4.0,5.0,15.0,16.0,7.0,2.0,11.0,17.0,12.0,8.0,13.0,9.0,21.0,14.0,19.0,20.0,18.0,22.0
4262,0.0,3.0,1.0,5.0,4.0,7.0,8.0,6.0,16.0,2.0,13.0,14.0,18.0,9.0,12.0,11.0,15.0,17.0,10.0,20.0,19.0,21.0,22.0
4311,0.0,12.0,4.0,6.0,5.0,9.0,10.0,7.0,8.0,1.0,14.0,2.0,15.0,3.0,11.0,13.0,16.0,17.0,19.0,20.0,18.0,21.0,22.0
4360,2.0,0.0,1.0,8.0,15.0,7.0,6.0,9.0,12.0,13.0,3.0,18.0,11.0,14.0,4.0,5.0,16.0,17.0,10.0,20.0,19.0,21.0,22.0
4409,2.0,1.0,0.0,4.0,7.0,5.0,10.0,3.0,11.0,20.0,13.0,9.0,14.0,6.0,12.0,8.0,15.0,16.0,21.0,19.0,18.0,17.0,22.0
4458,1.0,0.0,9.0,6.0,16.0,12.0,5.0,7.0,8.0,21.0,2.0,3.0,14.0,11.0,4.0,13.0,15.0,17.0,20.0,10.0,19.0,18.0,22.0
4507,0.0,10.0,1.0,3.0,6.0,4.0,14.0,2.0,11.0,9.0,8.0,17.0,13.0,12.0,5.0,7.0,15.0,16.0,19.0,20.0,18.0,21.0,22.0
4556,0.0,10.0,7.0,5.0,1.0,6.0,9.0,4.0,3.0,2.0,14.0,16.0,13.0,11.0,8.0,18.0,12.0,15.0,19.0,20.0,17.0,21.0,22.0
4605,1.0,10.0,5.0,3.0,13.0,4.0,0.0,20.0,11.0,15.0,6.0,9.0,14.0,2.0,12.0,7.0,8.0,16.0,18.0,19.0,17.0,21.0,22.0
