,FLNB_MUT,ZNF705G_AMP,RGPD4_AMP,LOC100130700_AMP,RB1_MUT,HS3ST3A1_DEL,HLA-DQB1_DEL,CDC73_AMP,RNF103-CHMP3_DEL,DEFB4B_DEL,LOC100506776_DEL,LPA_AMP,CES1_AMP,ODF3B_DEL,POTEB_DEL,MUC20_AMP,CNTN5_DEL,LOC100133267_DEL,UPK3B_AMP,DHRS4L2_DEL,SLC25A37_AMP,GALNTL6_DEL,OR2T11_AMP,MSTO2P_AMP,PCDHA10_DEL,HLA-H_DEL,ATP9A_AMP,LINGO2_DEL,RBFOX1_DEL,HCG4B_DEL
3659,10.0,96.0,75.0,15445.0,16609.0,8078.0,59.0,23182.0,54.0,181.0,37.0,86.0,121.0,94.0,644.0,66.0,10409.0,92.0,19192.0,800.0,22060.0,67.0,103.0,93.0,120.0,157.0,15611.0,68.0,150.0,44.0
3708,74.0,35.0,108.0,15468.0,16614.0,8072.0,67.0,23117.0,40.0,20539.0,100.0,52.0,17477.0,2258.0,203.0,56.0,106.0,20686.0,19183.0,540.0,22059.0,112.0,91.0,75.0,9615.0,163.0,43.0,115.0,9441.0,170.0
3757,16184.0,173.0,38.0,12.0,16610.0,20.0,46.0,43.0,20377.0,146.0,107.0,138.0,17483.0,24.0,48.0,109.0,10417.0,51.0,56.0,800.0,120.0,112.0,53.0,41.0,76.0,169.0,18.0,159.0,72.0,190.0
3806,5.0,13.0,46.0,15475.0,16611.0,8077.0,124.0,56.0,36.0,8.0,20915.0,69.0,17482.0,150.0,660.0,100.0,10419.0,24.0,19194.0,770.0,77.0,66.0,108.0,45.0,48.0,147.0,30.0,68.0,140.0,128.0
3855,5.0,33.0,86.0,35.0,1.0,2.0,90.0,32.0,19877.0,87.0,78.0,58.0,52.0,74.0,637.0,44.0,10406.0,158.0,64.0,46.0,41.0,21.0,81.0,97.0,9591.0,112.0,94.0,102.0,9440.0,116.0
3904,16184.0,62.0,39.0,0.0,16610.0,109.0,101.0,5.0,20871.0,20527.0,20897.0,93.0,26.0,2061.0,638.0,49.0,10395.0,152.0,19197.0,105.0,119.0,73.0,58.0,143.0,44.0,84.0,54.0,117.0,77.0,107.0
3953,16184.0,152.0,155.0,24.0,54.0,45.0,39.0,40.0,47.0,43.0,20915.0,125.0,17482.0,11.0,41.0,92.0,73.0,134.0,19189.0,86.0,18.0,95.0,120.0,138.0,2.0,126.0,15617.0,66.0,63.0,136.0
4002,16187.0,160.0,111.0,15473.0,25.0,14.0,101.0,47.0,34.0,75.0,20896.0,82.0,8.0,2269.0,659.0,60.0,56.0,150.0,72.0,51.0,22026.0,112.0,91.0,93.0,9580.0,74.0,62.0,121.0,9454.0,104.0
4051,22.0,63.0,41.0,15475.0,9.0,37.0,836.0,56.0,53.0,71.0,20898.0,101.0,65.0,7.0,89.0,143.0,15.0,20699.0,66.0,52.0,48.0,130.0,145.0,146.0,3.0,108.0,15620.0,91.0,59.0,61.0
4100,16186.0,73.0,37.0,116.0,17.0,21.0,40.0,65.0,105.0,38.0,85.0,75.0,17477.0,32.0,638.0,72.0,43.0,100.0,89.0,107.0,49.0,63.0,52.0,42.0,9620.0,90.0,15612.0,18.0,94.0,77.0
4149,4.0,117.0,54.0,17.0,16609.0,34.0,38.0,43.0,56.0,171.0,42.0,79.0,17481.0,6.0,277.0,92.0,125.0,14.0,20.0,63.0,86.0,173.0,103.0,36.0,33.0,62.0,41.0,66.0,29.0,64.0
4198,16185.0,15429.0,48.0,15442.0,10.0,8070.0,814.0,20.0,92.0,38.0,16.0,84.0,5.0,23.0,633.0,71.0,36.0,129.0,85.0,72.0,22063.0,57.0,68.0,104.0,9.0,98.0,67.0,78.0,9444.0,150.0
4247,16190.0,15438.0,44.0,28.0,4.0,10.0,36.0,68.0,45.0,91.0,23.0,92.0,8.0,77.0,683.0,94.0,54.0,139.0,19183.0,59.0,22055.0,47.0,129.0,155.0,9586.0,75.0,15.0,37.0,69.0,106.0
4296,50.0,21.0,33.0,15474.0,9.0,45.0,5.0,65.0,84.0,15.0,20916.0,89.0,17483.0,51.0,64.0,72.0,56.0,106.0,40.0,877.0,104.0,79.0,78.0,73.0,74.0,113.0,111.0,38.0,110.0,59.0
4345,6.0,162.0,31.0,15473.0,1.0,8.0,25.0,23173.0,20376.0,131.0,5.0,127.0,51.0,30.0,38.0,57.0,41.0,20694.0,45.0,71.0,130.0,64.0,154.0,136.0,43.0,97.0,66.0,33.0,65.0,113.0
4394,27.0,37.0,38.0,41.0,0.0,17.0,83.0,68.0,11.0,62.0,20895.0,84.0,12.0,2262.0,640.0,70.0,65.0,134.0,73.0,33.0,7.0,94.0,119.0,99.0,9619.0,90.0,15614.0,89.0,72.0,123.0
4443,1.0,42.0,84.0,37.0,35.0,39.0,836.0,64.0,74.0,41.0,17.0,62.0,82.0,2277.0,655.0,128.0,80.0,89.0,44.0,50.0,143.0,157.0,69.0,126.0,9602.0,117.0,18.0,158.0,162.0,125.0
