,NQO1,AC074389.9,THAP8,SMO,NSMCE4A,TUBA1A,C7orf13,GPR176,C12orf23,HEG1,ZNF135,ZNF793,BEX4,MED12L,SH3BP1,PAX8,RP4-639F20.1,HAVCR1P1,PGBD5,S100P,KHDRBS3,NPPB,C1RL-AS1,EMB,MARCKS,DIRAS2,PCSK1N,CCDC149,RP3-441A12.1,ZNF91
2412,2.0,23162.0,25.0,0.0,314.0,179.0,44.0,5.0,58.0,87.0,202.0,23.0,69.0,91.0,744.0,67.0,1.0,11660.0,17689.0,14927.0,334.0,15971.0,89.0,154.0,210.0,109.0,4.0,199.0,305.0,489.0
2461,1.0,48.0,15.0,75.0,3.0,5.0,228.0,230.0,4.0,407.0,109.0,7.0,97.0,166.0,243.0,2.0,84.0,42.0,558.0,14926.0,17967.0,15963.0,106.0,229.0,377.0,19991.0,120.0,20.0,107.0,11634.0
2510,11.0,0.0,13.0,187.0,4.0,176.0,680.0,53.0,597.0,14774.0,142.0,2.0,1.0,322.0,3.0,13379.0,15273.0,15.0,484.0,14900.0,116.0,10.0,56.0,253.0,195.0,18407.0,68.0,14998.0,33.0,200.0
2559,2.0,0.0,10.0,143.0,1.0,355.0,311.0,4353.0,320.0,17.0,175.0,12.0,345.0,202.0,9700.0,109.0,634.0,13.0,319.0,35.0,3.0,38.0,145.0,122.0,22809.0,210.0,8712.0,135.0,66.0,279.0
2608,18.0,3.0,7.0,43.0,2.0,182.0,231.0,3187.0,6009.0,39.0,14.0,17.0,64.0,52.0,577.0,179.0,122.0,10.0,17684.0,14907.0,88.0,114.0,111.0,290.0,386.0,18417.0,512.0,0.0,101.0,74.0
2657,0.0,29.0,27.0,72.0,2.0,6.0,484.0,115.0,397.0,304.0,14.0,193.0,20.0,12.0,117.0,339.0,1725.0,74.0,16532.0,184.0,18893.0,759.0,140.0,182.0,356.0,18413.0,9246.0,7.0,109.0,25.0
2706,0.0,17.0,102.0,144.0,4.0,529.0,741.0,4125.0,199.0,13.0,61.0,1268.0,75.0,370.0,9735.0,105.0,204.0,31.0,196.0,287.0,18000.0,15972.0,9.0,228.0,577.0,1955.0,393.0,15068.0,2.0,291.0
2755,13.0,0.0,16.0,45.0,110.0,221.0,333.0,4082.0,61.0,519.0,8289.0,39.0,35.0,38.0,281.0,208.0,130.0,24.0,488.0,6.0,77.0,1116.0,52.0,331.0,1527.0,18417.0,8.0,1.0,11.0,1353.0
2804,0.0,22.0,26.0,96.0,4.0,216.0,584.0,3751.0,7107.0,34.0,9.0,23.0,123.0,15.0,155.0,145.0,192.0,75.0,255.0,48.0,69.0,73.0,164.0,778.0,1337.0,18393.0,32.0,24.0,63.0,235.0
2853,0.0,8.0,32.0,57.0,77.0,18.0,897.0,231.0,292.0,333.0,8252.0,404.0,122.0,2078.0,121.0,286.0,2608.0,375.0,267.0,14935.0,372.0,875.0,164.0,245.0,22845.0,18420.0,989.0,14.0,21168.0,123.0
2902,8.0,153.0,34.0,49.0,7.0,0.0,272.0,4056.0,612.0,465.0,48.0,3.0,23.0,82.0,2.0,212.0,38.0,155.0,341.0,14894.0,145.0,606.0,146.0,21690.0,336.0,20240.0,109.0,14.0,135.0,180.0
2951,1.0,29.0,68.0,12.0,0.0,4.0,25.0,109.0,110.0,23.0,220.0,8003.0,540.0,263.0,6.0,156.0,18.0,170.0,271.0,333.0,566.0,2891.0,42.0,21663.0,57.0,26.0,54.0,3.0,186.0,36.0
3000,0.0,1.0,25.0,17.0,5.0,9.0,27.0,159.0,7.0,272.0,152.0,11986.0,104.0,97.0,976.0,35.0,6.0,12112.0,96.0,17408.0,352.0,8171.0,277.0,99.0,64.0,3.0,9592.0,1475.0,211.0,494.0
3049,1.0,25.0,8043.0,27.0,2.0,8.0,86.0,5.0,87.0,103.0,280.0,7996.0,20.0,221.0,59.0,30.0,22.0,516.0,398.0,102.0,282.0,1914.0,5623.0,188.0,230.0,10.0,8752.0,3061.0,446.0,40.0
3098,1.0,12.0,8.0,24.0,0.0,563.0,5.0,28.0,4.0,131.0,178.0,729.0,56.0,597.0,23.0,246.0,224.0,2354.0,48.0,755.0,653.0,1444.0,134.0,45.0,50.0,17.0,90.0,15073.0,21150.0,21.0
3147,4.0,0.0,122.0,95.0,241.0,1.0,55.0,89.0,7.0,109.0,49.0,29.0,12.0,171.0,154.0,229.0,106.0,11670.0,219.0,82.0,143.0,1721.0,520.0,1865.0,96.0,3.0,13.0,15087.0,419.0,119.0
3196,0.0,3.0,11.0,74.0,369.0,4.0,10.0,120.0,49.0,5.0,165.0,8023.0,2.0,238.0,121.0,171.0,1138.0,11685.0,17675.0,1304.0,18037.0,202.0,123.0,299.0,21.0,18428.0,8765.0,15080.0,61.0,12.0
3245,6.0,4.0,1.0,72.0,388.0,91.0,47.0,140.0,417.0,97.0,45.0,198.0,16.0,370.0,3.0,434.0,13.0,51.0,241.0,62.0,12.0,615.0,190.0,21662.0,316.0,307.0,8745.0,19.0,21175.0,366.0
3294,0.0,10.0,17.0,13.0,15.0,3.0,40.0,7.0,338.0,78.0,175.0,435.0,62.0,252.0,9648.0,191.0,111.0,11630.0,17608.0,11.0,339.0,15942.0,231.0,124.0,6.0,31.0,319.0,14991.0,21135.0,852.0
3343,0.0,23.0,10.0,4.0,17.0,1.0,67.0,5.0,318.0,60.0,16.0,50.0,139.0,443.0,353.0,213.0,132.0,7668.0,212.0,36.0,155.0,31.0,561.0,3.0,82.0,20207.0,4086.0,303.0,171.0,54.0
3392,26.0,3.0,48.0,34.0,1.0,285.0,2.0,89.0,6.0,28.0,1185.0,823.0,183.0,338.0,46.0,363.0,15260.0,840.0,260.0,14918.0,416.0,1458.0,529.0,21670.0,23.0,141.0,8753.0,15008.0,21147.0,40.0
3441,5.0,0.0,50.0,102.0,19940.0,7.0,308.0,17.0,22.0,68.0,141.0,165.0,140.0,543.0,8838.0,10.0,711.0,7928.0,3.0,14927.0,88.0,11.0,412.0,280.0,116.0,20224.0,1663.0,79.0,21120.0,215.0
3490,5.0,3.0,47.0,24.0,35.0,131.0,125.0,144.0,7040.0,126.0,101.0,222.0,9005.0,223.0,490.0,77.0,20.0,470.0,44.0,14908.0,133.0,26.0,291.0,21678.0,4.0,11.0,76.0,1546.0,21104.0,2.0
3539,1.0,4.0,148.0,20.0,180.0,68.0,128.0,6.0,66.0,55.0,130.0,73.0,44.0,14616.0,272.0,58.0,17.0,322.0,149.0,395.0,394.0,15959.0,529.0,36.0,23.0,100.0,8781.0,15007.0,21125.0,11643.0
3588,1.0,15.0,56.0,180.0,3.0,323.0,163.0,20.0,7201.0,207.0,92.0,358.0,5.0,125.0,8.0,19.0,15248.0,68.0,30.0,309.0,475.0,1680.0,5425.0,456.0,13.0,150.0,734.0,15055.0,21181.0,455.0
