,MSH6,GAPDH,HSP70,P-Cadherin,Porin,Rb_pS807_S811,PI3K-p85,Cyclin_D1,Gab2,Bcl-2,AR,C-Raf_pS338,Claudin-7,FoxM1,Chk1_pS345,ADAR1,CDK1,Cyclin_E2,Rb,Caspase-7_cleavedD198,TIGAR,p90RSK_pT573,Chk2,CD31,TSC1,Beclin,PKC-alpha,Syk,GSK-3-BETA,RAD51
1865,3.0,1.0,6.0,9.0,25.0,21.0,4.0,2.0,0.0,12.0,17.0,5.0,14.0,13.0,22.0,8.0,20.0,110.0,35.0,89.0,7.0,11.0,86.0,88.0,15.0,10.0,26.0,28.0,23.0,73.0
1914,5.0,8.0,3.0,11.0,12.0,22.0,0.0,9.0,1.0,10.0,23.0,6.0,84.0,13.0,87.0,2.0,14.0,127.0,32.0,25.0,4.0,27.0,86.0,30.0,28.0,7.0,79.0,57.0,117.0,70.0
1963,0.0,19.0,3.0,10.0,6.0,1.0,5.0,28.0,22.0,12.0,7.0,32.0,21.0,9.0,2.0,103.0,15.0,24.0,20.0,17.0,4.0,11.0,26.0,25.0,34.0,37.0,14.0,41.0,117.0,64.0
2012,0.0,24.0,12.0,3.0,2.0,6.0,19.0,15.0,21.0,4.0,1.0,7.0,14.0,37.0,9.0,40.0,13.0,20.0,33.0,26.0,10.0,18.0,5.0,29.0,35.0,25.0,34.0,27.0,114.0,28.0
2061,1.0,11.0,6.0,0.0,14.0,3.0,2.0,33.0,10.0,8.0,17.0,20.0,26.0,12.0,5.0,88.0,22.0,24.0,64.0,29.0,19.0,15.0,28.0,21.0,41.0,7.0,4.0,16.0,30.0,81.0
2110,0.0,27.0,7.0,14.0,5.0,11.0,4.0,16.0,32.0,1.0,3.0,21.0,18.0,2.0,10.0,20.0,9.0,23.0,12.0,106.0,13.0,65.0,26.0,31.0,46.0,87.0,24.0,28.0,110.0,17.0
2159,0.0,2.0,9.0,1.0,10.0,16.0,25.0,38.0,6.0,3.0,4.0,23.0,17.0,5.0,7.0,30.0,22.0,27.0,39.0,15.0,8.0,18.0,31.0,26.0,41.0,24.0,11.0,13.0,108.0,21.0
2208,0.0,7.0,4.0,5.0,10.0,2.0,6.0,34.0,118.0,12.0,3.0,14.0,18.0,22.0,9.0,101.0,20.0,28.0,13.0,26.0,23.0,76.0,17.0,31.0,43.0,27.0,1.0,39.0,25.0,11.0
2257,2.0,4.0,11.0,16.0,0.0,10.0,5.0,18.0,22.0,9.0,3.0,8.0,14.0,15.0,1.0,35.0,13.0,21.0,33.0,26.0,12.0,20.0,29.0,31.0,38.0,25.0,7.0,61.0,27.0,36.0
2306,0.0,2.0,7.0,11.0,9.0,3.0,12.0,30.0,13.0,16.0,19.0,98.0,10.0,17.0,5.0,14.0,29.0,91.0,18.0,1.0,8.0,23.0,4.0,25.0,38.0,97.0,6.0,31.0,120.0,24.0
2355,0.0,1.0,19.0,4.0,7.0,2.0,9.0,23.0,12.0,3.0,17.0,30.0,32.0,22.0,18.0,5.0,20.0,10.0,61.0,26.0,6.0,80.0,34.0,87.0,40.0,96.0,14.0,35.0,8.0,37.0
2404,0.0,2.0,19.0,12.0,18.0,13.0,6.0,35.0,15.0,1.0,17.0,9.0,7.0,24.0,4.0,25.0,14.0,23.0,42.0,43.0,8.0,26.0,5.0,27.0,48.0,28.0,11.0,37.0,36.0,38.0
2453,1.0,0.0,8.0,17.0,7.0,2.0,5.0,20.0,10.0,18.0,29.0,12.0,4.0,14.0,28.0,3.0,22.0,19.0,15.0,25.0,47.0,34.0,26.0,13.0,38.0,97.0,64.0,6.0,9.0,27.0
2502,1.0,0.0,3.0,11.0,20.0,2.0,9.0,5.0,26.0,16.0,4.0,13.0,6.0,30.0,106.0,12.0,24.0,34.0,7.0,35.0,27.0,74.0,21.0,23.0,31.0,18.0,25.0,10.0,15.0,28.0
2551,1.0,0.0,8.0,31.0,4.0,2.0,23.0,6.0,120.0,85.0,22.0,7.0,3.0,19.0,17.0,12.0,9.0,25.0,5.0,96.0,14.0,44.0,92.0,26.0,16.0,86.0,52.0,13.0,117.0,10.0
2600,1.0,0.0,2.0,30.0,6.0,12.0,22.0,15.0,7.0,5.0,4.0,8.0,3.0,25.0,23.0,26.0,17.0,11.0,9.0,24.0,37.0,27.0,91.0,20.0,44.0,36.0,14.0,10.0,32.0,66.0
2649,2.0,0.0,13.0,8.0,1.0,7.0,5.0,6.0,111.0,4.0,18.0,15.0,12.0,117.0,34.0,3.0,26.0,23.0,22.0,21.0,16.0,9.0,29.0,17.0,56.0,11.0,19.0,58.0,24.0,70.0
2698,1.0,0.0,7.0,15.0,10.0,2.0,17.0,8.0,23.0,25.0,3.0,24.0,4.0,122.0,14.0,6.0,19.0,18.0,5.0,9.0,27.0,35.0,85.0,21.0,30.0,94.0,11.0,22.0,12.0,34.0
2747,2.0,0.0,1.0,15.0,6.0,5.0,4.0,8.0,23.0,25.0,9.0,7.0,11.0,17.0,33.0,10.0,22.0,3.0,26.0,12.0,13.0,21.0,31.0,14.0,18.0,34.0,35.0,42.0,123.0,30.0
2796,3.0,0.0,1.0,4.0,24.0,19.0,21.0,6.0,5.0,26.0,7.0,10.0,2.0,28.0,9.0,12.0,17.0,20.0,8.0,88.0,59.0,29.0,14.0,32.0,16.0,95.0,72.0,13.0,30.0,25.0
2845,1.0,0.0,2.0,6.0,5.0,3.0,78.0,7.0,10.0,16.0,26.0,22.0,8.0,9.0,24.0,17.0,85.0,13.0,33.0,25.0,59.0,37.0,34.0,86.0,21.0,12.0,35.0,11.0,4.0,23.0
2894,1.0,0.0,2.0,18.0,8.0,14.0,10.0,4.0,16.0,95.0,9.0,5.0,7.0,23.0,19.0,6.0,11.0,25.0,69.0,27.0,58.0,38.0,84.0,24.0,3.0,22.0,17.0,30.0,120.0,29.0
2943,32.0,0.0,1.0,11.0,3.0,14.0,2.0,8.0,4.0,9.0,7.0,15.0,16.0,17.0,20.0,102.0,19.0,18.0,33.0,6.0,30.0,37.0,34.0,5.0,12.0,93.0,76.0,25.0,23.0,70.0
2992,11.0,3.0,2.0,1.0,0.0,15.0,5.0,16.0,4.0,23.0,7.0,32.0,10.0,12.0,17.0,8.0,18.0,22.0,26.0,14.0,21.0,43.0,24.0,20.0,19.0,97.0,79.0,61.0,121.0,29.0
3041,4.0,0.0,3.0,9.0,2.0,7.0,15.0,6.0,10.0,5.0,100.0,87.0,11.0,21.0,26.0,22.0,85.0,27.0,69.0,1.0,56.0,37.0,96.0,86.0,12.0,28.0,17.0,29.0,8.0,71.0
3090,6.0,3.0,1.0,28.0,0.0,4.0,8.0,2.0,11.0,5.0,13.0,10.0,31.0,16.0,85.0,88.0,22.0,15.0,20.0,36.0,27.0,53.0,19.0,29.0,9.0,102.0,74.0,17.0,7.0,69.0
3139,5.0,3.0,0.0,15.0,1.0,69.0,9.0,12.0,10.0,2.0,21.0,14.0,13.0,18.0,92.0,94.0,26.0,86.0,70.0,23.0,59.0,49.0,91.0,11.0,6.0,104.0,80.0,17.0,117.0,72.0
3188,2.0,3.0,4.0,11.0,1.0,5.0,0.0,7.0,21.0,8.0,9.0,19.0,17.0,13.0,16.0,100.0,85.0,119.0,25.0,6.0,55.0,29.0,109.0,14.0,12.0,95.0,76.0,15.0,115.0,27.0
3237,9.0,2.0,1.0,14.0,0.0,10.0,13.0,7.0,5.0,3.0,8.0,35.0,15.0,25.0,12.0,24.0,23.0,28.0,18.0,4.0,59.0,46.0,31.0,19.0,27.0,105.0,16.0,36.0,29.0,22.0
3286,4.0,1.0,10.0,7.0,0.0,21.0,6.0,12.0,11.0,2.0,14.0,8.0,3.0,34.0,26.0,107.0,25.0,17.0,27.0,20.0,23.0,42.0,22.0,16.0,29.0,18.0,37.0,36.0,28.0,75.0
