,Rb,Chk1,p27_pT157,PRDX1,p21,Rab25,Beclin,Bcl-2,p38_pT180_Y182,Rb_pS807_S811,JNK_pT183_Y185,PI3K-p85,p27,RAD51,SHP-2_pY542,VAV1,Lck,SETD2,GSK-3-BETA,HER2_pY1248,GAPDH,Smac,Bax,PTEN,eEF2K,GATA3,Syk,PDCD4,HSP70,Cyclin_D1
1816,1.0,7.0,2.0,4.0,0.0,15.0,3.0,9.0,5.0,8.0,14.0,29.0,6.0,11.0,17.0,44.0,22.0,62.0,21.0,106.0,12.0,23.0,19.0,16.0,10.0,111.0,20.0,24.0,77.0,27.0
1865,0.0,1.0,5.0,4.0,2.0,10.0,12.0,29.0,3.0,6.0,9.0,14.0,22.0,13.0,15.0,55.0,7.0,26.0,30.0,32.0,18.0,24.0,35.0,21.0,27.0,20.0,23.0,31.0,16.0,8.0
1914,2.0,0.0,3.0,1.0,16.0,9.0,5.0,8.0,4.0,12.0,17.0,10.0,7.0,11.0,13.0,48.0,19.0,15.0,20.0,14.0,6.0,21.0,23.0,28.0,29.0,126.0,31.0,33.0,86.0,26.0
1963,2.0,0.0,5.0,4.0,12.0,16.0,28.0,6.0,9.0,21.0,10.0,3.0,7.0,23.0,13.0,36.0,29.0,22.0,1.0,20.0,18.0,14.0,17.0,27.0,25.0,34.0,11.0,19.0,119.0,111.0
2012,1.0,11.0,9.0,7.0,4.0,19.0,101.0,5.0,6.0,65.0,33.0,10.0,35.0,22.0,18.0,13.0,2.0,8.0,3.0,20.0,12.0,28.0,17.0,34.0,14.0,26.0,21.0,25.0,111.0,27.0
2061,0.0,8.0,2.0,9.0,3.0,15.0,22.0,4.0,29.0,54.0,14.0,12.0,28.0,56.0,13.0,1.0,17.0,26.0,10.0,19.0,33.0,7.0,20.0,31.0,30.0,24.0,73.0,18.0,16.0,128.0
2110,1.0,0.0,20.0,17.0,9.0,11.0,5.0,29.0,36.0,18.0,6.0,4.0,32.0,19.0,14.0,2.0,8.0,16.0,3.0,10.0,12.0,28.0,7.0,21.0,25.0,27.0,13.0,34.0,30.0,129.0
2159,0.0,2.0,1.0,5.0,11.0,8.0,15.0,4.0,25.0,30.0,13.0,7.0,37.0,16.0,17.0,20.0,26.0,14.0,3.0,112.0,10.0,18.0,12.0,63.0,19.0,9.0,66.0,74.0,21.0,24.0
2208,0.0,1.0,3.0,4.0,9.0,10.0,11.0,14.0,5.0,21.0,81.0,7.0,30.0,23.0,27.0,22.0,8.0,18.0,6.0,13.0,17.0,12.0,34.0,25.0,24.0,19.0,57.0,35.0,15.0,26.0
2257,0.0,9.0,22.0,7.0,3.0,16.0,13.0,8.0,10.0,23.0,25.0,5.0,28.0,69.0,21.0,6.0,18.0,27.0,1.0,19.0,20.0,2.0,14.0,29.0,34.0,15.0,30.0,31.0,17.0,125.0
2306,1.0,0.0,7.0,6.0,9.0,22.0,3.0,11.0,16.0,26.0,17.0,5.0,27.0,25.0,15.0,4.0,13.0,12.0,2.0,118.0,10.0,21.0,14.0,68.0,19.0,28.0,55.0,23.0,83.0,123.0
2355,0.0,4.0,5.0,2.0,8.0,3.0,20.0,27.0,11.0,22.0,18.0,1.0,43.0,16.0,64.0,17.0,35.0,67.0,7.0,110.0,14.0,32.0,15.0,72.0,9.0,12.0,56.0,10.0,33.0,104.0
2404,2.0,1.0,7.0,6.0,5.0,36.0,18.0,12.0,10.0,9.0,29.0,21.0,32.0,13.0,0.0,16.0,14.0,17.0,33.0,19.0,22.0,24.0,8.0,72.0,35.0,4.0,61.0,79.0,30.0,34.0
2453,8.0,0.0,6.0,19.0,1.0,15.0,2.0,17.0,10.0,12.0,11.0,5.0,26.0,4.0,28.0,3.0,45.0,54.0,20.0,77.0,22.0,59.0,89.0,14.0,9.0,18.0,7.0,70.0,64.0,29.0
2502,11.0,0.0,6.0,1.0,3.0,16.0,4.0,12.0,10.0,14.0,20.0,5.0,23.0,8.0,26.0,2.0,42.0,29.0,25.0,114.0,24.0,62.0,95.0,19.0,7.0,9.0,13.0,17.0,80.0,129.0
2551,7.0,5.0,1.0,4.0,0.0,30.0,3.0,9.0,12.0,11.0,8.0,10.0,28.0,2.0,22.0,6.0,19.0,61.0,16.0,77.0,13.0,58.0,90.0,15.0,17.0,29.0,27.0,72.0,18.0,119.0
2600,13.0,0.0,2.0,1.0,4.0,11.0,3.0,16.0,10.0,7.0,9.0,12.0,23.0,8.0,14.0,5.0,29.0,67.0,6.0,128.0,17.0,64.0,25.0,71.0,117.0,20.0,19.0,28.0,85.0,123.0
2649,7.0,10.0,16.0,2.0,1.0,20.0,5.0,17.0,0.0,8.0,11.0,6.0,28.0,3.0,4.0,12.0,24.0,55.0,115.0,112.0,30.0,58.0,14.0,15.0,29.0,18.0,26.0,19.0,22.0,125.0
2698,13.0,1.0,3.0,0.0,5.0,11.0,7.0,12.0,2.0,25.0,14.0,6.0,31.0,4.0,30.0,9.0,10.0,54.0,15.0,77.0,17.0,73.0,89.0,28.0,19.0,23.0,64.0,16.0,29.0,120.0
2747,4.0,12.0,1.0,2.0,0.0,9.0,5.0,14.0,3.0,7.0,11.0,23.0,32.0,6.0,25.0,10.0,16.0,55.0,13.0,105.0,8.0,60.0,101.0,15.0,19.0,20.0,41.0,18.0,30.0,28.0
2796,2.0,4.0,11.0,20.0,7.0,6.0,10.0,9.0,1.0,16.0,12.0,0.0,19.0,13.0,53.0,5.0,44.0,56.0,3.0,127.0,8.0,52.0,91.0,22.0,17.0,15.0,21.0,28.0,76.0,125.0
2845,9.0,5.0,3.0,0.0,1.0,6.0,4.0,20.0,18.0,16.0,11.0,12.0,23.0,7.0,17.0,2.0,26.0,56.0,21.0,122.0,29.0,53.0,28.0,10.0,19.0,110.0,15.0,72.0,77.0,22.0
2894,7.0,13.0,5.0,2.0,0.0,10.0,1.0,12.0,4.0,11.0,18.0,9.0,17.0,3.0,58.0,6.0,29.0,32.0,8.0,122.0,20.0,24.0,15.0,25.0,14.0,27.0,53.0,22.0,19.0,31.0
2943,21.0,0.0,6.0,9.0,1.0,2.0,5.0,19.0,30.0,3.0,18.0,23.0,22.0,12.0,14.0,4.0,7.0,20.0,17.0,11.0,13.0,67.0,28.0,24.0,15.0,110.0,10.0,8.0,27.0,125.0
2992,4.0,1.0,9.0,11.0,0.0,6.0,15.0,18.0,27.0,3.0,10.0,22.0,7.0,28.0,5.0,24.0,49.0,21.0,25.0,8.0,23.0,29.0,13.0,12.0,14.0,26.0,2.0,17.0,32.0,30.0
3041,1.0,10.0,4.0,3.0,0.0,2.0,5.0,24.0,35.0,6.0,7.0,16.0,23.0,27.0,21.0,13.0,11.0,9.0,115.0,19.0,117.0,55.0,18.0,67.0,14.0,116.0,8.0,15.0,12.0,119.0
3090,4.0,10.0,2.0,3.0,1.0,11.0,6.0,9.0,13.0,0.0,18.0,5.0,17.0,22.0,14.0,8.0,26.0,27.0,16.0,131.0,117.0,58.0,21.0,29.0,12.0,118.0,7.0,23.0,77.0,126.0
3139,2.0,4.0,8.0,0.0,11.0,6.0,16.0,14.0,23.0,22.0,1.0,5.0,9.0,19.0,25.0,3.0,17.0,12.0,7.0,13.0,27.0,18.0,24.0,71.0,117.0,124.0,10.0,39.0,21.0,127.0
3188,0.0,10.0,12.0,1.0,9.0,15.0,6.0,8.0,39.0,7.0,2.0,25.0,14.0,26.0,5.0,4.0,13.0,18.0,20.0,19.0,22.0,28.0,23.0,11.0,17.0,133.0,3.0,55.0,117.0,21.0
3237,2.0,14.0,4.0,17.0,0.0,3.0,9.0,5.0,74.0,10.0,13.0,7.0,15.0,28.0,6.0,24.0,20.0,25.0,8.0,29.0,113.0,12.0,16.0,21.0,18.0,23.0,1.0,30.0,31.0,26.0
3286,0.0,8.0,19.0,1.0,5.0,3.0,30.0,92.0,34.0,4.0,7.0,12.0,17.0,26.0,2.0,21.0,6.0,10.0,118.0,14.0,116.0,32.0,25.0,16.0,24.0,117.0,9.0,18.0,31.0,125.0
3335,2.0,7.0,5.0,8.0,0.0,1.0,10.0,13.0,35.0,4.0,30.0,3.0,12.0,25.0,14.0,16.0,15.0,17.0,29.0,22.0,32.0,21.0,119.0,19.0,24.0,34.0,6.0,18.0,20.0,11.0
3384,2.0,1.0,3.0,11.0,0.0,9.0,4.0,6.0,47.0,16.0,17.0,8.0,14.0,10.0,23.0,26.0,22.0,12.0,19.0,128.0,122.0,24.0,20.0,72.0,7.0,115.0,28.0,5.0,29.0,125.0
3433,0.0,1.0,15.0,2.0,3.0,6.0,20.0,92.0,31.0,11.0,7.0,16.0,12.0,13.0,24.0,4.0,14.0,21.0,22.0,23.0,10.0,9.0,25.0,57.0,30.0,128.0,5.0,72.0,28.0,121.0
3482,0.0,2.0,4.0,7.0,1.0,5.0,99.0,19.0,9.0,10.0,14.0,17.0,31.0,16.0,22.0,23.0,34.0,36.0,8.0,20.0,13.0,6.0,11.0,33.0,116.0,29.0,21.0,25.0,12.0,30.0
3531,4.0,0.0,2.0,3.0,1.0,5.0,73.0,30.0,7.0,11.0,10.0,23.0,22.0,12.0,16.0,75.0,27.0,17.0,6.0,37.0,15.0,14.0,9.0,125.0,106.0,47.0,24.0,20.0,18.0,19.0
3580,0.0,16.0,9.0,13.0,1.0,7.0,104.0,19.0,23.0,14.0,4.0,27.0,39.0,17.0,12.0,20.0,21.0,59.0,2.0,25.0,6.0,3.0,15.0,26.0,122.0,24.0,10.0,75.0,8.0,117.0
3629,0.0,1.0,3.0,8.0,2.0,13.0,98.0,19.0,4.0,6.0,26.0,27.0,29.0,15.0,33.0,10.0,20.0,30.0,7.0,17.0,24.0,9.0,23.0,18.0,11.0,31.0,21.0,70.0,5.0,106.0
