,hsa-miR-210,ebv-miR-BART7,hsa-miR-148a,hsa-miR-888,hsa-miR-597,hsa-miR-485-3p,hsa-miR-135b,hcmv-miR-US5-1,hsa-miR-590-3p,hsa-miR-587,hsa-miR-588,hsa-miR-583,hsa-miR-584,hsa-miR-589,hsa-miR-586,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-581,hsa-miR-580,hsa-miR-577,hsa-miR-591,hsa-miR-590-5p,hsa-miR-579,hsa-miR-578,hsa-miR-596,hsa-miR-576-5p,hsa-miR-592,hsa-miR-593,hsa-miR-628-5p,hsa-miR-576-3p
3842,21.0,15.0,17.0,14.0,2.0,7.0,13.0,224.0,52.0,49.0,50.0,46.0,54.0,51.0,47.0,44.0,45.0,43.0,42.0,64.0,57.0,53.0,48.0,55.0,94.0,71.0,73.0,74.0,182.0,70.0
3891,585.0,10.0,342.0,2.0,0.0,549.0,329.0,241.0,47.0,48.0,44.0,63.0,49.0,45.0,42.0,53.0,50.0,54.0,55.0,25.0,64.0,51.0,58.0,59.0,91.0,61.0,79.0,66.0,52.0,81.0
3940,6.0,5.0,344.0,4.0,61.0,9.0,35.0,250.0,47.0,49.0,48.0,46.0,51.0,20.0,50.0,53.0,52.0,54.0,55.0,22.0,43.0,58.0,56.0,57.0,77.0,154.0,44.0,45.0,72.0,97.0
3989,12.0,207.0,16.0,27.0,34.0,40.0,18.0,251.0,76.0,73.0,74.0,71.0,78.0,75.0,72.0,68.0,69.0,67.0,66.0,98.0,62.0,77.0,65.0,64.0,48.0,117.0,70.0,61.0,32.0,189.0
4038,0.0,189.0,341.0,2.0,28.0,550.0,363.0,37.0,70.0,60.0,56.0,63.0,62.0,57.0,61.0,65.0,64.0,24.0,68.0,105.0,42.0,47.0,69.0,102.0,46.0,141.0,43.0,44.0,77.0,142.0
4087,3.0,183.0,382.0,290.0,4.0,550.0,8.0,236.0,50.0,48.0,43.0,47.0,39.0,46.0,55.0,40.0,45.0,23.0,53.0,49.0,74.0,42.0,51.0,52.0,79.0,54.0,57.0,77.0,70.0,44.0
4136,0.0,16.0,3.0,294.0,86.0,6.0,30.0,242.0,48.0,62.0,57.0,55.0,56.0,52.0,60.0,53.0,54.0,49.0,59.0,58.0,50.0,46.0,47.0,61.0,85.0,51.0,81.0,64.0,39.0,100.0
4185,0.0,3.0,383.0,295.0,24.0,2.0,19.0,39.0,60.0,64.0,63.0,68.0,67.0,72.0,65.0,70.0,69.0,44.0,71.0,102.0,56.0,57.0,62.0,46.0,51.0,104.0,55.0,54.0,76.0,154.0
4234,1.0,19.0,32.0,291.0,20.0,550.0,331.0,241.0,59.0,62.0,61.0,67.0,65.0,60.0,64.0,104.0,68.0,7.0,106.0,142.0,56.0,58.0,105.0,141.0,45.0,143.0,55.0,53.0,78.0,8.0
4283,6.0,12.0,25.0,22.0,26.0,1.0,329.0,40.0,46.0,68.0,69.0,65.0,66.0,62.0,67.0,63.0,64.0,61.0,60.0,56.0,51.0,52.0,58.0,57.0,47.0,104.0,50.0,49.0,79.0,138.0
4332,24.0,191.0,364.0,29.0,91.0,1.0,337.0,31.0,49.0,53.0,51.0,58.0,57.0,50.0,56.0,59.0,69.0,23.0,61.0,67.0,85.0,63.0,64.0,48.0,14.0,65.0,98.0,71.0,66.0,62.0
4381,0.0,190.0,14.0,23.0,89.0,39.0,27.0,28.0,97.0,84.0,70.0,52.0,57.0,12.0,68.0,49.0,51.0,53.0,46.0,17.0,95.0,96.0,54.0,67.0,90.0,56.0,93.0,92.0,62.0,59.0
4430,3.0,1.0,20.0,25.0,28.0,38.0,2.0,29.0,65.0,44.0,47.0,51.0,46.0,49.0,45.0,54.0,64.0,55.0,56.0,59.0,67.0,93.0,57.0,58.0,16.0,60.0,91.0,66.0,62.0,63.0
4479,0.0,2.0,9.0,4.0,25.0,551.0,1.0,14.0,44.0,47.0,42.0,38.0,39.0,43.0,46.0,48.0,61.0,49.0,50.0,55.0,62.0,45.0,51.0,52.0,18.0,57.0,77.0,64.0,54.0,58.0
4528,24.0,14.0,342.0,41.0,81.0,3.0,0.0,240.0,49.0,52.0,51.0,64.0,54.0,50.0,53.0,56.0,55.0,57.0,58.0,38.0,45.0,63.0,59.0,60.0,28.0,61.0,47.0,46.0,72.0,62.0
4577,0.0,14.0,9.0,1.0,6.0,36.0,3.0,12.0,53.0,62.0,61.0,56.0,57.0,58.0,59.0,52.0,55.0,51.0,46.0,44.0,49.0,50.0,45.0,60.0,24.0,54.0,48.0,47.0,74.0,31.0
4626,37.0,11.0,2.0,9.0,15.0,38.0,5.0,238.0,46.0,50.0,49.0,53.0,52.0,48.0,51.0,55.0,54.0,57.0,58.0,62.0,92.0,65.0,61.0,44.0,87.0,60.0,90.0,89.0,144.0,56.0
4675,0.0,30.0,18.0,26.0,89.0,549.0,1.0,242.0,47.0,40.0,48.0,45.0,44.0,41.0,43.0,62.0,42.0,51.0,53.0,60.0,63.0,52.0,54.0,59.0,90.0,94.0,93.0,65.0,55.0,174.0
4724,0.0,190.0,14.0,24.0,93.0,43.0,27.0,33.0,45.0,51.0,18.0,52.0,54.0,44.0,19.0,58.0,56.0,28.0,62.0,32.0,49.0,48.0,63.0,79.0,95.0,175.0,55.0,65.0,46.0,97.0
4773,4.0,228.0,19.0,9.0,102.0,536.0,8.0,207.0,75.0,34.0,73.0,52.0,53.0,74.0,54.0,50.0,51.0,49.0,48.0,33.0,95.0,76.0,47.0,46.0,100.0,44.0,96.0,98.0,5.0,43.0
4822,1.0,5.0,22.0,3.0,12.0,36.0,4.0,2.0,85.0,20.0,88.0,66.0,91.0,87.0,90.0,50.0,54.0,49.0,47.0,46.0,83.0,84.0,51.0,44.0,35.0,52.0,93.0,81.0,145.0,55.0
4871,2.0,13.0,5.0,6.0,83.0,39.0,0.0,8.0,42.0,50.0,49.0,55.0,53.0,22.0,51.0,57.0,56.0,60.0,58.0,38.0,44.0,43.0,47.0,46.0,82.0,54.0,78.0,62.0,74.0,52.0
