,EEF1A1,AP000974.1,CELF2-AS1,NTN4,PREB,RP11-517B11.7,PTS,RP11-161I2.1,TSC22D2,GALNT5,THRB,GABRE,CLPX,AC006159.5,ACSS1,APLN,PCDHB15,LINC00511,THAP10,FAT4,RAET1G,TCEAL3,NR2F1-AS1,RP11-235E17.6,PLEKHA8P1,NCL,B3GNT5,SERP2,CLYBL,LA16c-380H5.5
4372,15.0,5.0,7.0,30.0,86.0,27.0,238.0,63.0,42.0,241.0,12811.0,0.0,32.0,22527.0,12.0,9096.0,16.0,44.0,25.0,131.0,45.0,19.0,21489.0,274.0,5001.0,23.0,14672.0,56.0,6392.0,321.0
4421,24.0,43.0,7.0,35.0,17.0,111.0,2.0,54.0,49.0,3.0,12813.0,31.0,93.0,134.0,200.0,55.0,21712.0,26.0,10.0,83.0,245.0,34.0,84.0,10994.0,81.0,228.0,131.0,32.0,157.0,4091.0
4470,13.0,52.0,18.0,3.0,130.0,0.0,2.0,114.0,2612.0,33.0,120.0,143.0,68.0,253.0,72.0,5.0,134.0,272.0,12.0,14135.0,64.0,387.0,8.0,420.0,48.0,69.0,11.0,200.0,6319.0,381.0
4519,5.0,2.0,22.0,40.0,679.0,7.0,23.0,9.0,12.0,258.0,3.0,91.0,57.0,149.0,81.0,3454.0,50.0,82.0,10.0,95.0,23326.0,4109.0,14.0,805.0,53.0,176.0,48.0,193.0,488.0,614.0
4568,22988.0,16.0,18.0,0.0,32.0,19.0,10.0,2.0,14835.0,287.0,89.0,94.0,44.0,43.0,62.0,9057.0,21704.0,63.0,159.0,111.0,156.0,358.0,60.0,182.0,82.0,13547.0,14643.0,37.0,259.0,112.0
4617,20.0,4.0,29.0,35.0,232.0,2.0,0.0,84.0,17385.0,16128.0,18162.0,130.0,83.0,135.0,160.0,6.0,58.0,16.0,23.0,33.0,626.0,827.0,40.0,1033.0,87.0,145.0,133.0,7632.0,2081.0,374.0
4666,9.0,26.0,35.0,1.0,121.0,63.0,82.0,0.0,48.0,73.0,65.0,91.0,12.0,14.0,122.0,9092.0,179.0,118.0,184.0,111.0,23385.0,201.0,17.0,10954.0,59.0,13671.0,36.0,2496.0,161.0,3226.0
4715,1.0,63.0,38.0,17.0,22.0,267.0,20.0,9.0,173.0,362.0,334.0,110.0,27.0,265.0,179.0,39.0,21842.0,12122.0,254.0,128.0,23332.0,191.0,216.0,10957.0,14.0,13562.0,60.0,58.0,131.0,4083.0
4764,0.0,9.0,20.0,3.0,16857.0,29.0,60.0,33.0,28.0,31.0,6.0,61.0,8.0,293.0,142.0,1193.0,138.0,12120.0,220.0,593.0,113.0,419.0,57.0,797.0,69.0,13686.0,201.0,5822.0,179.0,3497.0
4813,86.0,13.0,37.0,5.0,2244.0,8.0,0.0,18.0,14833.0,714.0,12781.0,170.0,11.0,347.0,48.0,9053.0,83.0,134.0,66.0,47.0,23350.0,61.0,34.0,456.0,96.0,81.0,44.0,76.0,162.0,4112.0
4862,76.0,35.0,29.0,37.0,422.0,33.0,90.0,4.0,61.0,32.0,17.0,9.0,57.0,161.0,123.0,9102.0,21761.0,94.0,215.0,21.0,69.0,23.0,91.0,201.0,74.0,13584.0,264.0,1588.0,26.0,455.0
