,LEPREL2,MAGEA6,SLFN11,RCOR2,SPANXD,ANPEP,RCN3,ZYG11A,LYPD6B,TUSC3,ZNF215,CCZ1B,FAM98B,EVC2,PDLIM4,KRT13,SEMA3F,RPUSD2,RP11-305M3.2,CORO2A,LINC00665,WNT5A,P2RX5,LIPE,MEIS3P1,PXDN,CBS,AP000783.1,LGALS9,ARTN
940,0.0,1.0,132.0,14.0,41.0,2.0,13.0,149.0,5.0,48.0,3.0,4.0,6.0,33.0,74.0,55.0,64.0,43.0,26.0,819.0,66.0,156.0,9.0,155.0,35.0,21.0,88.0,23.0,22.0,31.0
989,0.0,15.0,10.0,6.0,55.0,28.0,25.0,48.0,2.0,4.0,8.0,96.0,12.0,66.0,351.0,78.0,14.0,33.0,3.0,5.0,7.0,41.0,44.0,34.0,63.0,1929.0,770.0,282.0,18.0,16.0
1038,0.0,4.0,54.0,6.0,13.0,20.0,7.0,2.0,8.0,16.0,29.0,93.0,22.0,37.0,3.0,15.0,124.0,35.0,17.0,5.0,1.0,74.0,23.0,24.0,28.0,61.0,46.0,64.0,33.0,10.0
1087,1.0,32.0,795.0,2.0,15.0,7.0,103.0,5.0,8.0,0.0,90.0,40.0,10.0,18.0,33.0,16.0,65.0,41.0,14.0,3.0,12.0,58.0,47.0,13.0,6.0,298.0,42.0,192.0,53.0,11.0
1136,5.0,4.0,95.0,0.0,13.0,16.0,1.0,6.0,8.0,18.0,43.0,34.0,35.0,29.0,109.0,38.0,309.0,49.0,15.0,7.0,14.0,59.0,21.0,60.0,23.0,72.0,142.0,56.0,27.0,37.0
1185,0.0,23.0,70.0,1.0,28.0,2.0,8.0,5.0,11.0,6.0,32.0,31.0,18.0,47.0,19.0,10.0,161.0,30.0,17.0,4.0,12.0,45.0,21.0,39.0,41.0,124.0,61.0,76.0,16.0,75.0
1234,0.0,5.0,9.0,7.0,4.0,14.0,1.0,25.0,11.0,20.0,19.0,104.0,12.0,199.0,37.0,32.0,16.0,13.0,33.0,2.0,8.0,35.0,77.0,45.0,3.0,157.0,100.0,23.0,48.0,31.0
1283,0.0,3.0,46.0,1.0,17.0,10.0,34.0,40.0,6.0,2.0,42.0,21.0,24.0,68.0,16.0,7.0,78.0,25.0,20.0,5.0,4.0,18.0,11.0,30.0,193.0,288.0,67.0,74.0,12.0,14.0
1332,1.0,2.0,14.0,4.0,6.0,38.0,23.0,13.0,0.0,15.0,7.0,87.0,54.0,25.0,26.0,22.0,57.0,46.0,12.0,3.0,5.0,11.0,68.0,17.0,81.0,19.0,58.0,28.0,10.0,8.0
1381,1.0,12.0,104.0,0.0,25.0,4.0,26.0,3.0,66.0,6.0,43.0,89.0,64.0,16.0,27.0,8.0,15.0,53.0,37.0,5.0,9.0,36.0,44.0,19.0,20.0,49.0,11.0,96.0,38.0,67.0
1430,0.0,1.0,71.0,3.0,6.0,4.0,18.0,7.0,5.0,12.0,96.0,30.0,17.0,31.0,15.0,14.0,33.0,34.0,11.0,8.0,2.0,37.0,23.0,78.0,16.0,64.0,142.0,98.0,40.0,22.0
1479,2.0,1.0,0.0,4.0,7.0,5.0,26.0,20.0,8.0,17.0,33.0,13.0,27.0,14.0,11.0,25.0,16.0,18.0,15.0,30.0,35.0,9.0,3.0,41.0,112.0,24.0,10.0,58.0,48.0,23.0
1528,4.0,3.0,1.0,5.0,45.0,2.0,51.0,172.0,14.0,13.0,8.0,7.0,18.0,10.0,0.0,17.0,11.0,24.0,12.0,37.0,66.0,199.0,42.0,114.0,34.0,9.0,175.0,36.0,30.0,52.0
1577,0.0,8.0,15.0,2.0,4.0,13.0,3.0,24.0,20.0,5.0,29.0,9.0,18.0,7.0,10.0,22.0,96.0,41.0,61.0,45.0,30.0,76.0,31.0,82.0,69.0,17.0,51.0,21.0,94.0,97.0
1626,4.0,49.0,9.0,8.0,10.0,2.0,16.0,29.0,14.0,15.0,7.0,3.0,18.0,12.0,1.0,24.0,27.0,43.0,11.0,5.0,55.0,48.0,17.0,40.0,0.0,26.0,50.0,267.0,38.0,41.0
1675,6.0,28.0,0.0,1.0,21.0,8.0,23.0,13.0,4.0,19.0,3.0,47.0,25.0,17.0,26.0,10.0,5.0,22.0,9.0,2.0,14.0,589.0,20.0,35.0,66.0,303.0,30.0,57.0,40.0,216.0
1724,19.0,1.0,0.0,13.0,3.0,78.0,27.0,58.0,15.0,61.0,6.0,5.0,21.0,29.0,2.0,4.0,36.0,24.0,62.0,10.0,38.0,44.0,11.0,50.0,39.0,22.0,32.0,17.0,8.0,37.0
1773,1.0,0.0,2.0,5.0,8.0,13.0,25.0,47.0,4.0,10.0,21.0,86.0,54.0,34.0,9.0,15.0,27.0,46.0,22.0,16.0,12.0,7.0,81.0,38.0,119.0,17.0,24.0,18.0,44.0,41.0
