,CNTN5_DEL,FBXO31_DEL,EIF5AL1_DEL,CHD1_MUT,CWF19L2_AMP,DEFB127_DEL,FGFR1_DEL,LOC653786_DEL,PGLYRP4_AMP,LINC00642_DEL,ETS1_DEL,DCAF4_DEL,SPRR2C_AMP,DEFB125_DEL,P2RX7_MUT,SPRR2G_AMP,SPRR2F_AMP,UNC13C_DEL,PGLYRP3_AMP,LCE1C_AMP,PRB1_AMP,INADL_AMP,C20orf96_DEL,DEFB129_DEL,AMHR2_MUT,LCE6A_AMP,SMARCA4_MUT,LOC285401_DEL,OR2T2_DEL,TPM3_AMP
2139,5.0,313.0,12.0,1.0,48.0,15.0,6.0,0.0,21.0,19.0,96.0,23.0,636.0,18.0,9.0,168.0,88.0,159.0,147.0,68.0,31.0,99.0,53.0,24.0,336.0,633.0,3381.0,121.0,1225.0,56.0
2188,0.0,44.0,26.0,46.0,1.0,20.0,167.0,93.0,290.0,14.0,40.0,83.0,90.0,7.0,136.0,11.0,37.0,10.0,353.0,17.0,50.0,950.0,15.0,21.0,16774.0,91.0,748.0,104.0,59.0,60.0
2237,3.0,98.0,0.0,5.0,1.0,9.0,13.0,7.0,23.0,24.0,209.0,39.0,158.0,31.0,36.0,43.0,144.0,37.0,11.0,16.0,68.0,26.0,6.0,329.0,340.0,258.0,888.0,277.0,178.0,176.0
2286,8.0,29.0,0.0,301.0,7.0,25.0,57.0,1.0,12.0,22.0,24.0,47.0,152.0,62.0,171.0,27.0,561.0,3145.0,32.0,854.0,531.0,350.0,36.0,10.0,9117.0,14009.0,316.0,7281.0,146.0,194.0
2335,2.0,95.0,5.0,0.0,127.0,7.0,78.0,30.0,518.0,11.0,45.0,3.0,53.0,10.0,22.0,137.0,52.0,1440.0,44.0,97.0,191.0,14.0,28.0,4.0,33.0,76.0,354.0,381.0,152.0,36.0
2384,0.0,689.0,3100.0,3233.0,22.0,13.0,176.0,1.0,123.0,4.0,163.0,15.0,146.0,45.0,14.0,68.0,132.0,545.0,111.0,58.0,172.0,3170.0,38.0,122.0,114.0,76.0,44.0,82.0,564.0,357.0
2433,0.0,143.0,1.0,7.0,91.0,19.0,3.0,14.0,105.0,807.0,52.0,8.0,23641.0,23.0,18.0,487.0,23638.0,95.0,1015.0,102.0,2970.0,22.0,47.0,28.0,40.0,14729.0,17119.0,408.0,825.0,93.0
2482,0.0,1.0,196.0,65.0,7.0,23.0,16.0,14.0,24.0,60.0,9.0,70.0,74.0,591.0,31.0,92.0,27.0,203.0,318.0,2188.0,6.0,357.0,4958.0,975.0,16790.0,313.0,8.0,48.0,2196.0,253.0
2531,0.0,3.0,2.0,1.0,212.0,4.0,42.0,98.0,11.0,177.0,7.0,125.0,828.0,52.0,2830.0,58.0,826.0,113.0,823.0,105.0,12.0,235.0,471.0,469.0,384.0,825.0,17053.0,20.0,21.0,596.0
2580,0.0,79.0,3.0,4.0,2.0,15.0,197.0,31.0,507.0,981.0,1.0,7352.0,511.0,51.0,71.0,138.0,125.0,184.0,152.0,15424.0,120.0,24.0,134.0,163.0,26.0,145.0,1174.0,43.0,429.0,386.0
2629,0.0,52.0,74.0,11.0,6.0,5.0,8.0,122.0,103.0,3538.0,134.0,12.0,21.0,49.0,180.0,217.0,61.0,69.0,648.0,15391.0,1495.0,39.0,14.0,110.0,19.0,168.0,20.0,711.0,37.0,23553.0
2678,2.0,11.0,2562.0,3.0,218.0,6.0,4.0,307.0,18.0,271.0,1.0,136.0,695.0,106.0,31.0,142.0,147.0,15.0,76.0,15403.0,274.0,12.0,81.0,107.0,25.0,691.0,52.0,10.0,173.0,492.0
2727,0.0,70.0,6.0,1.0,218.0,42.0,7.0,1035.0,374.0,235.0,8.0,40.0,1049.0,16.0,10.0,1046.0,142.0,20.0,1048.0,733.0,116.0,72.0,498.0,497.0,172.0,256.0,118.0,18.0,607.0,735.0
2776,0.0,126.0,3.0,6.0,16.0,26.0,323.0,267.0,12.0,155.0,46.0,5.0,21.0,146.0,34.0,412.0,24.0,87.0,124.0,413.0,118.0,100.0,202.0,575.0,48.0,574.0,168.0,44.0,25.0,49.0
2825,1.0,2.0,62.0,10.0,5.0,85.0,122.0,33.0,37.0,42.0,58.0,95.0,59.0,782.0,241.0,236.0,175.0,321.0,203.0,101.0,132.0,31.0,779.0,5900.0,1078.0,103.0,4.0,78.0,39.0,141.0
2874,0.0,4.0,9.0,1.0,85.0,14.0,6273.0,5.0,250.0,86.0,106.0,3014.0,23781.0,377.0,62.0,716.0,706.0,13.0,714.0,272.0,19.0,63.0,97.0,82.0,74.0,154.0,329.0,6473.0,52.0,128.0
2923,11.0,34.0,1.0,30.0,46.0,488.0,81.0,280.0,185.0,18.0,6.0,33.0,41.0,7616.0,14.0,98.0,108.0,1512.0,419.0,521.0,7.0,72.0,2057.0,319.0,2832.0,110.0,93.0,3754.0,17.0,53.0
2972,0.0,5.0,2.0,7.0,10.0,25.0,28.0,3.0,84.0,6.0,8.0,136.0,37.0,101.0,4.0,585.0,29.0,176.0,227.0,19.0,103.0,38.0,40.0,155.0,896.0,182.0,14.0,147.0,874.0,137.0
3021,0.0,1.0,6.0,549.0,2.0,31.0,9.0,244.0,22400.0,8.0,4.0,53.0,21.0,23.0,5.0,64.0,37.0,50.0,63.0,178.0,126.0,245.0,73.0,110.0,470.0,211.0,3204.0,328.0,42.0,207.0
3070,57.0,19.0,20.0,18.0,155.0,16.0,12.0,726.0,153.0,0.0,92.0,52.0,53.0,70.0,451.0,461.0,459.0,38.0,465.0,361.0,5.0,529.0,65.0,80.0,130.0,123.0,211.0,428.0,26.0,359.0
3119,3.0,4.0,0.0,160.0,51.0,13.0,8.0,245.0,85.0,6.0,28.0,177.0,152.0,58.0,34.0,69.0,548.0,282.0,148.0,112.0,54.0,339.0,159.0,60.0,68.0,48.0,1.0,543.0,499.0,131.0
3168,4.0,3.0,279.0,13.0,0.0,24.0,114.0,404.0,151.0,8.0,51.0,974.0,235.0,25.0,275.0,533.0,23645.0,28.0,152.0,219.0,52.0,58.0,35.0,130.0,3043.0,38.0,34.0,11.0,68.0,181.0
3217,17.0,4.0,27.0,7.0,0.0,22.0,2.0,8458.0,20.0,53.0,5.0,1336.0,395.0,422.0,362.0,400.0,42.0,56.0,113.0,419.0,96.0,468.0,714.0,3826.0,288.0,105.0,89.0,238.0,3.0,398.0
3266,10.0,1.0,6.0,598.0,101.0,17.0,107.0,125.0,103.0,11.0,0.0,43.0,59.0,23.0,2512.0,20.0,23487.0,4.0,210.0,138.0,22620.0,108.0,264.0,55.0,2098.0,54.0,3.0,3737.0,528.0,482.0
3315,893.0,30.0,0.0,3.0,651.0,66.0,32.0,360.0,155.0,38.0,13.0,77.0,71.0,48.0,4.0,178.0,479.0,109.0,147.0,105.0,132.0,108.0,416.0,89.0,240.0,384.0,44.0,7204.0,14.0,385.0
3364,104.0,622.0,1.0,56.0,6.0,17.0,64.0,7.0,560.0,10.0,33.0,47.0,743.0,32.0,54.0,856.0,23769.0,1018.0,188.0,142.0,29.0,152.0,328.0,139.0,303.0,76.0,310.0,55.0,116.0,202.0
3413,3.0,16.0,29.0,2058.0,18.0,56.0,202.0,327.0,500.0,0.0,2.0,53.0,110.0,12.0,15.0,160.0,140.0,11525.0,644.0,15437.0,64.0,16322.0,10.0,82.0,231.0,42.0,132.0,108.0,555.0,461.0
3462,51.0,2.0,42.0,16.0,146.0,227.0,22.0,427.0,31.0,36.0,6705.0,95.0,80.0,6236.0,11.0,87.0,30.0,216.0,349.0,75.0,1069.0,15.0,787.0,1504.0,257.0,25.0,1.0,7469.0,175.0,110.0
3511,9.0,87.0,25.0,31.0,12.0,426.0,167.0,1092.0,536.0,108.0,665.0,71.0,561.0,701.0,8.0,696.0,178.0,789.0,52.0,15412.0,5.0,905.0,4728.0,192.0,179.0,164.0,18.0,7326.0,22.0,162.0
3560,1.0,3.0,2.0,0.0,1201.0,5.0,125.0,39.0,16.0,11373.0,1202.0,7307.0,523.0,508.0,24.0,23714.0,1256.0,244.0,73.0,15426.0,81.0,16292.0,42.0,51.0,103.0,674.0,17071.0,3731.0,351.0,486.0
3609,1.0,5.0,0.0,53.0,187.0,155.0,193.0,14.0,82.0,54.0,160.0,124.0,100.0,322.0,21.0,40.0,38.0,51.0,116.0,18881.0,9.0,705.0,128.0,46.0,228.0,41.0,1154.0,1079.0,173.0,99.0
3658,0.0,1.0,37.0,39.0,116.0,587.0,1316.0,16.0,316.0,474.0,3447.0,75.0,86.0,7619.0,12813.0,22.0,426.0,94.0,421.0,57.0,15911.0,230.0,20653.0,895.0,156.0,2.0,128.0,7337.0,4.0,311.0
3707,3.0,13.0,41.0,16.0,103.0,18.0,98.0,27.0,20.0,154.0,1087.0,706.0,476.0,59.0,24.0,48.0,143.0,65.0,229.0,475.0,125.0,189.0,7.0,316.0,294.0,617.0,3143.0,179.0,12.0,52.0
3756,0.0,12.0,3.0,44.0,265.0,8.0,20.0,19.0,22544.0,192.0,63.0,282.0,196.0,7012.0,17.0,211.0,177.0,120.0,351.0,15370.0,3223.0,389.0,128.0,234.0,119.0,241.0,386.0,62.0,2.0,200.0
